,c,h,l,o,s,t,v
0,24.7766,24.7766,24.7666,24.7666,ok,1569456000,300
1,24.7469,24.7469,24.7469,24.7469,ok,1569542400,200
2,24.7568,24.7568,24.7568,24.7568,ok,1569888000,1500
3,24.7954,24.8164,24.7954,24.8164,ok,1569974400,1900
4,24.7954,24.7954,24.7954,24.7954,ok,1570579200,100
5,24.8083,24.8263,24.7763,24.7763,ok,1571097600,9300
6,24.8083,24.8083,24.8083,24.8083,ok,1571184000,200
7,24.8083,24.8083,24.8083,24.8083,ok,1571270400,100
8,24.7369,24.7569,24.7369,24.7469,ok,1571616000,8400
9,24.7369,24.7369,24.7369,24.7369,ok,1571702400,100
10,24.7419,24.7469,24.7379,24.7379,ok,1571788800,1100
11,24.727,24.727,24.727,24.727,ok,1571875200,4000
12,24.727,24.727,24.727,24.727,ok,1571961600,100
13,24.7171,24.7211,24.7071,24.7071,ok,1572220800,12700
14,24.727,24.727,24.707,24.707,ok,1572393600,2100
15,24.8063,24.8063,24.8063,24.8063,ok,1572566400,1300
16,24.7865,24.7965,24.7815,24.7965,ok,1572825600,5200
17,24.7369,24.7369,24.7369,24.7369,ok,1572912000,100
18,24.7072,24.7072,24.7072,24.7072,ok,1573084800,400
19,24.6696,24.6876,24.6696,24.6776,ok,1573171200,5300
20,24.6696,24.6696,24.6696,24.6696,ok,1573516800,1100
21,24.7112,24.7272,24.7112,24.7172,ok,1573603200,8100
22,24.7439,24.7439,24.7439,24.7439,ok,1573689600,2000
23,24.7468,24.7468,24.7468,24.7468,ok,1573776000,4100
24,24.7409,24.7759,24.7409,24.7659,ok,1574035200,2300
25,24.7458,24.7658,24.7458,24.7558,ok,1574121600,3200
26,24.7954,24.8054,24.7954,24.8054,ok,1574208000,1600
27,24.7706,24.7796,24.7706,24.7796,ok,1574294400,200
28,24.7706,24.7706,24.7706,24.7706,ok,1574380800,200
29,24.8103,24.8103,24.8053,24.8053,ok,1574726400,500
30,24.8202,24.8372,24.8202,24.8372,ok,1574812800,3500
31,24.8202,24.8202,24.8202,24.8202,ok,1575244800,100
32,24.8599,24.8949,24.8349,24.8349,ok,1575331200,9100
33,24.8351,24.8431,24.8351,24.8431,ok,1575417600,1200
34,24.8301,24.8531,24.8301,24.8531,ok,1575590400,1000
35,24.85,24.865,24.85,24.865,ok,1575849600,400
36,24.85,24.875,24.845,24.845,ok,1575936000,1600
37,24.8847,24.8847,24.8847,24.8847,ok,1576108800,2000
38,24.8847,24.9047,24.8847,24.9047,ok,1576195200,400
39,24.8658,24.8848,24.8658,24.8848,ok,1576454400,1100
40,24.8897,24.9147,24.8797,24.8847,ok,1576540800,11400
41,24.8748,24.8898,24.8748,24.8888,ok,1576627200,1000
42,24.8748,24.8948,24.8648,24.8648,ok,1576713600,1100
43,24.8658,24.8939,24.8658,24.8939,ok,1576800000,2500
44,24.8788,24.8838,24.8738,24.8838,ok,1577059200,6900
45,24.8927,24.9137,24.8927,24.9137,ok,1577145600,1300
46,24.8788,24.8938,24.8788,24.8938,ok,1577318400,300
47,24.8937,24.9037,24.8937,24.9037,ok,1577404800,2400
48,24.9185,24.9185,24.9035,24.9135,ok,1577664000,2700
49,24.9185,24.9235,24.9185,24.9225,ok,1577750400,1700
50,24.9234,24.9434,24.9234,24.9434,ok,1577923200,6600
51,25.0078,25.0228,25.0028,25.0028,ok,1578009600,1500
52,25.0178,25.0328,25.0128,25.0328,ok,1578268800,1400
53,25.0476,25.0526,25.0276,25.0426,ok,1578355200,2900
54,25.0575,25.0825,25.0575,25.0665,ok,1578441600,13700
55,25.0674,25.0724,25.0534,25.0724,ok,1578528000,1800
56,25.0674,25.0824,25.0674,25.0824,ok,1578614400,9400
57,25.0773,25.0924,25.0773,25.0924,ok,1578873600,100
58,25.1469,25.1469,25.1219,25.1219,ok,1579046400,2000
59,25.1618,25.1718,25.1618,25.1688,ok,1579132800,1100
60,25.1568,25.2018,25.1568,25.2018,ok,1579219200,9200
61,25.2065,25.2215,25.2015,25.2215,ok,1579564800,14100
62,25.2015,25.2125,25.2015,25.2125,ok,1579651200,300
63,25.2512,25.2512,25.2512,25.2512,ok,1579737600,2300
64,25.2711,25.2811,25.2711,25.2711,ok,1579824000,2400
65,25.291,25.311,25.291,25.311,ok,1580083200,600
66,25.3208,25.3308,25.3108,25.3258,ok,1580256000,3000
67,25.3258,25.3348,25.3258,25.3348,ok,1580342400,1700
68,25.3407,25.3507,25.3297,25.3507,ok,1580428800,1600
69,25.3208,25.3308,25.3208,25.3308,ok,1580688000,500
70,25.2811,25.2911,25.2811,25.2911,ok,1580774400,2300
71,25.2711,25.2811,25.2711,25.2811,ok,1580860800,4200
72,25.2463,25.2613,25.2463,25.2613,ok,1580947200,800
73,25.3109,25.3109,25.2909,25.2909,ok,1581033600,20900
74,25.296,25.311,25.296,25.311,ok,1581292800,800
75,25.3009,25.3109,25.2959,25.3109,ok,1581379200,5100
76,25.286,25.301,25.286,25.301,ok,1581465600,1000
77,25.2811,25.3011,25.2811,25.2981,ok,1581552000,4400
78,25.3059,25.3309,25.3059,25.3129,ok,1581638400,2700
79,25.3208,25.3408,25.3158,25.3408,ok,1581984000,8400
80,25.3258,25.3608,25.3208,25.3608,ok,1582070400,7400
81,25.3606,25.3806,25.3606,25.3606,ok,1582156800,7400
82,25.5089,25.5089,25.5039,25.5039,ok,1582502400,1100
83,25.5089,25.5189,25.5089,25.5119,ok,1582588800,1100
84,25.5039,25.5089,25.5039,25.5089,ok,1582675200,100
85,25.5188,25.5388,25.5088,25.5388,ok,1582761600,2000
86,25.4949,25.4949,25.4809,25.4809,ok,1582848000,200
87,25.4989,25.5689,25.4989,25.5689,ok,1583107200,1800
88,25.5427,25.5767,25.5387,25.5687,ok,1583193600,2100
89,25.5288,25.5488,25.5288,25.5488,ok,1583280000,500
90,25.5387,25.5687,25.5287,25.5687,ok,1583366400,1100
91,25.7448,25.7878,25.7448,25.7778,ok,1583712000,300
92,25.489,25.739,25.489,25.739,ok,1583798400,2100
93,25.3496,25.4146,25.3496,25.4146,ok,1583884800,3300
94,24.5265,24.5835,24.5265,24.5535,ok,1583971200,8300
95,24.5136,24.5436,24.5136,24.5146,ok,1584316800,2900
96,24.4201,24.5041,24.4201,24.5041,ok,1584403200,1900
97,23.9951,24.1961,23.9951,24.1961,ok,1584489600,100
98,23.5134,24.0684,23.5134,24.0684,ok,1584576000,8400
99,23.2148,23.3298,23.0218,23.3298,ok,1584662400,2800
100,22.9411,23.1211,22.7621,23.0211,ok,1584921600,2300
101,23.3491,23.3491,23.0891,23.0891,ok,1585008000,1000
102,24.0707,24.2457,23.6307,23.6307,ok,1585094400,2800
103,24.7326,24.9426,24.5326,24.8126,ok,1585180800,2900
104,24.8172,24.9152,24.6432,24.9152,ok,1585267200,6500
105,24.6928,24.9548,24.6378,24.9548,ok,1585526400,1800
106,24.9416,24.9716,24.7816,24.7816,ok,1585612800,4700
107,24.3992,24.6842,24.1942,24.6842,ok,1585699200,3300
108,24.4987,24.6837,24.2747,24.5837,ok,1585872000,2800
109,24.6181,24.8131,24.4031,24.7931,ok,1586131200,1300
110,24.7176,24.7176,24.5026,24.5126,ok,1586217600,600
111,24.9764,24.9764,24.8514,24.8814,ok,1586390400,2500
112,24.9913,24.9913,24.7023,24.7033,ok,1586736000,1100
113,25.0162,25.0162,24.7522,24.7532,ok,1586822400,1000
114,25.0809,25.0809,24.9999,24.9999,ok,1586908800,700
115,25.0411,25.1411,25.0411,25.1411,ok,1586995200,800
116,25.0809,25.0809,25.0809,25.0809,ok,1587081600,100
117,24.8916,25.0216,24.8916,25.0216,ok,1587340800,1500
118,24.8916,24.8916,24.7416,24.7416,ok,1587427200,1700
119,24.8418,24.9218,24.7918,24.7918,ok,1587513600,5600
120,24.8159,24.8819,24.7619,24.8719,ok,1587600000,27200
121,24.6574,24.7924,24.6574,24.7924,ok,1587945600,200
122,24.4631,24.6431,24.4631,24.5381,ok,1588118400,48500
123,24.5279,24.6329,24.4859,24.6329,ok,1588204800,1800
124,24.6126,24.6126,24.4736,24.4746,ok,1588291200,1000
125,24.6624,24.7724,24.5424,24.5424,ok,1588550400,6900
126,24.6923,24.8123,24.5633,24.8123,ok,1588636800,4000
127,24.7023,24.8123,24.5833,24.7273,ok,1588723200,1800
128,24.7969,24.9219,24.6619,24.6629,ok,1588896000,5800
129,24.8368,24.9118,24.8368,24.9118,ok,1589155200,3300
130,24.8418,24.9718,24.7018,24.7418,ok,1589241600,6400
131,24.8766,24.9816,24.8766,24.9816,ok,1589328000,3400
132,24.9265,24.9755,24.9265,24.9755,ok,1589414400,200
133,25.0163,25.1013,25.0163,25.1013,ok,1589760000,1700
134,25.0861,25.1411,25.0861,25.1411,ok,1589846400,100
135,25.1759,25.2209,25.1059,25.1059,ok,1589932800,1000
136,25.2557,25.3407,25.2557,25.3407,ok,1590019200,1200
137,25.3006,25.4006,25.3006,25.3226,ok,1590105600,1400
138,25.3205,25.4205,25.3205,25.4105,ok,1590451200,1600
139,25.3555,25.4685,25.3555,25.4685,ok,1590537600,600
140,25.3415,25.4605,25.2305,25.4505,ok,1590624000,10100
141,25.5001,25.5001,25.5001,25.5001,ok,1590710400,600
