,c,h,l,o,s,t,v
0,19.5689,19.5689,19.5689,19.5689,ok,1420156800,200
1,19.5788,19.5988,19.5788,19.5788,ok,1420416000,500
2,19.7861,20.8861,19.7561,19.7561,ok,1420502400,1500
3,19.7861,19.7861,19.7861,19.7861,ok,1420588800,100
4,20.418,20.598,20.078,20.598,ok,1420675200,1700
5,20.9018,20.9018,19.8418,19.8418,ok,1421020800,300
6,19.8651,19.8651,19.8651,19.8651,ok,1421107200,400
7,20.6352,20.6352,20.6352,20.6352,ok,1421280000,1600
8,20.6352,20.6352,20.6352,20.6352,ok,1421366400,100
9,20.0527,20.7427,20.0527,20.4927,ok,1421798400,1800
10,20.4575,20.8775,20.1675,20.1875,ok,1421971200,28900
11,20.9314,20.9314,20.5314,20.6114,ok,1422230400,4200
12,20.3785,20.3785,20.3485,20.3785,ok,1422316800,1200
13,21.04,21.04,21.04,21.04,ok,1422403200,100
14,21.04,21.04,21.04,21.04,ok,1422489600,100
15,20.7734,20.7934,20.6834,20.6834,ok,1422835200,2900
16,20.2403,20.2403,20.0203,20.0203,ok,1423008000,500
17,20.2403,20.2403,20.2403,20.2403,ok,1423094400,100
18,20.0724,20.2924,20.0724,20.2424,ok,1423180800,3100
19,20.2403,20.4503,20.0903,20.4103,ok,1423440000,1500
20,20.2403,20.2403,20.2403,20.2403,ok,1423526400,100
21,20.2403,20.2403,20.2403,20.2403,ok,1423612800,100
22,20.3094,20.3094,20.3094,20.3094,ok,1424131200,400
23,20.3094,20.3094,20.3094,20.3094,ok,1424217600,100
24,20.3094,20.3094,20.3094,20.3094,ok,1424304000,100
25,20.181,20.181,20.181,20.181,ok,1424390400,200
26,19.5985,19.6485,19.5685,19.5685,ok,1424649600,4100
27,19.5096,19.6996,19.5096,19.6296,ok,1424736000,29200
28,19.5491,19.5491,19.5491,19.5491,ok,1424822400,1500
29,19.5195,19.5195,19.5195,19.5195,ok,1424908800,20000
30,19.8453,19.8453,19.8453,19.8453,ok,1424995200,700
31,19.8453,19.8453,19.8453,19.8453,ok,1425254400,100
32,19.8453,19.8453,19.8453,19.8453,ok,1425340800,100
33,19.8453,19.8453,19.8453,19.8453,ok,1425427200,100
34,19.9934,19.9934,19.6134,19.6134,ok,1425513600,800
35,19.9934,19.9934,19.9934,19.9934,ok,1425600000,100
36,19.9934,19.9934,19.9934,19.9934,ok,1425945600,100
37,19.9934,19.9934,19.9934,19.9934,ok,1426032000,100
38,19.9934,19.9934,19.9934,19.9934,ok,1426118400,100
39,19.9934,19.9934,19.9934,19.9934,ok,1426204800,100
40,19.9934,19.9934,19.9934,19.9934,ok,1426723200,100
41,20.2896,20.4396,20.1896,20.1896,ok,1427241600,2000
42,20.3291,20.3291,20.2391,20.2391,ok,1427328000,600
43,19.796,20.336,19.796,20.336,ok,1427414400,500
44,19.8453,19.8453,19.8453,19.8453,ok,1427760000,500
45,19.8453,19.8453,19.8453,19.8453,ok,1427932800,100
46,19.6577,19.6577,19.6577,19.6577,ok,1428451200,500
47,19.5195,19.6495,19.5195,19.6495,ok,1428537600,92100
48,19.3615,19.5315,19.3615,19.5315,ok,1428624000,2900
