,c,h,l,o,s,t,v
0,8.9079,8.9479,8.8679,8.8679,ok,1420156800,425700
1,8.9284,8.9284,8.8784,8.8884,ok,1420416000,250800
2,8.9352,9.0152,8.8852,8.9352,ok,1420502400,311000
3,8.9967,8.9967,8.8967,8.9167,ok,1420588800,267300
4,9.0308,9.0408,8.9808,9.0008,ok,1420675200,273200
5,9.0308,9.0608,8.9608,9.0508,ok,1420761600,288700
6,9.0377,9.0777,8.9977,9.0077,ok,1421020800,148700
7,9.0377,9.1077,8.9977,9.0677,ok,1421107200,273900
8,9.065,9.115,8.925,8.925,ok,1421193600,250400
9,9.1128,9.1128,9.0328,9.0628,ok,1421280000,218800
10,9.1948,9.1948,9.0548,9.0548,ok,1421366400,206200
11,9.2221,9.2521,9.1921,9.1921,ok,1421712000,324200
12,9.2426,9.2526,9.0526,9.2126,ok,1421798400,245100
13,9.2153,9.2553,9.1353,9.2553,ok,1421884800,223500
14,9.2289,9.2389,9.1689,9.1889,ok,1421971200,178600
15,9.2084,9.2584,9.1884,9.2484,ok,1422230400,216000
16,9.2016,9.2116,9.1716,9.1916,ok,1422316800,206100
17,9.1743,9.2443,9.1643,9.2343,ok,1422403200,231100
18,9.2221,9.2321,9.1521,9.1521,ok,1422489600,146600
19,9.2084,9.2584,9.1784,9.2184,ok,1422576000,368100
20,9.2221,9.2421,9.1521,9.2321,ok,1422835200,239700
21,9.2494,9.2494,9.1794,9.2094,ok,1422921600,175900
22,9.2426,9.2726,9.1826,9.2026,ok,1423008000,237200
23,9.2289,9.2689,9.1889,9.2689,ok,1423094400,163300
24,9.2153,9.2553,9.2153,9.2253,ok,1423180800,180200
25,9.2289,9.2689,9.1989,9.2089,ok,1423440000,172400
26,9.2084,9.2584,9.1784,9.2584,ok,1423526400,128300
27,9.2366,9.2466,9.1966,9.2166,ok,1423612800,196500
28,9.2504,9.2804,9.2204,9.2304,ok,1423699200,214700
29,9.2504,9.2804,9.2304,9.2504,ok,1423785600,121100
30,9.2091,9.2891,9.2091,9.2491,ok,1424131200,187600
31,9.2091,9.2391,9.1791,9.2091,ok,1424217600,153200
32,9.2366,9.2566,9.1866,9.1866,ok,1424304000,117200
33,9.2504,9.2504,9.1904,9.2304,ok,1424390400,139600
34,9.2297,9.2597,9.1497,9.2397,ok,1424649600,289700
35,9.216,9.286,9.206,9.236,ok,1424736000,188000
36,9.216,9.276,9.196,9.236,ok,1424822400,218800
37,9.1816,9.2516,9.1616,9.2516,ok,1424908800,265000
38,9.1954,9.2254,9.1854,9.2154,ok,1424995200,146300
39,9.1885,9.2385,9.1185,9.2285,ok,1425254400,345500
40,9.1954,9.2554,9.1654,9.1654,ok,1425340800,207900
41,9.2297,9.2497,9.1497,9.1497,ok,1425427200,167700
42,9.2504,9.2504,9.2004,9.2304,ok,1425513600,149200
43,9.1335,9.2735,9.1235,9.2635,ok,1425600000,225400
44,9.1129,9.1429,9.0929,9.1029,ok,1425859200,162300
45,9.106,9.126,9.096,9.106,ok,1425945600,158600
46,9.0929,9.1329,9.0729,9.1029,ok,1426032000,113900
47,9.0998,9.1498,9.0898,9.0898,ok,1426118400,253300
48,9.0929,9.1329,9.0329,9.1329,ok,1426204800,183700
49,9.1828,9.2128,9.1528,9.1828,ok,1426464000,473500
50,9.2035,9.2535,9.1535,9.1735,ok,1426550400,346200
51,9.2934,9.2934,9.1434,9.1634,ok,1426636800,292000
52,9.3073,9.3073,9.2373,9.2573,ok,1426723200,224300
53,9.3626,9.3726,9.2826,9.2826,ok,1426809600,283500
54,9.3833,9.3833,9.3233,9.3733,ok,1427068800,312400
55,9.4248,9.4448,9.3248,9.3448,ok,1427155200,525700
56,9.3695,9.4595,9.3595,9.4495,ok,1427241600,511700
57,9.328,9.398,9.318,9.368,ok,1427328000,328200
58,9.328,9.338,9.298,9.298,ok,1427414400,643000
59,9.3349,9.3549,9.3149,9.3149,ok,1427673600,264400
60,9.3073,9.3973,9.3073,9.3373,ok,1427760000,370300
61,9.2796,9.4096,9.2396,9.3196,ok,1427846400,271300
62,9.3003,9.3403,9.2403,9.2403,ok,1427932800,218900
63,9.3626,9.3726,9.2526,9.2526,ok,1428278400,177100
64,9.4041,9.4041,9.2941,9.2941,ok,1428364800,174500
65,9.3764,9.4264,9.3464,9.3964,ok,1428451200,197500
66,9.3764,9.4264,9.3664,9.3964,ok,1428537600,150400
67,9.3626,9.3826,9.3426,9.3726,ok,1428624000,160600
68,9.405,9.415,9.335,9.365,ok,1428883200,139700
69,9.4189,9.4389,9.3989,9.3989,ok,1428969600,130400
70,9.4259,9.4359,9.3959,9.4159,ok,1429056000,183600
71,9.3981,9.4681,9.3781,9.4381,ok,1429142400,216500
72,9.405,9.415,9.345,9.385,ok,1429228800,133500
73,9.4676,9.4776,9.3676,9.3776,ok,1429488000,216400
74,9.4189,9.4789,9.3889,9.4789,ok,1429574400,161300
75,9.4259,9.4259,9.3859,9.4259,ok,1429660800,119000
76,9.412,9.482,9.352,9.422,ok,1429747200,273000
77,9.4398,9.4398,9.3898,9.3998,ok,1429833600,109900
78,9.4467,9.4567,9.4167,9.4167,ok,1430092800,151800
79,9.4815,9.4815,9.4015,9.4015,ok,1430179200,155700
80,9.4467,9.4567,9.4167,9.4367,ok,1430265600,176800
81,9.4189,9.4489,9.3889,9.4389,ok,1430352000,180700
82,9.3841,9.4641,9.3641,9.4241,ok,1430438400,191300
83,9.3633,9.4033,9.3033,9.3933,ok,1430697600,226900
84,9.3424,9.3624,9.3124,9.3324,ok,1430784000,254600
85,9.2937,9.3837,9.2837,9.3537,ok,1430870400,160700
86,9.2728,9.3228,9.2628,9.3028,ok,1430956800,195500
87,9.245,9.335,9.245,9.285,ok,1431043200,263900
88,9.2241,9.2641,9.2141,9.2441,ok,1431302400,264000
89,9.245,9.295,9.205,9.205,ok,1431388800,220400
90,9.2457,9.3457,9.2357,9.2357,ok,1431475200,226300
91,9.2527,9.2827,9.2127,9.2127,ok,1431561600,250800
92,9.2387,9.2787,9.2287,9.2587,ok,1431648000,159400
93,9.2247,9.2547,9.2147,9.2547,ok,1431907200,209800
94,9.2247,9.2347,9.1947,9.2147,ok,1431993600,189400
95,9.2317,9.2517,9.2117,9.2417,ok,1432080000,134600
96,9.2107,9.2507,9.2107,9.2307,ok,1432166400,210600
97,9.2037,9.2237,9.1737,9.2137,ok,1432252800,199600
98,9.2037,9.2737,9.1737,9.2037,ok,1432598400,259800
99,9.2457,9.2457,9.1657,9.2057,ok,1432684800,173900
100,9.2457,9.2457,9.2157,9.2357,ok,1432771200,154200
101,9.2387,9.2987,9.2187,9.2887,ok,1432857600,228300
102,9.2527,9.2827,9.2327,9.2527,ok,1433116800,188600
103,9.2247,9.2547,9.2147,9.2447,ok,1433203200,143600
104,9.1827,9.2527,9.1627,9.2427,ok,1433289600,239800
105,9.1547,9.1947,9.1447,9.1747,ok,1433376000,106000
106,9.0357,9.1957,9.0257,9.1857,ok,1433462400,305900
107,9.0567,9.0667,8.9567,8.9967,ok,1433721600,271500
108,9.0497,9.0797,9.0197,9.0197,ok,1433808000,251200
109,8.9937,9.0337,8.9837,9.0337,ok,1433894400,301200
110,9.0367,9.0567,8.9467,8.9767,ok,1433980800,243500
111,9.0297,9.0497,9.0097,9.0397,ok,1434067200,202000
112,9.0367,9.0567,9.0067,9.0267,ok,1434326400,201900
113,9.0719,9.0719,9.0019,9.0319,ok,1434412800,116500
