,c,h,l,o,s,t,v
0,112.3276,112.5276,110.3576,110.4076,ok,1420156800,612000
1,113.3459,113.5759,111.9559,112.7459,ok,1420416000,892500
2,115.5452,115.7652,113.2552,113.4352,ok,1420502400,1636600
3,116.8374,117.3474,114.6374,115.7474,ok,1420588800,999200
4,117.3081,118.1081,116.3681,117.2381,ok,1420675200,937400
5,117.8985,118.6485,116.4885,117.5085,ok,1420761600,664900
6,118.3863,118.7363,117.7063,118.1163,ok,1421020800,739100
7,118.1296,119.8696,117.2696,118.8696,ok,1421107200,611900
8,119.5159,119.6259,116.2459,117.2859,ok,1421193600,1043900
9,119.7813,120.1413,118.9113,119.5213,ok,1421280000,618300
10,120.7397,120.9797,118.7197,119.5297,ok,1421366400,731300
11,120.2519,121.5919,119.8019,121.3119,ok,1421712000,884400
12,120.2519,120.6919,119.2919,119.7619,ok,1421798400,567000
13,122.5111,122.7611,119.9811,120.2511,ok,1421884800,861800
14,122.0918,122.6218,121.4618,122.4218,ok,1421971200,519100
15,123.4268,123.4668,121.1968,121.4968,ok,1422230400,536800
16,123.4183,124.2983,122.7583,122.8783,ok,1422316800,698000
17,122.3571,125.4471,122.3571,124.0871,ok,1422403200,841600
18,122.7507,123.2807,121.3207,122.6307,ok,1422489600,742000
19,118.78,124.05,118.78,122.67,ok,1422576000,1633000
20,119.9866,120.1666,116.7466,119.2266,ok,1422835200,1535600
21,121.3558,121.4558,118.5558,119.0758,ok,1422921600,747100
22,120.7739,121.8339,119.7439,121.2239,ok,1423008000,892100
23,123.0502,123.1902,120.8402,121.2602,ok,1423094400,711400
24,120.6199,123.1699,119.9399,123.1199,ok,1423180800,1007600
25,119.9695,121.2195,119.8595,120.2295,ok,1423440000,595600
26,121.7067,121.7267,119.2167,120.4567,ok,1423526400,1226400
27,120.5942,122.5342,119.5842,122.1242,ok,1423612800,830800
28,122.0833,122.1333,119.5133,120.7733,ok,1423699200,864800
29,120.7311,122.0111,119.9011,121.9511,ok,1423785600,529900
30,120.0208,121.4808,119.5508,120.6908,ok,1424131200,705500
31,121.3302,121.4102,118.8302,119.7202,ok,1424217600,826300
32,118.4976,121.2176,118.1176,121.2176,ok,1424304000,920200
33,119.2678,120.0178,117.7378,118.0878,ok,1424390400,834200
