,c,h,l,o,s,t,v
0,11.584,11.654,11.424,11.634,ok,1420156800,2500
1,11.5442,11.7642,11.4742,11.7642,ok,1420416000,8400
2,11.6318,11.8218,11.6118,11.8218,ok,1420502400,4400
3,11.6556,11.7956,11.6156,11.7956,ok,1420588800,3300
4,11.7193,11.7693,11.5193,11.7193,ok,1420675200,11300
5,11.783,11.783,11.503,11.513,ok,1420761600,3000
6,11.8467,11.9767,11.6467,11.9767,ok,1421020800,3200
7,11.79,11.94,11.79,11.94,ok,1421107200,9800
8,11.8299,11.8799,11.7099,11.8799,ok,1421193600,2500
9,11.8219,11.8219,11.8119,11.8119,ok,1421280000,2100
10,11.758,11.758,11.758,11.758,ok,1421366400,300
11,11.8219,11.8219,11.8219,11.8219,ok,1421712000,1700
12,11.8619,11.8619,11.8619,11.8619,ok,1421798400,300
13,11.8699,11.8999,11.8699,11.8999,ok,1421884800,500
14,11.798,11.928,11.798,11.928,ok,1421971200,500
15,11.758,11.758,11.728,11.728,ok,1422230400,1400
16,11.8619,11.8819,11.8619,11.8619,ok,1422316800,1500
17,11.782,11.782,11.782,11.782,ok,1422403200,200
18,12.0298,12.0298,12.0098,12.0298,ok,1422489600,3400
19,11.9978,12.0378,11.8978,12.0378,ok,1422576000,5000
20,11.9019,12.1119,11.7219,11.8019,ok,1422835200,11800
21,11.9099,11.9499,11.8699,11.9499,ok,1422921600,6400
22,11.9099,11.9599,11.9099,11.9599,ok,1423008000,500
23,11.79,12.02,11.76,12.02,ok,1423094400,8200
24,11.8219,11.8319,11.7119,11.8319,ok,1423180800,8900
25,11.6621,11.9621,11.5821,11.9621,ok,1423440000,11000
26,11.5422,11.7022,11.5122,11.7022,ok,1423526400,1300
27,11.5815,11.5815,11.5015,11.5015,ok,1423699200,2200
28,11.4772,11.6072,11.4772,11.6072,ok,1423785600,1900
29,11.5093,12.8093,11.4593,11.4893,ok,1424131200,19500
30,11.4852,11.5852,11.4552,11.4552,ok,1424217600,17100
31,11.5173,11.5573,11.5173,11.5573,ok,1424304000,4000
32,11.5895,11.5895,11.4495,11.4495,ok,1424390400,4800
33,11.6297,11.6297,11.5597,11.5897,ok,1424649600,4200
34,12.039,12.039,11.539,11.599,ok,1424736000,10000
35,12.039,12.059,11.899,11.899,ok,1424822400,5100
36,12.055,12.055,12.035,12.045,ok,1424908800,1200
37,12.1995,12.6795,11.9995,12.0195,ok,1424995200,8100
38,12.2236,12.2436,12.1036,12.2336,ok,1425254400,1600
39,12.039,12.289,12.039,12.139,ok,1425340800,2100
40,12.039,12.189,12.039,12.189,ok,1425427200,3800
41,12.1835,12.7235,12.0335,12.0835,ok,1425513600,2600
