,c,h,l,o,s,t,v
0,25.1435,25.3135,25.0935,25.1935,ok,1420156800,266200
1,24.7546,24.9746,24.7046,24.9746,ok,1420416000,217400
2,24.6117,24.7417,24.3817,24.7017,ok,1420502400,575600
3,24.6752,24.8952,24.4752,24.6352,ok,1420588800,234800
4,24.9609,24.9809,24.6709,24.6909,ok,1420675200,279900
5,24.6594,24.8594,24.6294,24.8094,ok,1420761600,244600
6,24.6911,24.7611,24.4211,24.6711,ok,1421020800,351800
7,25.0959,25.3559,24.9359,25.1759,ok,1421107200,383600
8,25.1911,25.2911,24.9911,25.2411,ok,1421193600,236700
9,25.5483,25.6783,25.4583,25.5483,ok,1421280000,302700
10,25.6118,25.6318,25.4218,25.5518,ok,1421366400,190300
11,25.8895,25.9695,25.7095,25.8895,ok,1421712000,373800
12,26.4134,26.4534,26.1234,26.1734,ok,1421798400,1902300
13,26.3102,26.3702,26.0602,26.2102,ok,1421884800,290200
14,26.2308,26.3108,26.1708,26.1708,ok,1421971200,183200
15,26.4054,26.4054,26.0754,26.1854,ok,1422230400,357700
16,26.1911,26.4411,26.1511,26.4411,ok,1422316800,305500
17,25.2229,26.4029,25.1829,26.4029,ok,1422403200,590900
18,25.2387,25.2887,24.9587,25.2187,ok,1422489600,486700
19,25.0086,25.2886,24.9386,25.1186,ok,1422576000,343900
20,25.2387,25.2787,24.9087,25.0587,ok,1422835200,250700
21,25.0959,25.0959,24.8459,24.9059,ok,1422921600,444900
22,24.9848,25.1848,24.9148,25.0248,ok,1423008000,311500
23,25.0562,25.1062,24.8762,24.9262,ok,1423094400,286000
24,25.0721,25.1621,24.9821,24.9821,ok,1423180800,258400
25,24.8657,25.0557,24.8657,25.0357,ok,1423440000,226700
26,25.4292,25.4492,25.0892,25.1792,ok,1423526400,290800
27,25.6197,25.6597,25.1697,25.2197,ok,1423612800,943100
28,25.6276,25.6276,25.3976,25.5876,ok,1423699200,217700
29,25.6911,25.8111,25.5611,25.6911,ok,1423785600,213000
30,25.5324,25.5924,25.4424,25.4424,ok,1424131200,153800
31,25.5879,25.6379,25.4379,25.4679,ok,1424217600,257400
