,c,h,l,o,s,t,v
0,29.0769,29.9269,28.7769,29.9169,ok,1420156800,232900
1,28.8734,29.4034,28.6934,28.9734,ok,1420416000,256800
2,27.532,28.732,27.442,28.232,ok,1420502400,348800
3,28.5681,28.6981,27.5281,27.7981,ok,1420588800,369700
4,29.5765,29.6065,28.6365,28.8065,ok,1420675200,374300
5,28.7809,29.8309,28.3109,29.6809,ok,1420761600,290200
6,29.0677,29.2277,28.4877,28.8577,ok,1421020800,206700
7,29.2527,30.0827,29.0827,29.1327,ok,1421107200,445500
8,28.7531,28.9931,28.2731,28.8931,ok,1421193600,216200
9,27.7632,29.0032,27.5332,28.8432,ok,1421280000,233400
10,27.8465,28.0865,27.0865,27.5765,ok,1421366400,377400
11,27.2544,28.0344,26.9544,27.8944,ok,1421712000,301200
12,27.2174,27.3774,26.6774,27.1574,ok,1421798400,193100
13,27.6152,27.8652,27.0352,27.4852,ok,1421884800,238400
14,27.939,28.019,27.429,27.639,ok,1421971200,160100
15,28.087,28.117,27.477,27.787,ok,1422230400,146200
16,28.4016,28.5316,27.8816,28.3116,ok,1422316800,172100
17,27.4764,28.8164,27.2064,28.5764,ok,1422403200,236100
18,27.8558,27.9058,27.1458,27.6458,ok,1422489600,235000
19,26.2645,27.7245,26.1445,27.6045,ok,1422576000,391400
20,26.4773,26.6073,25.0773,26.3473,ok,1422835200,377100
21,27.2267,27.3067,26.0867,26.6167,ok,1422921600,416600
22,26.9121,27.3121,26.6821,27.0521,ok,1423008000,286800
23,26.9861,27.2161,26.8361,27.0161,ok,1423094400,235000
24,26.8104,27.2304,26.6404,27.1004,ok,1423180800,217300
25,26.7918,27.2318,26.5818,26.8318,ok,1423440000,225100
26,27.0601,27.1601,26.7401,26.9701,ok,1423526400,124200
27,26.8381,27.2481,26.7981,27.0581,ok,1423612800,147100
28,26.9769,27.2469,26.6169,26.9869,ok,1423699200,133000
29,27.0879,27.2279,26.7479,27.0179,ok,1423785600,194200
30,27.2452,27.4052,26.9852,26.9952,ok,1424131200,190900
31,27.0509,27.2709,26.8309,27.1309,ok,1424217600,153300
32,27.2914,27.3114,26.7614,27.0014,ok,1424304000,213000
33,27.4024,27.5524,27.1524,27.3124,ok,1424390400,188000
34,27.495,27.615,27.255,27.495,ok,1424649600,160900
35,27.4487,27.6587,27.2387,27.4987,ok,1424736000,138400
36,27.5135,27.6535,27.2735,27.3735,ok,1424822400,165900
37,27.5135,27.6635,27.2735,27.4035,ok,1424908800,123000
38,27.754,27.874,27.314,27.374,ok,1424995200,374300
39,28.3646,28.4046,27.6046,27.7646,ok,1425254400,398400
40,29.1509,29.2309,27.9809,28.1509,ok,1425340800,455800
41,29.0954,29.3254,28.5654,29.1054,ok,1425427200,329800
42,28.7994,29.3194,28.5994,29.1894,ok,1425513600,280000
43,28.5774,29.1174,28.4074,28.6874,ok,1425600000,285900
44,29.5857,29.5957,28.4457,28.4757,ok,1425859200,477400
45,29.6598,29.7898,29.1998,29.3098,ok,1425945600,770800
46,27.7632,28.8432,27.0032,28.7132,ok,1426032000,1186300
47,27.8835,28.3735,27.6335,28.3735,ok,1426118400,632000
48,27.8095,28.1895,27.5395,27.9795,ok,1426204800,421500
49,28.013,28.133,27.903,28.023,ok,1426464000,467600
50,28.7161,28.9861,27.7861,28.0261,ok,1426550400,454500
51,28.9937,29.1237,27.9137,28.6637,ok,1426636800,354300
52,29.5593,29.9693,28.8593,28.9293,ok,1426723200,448900
53,29.7447,30.1247,29.5947,29.8047,ok,1426809600,535000
54,29.9858,30.4558,29.3658,29.6558,ok,1427068800,433500
55,30.097,30.367,29.697,29.907,ok,1427155200,246400
56,29.6613,30.3213,29.6413,30.1013,ok,1427241600,434000
57,29.9116,29.9716,29.2916,29.6416,ok,1427328000,330100
58,30.1805,30.5105,29.6205,29.9205,ok,1427414400,382400
59,30.5977,30.9277,30.2477,30.3777,ok,1427673600,357600
60,30.4123,30.7123,30.2723,30.5823,ok,1427760000,339400
61,29.6427,30.3627,29.5727,30.3627,ok,1427846400,346900
62,30.1341,30.5141,29.5941,29.7241,ok,1427932800,292800
63,29.6149,30.5349,29.5649,29.9049,ok,1428278400,350900
64,29.3831,29.8431,29.3231,29.4931,ok,1428364800,369800
65,29.6242,29.8442,29.2042,29.3442,ok,1428451200,277300
66,28.8731,29.8631,28.8031,29.6831,ok,1428537600,272100
67,28.7248,29.1248,28.7148,28.9548,ok,1428624000,281300
68,29.1142,29.2442,28.5542,28.7642,ok,1428883200,324600
69,28.2797,29.2397,28.1797,29.2397,ok,1428969600,283700
70,28.3632,28.5532,28.0932,28.4432,ok,1429056000,258000
71,28.4095,28.6495,28.2395,28.3895,ok,1429142400,172100
72,27.6307,28.2807,27.4807,28.2607,ok,1429228800,270900
73,27.8717,27.9718,27.3818,27.8717,ok,1429488000,342100
74,27.9088,28.0088,27.4988,27.8988,ok,1429574400,191900
75,27.9459,28.0059,27.4159,27.8859,ok,1429660800,152500
76,28.2983,28.4583,27.8183,27.9283,ok,1429747200,158100
77,28.5486,28.6186,28.0086,28.3986,ok,1429833600,153400
78,28.6599,29.5099,28.3399,28.6699,ok,1430092800,493900
79,28.5208,28.9908,28.2808,28.5408,ok,1430179200,419200
80,27.575,28.505,27.385,28.505,ok,1430265600,410000
81,27.538,27.748,27.118,27.448,ok,1430352000,642800
82,27.8532,28.0432,27.4932,27.7032,ok,1430438400,280400
83,27.6214,28.0814,27.4414,27.9214,ok,1430697600,194100
84,27.3432,27.6532,27.1032,27.5632,ok,1430784000,293500
