,c,h,l,o,s,t,v
0,10.01,10.15,9.76,10.08,ok,1420156800,164700
1,9.82,9.99,9.67,9.88,ok,1420416000,135600
2,9.73,9.9,9.42,9.82,ok,1420502400,256500
3,9.66,9.86,9.52,9.86,ok,1420588800,170500
4,9.73,9.95,9.69,9.74,ok,1420675200,105000
5,9.73,9.9,9.58,9.7,ok,1420761600,149100
6,9.7,9.8,9.59,9.74,ok,1421020800,174800
7,9.59,9.99,9.42,9.76,ok,1421107200,143100
8,9.61,9.69,9.44,9.5,ok,1421193600,133900
9,9.17,9.66,9.05,9.66,ok,1421280000,226300
10,9.36,9.42,9.05,9.1,ok,1421366400,229600
11,9.58,9.61,9.22,9.39,ok,1421712000,302400
12,9.69,9.95,9.51,9.57,ok,1421798400,220500
13,10.1,10.1,9.58,9.75,ok,1421884800,241700
14,9.93,10.2,9.9,10.07,ok,1421971200,213300
15,10.02,10.11,9.81,9.9,ok,1422230400,114700
16,9.93,10.1,9.82,9.87,ok,1422316800,104300
17,9.98,10.13,9.93,10.06,ok,1422403200,218400
18,9.79,9.99,9.5,9.99,ok,1422489600,248900
19,9.6,9.93,9.6,9.69,ok,1422576000,230800
20,10.15,10.26,9.6,9.62,ok,1422835200,405700
21,10.55,10.63,10.12,10.23,ok,1422921600,538100
22,8.67,9.5,8.45,9.01,ok,1423008000,3202000
23,8.78,8.84,8.55,8.68,ok,1423094400,746000
24,8.76,8.91,8.64,8.83,ok,1423180800,729700
25,8.57,8.86,8.55,8.78,ok,1423440000,304100
26,8.61,8.66,8.45,8.63,ok,1423526400,252600
27,8.75,8.83,8.55,8.61,ok,1423612800,319000
28,8.68,8.86,8.66,8.86,ok,1423699200,284400
29,8.65,8.87,8.61,8.71,ok,1423785600,466700
30,8.48,8.72,8.45,8.64,ok,1424131200,756700
31,8.35,8.48,8.3,8.48,ok,1424217600,454300
32,8.35,8.38,8.25,8.38,ok,1424304000,461400
33,8.21,8.39,8.19,8.37,ok,1424390400,423100
34,8.11,8.25,8.09,8.25,ok,1424649600,572600
35,8.32,8.37,8.09,8.09,ok,1424736000,318300
36,8.4,8.45,8.3,8.34,ok,1424822400,329600
