,c,h,l,o,s,t,v
0,56.55,57.0,51.45,52.8,ok,1420156800,14100
1,57.45,59.55,56.4,57.15,ok,1420416000,24300
2,55.35,58.5,53.85,58.5,ok,1420502400,17700
3,54.6,55.35,52.5,55.2,ok,1420588800,5200
4,56.55,58.5,53.4,55.95,ok,1420675200,15900
5,57.75,58.2,54.9,57.0,ok,1420761600,6700
6,57.75,58.5,57.0,58.5,ok,1421020800,6300
7,54.15,58.05,53.4,58.05,ok,1421107200,12300
8,55.5,56.25,52.8,53.7,ok,1421193600,9700
9,53.55,55.8,53.25,54.6,ok,1421280000,4700
10,55.2,55.5,53.25,53.4,ok,1421366400,2600
11,54.3,55.65,51.3,55.05,ok,1421712000,7600
12,50.7,54.9,49.95,53.7,ok,1421798400,14200
13,49.35,51.75,48.6,51.75,ok,1421884800,6800
14,45.0,48.75,43.8,48.75,ok,1421971200,20900
15,48.9,50.25,44.4,47.25,ok,1422230400,10600
16,50.7,52.35,50.1,51.9,ok,1422316800,38600
17,50.4,52.5,50.25,51.9,ok,1422403200,6500
18,50.25,52.65,49.2,51.3,ok,1422489600,6100
19,48.3,49.65,47.7,49.65,ok,1422576000,5200
20,47.7,49.35,46.8,49.35,ok,1422835200,3200
21,50.7,50.7,48.75,48.75,ok,1422921600,4200
22,54.45,57.45,51.0,52.8,ok,1423008000,25900
23,55.95,57.6,54.9,57.0,ok,1423094400,10900
24,56.7,61.5,55.05,57.6,ok,1423180800,19300
25,57.75,58.2,55.5,56.85,ok,1423440000,9400
26,56.85,57.9,56.1,57.75,ok,1423526400,6600
27,53.85,57.3,53.25,57.3,ok,1423612800,12300
28,57.0,58.05,53.85,53.85,ok,1423699200,5200
29,57.75,58.8,55.65,57.75,ok,1423785600,6800
30,58.5,60.0,57.0,60.0,ok,1424131200,12900
31,61.05,62.7,58.05,58.95,ok,1424217600,10700
32,63.0,65.1,60.3,60.45,ok,1424304000,15400
33,62.25,64.8,62.25,63.75,ok,1424390400,8700
34,62.25,63.3,58.35,62.7,ok,1424649600,8400
35,60.9,62.25,60.15,62.25,ok,1424736000,4300
36,63.3,65.85,61.5,62.7,ok,1424822400,22900
37,70.05,72.0,63.75,64.65,ok,1424908800,28400
38,67.5,70.5,67.5,69.75,ok,1424995200,13900
39,69.75,72.3,67.35,69.0,ok,1425254400,23100
40,67.5,70.2,67.5,69.75,ok,1425340800,14100
41,66.0,67.65,64.05,66.9,ok,1425427200,12900
42,67.05,67.8,65.85,65.85,ok,1425513600,6100
43,67.35,69.45,67.05,67.65,ok,1425600000,7800
44,67.2,68.1,66.0,67.35,ok,1425859200,5900
45,63.9,66.75,62.1,66.75,ok,1425945600,8600
46,64.5,64.5,62.7,63.15,ok,1426032000,3700
47,66.9,67.35,64.05,64.05,ok,1426118400,4900
48,64.05,68.4,63.75,67.2,ok,1426204800,7800
49,63.75,65.7,60.3,64.2,ok,1426464000,10700
50,65.1,67.2,63.75,65.25,ok,1426550400,8100
51,69.9,76.5,66.6,67.5,ok,1426636800,73400
52,75.9,78.0,70.2,70.8,ok,1426723200,49800
53,79.5,82.35,75.15,78.15,ok,1426809600,51500
54,80.25,87.45,79.5,85.5,ok,1427068800,48700
55,80.55,83.55,78.45,79.8,ok,1427155200,24400
56,76.8,79.5,75.0,79.35,ok,1427241600,24000
57,81.0,84.0,75.9,77.25,ok,1427328000,18700
58,83.1,83.55,77.25,77.25,ok,1427414400,13900
59,33.0,44.1,32.4,43.35,ok,1427673600,210800
60,33.45,35.25,31.35,35.25,ok,1427760000,41000
61,34.05,34.05,30.15,33.45,ok,1427846400,27100
62,34.8,35.55,33.0,34.05,ok,1427932800,24900
63,34.8,36.45,33.9,35.1,ok,1428278400,16200
64,34.05,35.25,33.45,34.8,ok,1428364800,9000
65,32.7,34.35,32.4,34.05,ok,1428451200,5700
66,31.65,33.3,31.65,32.25,ok,1428537600,8800
