,c,h,l,o,s,t,v
0,75.7136,76.2036,74.4936,75.6036,ok,1420156800,3767900
1,71.717,75.107,71.287,75.037,ok,1420416000,11301400
2,71.2555,72.4655,69.9555,72.0655,ok,1420502400,8660600
3,72.3597,72.6897,70.9697,71.9197,ok,1420588800,6511100
4,73.1014,73.6714,72.2314,73.5714,ok,1420675200,7617800
5,72.2279,73.4679,71.5979,73.3379,ok,1420761600,4857100
6,71.6016,72.4816,70.7816,72.4416,ok,1421020800,4351600
7,71.1731,72.7031,70.0031,72.4831,ok,1421107200,5078100
8,70.9259,71.0759,69.1259,69.7459,ok,1421193600,10366700
9,70.0535,71.9035,70.0335,71.7635,ok,1421280000,6683900
10,69.6714,70.1314,68.8614,70.0514,ok,1421366400,10424800
11,69.7628,70.2928,68.9828,70.2128,ok,1421712000,5937300
12,70.9259,70.9559,69.1459,69.1459,ok,1421798400,6613100
13,72.1306,72.6706,70.7406,71.3606,ok,1421884800,5567800
14,71.1253,72.5153,70.7153,72.3053,ok,1421971200,5027500
15,71.4742,71.7042,70.3442,70.8042,ok,1422230400,8140500
16,66.3399,67.8399,65.5899,66.2299,ok,1422316800,27489500
17,66.4728,67.6628,66.4228,66.8628,ok,1422403200,14269300
18,66.4645,66.6445,65.2745,66.3745,ok,1422489600,9157000
19,66.4395,67.2895,65.8895,65.9795,ok,1422576000,8150700
20,67.1624,67.2024,65.8124,66.4024,ok,1422835200,7149000
21,69.7212,69.9112,66.9512,67.0212,ok,1422921600,10895300
22,68.0845,69.4546,67.7946,68.9146,ok,1423008000,8806500
23,69.4304,69.4904,67.7304,68.2604,ok,1423094400,6640200
24,69.1314,70.0614,68.7214,69.5214,ok,1423180800,5581500
25,70.3443,70.5443,68.6243,68.7243,ok,1423440000,7693800
26,69.7046,70.8046,69.2646,70.8046,ok,1423526400,6569100
27,69.2975,69.5575,68.1275,69.4475,ok,1423612800,5722600
28,69.3972,70.1172,69.1772,69.9472,ok,1423699200,4623000
29,70.7265,71.0865,69.6265,69.7065,ok,1423785600,5645500
30,70.9342,71.1342,69.7542,70.4142,ok,1424131200,3924400
31,70.4523,71.4623,70.2323,70.5723,ok,1424217600,3568600
32,69.2061,69.9061,68.1161,69.7161,ok,1424304000,5733500
33,70.1533,70.3333,68.1133,69.0133,ok,1424390400,6029400
34,69.364,69.854,69.014,69.774,ok,1424649600,5180000
35,70.2031,70.3931,69.3031,69.4731,ok,1424736000,3678700
36,70.7431,70.9531,69.7631,70.1131,ok,1424822400,3449500
37,69.6215,70.9215,69.3815,70.9215,ok,1424908800,4457000
38,68.8738,70.1538,68.8638,70.1538,ok,1424995200,4370500
39,68.9569,69.0269,68.1969,68.8569,ok,1425254400,4155000
40,68.824,69.774,68.634,68.694,ok,1425340800,4331700
41,67.9018,68.7818,67.0018,68.7418,ok,1425427200,6863600
42,67.719,67.939,66.269,67.939,ok,1425513600,7123500
43,66.5143,67.6643,66.0043,66.8243,ok,1425600000,7913800
44,67.1374,67.6674,66.4274,66.4974,ok,1425859200,4740500
45,66.3897,67.2397,66.2197,66.4997,ok,1425945600,4850500
46,66.2152,66.6652,65.7752,66.6652,ok,1426032000,4612200
47,66.6223,66.9123,66.2323,66.7023,ok,1426118400,3612500
48,65.8247,66.5047,64.7847,66.4947,ok,1426204800,7272700
49,66.4395,66.4695,65.5295,66.0395,ok,1426464000,3598500
50,65.1767,66.0767,64.9767,66.0767,ok,1426550400,6979900
51,67.5694,67.6794,64.4894,64.4894,ok,1426636800,12154300
52,66.5392,66.9492,66.0092,66.9492,ok,1426723200,5236200
53,67.4531,67.5131,66.4531,66.8831,ok,1426809600,8216600
54,67.37,68.2,67.3,67.47,ok,1427068800,4704000
55,66.8633,67.5833,66.5833,67.5333,ok,1427155200,3978700
56,66.3482,67.5282,66.3182,67.5182,ok,1427241600,4803000
57,66.3648,67.2848,65.9948,66.1248,ok,1427328000,4238500
58,66.1903,66.4003,65.2803,65.9803,ok,1427414400,6336900
59,67.6027,67.7527,66.2327,66.2427,ok,1427673600,4621200
60,66.4894,67.1094,66.2694,66.9694,ok,1427760000,4848600
61,66.1654,67.0454,65.9154,66.5554,ok,1427846400,4446200
62,66.6639,66.9239,65.8239,66.0239,ok,1427932800,3555300
63,67.7024,68.2124,66.1924,66.5624,ok,1428278400,4495400
64,66.9131,67.8031,66.8731,67.5931,ok,1428364800,3526300
65,66.83,67.63,66.31,67.23,ok,1428451200,4196200
66,67.0294,67.5594,66.6294,66.8494,ok,1428537600,4291900
67,68.6246,68.8246,66.7646,67.1246,ok,1428624000,6831900
68,68.2424,68.7124,67.7024,68.7024,ok,1428883200,5293900
69,68.9569,69.1969,67.4969,68.5069,ok,1428969600,5898700
70,70.7514,71.3214,68.5914,68.8814,ok,1429056000,9643800
71,70.6509,71.2109,70.3109,70.7109,ok,1429142400,5692300
72,69.7629,70.0729,69.143,69.9829,ok,1429228800,5314000
73,70.8687,71.0187,70.1487,70.2287,ok,1429488000,3914600
74,70.2991,71.3491,69.9891,71.0391,ok,1429574400,5620900
75,71.0949,71.1649,69.3149,70.3549,ok,1429660800,6520700
76,71.0279,73.7379,70.0879,73.0879,ok,1429747200,18917600
77,70.8687,71.4387,70.2887,70.9687,ok,1429833600,5848100
78,71.4802,72.0902,70.5502,70.9202,ok,1430092800,5912000
79,72.209,72.229,70.509,71.429,ok,1430179200,5736500
80,73.298,73.718,71.258,71.488,ok,1430265600,7021800
81,72.7787,73.1987,72.1287,72.7487,ok,1430352000,5460100
82,73.1891,74.0991,72.5791,73.5091,ok,1430438400,4850100
83,73.1305,73.7905,73.0005,73.5605,ok,1430697600,2754500
84,72.8792,74.0992,72.5792,73.4492,ok,1430784000,4623700
85,72.8708,73.8208,72.3008,73.6308,ok,1430870400,4464700
86,72.4017,72.8517,71.8617,72.6217,ok,1430956800,3892800
87,73.1388,73.6688,72.5288,73.6088,ok,1431043200,3577100
