,c,h,l,o,s,t,v
0,1.01,1.03,1.01,1.01,ok,1510876800,300
1,1.01,1.01,1.01,1.01,ok,1511913600,6000
2,1.0,1.25,1.0,1.25,ok,1513814400,30000
3,1.01,1.03,1.01,1.01,ok,1519344000,300
4,1.01,1.03,1.01,1.01,ok,1524787200,300
5,1.01,1.03,1.01,1.01,ok,1525392000,300
6,1.01,1.03,1.01,1.01,ok,1533859200,300
7,1.01,1.03,1.01,1.01,ok,1535068800,300
8,1.01,1.03,1.01,1.01,ok,1536019200,300
9,1.0,1.0,1.0,1.0,ok,1537488000,100
10,1.0,1.0,1.0,1.0,ok,1550620800,100
11,1.01,1.03,1.01,1.01,ok,1554422400,300
12,1.3,1.3,1.3,1.3,ok,1564444800,1500
13,1.4,1.4,1.4,1.4,ok,1564531200,100
14,1.4,1.4,1.4,1.4,ok,1564666200,0
15,1.4,1.4,1.4,1.4,ok,1564752600,0
16,1.4,1.4,1.4,1.4,ok,1565011800,0
17,1.4,1.4,1.4,1.4,ok,1565098200,0
18,1.4,1.4,1.4,1.4,ok,1565184600,0
19,1.4,1.4,1.4,1.4,ok,1565271000,0
20,1.4,1.4,1.4,1.4,ok,1565357400,0
21,1.4,1.4,1.4,1.4,ok,1565616600,0
22,1.4,1.4,1.4,1.4,ok,1565703000,0
23,1.4,1.4,1.4,1.4,ok,1565789400,0
24,1.4,1.4,1.4,1.4,ok,1565875800,0
25,1.4,1.4,1.4,1.4,ok,1565962200,0
26,1.4,1.4,1.4,1.4,ok,1566221400,0
27,1.4,1.4,1.4,1.4,ok,1566307800,0
28,1.4,1.4,1.4,1.4,ok,1566394200,0
29,1.4,1.4,1.4,1.4,ok,1566480600,0
30,1.4,1.4,1.4,1.4,ok,1566567000,0
31,1.4,1.4,1.4,1.4,ok,1566826200,0
32,1.4,1.4,1.4,1.4,ok,1566912600,0
33,1.4,1.4,1.4,1.4,ok,1566999000,0
34,1.4,1.4,1.4,1.4,ok,1567085400,0
35,1.4,1.4,1.4,1.4,ok,1567171800,0
36,1.4,1.4,1.4,1.4,ok,1567517400,0
37,1.4,1.4,1.4,1.4,ok,1567603800,0
38,1.4,1.4,1.4,1.4,ok,1567690200,0
39,1.4,1.4,1.4,1.4,ok,1567776600,0
40,1.4,1.4,1.4,1.4,ok,1568035800,0
41,1.4,1.4,1.4,1.4,ok,1568122200,0
42,1.4,1.4,1.4,1.4,ok,1568208600,0
43,1.4,1.4,1.4,1.4,ok,1568295000,0
44,1.4,1.4,1.4,1.4,ok,1568381400,0
45,1.4,1.4,1.4,1.4,ok,1568640600,0
46,1.4,1.4,1.4,1.4,ok,1568727000,0
47,1.4,1.4,1.4,1.4,ok,1568813400,0
48,1.4,1.4,1.4,1.4,ok,1568899800,0
49,1.4,1.4,1.4,1.4,ok,1568986200,0
50,1.4,1.4,1.4,1.4,ok,1569245400,0
51,1.4,1.4,1.4,1.4,ok,1569331800,0
52,1.4,1.4,1.4,1.4,ok,1569418200,0
53,1.4,1.4,1.4,1.4,ok,1569504600,0
54,1.4,1.4,1.4,1.4,ok,1569591000,0
55,1.4,1.4,1.4,1.4,ok,1569850200,0
56,1.4,1.4,1.4,1.4,ok,1569936600,0
57,1.4,1.4,1.4,1.4,ok,1570023000,0
58,1.4,1.4,1.4,1.4,ok,1570109400,0
59,1.4,1.4,1.4,1.4,ok,1570195800,0
60,1.4,1.4,1.4,1.4,ok,1570455000,0
61,1.4,1.4,1.4,1.4,ok,1570541400,0
62,1.4,1.4,1.4,1.4,ok,1570627800,0
63,1.4,1.4,1.4,1.4,ok,1570714200,0
64,1.4,1.4,1.4,1.4,ok,1570800600,0
65,1.4,1.4,1.4,1.4,ok,1571059800,0
66,1.4,1.4,1.4,1.4,ok,1571146200,0
67,1.4,1.4,1.4,1.4,ok,1571232600,0
