,c,h,l,o,s,t,v
0,64.5926,65.0126,63.8026,63.9426,ok,1420156800,2133900
1,64.1783,64.4983,63.9283,64.2683,ok,1420416000,2962900
2,64.0565,65.1265,63.7765,64.4665,ok,1420502400,4014400
3,65.3969,65.5669,63.9669,64.2469,ok,1420588800,4292400
4,66.4286,66.9786,65.3586,65.5786,ok,1420675200,5096600
5,66.3068,66.8068,66.1368,66.6368,ok,1420761600,1933800
6,66.2255,66.8155,66.0055,66.6255,ok,1421020800,2512500
7,66.0712,66.9612,64.7312,66.8412,ok,1421107200,4029500
8,66.3312,66.4812,65.1612,65.6212,ok,1421193600,4040100
9,66.3149,66.8949,66.2349,66.5449,ok,1421280000,2609800
10,67.1273,67.2473,66.1773,66.2173,ok,1421366400,4539200
11,66.6236,67.6836,66.3136,67.4936,ok,1421712000,3330800
12,66.0956,66.5856,65.8956,66.3856,ok,1421798400,3801700
13,69.2557,69.4657,67.3557,67.7657,ok,1421884800,6469200
14,70.5393,71.5193,69.1693,69.1693,ok,1421971200,5424000
15,71.5304,71.7004,69.7604,70.4204,ok,1422230400,4765200
16,71.3273,71.8773,70.8273,71.1173,ok,1422316800,2777100
17,70.8074,72.4374,70.7774,72.0974,ok,1422403200,3545200
18,70.4824,70.9024,69.3724,70.8724,ok,1422489600,3046600
19,70.2793,71.3393,69.9393,70.3493,ok,1422576000,3608500
20,70.1575,70.5075,68.8175,70.3875,ok,1422835200,4003000
21,70.8724,71.4724,69.2824,69.9224,ok,1422921600,3468600
22,70.0844,71.3144,69.7344,70.5944,ok,1423008000,3071900
23,70.4581,70.9081,69.9381,70.2581,ok,1423094400,4424200
24,70.4012,72.6012,69.9512,70.9612,ok,1423180800,6463100
25,70.0194,70.7794,69.5594,70.0694,ok,1423440000,3888600
26,70.8155,70.9955,69.9655,70.2255,ok,1423526400,5152400
27,70.8236,71.0936,69.9036,70.9636,ok,1423612800,2239300
28,71.1567,71.3067,70.3867,70.8667,ok,1423699200,1873100
29,71.4898,71.4998,70.5198,71.0798,ok,1423785600,2788600
30,71.1648,73.0048,71.1348,72.0148,ok,1424131200,4077300
31,71.6523,71.6923,70.8523,71.3323,ok,1424217600,4116300
32,71.3192,71.8292,71.0992,71.5192,ok,1424304000,2800100
33,72.0666,72.3666,71.0166,71.0766,ok,1424390400,3217600
34,71.4086,72.5486,70.7786,72.4286,ok,1424649600,3377300
35,70.523,71.6231,69.5031,71.423,ok,1424736000,3752200
36,70.3362,71.7062,70.1962,70.5662,ok,1424822400,3061300
37,69.9381,70.3881,69.0681,70.3881,ok,1424908800,2773100
38,70.1169,70.2669,69.5169,70.1269,ok,1424995200,2590700
39,70.1819,71.3019,69.9419,70.3919,ok,1425254400,3098200
40,70.1087,70.3687,69.7987,69.9587,ok,1425340800,2192700
41,69.7188,70.1588,69.4788,70.0988,ok,1425427200,1896900
42,70.0762,70.2762,69.7262,70.0462,ok,1425513600,1181700
43,69.0851,69.9451,68.9551,69.7451,ok,1425600000,2772400
44,69.4588,69.6588,68.8188,69.2288,ok,1425859200,1412600
45,68.7033,69.5533,68.6933,69.3433,ok,1425945600,1689300
46,68.9876,69.3376,68.2776,68.5377,ok,1426032000,1688900
47,69.8244,69.8744,68.8444,69.2544,ok,1426118400,1225800
48,68.9795,69.7295,68.4495,69.7295,ok,1426204800,1410300
49,69.7025,69.8625,68.8225,69.0725,ok,1426464000,1448600
50,69.4751,69.7251,69.0851,69.3651,ok,1426550400,1462200
51,70.9023,71.4523,68.9323,69.2623,ok,1426636800,3416200
52,70.4184,70.9584,70.0484,70.4184,ok,1426723200,2232800
53,71.1976,71.7076,70.4076,70.6876,ok,1426809600,2907500
54,70.7465,71.3265,70.7465,71.3265,ok,1427068800,1720100
55,70.4102,71.3402,70.3802,70.8302,ok,1427155200,1865400
56,69.4259,70.8959,69.3859,70.6159,ok,1427241600,1451100
57,69.4013,69.8813,68.7013,69.0413,ok,1427328000,2320300
58,69.5653,69.8253,68.6153,69.3653,ok,1427414400,2903600
59,69.2208,69.9708,69.1008,69.6808,ok,1427673600,1548100
60,67.7033,69.6233,67.7033,69.1733,ok,1427760000,3336100
61,68.6712,68.8712,67.8012,67.8312,ok,1427846400,2067900
62,69.0239,69.2439,68.424,68.6339,ok,1427932800,1164700
63,69.6719,69.7919,68.6119,68.7219,ok,1428278400,1294600
64,70.2707,70.7807,70.0207,70.4407,ok,1428364800,1951200
65,70.0246,70.5146,69.4446,70.2546,ok,1428451200,1952700
66,69.836,70.126,69.276,69.956,ok,1428537600,2270400
67,69.4669,70.4769,69.2269,70.0269,ok,1428624000,1022300
68,69.7211,71.8611,69.1111,69.3811,ok,1428883200,2511200
69,70.041,70.231,69.261,69.571,ok,1428969600,2251900
70,70.4184,70.6684,70.1584,70.3884,ok,1429056000,1737100
71,70.5414,70.6714,69.3314,69.9714,ok,1429142400,1799900
72,70.4102,70.6602,69.2302,70.1702,ok,1429228800,3756600
73,70.8941,70.9941,70.2441,70.6441,ok,1429488000,1883300
74,70.3691,71.1292,70.1591,71.1191,ok,1429574400,2419200
75,70.5578,70.6278,69.8078,70.6078,ok,1429660800,2795200
76,71.0663,71.3663,69.6463,70.0263,ok,1429747200,3877600
77,70.525,72.005,70.475,71.825,ok,1429833600,1878400
78,69.7211,70.8511,69.4811,70.7211,ok,1430092800,1843400
79,70.2871,70.4371,69.3571,69.4071,ok,1430179200,1986100
80,69.3849,70.2549,69.1449,69.7949,ok,1430265600,1526000
81,68.5154,69.1554,68.2154,69.1554,ok,1430352000,2754300
82,68.2201,69.2001,68.0701,68.6401,ok,1430438400,1789400
83,68.1791,68.5791,68.0091,68.4991,ok,1430697600,1731600
84,66.9487,68.7687,66.8287,68.4387,ok,1430784000,2439900
85,67.3096,67.5896,66.8696,67.2496,ok,1430870400,2192900
86,67.7607,68.1807,67.1307,67.4107,ok,1430956800,1568700
