,c,h,l,o,s,t,v
0,7.35,7.48,7.32,7.4,ok,1420156800,406800
1,7.53,7.58,7.32,7.33,ok,1420416000,290200
2,7.64,7.68,7.5,7.55,ok,1420502400,382700
3,7.76,7.95,7.66,7.77,ok,1420588800,2037600
4,7.69,7.96,7.63,7.8,ok,1420675200,859900
5,7.64,7.73,7.61,7.68,ok,1420761600,371300
6,7.67,7.74,7.64,7.64,ok,1421020800,496200
7,7.67,7.8,7.62,7.73,ok,1421107200,384800
8,7.72,7.79,7.6,7.6,ok,1421193600,590500
9,7.73,7.81,7.66,7.76,ok,1421280000,532400
10,7.84,7.92,7.69,7.69,ok,1421366400,539000
11,7.77,7.94,7.75,7.88,ok,1421712000,331300
12,7.78,7.84,7.7,7.74,ok,1421798400,369100
13,7.96,8.0,7.83,7.84,ok,1421884800,587100
14,7.96,8.03,7.89,7.96,ok,1421971200,428100
15,8.03,8.03,7.89,7.95,ok,1422230400,296900
16,8.14,8.16,7.96,7.96,ok,1422316800,631200
17,8.19,8.36,8.15,8.19,ok,1422403200,685100
18,8.24,8.24,8.05,8.2,ok,1422489600,544300
19,7.96,8.27,7.94,8.21,ok,1422576000,904100
20,7.93,7.99,7.75,7.99,ok,1422835200,496400
21,7.97,8.02,7.88,7.94,ok,1422921600,346200
22,7.99,8.0,7.91,7.96,ok,1423008000,307900
23,8.08,8.12,7.95,7.98,ok,1423094400,332600
24,7.74,8.26,7.72,8.01,ok,1423180800,614800
25,7.75,7.86,7.73,7.74,ok,1423440000,449800
26,7.6,7.78,7.59,7.76,ok,1423526400,428400
27,7.57,7.68,7.49,7.59,ok,1423612800,248400
28,7.61,7.65,7.55,7.64,ok,1423699200,274500
29,7.61,7.63,7.51,7.59,ok,1423785600,326800
30,7.51,7.7,7.48,7.59,ok,1424131200,299800
31,7.62,7.65,7.44,7.52,ok,1424217600,345100
32,7.47,7.62,7.4,7.59,ok,1424304000,483800
33,7.52,7.54,7.41,7.44,ok,1424390400,386000
34,7.58,7.59,7.44,7.48,ok,1424649600,423300
35,7.5,7.57,7.4,7.56,ok,1424736000,388300
36,7.51,7.58,7.47,7.48,ok,1424822400,245200
37,7.45,7.54,7.37,7.5,ok,1424908800,250900
38,7.48,7.51,7.3,7.42,ok,1424995200,288500
39,7.54,7.65,7.44,7.46,ok,1425254400,273800
40,7.57,7.59,7.47,7.56,ok,1425340800,235800
41,7.44,7.58,7.44,7.54,ok,1425427200,213500
42,7.52,7.59,7.46,7.47,ok,1425513600,218300
43,7.23,7.43,7.21,7.43,ok,1425600000,444600
44,7.2,7.33,7.17,7.26,ok,1425859200,487800
45,7.11,7.2,7.11,7.12,ok,1425945600,440200
