,c,h,l,o,s,t,v
0,8.99,9.0,8.7,8.77,ok,1420156800,20000
1,9.39,9.41,8.95,9.01,ok,1420416000,116600
2,9.0,9.39,8.97,9.39,ok,1420502400,63600
3,9.19,9.25,9.02,9.11,ok,1420588800,44500
4,9.19,9.37,9.13,9.21,ok,1420675200,54800
5,9.37,9.45,9.19,9.21,ok,1420761600,25000
6,9.43,9.58,9.23,9.23,ok,1421020800,34800
7,9.35,9.62,9.19,9.57,ok,1421107200,45400
8,9.25,9.34,9.15,9.32,ok,1421193600,47600
9,9.03,9.28,8.87,9.26,ok,1421280000,54300
10,9.24,9.24,9.04,9.13,ok,1421366400,37700
11,9.23,9.3,9.2,9.29,ok,1421712000,52900
12,9.03,9.24,9.0,9.18,ok,1421798400,11400
13,9.07,9.2,8.88,9.04,ok,1421884800,36200
14,9.19,9.21,8.98,9.03,ok,1421971200,26000
15,9.19,9.2,9.06,9.13,ok,1422230400,16300
16,8.89,9.09,8.82,9.01,ok,1422316800,13800
17,8.79,8.94,8.76,8.89,ok,1422403200,20800
18,8.76,8.86,8.68,8.83,ok,1422489600,22800
19,8.45,8.77,8.45,8.64,ok,1422576000,40400
20,8.75,8.75,8.41,8.43,ok,1422835200,53800
21,8.83,9.02,8.67,9.02,ok,1422921600,45400
22,9.06,9.15,8.73,8.78,ok,1423008000,72500
23,9.17,9.22,8.97,9.08,ok,1423094400,46800
24,9.12,9.24,9.03,9.13,ok,1423180800,19000
25,9.09,9.18,9.06,9.12,ok,1423440000,32400
26,9.13,9.21,9.08,9.21,ok,1423526400,29000
27,9.1,9.22,9.06,9.17,ok,1423612800,38700
28,9.08,9.22,9.08,9.15,ok,1423699200,13000
29,9.0,9.08,8.99,9.01,ok,1423785600,4400
30,8.86,9.09,8.84,9.0,ok,1424131200,32400
31,9.06,9.13,8.8,8.8,ok,1424217600,19100
32,9.06,9.13,8.97,9.01,ok,1424304000,26900
33,9.08,9.25,8.99,9.02,ok,1424390400,27100
34,9.03,9.07,8.88,8.97,ok,1424649600,27100
35,8.95,9.1,8.92,8.98,ok,1424736000,7300
36,9.14,9.16,8.9,8.9,ok,1424822400,40700
37,9.12,9.25,9.08,9.17,ok,1424908800,14600
