,c,h,l,o,s,t,v
0,16.8218,17.3718,15.2218,15.6218,ok,1517529600,6230600
1,16.6317,17.3817,16.3817,16.5317,ok,1517788800,786500
2,16.5461,16.9061,15.7361,16.3361,ok,1517875200,835200
3,16.261,18.351,16.221,16.781,ok,1517961600,530800
4,15.5863,16.4563,15.3763,16.2963,ok,1518048000,387000
5,16.4891,16.6991,14.7451,15.9591,ok,1518134400,511500
6,15.8809,16.5409,15.6809,16.5309,ok,1518393600,301300
7,16.1755,16.3555,15.8155,15.8955,ok,1518480000,243700
8,17.0118,17.1118,15.8118,16.1218,ok,1518566400,277100
9,17.487,17.547,16.827,17.167,ok,1518652800,563400
10,17.3445,17.5145,17.2245,17.4945,ok,1518739200,442500
11,17.2494,17.5494,17.0994,17.2094,ok,1519084800,327200
12,17.1354,17.5454,17.0454,17.1954,ok,1519171200,269000
13,16.9073,17.2423,16.8173,17.1773,ok,1519257600,264800
14,16.7267,17.0967,16.4267,16.9567,ok,1519344000,151500
15,16.1375,16.7575,16.0575,16.7575,ok,1519603200,221600
16,15.9474,16.6174,15.9174,16.5174,ok,1519689600,627500
17,15.8334,16.3234,15.6234,16.1734,ok,1519776000,356600
18,15.7953,16.3253,15.7553,15.9253,ok,1519862400,282600
19,16.0329,16.1529,15.5519,15.7629,ok,1519948800,287000
20,16.1755,16.2855,15.9555,16.0055,ok,1520208000,276200
21,16.3941,16.4441,15.9041,16.3041,ok,1520294400,191300
22,16.3276,16.6476,16.2476,16.2476,ok,1520380800,82700
23,15.9854,16.5544,15.9654,16.2854,ok,1520467200,93100
24,16.3371,16.3971,16.0071,16.0071,ok,1520553600,115200
25,16.5747,16.7547,16.1347,16.3547,ok,1520812800,86400
26,16.4986,16.6486,16.1086,16.4886,ok,1520899200,148800
27,16.299,16.599,16.159,16.559,ok,1520985600,113900
28,16.299,16.429,15.959,16.299,ok,1521072000,133300
29,16.4226,16.4226,16.1526,16.2626,ok,1521158400,105400
30,16.128,16.438,15.958,16.438,ok,1521417600,210900
31,16.3276,16.3776,15.9476,16.1276,ok,1521504000,245200
32,16.3941,16.4941,16.1641,16.2141,ok,1521590400,103000
33,16.6317,16.8017,16.2517,16.3217,ok,1521676800,318400
34,15.8238,16.9439,15.6638,16.6239,ok,1521763200,344600
35,16.28,16.473,15.96,16.0,ok,1522022400,133300
36,16.5271,16.5771,16.3271,16.3461,ok,1522108800,86900
37,16.5842,16.5842,16.0342,16.4542,ok,1522195200,50600
38,16.1565,16.5165,15.6665,16.5165,ok,1522281600,147800
39,15.9759,16.1159,15.7659,16.1059,ok,1522627200,62000
40,15.9949,16.1649,15.7949,15.9449,ok,1522713600,89800
41,16.1375,16.2075,15.7075,15.8275,ok,1522800000,76500
42,16.3941,16.3941,16.0021,16.1441,ok,1522886400,79300
43,16.204,16.394,16.104,16.326,ok,1522972800,55500
44,16.299,16.429,16.129,16.269,ok,1523232000,36100
45,16.2135,16.2635,15.9935,16.2535,ok,1523318400,86900
46,16.223,16.433,16.023,16.023,ok,1523404800,112600
47,15.9189,16.2289,15.8889,16.1789,ok,1523491200,103700
48,15.7763,16.1263,15.6063,15.9063,ok,1523577600,132200
49,15.4627,16.0227,15.4427,15.6827,ok,1523836800,81400
50,15.4532,15.5732,15.2432,15.4732,ok,1523923200,174900
51,15.5863,15.9263,15.4863,15.4863,ok,1524009600,141600
52,15.2536,15.5036,15.2236,15.5036,ok,1524096000,209000
53,15.3582,15.4182,15.2282,15.2282,ok,1524182400,90500
54,15.3487,15.6087,15.2287,15.2987,ok,1524441600,67600
55,15.2441,15.6041,15.0541,15.3441,ok,1524528000,92300
56,14.9495,15.2395,14.6995,15.1395,ok,1524614400,159900
57,14.3032,15.0332,14.0732,15.0332,ok,1524700800,289500
58,14.6359,14.9659,13.8859,14.3459,ok,1524787200,152100
59,14.7024,14.7224,14.3824,14.7224,ok,1525046400,53900
60,14.7214,15.1814,14.3414,14.6314,ok,1525132800,104800
