,c,h,l,o,s,t,v
0,64.1899,64.5399,63.5899,64.0799,ok,1420156800,1183900
1,63.341,64.581,63.211,63.781,ok,1420416000,1228800
2,62.6994,63.8994,62.3694,63.2994,ok,1420502400,1157100
3,63.3607,63.5307,62.3607,63.0007,ok,1420588800,976700
4,64.7525,64.8725,63.6625,64.0125,ok,1420675200,948300
5,64.1109,64.9409,64.0609,64.6409,ok,1420761600,1161400
6,63.953,64.663,63.593,64.133,ok,1421020800,849300
7,64.4268,65.5168,63.7668,64.6768,ok,1421107200,1305300
8,63.8444,64.6544,63.4444,63.7444,ok,1421193600,1025600
9,63.2423,64.2023,63.1423,63.9723,ok,1421280000,905700
10,64.7426,64.8626,62.9926,63.2926,ok,1421366400,1250800
11,64.1307,64.9007,63.1907,64.3606,ok,1421712000,1634000
12,64.713,64.843,63.663,64.143,ok,1421798400,1371700
13,66.3022,66.3322,64.0022,65.0222,ok,1421884800,1446500
14,66.3516,67.0416,65.8216,66.2916,ok,1421971200,1037600
15,67.24,67.44,65.93,66.29,ok,1422230400,1246900
16,66.6576,67.4976,65.6276,67.4976,ok,1422316800,1467200
17,66.0061,67.2661,65.8861,66.9461,ok,1422403200,1507400
18,66.4108,66.5508,65.1508,65.9108,ok,1422489600,1122100
19,65.4928,66.3128,65.0828,65.8928,ok,1422576000,1796600
20,65.8679,66.1479,64.1879,66.0479,ok,1422835200,1273400
21,66.4009,66.5909,65.7309,65.9409,ok,1422921600,1660700
22,65.9173,66.7373,65.6773,66.6073,ok,1423008000,1402600
23,66.1443,66.3943,65.6143,66.2943,ok,1423094400,1851000
24,66.8451,67.5251,66.0651,66.2551,ok,1423180800,1612700
25,66.0061,66.8361,65.5961,66.6261,ok,1423440000,1614500
26,66.5391,66.6591,65.5191,66.0891,ok,1423526400,3414900
27,66.8353,66.9553,65.6852,65.8353,ok,1423612800,2723100
28,68.9279,68.9779,66.9479,67.3779,ok,1423699200,2102500
29,70.063,70.323,68.773,68.973,ok,1423785600,2450400
30,68.8489,70.3189,68.4589,70.1489,ok,1424131200,2564400
31,69.6879,69.7079,68.5879,68.8179,ok,1424217600,1260000
32,70.3394,70.4294,69.3394,69.3994,ok,1424304000,1248000
33,71.1488,71.1688,69.9988,70.2588,ok,1424390400,1655500
34,72.1359,72.1759,71.1559,71.2459,ok,1424649600,2233200
35,71.8398,72.2598,71.1698,72.1798,ok,1424736000,1818600
36,71.7509,72.3009,71.5909,71.8809,ok,1424822400,1327300
37,71.8398,71.9998,71.2098,71.5098,ok,1424908800,1082300
38,71.1291,71.8191,71.0891,71.4991,ok,1424995200,1199100
39,71.4449,71.8049,70.3549,71.2249,ok,1425254400,1505300
