,c,h,l,o,s,t,v
0,10.01,10.03,10.0,10.0,ok,1544659200,1753700
1,10.0,10.01,10.0,10.0,ok,1544745600,223600
2,10.0,10.03,10.0,10.03,ok,1545004800,130400
3,10.03,10.03,10.0,10.0,ok,1545091200,4600
4,10.04,10.04,10.04,10.04,ok,1545177600,3100
5,10.0,10.01,10.0,10.01,ok,1545264000,126300
6,10.0,10.04,10.0,10.04,ok,1545350400,73000
7,10.001,10.02,10.001,10.02,ok,1545609600,1000
8,10.0,10.01,10.0,10.01,ok,1545782400,100000
9,10.0,10.01,10.0,10.01,ok,1546214400,198600
10,10.022,10.03,10.0,10.0,ok,1546387200,6500
11,10.031,10.031,10.02,10.02,ok,1546473600,36400
12,10.03,10.036,10.016,10.016,ok,1546560000,4200
13,10.07,10.07,10.05,10.05,ok,1546905600,1100
14,10.06,10.06,10.06,10.06,ok,1547164800,1000
15,10.07,10.07,10.07,10.07,ok,1547424000,23200
16,10.06,10.07,10.01,10.01,ok,1547510400,10000
17,10.05,10.05,10.031,10.031,ok,1547596800,300
18,10.09,10.093,10.01,10.01,ok,1547683200,26500
19,10.09,10.095,10.09,10.09,ok,1547769600,198000
20,10.101,10.113,10.08,10.113,ok,1548115200,20200
21,10.09,10.1,10.07,10.1,ok,1548201600,10600
22,10.09,10.11,10.08,10.08,ok,1548288000,82600
23,10.06,10.09,10.05,10.08,ok,1548633600,128300
24,10.06,10.08,10.001,10.06,ok,1548720000,19500
25,10.1,10.11,10.061,10.08,ok,1548806400,170600
26,10.12,10.16,10.05,10.05,ok,1548892800,58700
27,10.15,10.15,10.12,10.14,ok,1548979200,70900
28,10.15,10.15,10.15,10.15,ok,1549238400,500
29,10.18,10.18,10.15,10.18,ok,1549324800,112600
30,10.17,10.17,10.14,10.14,ok,1549584000,3100
31,10.17,10.17,10.17,10.17,ok,1549843200,1300
32,10.14,10.17,10.1,10.15,ok,1549929600,33300
33,10.13,10.13,10.13,10.13,ok,1550016000,2000
34,10.17,10.2,10.15,10.15,ok,1550102400,204600
35,10.22,10.22,10.22,10.22,ok,1550188800,400
36,10.15,10.22,10.14,10.14,ok,1550534400,46600
37,10.14,10.15,10.14,10.15,ok,1550620800,88100
38,10.17,10.17,10.15,10.15,ok,1550707200,300300
39,10.17,10.17,10.17,10.17,ok,1550793600,1600
40,10.17,10.18,10.17,10.18,ok,1551052800,10000
41,10.17,10.17,10.17,10.17,ok,1551139200,1800
42,10.16,10.16,10.16,10.16,ok,1551225600,3000
43,10.19,10.19,10.15,10.15,ok,1551312000,1000
44,10.15,10.19,10.15,10.17,ok,1551398400,26200
45,10.15,10.15,10.15,10.15,ok,1551744000,200
46,10.18,10.18,10.17,10.17,ok,1551916800,150300
47,10.17,10.18,10.17,10.18,ok,1552348800,1200
48,10.22,10.22,10.22,10.22,ok,1552867200,10000
49,10.181,10.183,10.18,10.18,ok,1552953600,5100
50,10.17,10.17,10.17,10.17,ok,1553040000,100
51,10.2,10.2,10.16,10.16,ok,1553126400,4200
52,10.2,10.2,10.2,10.2,ok,1553472000,1900
53,10.16,10.2,10.16,10.2,ok,1553731200,5100
54,10.2,10.2,10.2,10.2,ok,1553817600,103200
55,10.2,10.219,10.2,10.2,ok,1554249600,36700
56,10.21,10.23,10.15,10.15,ok,1554336000,102300
57,10.23,10.23,10.23,10.23,ok,1554422400,6900
58,10.22,10.22,10.22,10.22,ok,1554768000,4100
59,10.22,10.22,10.22,10.22,ok,1554940800,110000
60,10.25,10.25,10.25,10.25,ok,1555027200,10000
61,10.2,10.2,10.2,10.2,ok,1555372800,2000
62,10.24,10.255,10.24,10.24,ok,1555459200,16200
63,10.24,10.24,10.24,10.24,ok,1555891200,3300
64,10.261,10.261,10.246,10.246,ok,1555977600,1100
65,10.25,10.27,10.25,10.25,ok,1556064000,4500
66,10.35,10.35,10.27,10.27,ok,1556150400,33600
67,10.3,10.3,10.28,10.28,ok,1556496000,3500
68,10.335,10.335,10.3,10.3,ok,1556582400,6100
