,c,h,l,o,s,t,v
0,99.437,101.237,99.344,101.237,ok,1547596800,6000
1,101.647,101.647,99.787,99.787,ok,1547683200,203300
2,105.0971,105.1171,102.9671,102.9671,ok,1547769600,201300
3,103.6797,105.0997,102.7697,102.7697,ok,1548115200,119000
4,102.8032,103.2832,102.3432,103.2832,ok,1548201600,101500
5,107.2231,107.2231,103.6631,103.6631,ok,1548288000,55300
6,107.4655,108.6155,106.6655,107.3655,ok,1548374400,333400
7,105.3675,107.1575,104.2875,106.2275,ok,1548633600,11400
8,107.6706,107.8506,102.9806,104.9806,ok,1548720000,52700
9,108.659,113.279,107.479,107.909,ok,1548806400,95600
10,108.2767,109.5867,107.4067,109.1067,ok,1548892800,85300
11,108.025,108.025,107.134,107.295,ok,1548979200,800
12,109.6568,109.6968,108.6368,108.6368,ok,1549238400,11700
13,109.6101,109.7501,109.2101,109.5901,ok,1549324800,195400
14,109.1999,109.5899,108.7898,109.5899,ok,1549411200,2800
15,106.3838,108.2338,105.1938,108.2338,ok,1549497600,646600
16,105.3675,105.9975,104.8025,105.6775,ok,1549584000,30800
17,106.244,106.574,105.414,105.414,ok,1549843200,84300
18,107.4468,108.6468,107.4468,107.4568,ok,1549929600,93200
19,112.7339,115.2339,108.3539,108.3539,ok,1550016000,144300
20,112.5007,112.5007,110.1807,111.5607,ok,1550102400,25100
21,112.9483,114.7883,112.4683,114.1483,ok,1550188800,124500
22,113.6663,114.5863,113.6663,113.9563,ok,1550534400,25800
23,115.755,115.755,115.51,115.605,ok,1550620800,900
24,115.755,115.755,115.755,115.755,ok,1550707200,100
25,114.7293,115.1793,114.4393,115.1793,ok,1550793600,2700
26,115.1116,116.6316,115.0516,115.3116,ok,1551052800,89800
27,116.0907,116.0907,114.1907,114.7707,ok,1551139200,110600
28,114.5988,115.3388,114.5988,115.1988,ok,1551225600,21100
29,114.002,114.492,112.992,114.492,ok,1551312000,70700
30,113.8155,114.4755,113.6555,114.2355,ok,1551398400,10200
31,113.657,114.147,112.687,112.687,ok,1551657600,700
32,113.4798,113.4798,112.5898,112.5898,ok,1551744000,102200
33,112.193,114.057,112.053,114.057,ok,1551830400,328400
34,111.6242,112.3442,111.4242,111.7332,ok,1551916800,82900
35,112.5567,112.7667,109.6767,111.0267,ok,1552003200,17500
36,117.0325,118.6325,115.2325,115.2325,ok,1552262400,61900
37,119.9324,120.5524,116.9724,117.0524,ok,1552348800,29900
38,120.9022,122.3922,120.3822,121.0122,ok,1552435200,2400
39,119.6993,121.4293,119.6993,120.9093,ok,1552521600,1500
40,120.063,121.483,120.003,120.383,ok,1552608000,1500
41,123.0655,123.3755,122.4055,122.4055,ok,1552867200,112500
42,123.0655,123.9655,123.0655,123.8655,ok,1552953600,253000
43,123.2333,123.5983,123.2333,123.5633,ok,1553040000,700
44,123.0841,124.0241,122.8741,124.0241,ok,1553126400,1200
45,118.4964,122.8264,117.9864,122.8264,ok,1553212800,13500
46,118.6829,120.1829,118.3629,120.1829,ok,1553472000,76100
47,120.1469,120.6969,119.3669,119.5569,ok,1553558400,25400
48,120.5478,120.5478,119.5478,120.4578,ok,1553644800,7000
49,121.2378,121.2378,119.7078,120.8678,ok,1553731200,18000
50,124.1378,124.8478,121.3978,121.5278,ok,1553817600,98100
51,125.8722,127.4121,125.6822,125.8821,ok,1554076800,27700
52,126.012,126.162,125.972,126.162,ok,1554163200,105600
53,124.9024,127.3524,124.6024,126.5724,ok,1554249600,23900
54,126.4316,126.8016,125.8416,125.8416,ok,1554336000,61000
55,127.8023,128.4123,127.1524,128.2123,ok,1554422400,148500
56,127.5599,127.7599,126.4799,127.0899,ok,1554681600,207200
57,125.8069,126.6169,125.7769,126.0569,ok,1554768000,48000
58,124.7625,125.8225,124.7625,125.5525,ok,1554854400,52100
59,127.1211,127.1211,124.9111,125.2111,ok,1554940800,19500
60,127.4228,128.7528,127.4228,127.9028,ok,1555027200,51000
61,127.1588,127.1588,126.8388,126.8388,ok,1555286400,600
62,127.2559,127.2559,127.2229,127.2229,ok,1555372800,14900
63,127.2559,127.2559,127.2559,127.2559,ok,1555459200,4900
64,127.4794,127.4794,127.4794,127.4794,ok,1555545600,900
65,126.4987,126.7587,125.7287,126.0687,ok,1555891200,99700
66,126.9608,127.6317,126.0708,126.0708,ok,1555977600,107300
67,127.0833,127.8233,126.5833,126.5833,ok,1556064000,35900
68,122.802,126.652,122.792,126.652,ok,1556150400,110200
69,124.3486,124.3486,123.1385,123.2086,ok,1556236800,22600
70,126.6307,126.6857,126.4007,126.4007,ok,1556496000,1400
71,126.4232,126.6732,125.5332,126.4932,ok,1556582400,109700
72,125.7537,127.0737,125.6237,127.0737,ok,1556668800,3400
73,124.6409,124.8309,124.5309,124.5309,ok,1556755200,1100
74,126.8004,126.9604,125.0004,125.0004,ok,1556841600,15800
75,124.7163,124.8363,122.3463,123.8163,ok,1557100800,30200
76,119.2656,124.8056,119.2656,124.5756,ok,1557187200,157900
77,116.1441,121.1941,115.2041,120.5441,ok,1557273600,9600
78,114.475,114.785,112.175,112.175,ok,1557360000,2900
79,115.1445,115.6645,112.9145,113.4845,ok,1557446400,5300
80,112.8624,114.3824,112.4824,113.5924,ok,1557705600,23100
81,111.9759,112.5859,111.4259,111.4359,ok,1557792000,10300
82,113.8997,113.8997,109.3897,109.4297,ok,1557878400,95100
83,117.4927,118.9227,117.4927,118.3527,ok,1557964800,78700
84,115.7481,116.7881,115.7481,116.0281,ok,1558051200,12600
85,116.6157,116.6157,113.8957,114.6157,ok,1558310400,1300
86,118.2188,118.6588,116.8488,116.8488,ok,1558396800,1800
87,113.73,117.2,113.73,117.2,ok,1558483200,66100
88,108.9582,113.2582,108.7682,113.2182,ok,1558569600,194100
89,108.9771,109.9271,108.4271,109.9271,ok,1558656000,5000
90,109.6278,109.7778,108.3578,108.9378,ok,1559001600,17900
91,110.4954,110.4954,109.5554,109.6054,ok,1559088000,19200
92,110.5425,111.9165,110.3925,111.9165,ok,1559174400,5000
93,108.9959,110.7259,108.9959,110.0759,ok,1559260800,59000
94,112.1834,112.1834,109.4434,109.4934,ok,1559520000,2000
95,115.3991,115.4491,109.6291,109.6291,ok,1559606400,79000
96,115.6066,118.1466,114.3966,116.7266,ok,1559692800,53400
97,114.8145,116.3745,114.1145,115.7945,ok,1559779200,53800
98,115.9555,116.1455,115.0755,116.1455,ok,1559865600,2100
99,115.8141,119.2941,115.8141,119.2941,ok,1560124800,3000
100,114.6919,118.7119,114.6619,117.6519,ok,1560211200,56600
101,112.6926,113.3626,112.0226,113.3626,ok,1560297600,82200
102,112.0419,115.9919,112.0419,113.9019,ok,1560384000,133000
103,110.1842,111.3042,109.4512,111.3042,ok,1560470400,67100
104,109.5429,109.7729,107.6829,109.4029,ok,1560729600,3800
105,113.7866,113.9465,110.4065,110.4065,ok,1560816000,11900
106,114.6353,114.9353,112.7053,112.7053,ok,1560902400,10200
107,116.842,116.852,115.642,115.832,ok,1560988800,4700
108,116.5119,117.5419,115.7719,115.7719,ok,1561075200,4100
109,114.5504,116.9704,114.5504,116.9704,ok,1561334400,5200
110,114.3147,115.2547,113.1847,115.2547,ok,1561420800,4300
111,115.3426,115.5426,114.0326,114.0326,ok,1561507200,6000
112,116.2762,116.5662,115.2462,115.3262,ok,1561593600,178300
113,119.7277,119.7277,115.7277,117.0677,ok,1561680000,45200
114,117.8699,122.8599,117.6899,121.9499,ok,1561939200,118400
115,115.484,117.434,115.374,116.674,ok,1562025600,4900
116,115.9555,116.9355,113.8155,115.6655,ok,1562112000,4300
117,116.3139,117.2039,113.1939,116.7139,ok,1562284800,44100
118,114.673,116.823,113.583,114.773,ok,1562544000,94400
119,112.8633,114.9523,111.7823,113.9823,ok,1562630400,20000
120,113.3528,115.2228,111.9528,114.4728,ok,1562716800,55600
121,110.7166,114.2166,110.7166,112.3766,ok,1562803200,52600
122,116.596,116.986,113.936,114.436,ok,1562889600,67200
123,116.6246,117.4346,114.8346,116.6046,ok,1563148800,81400
124,118.0658,118.4158,115.8658,115.8658,ok,1563235200,27600
125,115.3647,117.5147,115.3647,116.7747,ok,1563321600,3200
126,114.7444,115.5044,113.9844,113.9844,ok,1563408000,29300
127,117.3023,119.3423,114.7723,114.7723,ok,1563494400,92800
128,116.491,119.341,116.101,117.101,ok,1563753600,40700
129,120.9769,120.9769,117.3969,117.3969,ok,1563840000,16000
130,123.9166,124.4466,119.2166,119.2166,ok,1563926400,19900
131,121.5114,124.9014,120.9014,123.3114,ok,1564012800,24600
132,121.7882,122.2882,120.1882,120.1982,ok,1564099200,14800
133,120.5379,121.5179,120.1879,121.4679,ok,1564358400,6300
134,120.5856,121.1906,118.6356,119.7656,ok,1564444800,7800
135,119.0871,121.0271,118.3571,120.1571,ok,1564531200,64200
136,114.0094,118.4794,113.5694,116.0194,ok,1564617600,37300
137,111.2701,112.9401,109.5201,112.9401,ok,1564704000,61800
138,108.8935,109.3536,107.0835,108.2935,ok,1564963200,6100
139,121.7023,122.1923,111.2123,111.2123,ok,1565049600,268100
140,115.6224,121.2824,113.7724,119.1024,ok,1565136000,21400
141,116.1856,117.0156,114.6656,117.0156,ok,1565222400,4800
142,113.2459,116.0759,112.5359,116.0759,ok,1565308800,12600
143,112.3296,113.4196,112.0396,112.0396,ok,1565568000,3800
144,113.809,116.099,111.829,113.269,ok,1565654400,5500
145,111.5756,113.6656,110.9756,110.9756,ok,1565740800,7200
146,110.6879,111.8379,109.8179,110.3879,ok,1565827200,59900
147,114.8016,114.8016,111.6916,111.6916,ok,1565913600,6800
148,116.3574,116.6274,115.4674,115.7174,ok,1566172800,3700
149,115.5556,115.9456,113.6856,113.6856,ok,1566259200,24600
150,116.5292,117.2292,114.5492,114.5492,ok,1566345600,14900
151,116.0138,117.5038,115.8138,116.7038,ok,1566432000,10800
152,113.1695,118.0495,113.1395,114.6995,ok,1566518400,438400
153,111.7664,115.3664,110.4865,113.7264,ok,1566777600,27000
154,109.304,112.724,109.104,112.124,ok,1566864000,48900
155,111.1938,111.1938,108.2838,108.2838,ok,1566950400,22300
156,116.0138,116.0638,111.1338,111.5038,ok,1567036800,66500
157,117.77,117.92,116.16,116.16,ok,1567123200,55500
158,114.2958,117.5258,112.9858,117.5258,ok,1567468800,16800
159,116.3096,117.2796,115.6396,115.6396,ok,1567555200,66200
160,122.3227,122.3227,116.6627,116.6627,ok,1567641600,26800
161,123.029,123.739,121.119,122.659,ok,1567728000,132600
162,124.308,124.438,123.018,123.808,ok,1567987200,4400
163,126.4364,126.4364,123.0664,124.9564,ok,1568073600,83700
164,130.4451,130.4451,125.0051,127.0851,ok,1568160000,7200
165,129.5765,131.6165,128.0165,129.0165,ok,1568246400,66200
166,129.8342,133.4942,127.9542,128.1842,ok,1568332800,84300
167,130.2351,130.2351,126.7851,126.7851,ok,1568592000,37400
168,126.2837,129.9937,126.2837,128.4537,ok,1568678400,5000
169,124.413,126.363,123.663,126.363,ok,1568764800,4100
170,123.6112,125.1212,122.0112,124.1712,ok,1568851200,4800
171,122.7904,125.0404,122.3704,125.0404,ok,1568937600,102500
172,122.9622,123.8022,121.6822,122.0822,ok,1569196800,19400
173,120.2325,122.7225,119.2225,122.7225,ok,1569283200,1900
174,122.3132,122.7232,119.1532,119.1532,ok,1569369600,24200
175,121.6164,122.4964,120.9764,122.3264,ok,1569456000,36200
176,123.0481,123.6481,121.5281,122.3181,ok,1569542400,10800
177,124.5943,124.7043,122.4543,123.7143,ok,1569801600,52200
178,121.645,127.545,121.615,127.095,ok,1569888000,9300
