,c,h,l,o,s,t,v
0,18.24,18.36,17.88,18.12,ok,1420156800,6100
1,18.48,19.2,18.0,18.36,ok,1420416000,12900
2,18.36,19.08,18.12,18.36,ok,1420502400,8300
3,18.96,18.96,18.12,18.6,ok,1420588800,10100
4,18.84,20.04,18.6,18.96,ok,1420675200,21100
5,18.96,19.2,18.72,18.96,ok,1420761600,2500
6,18.6,18.96,18.48,18.96,ok,1421020800,7200
7,18.84,18.84,18.6,18.72,ok,1421107200,5600
8,18.84,18.84,18.36,18.6,ok,1421193600,10900
9,18.36,18.72,18.24,18.72,ok,1421280000,8400
10,18.72,18.84,18.0,18.24,ok,1421366400,9600
11,18.72,19.2,18.48,18.6,ok,1421712000,4200
12,18.96,19.2,18.84,19.2,ok,1421798400,3900
13,19.2,19.32,19.08,19.2,ok,1421884800,6200
14,19.44,19.44,19.08,19.32,ok,1421971200,8500
15,19.8,19.8,19.32,19.44,ok,1422230400,5200
16,19.8,19.8,19.68,19.68,ok,1422316800,4500
17,20.28,20.64,19.8,19.92,ok,1422403200,8900
18,21.0,21.12,20.28,20.28,ok,1422489600,8300
19,21.36,22.2,20.52,21.0,ok,1422576000,6900
20,21.0,22.2,21.0,21.72,ok,1422835200,15100
21,21.84,22.2,21.6,22.08,ok,1422921600,9700
22,21.0,22.2,21.0,21.84,ok,1423008000,4700
23,21.96,22.08,21.48,21.6,ok,1423094400,5400
24,23.04,23.64,21.72,21.96,ok,1423180800,23700
25,25.68,28.2,24.6,27.72,ok,1423440000,193500
26,24.36,26.76,23.64,26.4,ok,1423526400,47900
27,23.4,24.0,22.92,24.0,ok,1423612800,14000
28,23.16,23.88,23.16,23.88,ok,1423699200,6900
29,24.24,24.24,23.28,23.28,ok,1423785600,13300
30,25.2,25.44,24.36,25.08,ok,1424131200,19200
31,24.96,25.32,24.84,25.32,ok,1424217600,3600
32,25.08,25.44,24.96,25.32,ok,1424304000,7400
33,24.24,25.2,24.12,25.2,ok,1424390400,4800
34,23.04,24.12,22.8,24.0,ok,1424649600,9300
35,24.0,24.36,22.92,23.76,ok,1424736000,8800
36,23.52,24.72,23.04,24.72,ok,1424822400,9100
37,24.0,24.48,23.4,23.64,ok,1424908800,4600
38,24.0,24.48,23.4,24.0,ok,1424995200,3800
39,24.0,24.12,23.4,23.88,ok,1425254400,4300
40,23.64,24.24,23.64,24.0,ok,1425340800,6300
41,23.28,23.64,23.16,23.52,ok,1425427200,5300
42,22.92,23.4,22.8,23.28,ok,1425513600,3800
43,23.28,23.28,22.8,22.92,ok,1425600000,3400
44,23.28,23.52,22.8,23.04,ok,1425859200,5300
45,23.04,23.52,22.8,23.52,ok,1425945600,3800
46,23.16,23.28,22.92,23.16,ok,1426032000,2500
47,22.8,23.52,22.2,23.16,ok,1426118400,10200
48,22.8,23.04,22.68,22.8,ok,1426204800,5100
49,22.8,23.04,22.44,22.68,ok,1426464000,3100
50,22.56,22.8,22.2,22.44,ok,1426550400,3500
51,22.56,22.68,22.32,22.56,ok,1426636800,1300
52,22.32,22.56,22.2,22.32,ok,1426723200,4800
53,22.8,22.8,21.0,22.2,ok,1426809600,13500
54,22.56,22.8,21.84,22.32,ok,1427068800,8700
55,22.68,22.8,22.2,22.8,ok,1427155200,4300
56,22.44,22.92,22.32,22.8,ok,1427241600,7500
57,21.84,22.68,21.72,22.32,ok,1427328000,3100
58,21.6,22.08,21.6,22.08,ok,1427414400,2500
59,21.12,21.84,21.0,21.84,ok,1427673600,3600
60,21.12,21.24,20.76,21.0,ok,1427760000,2400
61,21.12,21.12,20.64,21.0,ok,1427846400,1700
62,20.88,21.12,20.64,20.88,ok,1427932800,4800
63,21.0,21.36,20.76,21.0,ok,1428278400,4700
64,22.08,22.2,21.12,21.12,ok,1428364800,3700
65,22.44,22.8,21.72,22.2,ok,1428451200,7900
66,22.56,22.8,22.44,22.44,ok,1428537600,5300
67,22.56,22.8,22.32,22.44,ok,1428624000,3500
68,23.88,24.36,22.56,22.56,ok,1428883200,23200
69,23.4,24.0,23.4,24.0,ok,1428969600,6100
70,23.4,24.0,23.16,23.28,ok,1429056000,5500
71,23.76,24.72,23.4,23.4,ok,1429142400,18500
72,24.0,24.48,23.52,24.0,ok,1429228800,12800
73,25.32,25.92,24.0,24.0,ok,1429488000,18600
74,25.8,25.8,25.2,25.8,ok,1429574400,11400
75,25.2,25.8,25.08,25.8,ok,1429660800,9200
76,25.2,25.56,24.96,25.44,ok,1429747200,7000
77,25.44,25.68,24.96,25.08,ok,1429833600,12600
78,25.92,26.76,25.44,26.16,ok,1430092800,33600
79,26.4,26.76,26.04,26.52,ok,1430179200,12000
80,26.28,26.88,26.16,26.16,ok,1430265600,20400
81,25.2,26.76,24.72,26.04,ok,1430352000,22200
82,25.68,25.92,25.2,25.2,ok,1430438400,5300
83,26.04,26.52,25.68,25.68,ok,1430697600,9300
84,25.2,26.4,24.84,25.92,ok,1430784000,11400
85,24.48,25.2,24.36,25.2,ok,1430870400,7300
86,25.32,25.56,24.12,24.72,ok,1430956800,6500
87,25.08,26.04,24.84,25.92,ok,1431043200,5300
88,25.2,26.52,24.96,25.8,ok,1431302400,27600
89,25.2,25.8,25.2,25.2,ok,1431388800,3600
90,25.56,25.8,24.84,25.2,ok,1431475200,6600
91,26.76,27.72,25.56,25.92,ok,1431561600,37000
92,25.56,27.48,25.56,27.48,ok,1431648000,12500
93,25.8,26.04,25.56,25.8,ok,1431907200,5000
94,24.84,26.88,24.84,25.92,ok,1431993600,29400
95,25.44,25.56,24.72,25.08,ok,1432080000,4100
96,25.68,26.04,25.44,25.44,ok,1432166400,3900
97,25.92,26.52,25.56,25.68,ok,1432252800,7500
98,25.44,25.92,25.2,25.92,ok,1432598400,7100
99,25.44,25.68,25.2,25.32,ok,1432684800,6100
100,24.96,25.68,24.96,25.32,ok,1432771200,4800
101,24.72,25.32,24.72,24.96,ok,1432857600,5200
102,24.84,25.08,24.12,24.96,ok,1433116800,5600
103,24.72,25.08,24.24,24.6,ok,1433203200,4300
104,25.2,25.2,24.96,25.08,ok,1433289600,1900
105,25.32,25.68,24.72,25.08,ok,1433376000,3800
106,25.8,25.8,24.72,25.56,ok,1433462400,6700
107,25.32,26.4,24.96,26.28,ok,1433721600,11900
108,24.96,26.64,24.96,25.08,ok,1433808000,23100
109,25.08,25.68,25.08,25.56,ok,1433894400,4000
110,25.32,25.92,25.2,25.92,ok,1433980800,6700
111,28.32,28.32,25.2,25.44,ok,1434067200,76200
112,27.0,30.0,26.88,28.44,ok,1434326400,66700
113,27.0,28.68,25.8,28.68,ok,1434412800,23500
114,26.64,27.12,26.28,26.52,ok,1434499200,7700
115,26.64,26.88,26.4,26.52,ok,1434585600,6000
116,26.52,27.48,26.28,27.0,ok,1434672000,7200
117,26.88,27.0,26.28,26.76,ok,1434931200,9400
118,27.72,27.96,26.64,26.76,ok,1435017600,10100
119,27.96,28.32,27.84,27.84,ok,1435104000,8700
120,27.0,27.96,26.52,27.84,ok,1435190400,6300
121,26.4,26.76,25.8,26.76,ok,1435276800,12000
122,25.56,26.16,25.2,25.92,ok,1435536000,8700
123,25.44,25.92,24.84,25.44,ok,1435622400,6800
124,26.4,26.4,24.84,24.84,ok,1435708800,7700
125,25.8,26.16,25.32,26.16,ok,1435795200,3400
126,25.56,25.56,24.96,24.96,ok,1436140800,10500
127,23.16,25.44,22.56,25.32,ok,1436227200,23900
128,21.84,22.68,21.6,22.32,ok,1436313600,15200
129,23.4,23.64,22.44,22.44,ok,1436400000,8300
130,23.52,24.0,23.4,23.4,ok,1436486400,5700
131,24.24,24.36,23.4,23.52,ok,1436745600,7300
132,24.24,24.72,23.76,24.12,ok,1436832000,5700
133,24.6,24.84,24.24,24.6,ok,1436918400,4500
