,c,h,l,o,s,t,v
0,1.725,1.766,1.71,1.71,ok,1420156800,5000
1,1.837,1.846,1.828,1.828,ok,1420416000,5900
2,1.873,1.9,1.873,1.879,ok,1420502400,6100
3,1.852,1.905,1.852,1.902,ok,1420588800,11700
4,1.871,1.9,1.859,1.89,ok,1420675200,6600
5,1.861,1.9,1.84,1.9,ok,1420761600,3000
6,1.853,1.868,1.836,1.868,ok,1421020800,4900
7,1.855,1.872,1.819,1.856,ok,1421107200,16200
8,1.82,1.854,1.807,1.854,ok,1421193600,4500
9,1.76,1.856,1.73,1.852,ok,1421280000,3700
10,1.825,1.825,1.759,1.759,ok,1421366400,35700
11,1.814,1.814,1.74,1.805,ok,1421712000,2900
12,1.724,1.754,1.724,1.754,ok,1421798400,3300
13,1.7,1.74,1.7,1.734,ok,1421884800,2300
14,1.702,1.702,1.655,1.686,ok,1421971200,3400
15,1.618,1.724,1.595,1.724,ok,1422230400,4700
16,1.601,1.65,1.6,1.63,ok,1422316800,2200
17,1.573,1.61,1.563,1.61,ok,1422403200,31700
18,1.574,1.605,1.55,1.605,ok,1422489600,9100
19,1.548,1.554,1.548,1.551,ok,1422576000,1600
20,1.597,1.628,1.595,1.62,ok,1422835200,7100
21,1.593,1.603,1.593,1.603,ok,1422921600,2700
22,1.588,1.6,1.57,1.6,ok,1423008000,2700
23,1.573,1.58,1.573,1.58,ok,1423094400,2100
24,1.562,1.599,1.562,1.599,ok,1423180800,700
25,1.608,1.641,1.595,1.619,ok,1423440000,6000
26,1.58,1.62,1.58,1.62,ok,1423526400,5800
27,1.558,1.596,1.558,1.593,ok,1423612800,2400
28,1.55,1.566,1.542,1.566,ok,1423699200,5300
29,1.573,1.581,1.544,1.567,ok,1423785600,13100
30,1.545,1.608,1.545,1.608,ok,1424131200,5200
31,1.782,1.814,1.571,1.571,ok,1424217600,7900
32,2.011,2.011,1.877,1.935,ok,1424304000,26100
33,1.96,2.07,1.957,2.025,ok,1424390400,39300
34,1.98,2.022,1.96,1.968,ok,1424649600,5900
35,1.773,1.847,1.727,1.779,ok,1424736000,17500
36,1.814,1.814,1.765,1.795,ok,1424822400,8100
37,1.762,1.79,1.76,1.79,ok,1424908800,7800
38,1.75,1.76,1.738,1.76,ok,1424995200,21100
39,1.7,1.763,1.7,1.763,ok,1425254400,10000
40,1.747,1.747,1.739,1.739,ok,1425427200,2700
41,1.747,1.748,1.747,1.748,ok,1425513600,1300
42,1.694,1.723,1.694,1.723,ok,1425600000,1000
43,1.704,1.712,1.694,1.697,ok,1425859200,4600
44,1.692,1.697,1.692,1.697,ok,1426032000,1500
45,1.625,1.7,1.625,1.68,ok,1426118400,8000
46,1.605,1.629,1.603,1.629,ok,1426204800,7600
47,1.632,1.632,1.632,1.632,ok,1426464000,400
