,c,h,l,o,s,t,v
0,37.6662,37.8662,37.6662,37.7462,ok,1434499200,4500
1,38.7301,39.0901,38.6901,39.0901,ok,1434585600,47700
2,41.0112,41.1832,40.6912,40.9812,ok,1434672000,239500
3,40.4457,40.7957,40.2457,40.7957,ok,1434931200,352900
4,39.5831,39.9241,39.5631,39.8031,ok,1435017600,81500
5,39.1614,39.2014,38.5914,38.5914,ok,1435104000,833400
6,41.1549,41.1549,40.5749,40.7349,ok,1435190400,1132200
7,45.5158,45.5258,44.4358,44.6058,ok,1435276800,512900
8,45.3145,45.6545,44.8145,45.6545,ok,1435536000,450600
9,42.3626,42.8226,42.1626,42.4526,ok,1435622400,429300
10,43.8098,44.6498,43.6998,44.6498,ok,1435708800,148400
11,45.4774,45.7574,45.0274,45.7574,ok,1435795200,231000
12,46.455,46.645,45.605,46.125,ok,1436140800,314700
13,50.9117,55.1617,49.1117,49.9017,ok,1436227200,1105800
14,56.8732,58.4032,53.5832,55.8232,ok,1436313600,868400
15,44.7107,48.4477,44.7107,48.0607,ok,1436400000,1113700
16,42.468,44.748,41.998,42.008,ok,1436486400,552600
17,43.5318,43.7518,42.4118,42.4618,ok,1436745600,557700
18,43.8194,44.6494,43.8094,44.2494,ok,1436832000,228000
19,45.9375,46.5075,45.0675,45.5575,ok,1436918400,569800
20,43.9152,44.6952,43.6352,44.3952,ok,1437004800,349000
21,42.3913,42.9713,42.1413,42.2013,ok,1437091200,290100
22,43.1676,44.1496,42.4276,43.0276,ok,1437350400,259000
23,43.5606,43.5606,42.7606,43.0106,ok,1437436800,118200
24,43.3881,43.5681,43.1181,43.5581,ok,1437523200,268700
25,41.9025,42.0725,41.2425,41.7525,ok,1437609600,236300
26,42.9376,43.3126,42.5976,42.5976,ok,1437696000,262400
27,46.733,47.973,46.533,47.223,ok,1437955200,644200
28,45.8321,47.0121,45.7131,47.0121,ok,1438041600,340000
29,44.634,45.159,44.364,44.974,ok,1438128000,277700
30,45.995,48.305,45.505,45.505,ok,1438214400,278500
31,46.5796,46.7296,46.0796,46.2796,ok,1438300800,264700
32,46.0525,46.8225,46.0025,46.6525,ok,1438560000,548300
33,44.3657,44.7257,43.6757,44.7257,ok,1438646400,435500
34,45.1803,45.4013,45.0403,45.3203,ok,1438732800,306400
35,45.4008,45.8208,45.2608,45.8208,ok,1438819200,216000
36,44.5574,44.7774,44.3574,44.7774,ok,1438905600,153700
37,42.2955,42.5155,41.8855,42.1655,ok,1439164800,303100
38,43.2251,44.0751,43.1451,43.7051,ok,1439251200,245000
39,44.5382,44.8582,44.1682,44.6582,ok,1439337600,213200
40,43.3306,43.3906,42.8906,43.2706,ok,1439424000,108400
41,43.3977,43.5877,43.1677,43.1677,ok,1439510400,79700
42,43.8769,43.9369,43.3569,43.4569,ok,1439769600,185400
43,46.5605,46.9305,45.9905,46.4805,ok,1439856000,497100
44,46.4934,46.9534,45.6934,46.1934,ok,1439942400,289400
45,48.1898,48.1998,47.2198,47.2198,ok,1440028800,780700
46,49.9821,50.1821,48.8321,49.7721,ok,1440115200,812100
47,56.0681,62.0181,54.5681,57.6581,ok,1440374400,734000
48,56.3364,56.3964,53.0564,53.2364,ok,1440460800,1241100
49,54.7694,57.9244,53.6444,57.0244,ok,1440547200,731000
50,50.8446,52.5636,50.7946,52.0646,ok,1440633600,571700
51,51.0172,52.0692,50.3672,52.0692,ok,1440720000,183900
52,51.7072,52.2562,50.6872,51.3272,ok,1440979200,426700
53,53.9787,54.4857,52.7887,53.3587,ok,1441065600,1006500
54,52.4931,54.6531,52.4931,53.2531,ok,1441152000,1168900
55,53.0586,53.5086,51.8986,52.6886,ok,1441238400,1188100
56,54.8221,55.7721,53.6421,53.6421,ok,1441324800,860500
57,48.4007,49.8707,48.4007,49.4607,ok,1441670400,340100
58,49.9725,50.0525,48.1325,48.2925,ok,1441756800,195100
59,48.8415,49.7615,48.2155,48.9915,ok,1441843200,266800
60,48.3048,49.2098,48.3048,48.8648,ok,1441929600,273300
61,50.5092,51.2292,49.7192,49.7192,ok,1442188800,220700
62,50.5571,51.9451,50.1371,51.6871,ok,1442275200,339400
63,48.2569,48.7969,47.9269,48.7969,ok,1442361600,137500
64,48.5636,49.7016,47.8936,49.4636,ok,1442448000,310700
