,c,h,l,o,s,t,v
0,9.9953,10.0353,9.8853,10.0053,ok,1420156800,25600
1,10.0116,10.0216,9.8616,10.0116,ok,1420416000,38100
2,9.8487,10.1487,9.7287,10.1487,ok,1420502400,25700
3,9.8324,9.9024,9.7224,9.8924,ok,1420588800,20000
4,9.8161,9.8461,9.7361,9.8261,ok,1420675200,15600
5,9.8053,9.8753,9.7453,9.8153,ok,1420761600,17200
6,9.8107,9.8407,9.7407,9.7407,ok,1421020800,18200
7,9.675,9.965,9.645,9.865,ok,1421107200,63700
8,9.5067,9.8267,9.3867,9.8167,ok,1421193600,66700
9,9.2949,9.6649,9.0449,9.6249,ok,1421280000,174000
10,9.2135,9.3835,9.1635,9.2535,ok,1421366400,79600
11,9.1755,9.4955,9.1155,9.4955,ok,1421712000,64500
12,9.2298,9.2298,9.1298,9.1798,ok,1421798400,49700
13,9.2352,9.4452,9.0852,9.4452,ok,1421884800,109400
14,9.2406,9.3006,9.1506,9.1506,ok,1421971200,38600
15,9.2352,9.4052,9.1352,9.4052,ok,1422230400,121400
16,9.2298,9.3798,9.1298,9.2698,ok,1422316800,44900
17,9.2243,9.3043,8.9943,9.2443,ok,1422403200,44100
18,9.2135,9.2335,8.8935,9.2335,ok,1422489600,40400
19,9.1863,9.2663,9.0963,9.1463,ok,1422576000,25600
20,9.0886,9.2386,8.9786,9.2386,ok,1422835200,22300
21,9.0886,9.2686,9.0386,9.2686,ok,1422921600,61800
22,9.132,9.242,9.022,9.122,ok,1423008000,29900
23,9.2243,9.2343,9.0443,9.2143,ok,1423094400,21100
24,9.2895,9.3495,9.1295,9.3495,ok,1423180800,32500
25,9.1266,9.4866,9.0766,9.4866,ok,1423440000,49600
26,9.1158,9.3758,9.0658,9.0658,ok,1423526400,47300
27,9.2352,9.4752,9.0652,9.2252,ok,1423612800,47600
28,9.4361,9.4561,9.0661,9.0661,ok,1423699200,17400
29,9.2841,9.6141,9.2041,9.5041,ok,1423785600,45600
30,9.3818,9.4418,9.2018,9.2018,ok,1424131200,23700
31,9.4198,9.4198,9.1698,9.2898,ok,1424217600,22300
32,9.4795,9.5095,9.3395,9.4795,ok,1424304000,22900
33,9.5338,9.6038,9.3938,9.4338,ok,1424390400,26600
34,9.599,9.669,9.479,9.539,ok,1424649600,19200
35,9.5718,9.6218,9.4818,9.5918,ok,1424736000,32500
36,9.6044,9.7544,9.4644,9.7244,ok,1424822400,44800
37,9.5935,9.6135,9.4735,9.5635,ok,1424908800,35600
38,9.6098,9.6698,9.5298,9.6498,ok,1424995200,25000
