,c,h,l,o,s,t,v
0,23.7609,23.9109,23.7159,23.7509,ok,1534291200,5500
1,23.8627,24.0897,23.5607,23.8307,ok,1534377600,28900
2,23.4294,23.5114,22.9414,23.1714,ok,1534464000,5300
3,23.9905,23.9905,23.5505,23.8705,ok,1534723200,1600
4,24.889,24.914,24.729,24.839,ok,1534809600,4000
5,24.7892,24.7942,24.6492,24.6792,ok,1534896000,7600
6,24.7592,24.9842,24.7592,24.9192,ok,1534982400,6900
7,25.1286,25.1286,25.0056,25.0186,ok,1535068800,4800
8,25.7077,25.8767,25.6537,25.6537,ok,1535328000,2300
9,25.3133,25.5083,25.3133,25.5083,ok,1535414400,2300
10,25.507,25.648,25.46,25.628,ok,1535500800,6000
11,25.0697,25.3087,25.0697,25.3087,ok,1535587200,4000
12,24.5945,24.9045,24.5945,24.8895,ok,1536019200,3800
13,24.3599,24.4599,24.2109,24.4599,ok,1536105600,600
14,23.6421,24.2911,23.6421,24.2711,ok,1536192000,4700
15,23.7799,23.7799,23.7799,23.7799,ok,1536278400,300
16,23.5502,23.7912,23.5502,23.7612,ok,1536537600,1500
17,23.3815,23.3815,23.0115,23.3215,ok,1536624000,4400
18,22.462,22.493,22.306,22.493,ok,1536710400,5500
19,22.453,22.561,22.453,22.561,ok,1536796800,800
20,22.3472,22.4492,22.3022,22.3022,ok,1536883200,10700
21,22.1835,22.3835,22.1835,22.3835,ok,1537142400,2100
22,22.8943,23.1023,22.8943,22.9223,ok,1537315200,2000
23,22.9023,22.9023,22.9023,22.9023,ok,1537401600,500
24,23.3416,23.4116,23.1116,23.1116,ok,1537488000,1500
25,23.1419,23.1419,23.1419,23.1419,ok,1537747200,400
26,23.2617,23.6117,23.1617,23.1617,ok,1537920000,2300
27,23.3715,23.3715,23.3215,23.3215,ok,1538006400,1300
28,23.059,23.442,23.059,23.372,ok,1538092800,3400
29,22.9622,22.9622,22.9622,22.9622,ok,1538438400,1100
30,22.7426,22.9126,22.7426,22.9126,ok,1538524800,1600
31,21.9638,22.4438,21.9638,22.4438,ok,1538611200,2400
32,21.5545,21.7435,21.5545,21.7435,ok,1538697600,500
33,21.0653,21.0653,21.0653,21.0653,ok,1539043200,1100
34,20.2796,21.0066,20.2796,21.0066,ok,1539129600,6100
35,19.7874,19.9674,19.7874,19.9674,ok,1539216000,1400
36,19.8773,20.0673,19.8473,19.8473,ok,1539302400,1300
37,19.9671,20.2271,19.8471,20.2271,ok,1539561600,900
38,20.065,20.065,20.065,20.065,ok,1539734400,400
39,19.7675,19.9675,19.7675,19.9675,ok,1539820800,2900
40,20.1269,20.1269,20.1269,20.1269,ok,1539907200,300
41,20.8417,21.4357,20.8417,21.4357,ok,1540166400,1600
42,20.1868,20.3768,20.1868,20.3768,ok,1540252800,2300
43,19.9472,20.1872,19.9472,20.1872,ok,1540339200,400
44,19.9671,19.9671,19.7681,19.9671,ok,1540425600,400
45,19.1435,19.1435,19.1435,19.1435,ok,1540512000,100
46,18.9488,19.0648,18.9488,19.0188,ok,1540771200,3100
47,19.2383,19.2383,19.2383,19.2383,ok,1540857600,200
48,19.4779,19.4779,19.4779,19.4779,ok,1540944000,100
49,20.3515,20.3515,20.1965,20.1965,ok,1541030400,900
50,21.0553,21.0553,20.9753,20.9753,ok,1541116800,300
51,21.0553,21.0553,21.0553,21.0553,ok,1541376000,200
52,20.9855,20.9855,20.9855,20.9855,ok,1541462400,200
53,21.7841,21.9641,21.4941,21.4941,ok,1541548800,1000
54,21.7113,21.7113,21.3943,21.3943,ok,1541635200,1100
55,21.1652,21.1652,21.0412,21.0412,ok,1541721600,500
56,21.1652,21.5952,21.1652,21.5952,ok,1541980800,600
57,21.7642,21.7642,21.7222,21.7222,ok,1542067200,700
58,21.7642,21.7642,21.7642,21.7642,ok,1542153600,1100
59,21.864,21.864,21.864,21.864,ok,1542240000,500
60,21.5645,21.5645,21.5645,21.5645,ok,1542326400,100
61,21.4647,21.4647,21.4647,21.4647,ok,1542585600,500
62,21.265,21.265,21.265,21.265,ok,1542672000,200
63,21.7143,21.7143,21.7143,21.7143,ok,1542758400,600
64,21.7143,21.7143,21.7143,21.7143,ok,1542931200,100
65,21.5146,21.5146,21.4896,21.4896,ok,1543190400,400
66,21.5146,21.5146,21.5146,21.5146,ok,1543276800,100
67,22.0637,22.0637,21.8957,21.8957,ok,1543363200,1300
68,21.9419,21.9419,21.9419,21.9419,ok,1543449600,200
69,22.2644,22.2734,21.9534,21.9534,ok,1543536000,16300
70,22.6427,23.4627,22.5627,23.4627,ok,1543795200,18100
71,22.4221,22.9481,22.2951,22.7131,ok,1543881600,27300
72,21.235,21.465,20.966,21.465,ok,1544054400,28600
73,20.5162,21.0362,20.3662,21.0362,ok,1544140800,7600
74,19.9572,20.1072,19.6072,20.1072,ok,1544400000,5300
75,20.5861,20.5861,20.1861,20.1861,ok,1544486400,2300
76,20.7259,20.7259,20.3469,20.7159,ok,1544572800,3500
