,c,h,l,o,s,t,v
0,29.3889,29.6112,29.0202,29.4357,ok,1420156800,10400
1,29.1863,29.4204,28.9522,29.2858,ok,1420416000,18100
2,28.5786,29.2164,28.5786,29.2164,ok,1420502400,14100
3,28.839,29.0438,28.4236,28.8273,ok,1420588800,18400
4,29.7014,29.7482,28.8997,28.8997,ok,1420675200,9200
5,30.257,30.4852,29.625,29.625,ok,1420761600,8700
6,29.7535,29.9232,29.6013,29.8412,ok,1421020800,22300
7,29.6667,30.3922,29.4794,29.9124,ok,1421107200,35200
8,29.7014,29.9998,29.1396,29.1396,ok,1421193600,12300
9,29.6204,29.9012,29.5501,29.673,ok,1421280000,12400
10,30.3149,30.3441,29.5015,29.5659,ok,1421366400,13800
11,30.1702,30.2521,30.0824,30.1994,ok,1421712000,27000
12,29.7593,30.4965,29.7593,30.4965,ok,1421798400,10500
13,30.5348,30.6577,29.7156,29.9028,ok,1421884800,27500
14,30.7894,31.0586,30.333,30.7368,ok,1421971200,11100
15,30.4769,30.6524,30.1434,30.5003,ok,1422230400,19300
16,30.72,30.837,30.2636,30.2636,ok,1422316800,53800
17,30.3785,30.8993,30.3785,30.8993,ok,1422403200,5800
18,30.2049,30.398,30.0645,30.2341,ok,1422489600,12900
19,30.3091,30.625,29.8702,29.9931,ok,1422576000,49300
20,31.2235,31.5453,30.3692,30.3692,ok,1422835200,46300
21,32.0395,32.18,30.8283,31.0916,ok,1422921600,14800
22,30.9457,31.3611,30.817,31.3553,ok,1423008000,12400
23,31.7154,32.3825,31.2824,31.3175,ok,1423094400,16700
24,31.4318,31.7303,31.2856,31.7303,ok,1423180800,11700
25,31.3277,31.4388,30.8713,31.3335,ok,1423440000,14500
26,30.419,31.4196,30.3488,31.4196,ok,1423526400,8500
27,32.5083,33.2456,31.0104,31.0104,ok,1423612800,72600
28,33.469,33.7558,32.5094,32.5094,ok,1423699200,49200
29,33.4401,33.6507,33.3055,33.5688,ok,1423785600,138900
30,33.5501,33.79,33.3628,33.591,ok,1424131200,56500
31,33.5095,33.8372,33.3808,33.5681,ok,1424217600,60400
32,35.3847,35.9757,33.0968,33.3543,ok,1424304000,96500
33,35.0143,35.8101,34.8739,35.2015,ok,1424390400,46600
34,35.4947,35.7872,35.009,35.009,ok,1424649600,38600
35,35.593,35.7393,35.2712,35.5872,ok,1424736000,38900
36,35.6741,35.9432,35.4985,35.8321,ok,1424822400,16500
37,35.1127,35.9845,34.9664,35.9787,ok,1424908800,22200
38,35.078,35.2828,34.7795,35.1833,ok,1424995200,19600
39,35.0606,35.4585,34.8265,35.4117,ok,1425254400,26400
40,34.6439,35.4104,34.5912,35.0652,ok,1425340800,35500
41,34.6497,34.8779,34.4156,34.5385,ok,1425427200,37700
42,34.5166,34.9964,34.4171,34.9847,ok,1425513600,16700
43,33.4575,34.5107,32.7787,34.4171,ok,1425600000,36200
44,34.1114,34.7785,33.4034,33.4034,ok,1425859200,60400
45,34.0015,34.3994,33.0536,33.8084,ok,1425945600,49000
46,34.0999,34.1935,33.7546,33.8834,ok,1426032000,29000
47,34.5744,35.3176,34.2,34.2468,ok,1426118400,81000
48,34.3256,34.4368,33.8867,34.2905,ok,1426204800,59900
49,35.0895,35.4816,34.2879,34.3757,ok,1426464000,55500
50,36.0155,36.6358,34.7926,34.9506,ok,1426550400,58100
51,36.8489,36.8548,35.9361,36.0473,ok,1426636800,24000
52,36.0445,36.5652,35.8046,36.5243,ok,1426723200,50000
53,36.7158,36.8972,36.2828,36.3062,ok,1426809600,39900
54,37.0457,37.1393,36.5659,36.7239,ok,1427068800,38900
55,37.0862,37.4548,36.3782,37.0453,ok,1427155200,50700
56,36.5595,37.0452,36.4191,36.9516,ok,1427241600,46400
57,36.6985,36.8213,36.4644,36.5288,ok,1427328000,24700
58,36.7448,36.815,36.3879,36.6863,ok,1427414400,23000
59,37.3129,37.7752,36.4586,36.8331,ok,1427673600,67600
60,37.5158,37.5801,37.0711,37.5333,ok,1427760000,23500
61,38.4954,38.5013,37.1203,37.4773,ok,1427846400,33100
62,38.791,38.8495,38.3931,38.5628,ok,1427932800,43200
63,39.191,39.3373,38.6527,38.6527,ok,1428278400,29500
64,39.5562,39.603,39.2051,39.2051,ok,1428364800,27300
65,40.0373,40.4703,39.6921,39.6921,ok,1428451200,24400
66,40.159,40.5745,39.8431,40.4633,ok,1428537600,12600
67,40.1764,40.6796,40.1706,40.2759,ok,1428624000,22900
68,40.0315,40.3767,39.698,40.0608,ok,1428883200,24900
69,38.907,40.5746,38.8367,40.1709,ok,1428969600,24400
70,40.0547,40.0957,39.019,39.1009,ok,1429056000,40100
71,40.246,40.4917,39.9593,40.2811,ok,1429142400,71900
72,40.0025,40.143,39.8094,39.9967,ok,1429228800,36900
73,38.8838,40.0599,38.6614,40.0072,ok,1429488000,40500
74,39.0171,39.2512,38.4671,38.9527,ok,1429574400,36900
75,38.4316,39.1455,38.1625,38.9992,ok,1429660800,25800
76,38.5186,38.7292,38.2845,38.3957,ok,1429747200,47100
77,38.4954,38.5832,38.2379,38.5832,ok,1429833600,13600
78,38.2635,38.7082,38.047,38.521,ok,1430092800,20800
79,37.823,38.2794,36.9745,38.057,ok,1430179200,128500
80,38.2577,38.3865,37.2864,37.3917,ok,1430265600,70000
81,37.9215,38.1322,37.5353,38.1322,ok,1430352000,85600
82,37.5911,38.0183,37.1523,38.0183,ok,1430438400,70500
83,37.9795,38.1902,37.5172,37.5172,ok,1430697600,43900
84,37.7244,38.4091,37.6308,38.0287,ok,1430784000,40300
85,37.168,37.8409,36.9222,37.718,ok,1430870400,25600
86,36.8492,37.1476,36.1002,37.1476,ok,1430956800,56200
87,37.1506,37.5192,37.0453,37.3261,ok,1431043200,42800
88,36.9187,37.1586,36.6847,37.1001,ok,1431302400,36200
89,35.9565,36.9395,35.8746,36.8166,ok,1431388800,52600
90,35.5913,36.1121,35.4275,36.0185,ok,1431475200,36000
91,35.6609,35.93,35.3566,35.6609,ok,1431561600,46300
92,35.5507,35.8433,35.0358,35.5215,ok,1431648000,44200
93,35.6493,35.8131,35.3567,35.5088,ok,1431907200,56900
94,35.4116,35.6515,35.2536,35.6515,ok,1431993600,118400
95,35.9623,36.0559,35.3537,35.5585,ok,1432080000,218900
96,36.5767,37.3081,36.1613,36.1613,ok,1432166400,86900
97,37.0115,37.1929,36.438,36.6545,ok,1432252800,41500
98,36.426,36.6659,36.3207,36.5547,ok,1432598400,45900
99,37.0752,37.321,36.4784,36.4784,ok,1432684800,49500
100,37.7418,37.9349,36.987,37.4493,ok,1432771200,63400
101,37.8983,38.0446,37.3776,37.717,ok,1432857600,82200
102,37.9041,38.2201,37.4828,38.2201,ok,1433116800,55700
103,41.2504,44.1104,40.9604,44.1104,ok,1433203200,50600
104,41.9042,42.4842,41.1042,41.7442,ok,1433289600,89500
105,41.8349,42.5849,41.4949,42.1049,ok,1433376000,145300
106,41.7061,42.1461,41.6361,42.1461,ok,1433462400,39600
107,40.9631,41.9331,40.3231,41.6231,ok,1433721600,41200
108,39.3186,40.8686,39.1186,40.8686,ok,1433808000,30800
109,39.7446,39.9846,39.4246,39.4246,ok,1433894400,18800
110,39.4276,40.2276,39.3176,39.9176,ok,1433980800,12300
111,39.2394,39.4294,38.9594,39.3394,ok,1434067200,15900
112,38.3181,39.1781,37.9581,39.0581,ok,1434326400,22000
113,38.3478,38.8578,37.9278,37.9278,ok,1434412800,8900
114,38.0506,38.2206,37.5706,38.0806,ok,1434499200,16300
115,37.6147,38.0847,36.9747,37.9647,ok,1434585600,40200
116,37.2383,37.9383,37.1583,37.9183,ok,1434672000,43800
117,37.6345,37.7445,37.2445,37.6045,ok,1434931200,112800
118,37.2779,37.7479,37.0979,37.6079,ok,1435017600,37800
