,c,h,l,o,s,t,v
0,2.96,3.2,2.364,3.2,ok,1560384000,259400
1,3.3,3.4,2.99,2.99,ok,1560470400,518100
2,3.41,3.41,2.58,3.41,ok,1560729600,972500
3,3.49,3.6,3.16,3.32,ok,1560816000,585700
4,3.4,3.68,3.4,3.6,ok,1560902400,265100
5,3.32,3.55,3.19,3.5,ok,1560988800,195000
6,3.4,3.5,3.29,3.37,ok,1561075200,851900
7,3.52,3.53,3.2,3.4,ok,1561334400,204200
8,3.48,3.53,3.32,3.53,ok,1561420800,64200
9,3.49,3.54,3.31,3.43,ok,1561507200,111200
10,3.45,3.69,3.36,3.5,ok,1561593600,882700
11,3.55,3.56,3.347,3.49,ok,1561680000,60800
12,3.6,3.66,3.37,3.56,ok,1561939200,79400
13,3.54,3.68,3.35,3.5,ok,1562025600,44200
14,3.22,3.63,3.03,3.46,ok,1562112000,111400
15,2.72,3.19,2.72,3.02,ok,1562284800,113800
16,3.0,3.08,2.8,2.9,ok,1562544000,115400
17,2.97,3.04,2.95,2.95,ok,1562630400,867900
18,2.774,3.0,2.72,2.97,ok,1562716800,51000
19,2.88,2.97,2.66,2.75,ok,1562803200,1201500
20,3.0,3.05,2.88,2.88,ok,1562889600,118000
21,3.07,3.14,2.92,2.92,ok,1563148800,108000
22,3.04,3.14,2.97,2.99,ok,1563235200,112300
23,3.015,3.14,2.98,3.14,ok,1563321600,181000
24,3.035,3.1,2.935,3.08,ok,1563408000,70200
25,3.05,3.07,2.92,2.92,ok,1563494400,67600
26,2.99,3.11,2.97,3.0,ok,1563753600,69500
27,3.0,3.09,2.92,3.02,ok,1563840000,19400
28,2.96,3.11,2.96,3.11,ok,1563926400,57500
29,2.94,3.035,2.92,2.92,ok,1564012800,30100
30,2.96,3.09,2.95,3.05,ok,1564099200,164400
31,3.0,3.09,2.9,3.0,ok,1564358400,51500
32,2.97,3.02,2.86,2.86,ok,1564444800,12300
33,2.88,3.04,2.86,2.95,ok,1564531200,73300
34,2.85,3.04,2.57,2.92,ok,1564617600,63600
35,2.78,2.885,2.78,2.8,ok,1564704000,23800
36,2.67,2.75,2.28,2.75,ok,1564963200,61900
37,2.49,2.65,2.46,2.57,ok,1565049600,10400
38,2.3,2.63,2.3,2.63,ok,1565136000,16400
39,2.43,2.46,2.25,2.26,ok,1565222400,28300
40,2.3,2.42,2.26,2.28,ok,1565308800,7600
41,2.27,2.38,2.25,2.34,ok,1565568000,71100
42,2.05,2.25,1.9,2.25,ok,1565654400,38800
43,2.07,2.37,2.055,2.23,ok,1565740800,52700
44,2.35,2.35,2.081,2.09,ok,1565827200,85300
45,2.1,2.45,2.1,2.45,ok,1565913600,151400
46,2.2,2.3,2.11,2.11,ok,1566172800,8200
47,2.33,2.49,2.15,2.2,ok,1566259200,54600
48,2.28,2.42,2.25,2.284,ok,1566345600,27300
49,2.46,2.6,2.1,2.45,ok,1566432000,60400
50,3.06,3.06,2.45,2.45,ok,1566518400,78600
51,2.9,3.0,2.83,3.0,ok,1566777600,159400
52,2.95,3.2,2.903,2.93,ok,1566864000,42600
53,2.91,3.1,2.91,3.0,ok,1566950400,121400
54,3.1,3.33,3.0,3.1,ok,1567036800,50900
55,3.17,3.29,3.075,3.27,ok,1567123200,41100
56,3.0,3.335,2.89,3.26,ok,1567468800,361200
57,2.93,3.16,2.93,3.0,ok,1567555200,1197300
58,3.4,3.415,3.12,3.22,ok,1567641600,165700
59,3.58,3.78,3.35,3.4,ok,1567728000,153100
60,3.5,3.65,3.48,3.5,ok,1567987200,69900
61,3.54,3.72,3.2,3.53,ok,1568073600,766200
62,3.89,3.9,3.37,3.37,ok,1568160000,118100
63,4.1,4.33,3.79,3.88,ok,1568246400,343500
64,4.34,4.66,4.0,4.08,ok,1568332800,411400
65,5.04,5.07,4.314,4.42,ok,1568592000,407000
66,5.07,5.18,4.41,5.02,ok,1568678400,799700
67,4.93,5.12,4.7,5.08,ok,1568764800,541300
68,5.01,5.05,4.72,4.94,ok,1568851200,320400
69,4.88,5.01,4.79,4.87,ok,1568937600,172500
70,4.85,4.96,4.76,4.88,ok,1569196800,977700
71,4.766,4.945,4.76,4.76,ok,1569283200,778800
72,4.5,4.89,4.38,4.76,ok,1569369600,127500
73,4.35,4.8,4.2,4.51,ok,1569456000,2354300
74,4.01,4.34,3.8,4.34,ok,1569542400,97700
