,c,h,l,o,s,t,v
0,2.001,2.001,1.991,1.991,ok,1420156800,38400
1,1.9949,2.0049,1.9749,1.9849,ok,1420416000,130100
2,1.9765,1.9965,1.9665,1.9765,ok,1420502400,97500
3,1.9888,1.9988,1.9688,1.9688,ok,1420588800,110900
4,2.0023,2.0023,1.9823,2.0023,ok,1420675200,110200
5,1.99,2.02,1.99,2.0,ok,1420761600,133000
6,1.99,2.01,1.97,1.98,ok,1421020800,164900
7,1.99,2.01,1.98,2.0,ok,1421107200,61900
8,1.9715,2.0015,1.9715,1.9815,ok,1421193600,140500
9,2.0146,2.0146,1.9546,1.9646,ok,1421280000,83000
10,2.0023,2.0123,1.9923,2.0123,ok,1421366400,103400
11,1.9838,2.0238,1.9838,2.0138,ok,1421712000,140600
12,1.9962,2.0162,1.9862,1.9862,ok,1421798400,117800
13,2.0085,2.0085,1.9785,1.9885,ok,1421884800,126600
14,1.9962,2.0062,1.9862,1.9962,ok,1421971200,79700
15,1.99,2.01,1.99,2.0,ok,1422230400,129500
16,1.9777,1.9977,1.9777,1.9877,ok,1422316800,91200
17,1.9838,1.9938,1.9738,1.9838,ok,1422403200,100200
18,1.9838,2.0038,1.9638,1.9938,ok,1422489600,99500
19,1.9777,1.9977,1.9677,1.9877,ok,1422576000,184500
20,1.9777,1.9877,1.9677,1.9677,ok,1422835200,209900
21,1.9962,1.9962,1.9662,1.9662,ok,1422921600,106600
22,1.9838,2.0038,1.9838,1.9838,ok,1423008000,153800
23,1.9962,1.9962,1.9662,1.9662,ok,1423094400,225700
24,1.9974,1.9974,1.9774,1.9774,ok,1423180800,191500
25,1.9974,1.9974,1.9774,1.9774,ok,1423440000,73700
26,2.0036,2.0036,1.9836,1.9936,ok,1423526400,178900
27,2.0098,2.0098,1.9798,1.9998,ok,1423612800,139100
28,2.0036,2.0136,1.9836,2.0036,ok,1423699200,212600
29,1.9974,2.0174,1.9774,1.9974,ok,1423785600,275500
30,1.9912,2.0112,1.9812,1.9912,ok,1424131200,184200
31,1.9912,2.0012,1.9712,2.0012,ok,1424217600,167600
32,1.9788,1.9988,1.9788,1.9988,ok,1424304000,167700
33,1.9974,1.9974,1.9674,1.9674,ok,1424390400,468400
34,2.0346,2.0346,1.9646,1.9646,ok,1424649600,432400
35,2.0532,2.0632,2.0132,2.0232,ok,1424736000,414000
