,c,h,l,o,s,t,v
0,37.3,38.8,36.6,38.1,ok,1420156800,18200
1,35.0,37.4,35.0,36.9,ok,1420416000,30700
2,34.9,36.1,34.5,35.1,ok,1420502400,18100
3,35.5,36.4,35.2,35.2,ok,1420588800,17400
4,36.7,39.0,35.5,35.9,ok,1420675200,41000
5,38.8,40.3,38.5,40.1,ok,1420761600,50400
6,40.6,41.3,39.0,40.3,ok,1421020800,76600
7,39.1,41.5,38.1,41.5,ok,1421107200,38400
8,38.2,41.5,37.1,38.5,ok,1421193600,58400
9,34.8,38.2,34.5,38.1,ok,1421280000,48400
10,36.5,37.3,34.5,34.5,ok,1421366400,26800
11,36.0,37.5,35.2,37.5,ok,1421712000,17700
12,35.8,36.3,35.2,36.0,ok,1421798400,17100
13,35.6,35.8,34.2,35.8,ok,1421884800,25800
14,35.8,36.3,34.6,35.4,ok,1421971200,9900
15,35.9,37.5,35.0,36.0,ok,1422230400,19100
16,36.3,37.1,35.4,35.7,ok,1422316800,13500
17,35.0,37.0,35.0,36.3,ok,1422403200,16200
18,36.4,36.7,34.4,34.9,ok,1422489600,14600
19,35.4,36.5,35.1,36.4,ok,1422576000,14600
20,35.4,35.5,34.4,35.3,ok,1422835200,16500
21,35.6,35.7,35.0,35.4,ok,1422921600,13000
22,34.8,36.3,34.7,35.2,ok,1423008000,18500
23,35.4,35.9,34.9,35.0,ok,1423094400,13400
24,35.1,35.8,35.0,35.7,ok,1423180800,9800
25,34.9,35.4,34.5,35.2,ok,1423440000,15500
26,34.8,35.6,34.1,35.0,ok,1423526400,17900
27,34.7,36.0,34.5,34.5,ok,1423612800,11700
28,36.4,37.0,35.0,35.1,ok,1423699200,24600
29,37.8,38.8,36.5,36.8,ok,1423785600,24700
30,38.7,39.4,37.3,38.3,ok,1424131200,20200
31,40.2,40.3,38.5,38.5,ok,1424217600,21900
32,41.7,42.6,39.6,40.8,ok,1424304000,32700
33,40.7,42.0,40.0,40.8,ok,1424390400,26600
34,39.8,41.0,38.3,41.0,ok,1424649600,22600
35,39.0,40.4,38.9,39.6,ok,1424736000,16900
36,38.9,39.4,38.6,39.4,ok,1424822400,9200
37,38.3,39.2,37.2,39.2,ok,1424908800,22400
38,37.6,38.4,37.4,38.0,ok,1424995200,16400
39,38.0,38.4,37.3,37.3,ok,1425254400,6600
40,39.9,41.5,38.1,38.2,ok,1425340800,44400
41,40.3,40.6,38.7,40.0,ok,1425427200,33500
42,39.7,40.4,39.1,40.2,ok,1425513600,20800
43,37.9,40.0,37.6,39.7,ok,1425600000,20800
44,38.3,39.7,37.5,37.9,ok,1425859200,17400
45,39.1,39.3,37.6,38.1,ok,1425945600,17600
46,38.0,39.5,37.5,39.2,ok,1426032000,24800
47,39.0,39.0,37.9,38.0,ok,1426118400,25100
48,40.3,41.8,39.2,39.4,ok,1426204800,111100
