,c,h,l,o,s,t,v
0,21.1893,21.3893,20.7093,20.8193,ok,1420156800,407100
1,21.4628,21.6428,20.8928,20.9228,ok,1420416000,470400
2,21.4988,21.6888,21.2288,21.5288,ok,1420502400,433700
3,21.7507,21.9807,21.4307,21.4707,ok,1420588800,747400
4,22.1825,22.3025,21.4225,21.7625,ok,1420675200,562900
5,21.981,22.441,21.951,22.291,ok,1420761600,337700
6,21.9162,22.2062,21.8062,22.0962,ok,1421020800,219900
7,22.1394,22.1494,21.8594,22.0494,ok,1421107200,415700
8,21.9738,22.3038,21.9038,21.9938,ok,1421193600,392900
9,21.9306,22.2506,21.7506,22.1106,ok,1421280000,362800
10,21.9882,22.0682,21.8482,21.8882,ok,1421366400,365000
11,22.2761,22.6161,21.9761,21.9761,ok,1421712000,431100
12,22.053,22.413,21.893,22.373,ok,1421798400,244000
13,21.9522,22.2022,21.4522,22.0022,ok,1421884800,2276900
14,22.3121,22.4321,21.8221,21.9421,ok,1421971200,653100
15,22.3121,22.5321,22.1821,22.3221,ok,1422230400,195000
16,22.3193,22.4993,22.0193,22.2393,ok,1422316800,352900
17,22.3843,22.7343,22.2043,22.3843,ok,1422403200,338100
18,22.8175,22.8175,22.1075,22.2875,ok,1422489600,243700
19,22.4782,22.8682,22.2982,22.8682,ok,1422576000,855500
20,21.8644,22.2844,21.3444,22.2844,ok,1422835200,756100
21,22.016,22.026,21.536,21.806,ok,1422921600,270200
22,21.7705,22.0905,21.7405,22.0505,ok,1423008000,278600
23,22.0666,22.1666,21.6566,21.6666,ok,1423094400,157700
24,21.6117,22.2417,21.5217,22.2417,ok,1423180800,270900
25,21.5395,21.6795,21.4595,21.4595,ok,1423440000,294900
26,21.785,21.785,21.185,21.475,ok,1423526400,244100
27,21.72,22.04,21.55,21.74,ok,1423612800,115200
28,22.3337,22.3937,21.5637,21.5637,ok,1423699200,219200
29,21.9655,22.5855,21.9255,22.5455,ok,1423785600,228800
30,22.0305,22.5605,21.9405,21.9705,ok,1424131200,383900
31,22.1965,22.2665,21.6565,21.8565,ok,1424217600,241900
32,21.9655,22.2655,21.6755,22.1055,ok,1424304000,225900
33,22.0449,22.1049,21.7149,21.9049,ok,1424390400,170000
34,21.9727,22.3327,21.8327,22.0827,ok,1424649600,239400
35,21.3662,21.9362,20.3462,21.7762,ok,1424736000,903900
36,21.1778,21.6878,21.0378,21.5978,ok,1424822400,417100
37,21.0184,21.6084,20.7784,21.2784,ok,1424908800,608100
38,21.0256,21.2356,20.8656,20.9256,ok,1424995200,414300
39,21.2937,21.7937,20.9237,20.9237,ok,1425254400,358300
40,21.156,21.446,20.956,21.376,ok,1425340800,169400
41,20.9025,21.3825,20.8825,21.2025,ok,1425427200,312400
42,21.0401,21.2101,20.7501,20.9401,ok,1425513600,149500
43,20.3011,21.1011,20.2811,21.0811,ok,1425600000,333400
44,20.6344,20.6744,20.1644,20.2344,ok,1425859200,187900
45,20.8155,20.8555,20.3255,20.4455,ok,1425945600,306900
46,20.8952,21.0852,20.5452,20.8452,ok,1426032000,454400
47,21.3444,21.3644,20.5844,20.8244,ok,1426118400,393000
48,20.9822,21.6622,20.9522,21.5522,ok,1426204800,361900
49,21.0401,21.4101,20.9901,21.1001,ok,1426464000,149200
50,21.0981,21.0981,20.8281,21.0081,ok,1426550400,208400
51,21.54,21.65,20.58,20.99,ok,1426636800,347000
52,21.7139,21.8239,21.1139,21.3639,ok,1426723200,197500
53,22.3515,22.4215,21.5615,21.5615,ok,1426809600,412700
54,22.3732,22.7232,22.1932,22.3632,ok,1427068800,300800
55,21.9965,22.3565,21.8865,22.3565,ok,1427155200,160800
56,21.156,22.456,20.976,22.236,ok,1427241600,314000
57,21.0619,21.2819,20.9419,21.0119,ok,1427328000,204000
58,21.0473,21.1273,20.6173,21.0473,ok,1427414400,404100
59,21.3963,21.4063,20.8763,20.9163,ok,1427673600,238900
60,21.3818,21.4018,20.9718,21.1917,ok,1427760000,390500
61,21.4181,21.4781,20.9581,21.2081,ok,1427846400,177600
62,21.5708,21.8508,21.1208,21.2908,ok,1427932800,270700
63,21.7089,21.9989,21.4889,21.5289,ok,1428278400,195600
64,21.3163,21.9063,21.2963,21.8463,ok,1428364800,153300
65,21.389,21.589,21.239,21.299,ok,1428451200,142800
66,21.2363,21.5263,21.0063,21.4163,ok,1428537600,207500
67,21.3745,21.5645,21.2545,21.3745,ok,1428624000,229000
68,21.2582,21.8282,21.1982,21.4182,ok,1428883200,190900
69,21.2945,21.4845,21.2245,21.3545,ok,1428969600,93500
70,21.1636,21.3636,21.1236,21.3336,ok,1429056000,265600
71,20.9455,21.2855,20.6555,21.2855,ok,1429142400,221600
72,20.9819,21.0319,20.6219,20.8819,ok,1429228800,344700
73,21.12,21.23,21.0,21.12,ok,1429488000,358400
74,21.2145,21.3345,20.9945,21.0845,ok,1429574400,193500
75,21.1346,21.5346,21.0046,21.3846,ok,1429660800,146500
76,21.2363,21.3663,21.0463,21.0463,ok,1429747200,126200
77,21.2945,21.4645,21.1945,21.2545,ok,1429833600,102800
78,21.1636,21.7436,21.1136,21.4536,ok,1430092800,128200
79,21.346,21.436,20.996,21.036,ok,1430179200,134500
80,20.777,21.487,20.767,21.377,ok,1430265600,157700
81,20.1642,20.9342,19.9742,20.8342,ok,1430352000,275000
82,20.2153,20.5853,20.0553,20.1853,ok,1430438400,169400
83,20.3903,20.5303,20.2503,20.3403,ok,1430697600,223500
84,19.7921,20.6621,19.5621,20.6621,ok,1430784000,388400
85,20.0548,20.2748,19.5448,19.7948,ok,1430870400,232400
86,20.1642,20.1842,19.8542,19.9442,ok,1430956800,335300
87,20.5217,20.9117,20.3217,20.3917,ok,1431043200,293100
88,20.1934,20.7734,20.0834,20.5934,ok,1431302400,277400
89,20.0985,20.2785,19.6685,20.1085,ok,1431388800,274900
90,19.7411,20.6111,19.6711,20.4011,ok,1431475200,253600
91,20.1788,20.2188,19.7288,19.7288,ok,1431561600,108800
92,20.5071,20.5171,20.0271,20.1071,ok,1431648000,143200
93,20.6384,20.6484,20.0884,20.3484,ok,1431907200,145400
94,20.8354,20.9254,20.3654,20.5254,ok,1431993600,146300
95,20.8499,20.9699,20.6499,20.9299,ok,1432080000,118300
96,20.704,21.004,20.554,20.954,ok,1432166400,187100
97,20.4852,20.8652,20.4752,20.7752,ok,1432252800,122400
98,20.3393,20.4593,20.0793,20.4593,ok,1432598400,138600
99,20.493,20.603,20.153,20.303,ok,1432684800,163200
100,20.5077,20.6077,20.2777,20.4477,ok,1432771200,122000
101,20.4564,20.6164,20.2364,20.4964,ok,1432857600,250500
102,20.8005,21.0105,20.3305,20.4605,ok,1433116800,201500
103,20.5589,20.7889,20.3789,20.7289,ok,1433203200,252800
104,20.5589,20.7089,20.3389,20.6089,ok,1433289600,165500
105,20.127,20.597,20.117,20.597,ok,1433376000,120100
106,19.7243,20.0743,19.6143,20.0743,ok,1433462400,311500
107,19.673,19.793,19.553,19.753,ok,1433721600,366900
108,19.5925,19.8325,19.3425,19.7225,ok,1433808000,301700
109,19.9732,20.1432,19.4432,19.5932,ok,1433894400,134900
110,20.1196,20.1196,19.8896,20.0896,ok,1433980800,125800
111,20.0757,20.1257,19.9657,20.0957,ok,1434067200,86900
112,20.0611,20.1511,19.7011,20.0211,ok,1434326400,181700
113,20.0977,20.2477,19.8177,20.0977,ok,1434412800,195600
114,20.2661,20.3361,19.8861,20.1361,ok,1434499200,129300
115,20.5736,20.6436,20.1636,20.2436,ok,1434585600,114600
116,20.5223,20.5723,20.1223,20.5723,ok,1434672000,180200
117,20.1123,20.7623,20.1023,20.7623,ok,1434931200,139100
118,20.1636,20.2436,19.8736,20.0936,ok,1435017600,135800
119,20.1123,20.2223,20.0023,20.2123,ok,1435104000,119100
120,19.9732,20.3132,19.9232,20.3132,ok,1435190400,604000
121,19.9144,20.1244,19.8144,20.0644,ok,1435276800,320900
122,19.4662,20.2662,19.4062,19.9562,ok,1435536000,246700
123,19.4515,19.7515,19.4015,19.7315,ok,1435622400,272100
124,19.9512,19.9812,19.2712,19.3912,ok,1435708800,174200
125,20.201,20.311,19.921,20.071,ok,1435795200,152500
126,20.37,20.41,19.98,19.98,ok,1436140800,157100
127,20.6713,20.7413,20.3313,20.3913,ok,1436227200,132500
128,20.4362,20.8062,20.2462,20.5962,ok,1436313600,89900
129,20.1128,20.7228,20.0828,20.7228,ok,1436400000,105000
130,20.3994,20.5394,19.9894,20.1694,ok,1436486400,185900
131,20.5831,20.7631,20.2231,20.4231,ok,1436745600,207300
132,20.6125,20.6125,20.3625,20.5625,ok,1436832000,126900
133,20.6125,20.6125,20.3125,20.5425,ok,1436918400,131600
134,21.0828,21.0928,20.3228,20.4428,ok,1437004800,166700
135,21.0608,21.2008,20.8308,21.0708,ok,1437091200,71000
136,20.8624,21.1324,20.7324,21.1324,ok,1437350400,123100
137,20.7301,21.1901,20.7201,20.9801,ok,1437436800,70200
138,21.0681,21.2481,20.6481,20.6481,ok,1437523200,116900
139,20.4949,21.4049,20.1649,21.3249,ok,1437609600,140600
140,20.2304,20.5504,20.1004,20.5404,ok,1437696000,118300
141,20.0687,20.3287,19.9487,20.3187,ok,1437955200,237000
142,19.8336,20.2736,19.7336,20.2436,ok,1438041600,201400
143,19.9811,20.0911,19.3911,19.7811,ok,1438128000,133400
144,19.7672,20.0272,19.6472,19.9572,ok,1438214400,146900
145,19.9295,20.1695,19.7495,19.8495,ok,1438300800,123800
146,20.0032,20.1532,19.6732,19.9932,ok,1438560000,147600
147,19.7598,20.1498,19.7298,20.1198,ok,1438646400,76500
148,18.4248,20.6448,18.2948,20.1148,ok,1438732800,397100
149,17.6872,18.6372,17.4172,18.6372,ok,1438819200,760400
150,17.3479,17.7279,16.9579,17.6579,ok,1438905600,402100
151,17.7831,17.7831,17.1731,17.3431,ok,1439164800,383000
152,18.2478,18.2978,17.4478,17.5278,ok,1439251200,360500
153,18.0708,18.1908,17.7008,18.1408,ok,1439337600,195700
154,17.9159,18.3059,17.5859,18.0559,ok,1439424000,305300
155,18.0044,18.0544,17.5544,17.8744,ok,1439510400,231100
156,18.0044,18.0044,17.6944,17.8944,ok,1439769600,233400
157,18.0265,18.2065,17.7765,17.7765,ok,1439856000,138900
158,18.0339,18.1939,17.6339,17.8439,ok,1439942400,153700
159,17.7978,18.1778,17.7778,17.9678,ok,1440028800,213900
160,17.5766,18.0366,17.2166,17.5766,ok,1440115200,227900
161,16.8611,17.7111,16.1611,16.6511,ok,1440374400,238700
162,16.5956,17.5456,16.5556,17.4256,ok,1440460800,209900
163,16.9349,16.9849,16.5549,16.8849,ok,1440547200,209000
164,17.1719,17.3019,16.5619,16.9919,ok,1440633600,145400
165,17.2312,17.4512,16.8812,17.1212,ok,1440720000,135500
166,17.0016,17.3816,16.8316,17.2316,ok,1440979200,531000
167,16.7052,17.0252,16.5952,16.8152,ok,1441065600,151700
168,16.9127,16.9827,16.4327,16.8527,ok,1441152000,207800
169,16.8164,17.1264,16.6864,17.0264,ok,1441238400,106000
170,16.3719,16.8219,16.3019,16.7319,ok,1441324800,144500
171,16.9052,16.9352,16.3252,16.4652,ok,1441670400,127300
172,16.8756,17.6856,16.5856,17.0756,ok,1441756800,290300
173,16.8164,17.2464,16.7664,16.8764,ok,1441843200,95100
174,17.3497,17.3597,16.4897,16.5497,ok,1441929600,152700
175,17.1423,17.4623,17.0623,17.4523,ok,1442188800,125700
176,16.7941,17.3041,16.7241,17.2541,ok,1442275200,188300
177,16.7719,16.9819,16.7319,16.7819,ok,1442361600,282900
178,17.2386,17.4686,16.6486,16.6486,ok,1442448000,241900
179,16.8089,17.3189,16.7689,17.1189,ok,1442534400,566600
180,16.52,17.03,16.19,17.03,ok,1442793600,628800
181,15.957,16.637,15.927,16.547,ok,1442880000,546900
182,16.0904,16.3404,15.9804,15.9904,ok,1442966400,523000
183,16.1496,16.2196,15.9896,16.0296,ok,1443052800,217100
184,16.0089,16.5189,15.9889,16.2989,ok,1443139200,338500
185,15.7261,16.0861,15.4361,16.0161,ok,1443398400,243200
186,15.6963,16.0063,15.6663,15.7863,ok,1443484800,248700
187,15.9865,15.9865,15.4465,15.7365,ok,1443571200,317700
188,16.2991,16.3291,15.7791,15.9191,ok,1443657600,267000
