,c,h,l,o,s,t,v
0,89.5769,89.9269,88.6569,89.6669,ok,1420156800,858900
1,89.5942,90.6042,88.9042,89.5142,ok,1420416000,1307400
2,89.9736,91.1436,89.4736,89.9936,ok,1420502400,1524600
3,91.5173,91.9373,89.7373,89.8673,ok,1420588800,1226500
4,92.5436,92.6836,91.4036,91.4736,ok,1420675200,1647200
5,91.9485,92.8585,91.5185,92.5785,ok,1420761600,753900
6,91.7243,92.4643,91.2343,92.3043,ok,1421020800,919400
7,92.0865,93.1965,91.4065,92.2165,ok,1421107200,817400
8,92.2331,92.3031,90.7431,90.9631,ok,1421193600,709600
9,92.6126,94.1926,92.3026,93.0126,ok,1421280000,1173700
10,94.07,94.22,92.2,92.2,ok,1421366400,958700
11,93.6561,94.9961,92.7861,94.5561,ok,1421712000,1439600
12,93.8458,94.6258,92.9358,93.5458,ok,1421798400,1376300
13,94.9583,95.0083,93.3583,93.9783,ok,1421884800,1193000
14,93.4836,95.0436,93.0036,94.9536,ok,1421971200,1645200
15,93.9091,94.0491,93.1091,93.5391,ok,1422230400,1273600
16,93.7788,94.0588,92.3688,93.1788,ok,1422316800,882100
17,92.9973,94.7073,92.8173,94.4573,ok,1422403200,1143800
18,94.3432,94.5332,92.9232,93.3832,ok,1422489600,1308900
19,92.6587,94.5787,92.5487,94.4687,ok,1422576000,1672500
20,93.6312,93.6812,91.8012,92.4312,ok,1422835200,889900
21,93.5096,94.2496,92.7296,93.9296,ok,1422921600,1920900
22,95.1768,98.0068,93.5668,97.2368,ok,1423008000,2328800
23,93.8222,95.8822,93.3422,95.2022,ok,1423094400,1825700
24,92.8497,94.1197,92.2097,93.4597,ok,1423180800,1250400
25,92.8323,93.1123,92.2923,92.8423,ok,1423440000,1100400
26,93.8656,94.1256,92.4856,92.7656,ok,1423526400,959800
27,93.7267,94.2767,93.0967,93.8867,ok,1423612800,557000
28,94.0046,94.0946,93.3346,93.5046,ok,1423699200,736000
29,94.6471,94.7271,93.4671,93.7071,ok,1423785600,709800
30,94.5256,95.0356,93.9356,94.6656,ok,1424131200,665300
31,95.3157,95.4857,94.0657,94.2057,ok,1424217600,720900
32,94.8902,95.2502,94.4202,95.1102,ok,1424304000,707700
33,94.595,95.055,94.035,94.915,ok,1424390400,824000
34,95.281,95.331,94.381,94.651,ok,1424649600,695300
35,94.9684,95.4484,94.4584,94.9984,ok,1424736000,885500
36,94.6384,95.1284,94.5384,95.0184,ok,1424822400,730000
37,94.7339,95.0939,94.2339,94.6639,ok,1424908800,547600
38,94.3345,94.9245,94.1945,94.9245,ok,1424995200,603700
39,95.446,95.676,94.036,94.166,ok,1425254400,899100
40,96.2448,96.2648,94.8048,95.2948,ok,1425340800,1125700
41,95.4547,96.1747,94.6047,96.0047,ok,1425427200,952100
42,95.6544,95.8544,94.9444,95.4944,ok,1425513600,753100
43,94.3779,95.4779,94.1179,95.3379,ok,1425600000,849900
44,94.9858,95.2958,93.9858,94.2558,ok,1425859200,685300
45,93.6312,94.9312,93.5912,94.4712,ok,1425945600,676500
46,93.2839,93.9839,92.3839,93.5539,ok,1426032000,961300
47,94.8295,94.9395,93.0895,93.3195,ok,1426118400,733000
48,94.4474,94.7474,93.7174,94.5274,ok,1426204800,747700
49,94.9944,95.7444,94.5144,94.7844,ok,1426464000,1114300
50,94.6732,95.0032,93.8732,94.8432,ok,1426550400,797000
51,95.3765,95.6865,93.0065,94.7565,ok,1426636800,1103800
52,95.1594,95.5394,94.7594,95.1494,ok,1426723200,753000
53,97.1566,97.2966,95.2066,95.4466,ok,1426809600,2566200
54,97.1913,97.9113,96.5513,96.6913,ok,1427068800,1040600
55,96.5053,97.9653,96.4653,97.1853,ok,1427155200,700000
56,95.5502,97.5102,95.5202,97.2902,ok,1427241600,677700
57,95.2029,95.6229,94.7529,95.5429,ok,1427328000,755600
58,95.5328,95.6428,94.7728,95.2228,ok,1427414400,537300
59,96.1754,96.7854,94.8954,95.4154,ok,1427673600,665400
60,95.8541,96.9341,95.8041,95.8041,ok,1427760000,686900
61,95.4547,95.6747,94.6147,95.3447,ok,1427846400,836000
62,95.6891,96.2591,94.9891,95.2091,ok,1427932800,900700
63,96.7051,98.035,95.6951,97.7351,ok,1428278400,1121000
64,96.0625,97.5225,96.0325,96.4825,ok,1428364800,610200
65,95.9496,96.4396,95.3696,96.1496,ok,1428451200,586900
66,96.2882,96.3783,95.2882,96.0082,ok,1428537600,667700
67,96.0972,96.6172,95.7972,96.3172,ok,1428624000,568300
68,96.1667,96.5367,95.4167,95.6567,ok,1428883200,485000
69,96.3751,96.8351,95.7451,96.0251,ok,1428969600,459600
70,95.9323,97.3623,95.8322,96.3923,ok,1429056000,522200
71,95.828,96.4481,95.468,95.938,ok,1429142400,396600
72,94.8729,95.8529,94.3729,95.7629,ok,1429228800,723400
73,94.8292,95.8992,94.7392,95.4092,ok,1429488000,638100
74,95.2663,96.1963,94.7563,95.1963,ok,1429574400,752200
75,95.1964,95.8064,94.5964,95.7064,ok,1429660800,584300
76,95.38,95.89,94.69,94.94,ok,1429747200,543600
77,95.5023,95.7923,95.1123,95.3023,ok,1429833600,478500
78,94.6805,95.8305,93.9705,95.6605,ok,1430092800,885100
79,94.698,95.178,94.318,94.778,ok,1430179200,669600
80,93.6402,95.3602,93.4302,94.8102,ok,1430265600,897100
81,92.7572,94.1372,92.5172,93.7672,ok,1430352000,1379700
82,92.8359,95.1459,92.5959,93.6159,ok,1430438400,1267700
83,93.1157,93.9357,93.0157,93.1157,ok,1430697600,1006100
84,92.4338,93.8337,92.2538,93.5837,ok,1430784000,1133500
85,93.0894,93.1394,92.0394,92.6394,ok,1430870400,1026400
86,93.6315,94.0715,92.6015,93.1515,ok,1430956800,857900
87,94.0598,94.8198,93.4098,94.4698,ok,1431043200,661300
88,93.5003,94.4503,93.5003,93.8903,ok,1431302400,512900
89,93.9724,94.2724,92.8724,93.4724,ok,1431388800,693800
90,93.7101,94.9401,93.5901,93.9901,ok,1431475200,691500
91,94.8292,95.0492,93.7592,94.1092,ok,1431561600,613700
92,95.4674,95.5974,94.9174,94.9174,ok,1431648000,533600
93,95.7471,96.1171,95.2271,95.4171,ok,1431907200,508000
94,96.5077,96.6177,95.2277,95.6277,ok,1431993600,600000
95,96.499,97.149,96.069,96.449,ok,1432080000,640400
96,95.9744,96.6244,95.6644,96.2644,ok,1432166400,578700
97,95.9832,96.4232,95.6632,95.8832,ok,1432252800,487700
98,95.2838,96.2538,95.1338,96.1038,ok,1432598400,582600
99,95.7908,96.0508,94.7808,95.1609,ok,1432684800,580100
100,95.2313,96.1813,94.8113,95.5613,ok,1432771200,872800
101,94.121,95.761,93.971,95.531,ok,1432857600,1459800
102,94.3396,94.6996,93.4696,94.5096,ok,1433116800,489600
103,93.4479,94.4279,93.1579,94.3879,ok,1433203200,637200
104,93.6664,93.7064,92.8964,93.3964,ok,1433289600,576000
