,c,h,l,o,s,t,v
0,18.247,18.757,17.927,18.507,ok,1420156800,277100
1,17.7624,18.5024,17.7124,18.1824,ok,1420416000,305700
2,16.8061,17.7261,16.3561,17.2161,ok,1420502400,868700
3,15.9089,17.2488,15.3889,17.2189,ok,1420588800,1013400
4,15.9416,16.2516,15.4016,15.4016,ok,1420675200,719000
5,15.8892,16.1192,15.8092,15.9792,ok,1420761600,338400
6,15.8106,16.1706,15.7206,16.0206,ok,1421020800,327300
7,15.6289,16.3789,15.3089,16.0289,ok,1421107200,436900
8,15.6888,15.8088,15.3288,15.6088,ok,1421193600,297400
9,15.6422,15.9822,15.4822,15.8822,ok,1421280000,257600
10,16.0549,16.1749,15.3049,15.4949,ok,1421366400,351500
11,15.7753,16.1953,15.4653,16.1153,ok,1421712000,290000
12,15.8818,16.0418,15.5518,15.7418,ok,1421798400,220700
13,16.2945,16.3145,15.6345,15.7945,ok,1421884800,330100
14,16.1481,16.4881,16.0981,16.3981,ok,1421971200,182500
15,16.2612,16.3312,15.8012,16.0912,ok,1422230400,267500
16,16.015,16.425,15.945,16.195,ok,1422316800,193700
17,15.7886,16.5086,15.7386,16.4186,ok,1422403200,176400
18,16.1148,16.1448,15.2248,15.5648,ok,1422489600,256500
19,15.4958,16.4058,15.1658,16.2258,ok,1422576000,283300
20,15.9085,15.9385,14.8885,14.8885,ok,1422835200,331300
21,16.2013,16.3713,15.7313,15.7313,ok,1422921600,273600
22,16.1081,16.3881,16.0081,16.2481,ok,1423008000,254200
23,16.1614,16.2514,15.9214,16.2514,ok,1423094400,188800
24,16.1414,16.4114,16.0114,16.2714,ok,1423180800,196500
25,15.9617,16.4017,15.8917,16.2117,ok,1423440000,205700
26,15.9218,16.1418,15.6318,16.1418,ok,1423526400,230600
27,15.9085,16.0685,15.7285,15.9485,ok,1423612800,170900
28,15.9351,15.9851,15.7051,15.9851,ok,1423699200,183700
29,16.0349,16.1149,15.8549,15.9049,ok,1423785600,189400
30,16.0349,16.1449,15.7649,16.0249,ok,1424131200,165700
31,15.9417,16.1817,15.8217,16.0517,ok,1424217600,144200
32,15.8818,16.0318,15.7718,15.9118,ok,1424304000,108700
33,15.9351,16.0151,15.7751,15.8851,ok,1424390400,199800
34,15.9817,16.0017,15.6717,15.7717,ok,1424649600,200000
35,15.995,16.145,15.835,15.985,ok,1424736000,204500
36,15.5224,16.3824,15.4824,16.3124,ok,1424822400,310300
37,14.5373,15.4273,13.8673,15.4173,ok,1424908800,749000
38,14.1645,14.7845,14.0045,14.0945,ok,1424995200,769400
39,14.3043,14.6443,14.0143,14.0943,ok,1425254400,370200
40,14.1246,14.4346,14.0846,14.3746,ok,1425340800,293800
41,14.0447,14.2247,13.9447,14.1947,ok,1425427200,234000
42,14.5106,14.5406,13.7806,13.9606,ok,1425513600,296900
43,13.885,14.685,13.795,14.665,ok,1425600000,303100
44,13.9515,14.0715,13.7815,13.9515,ok,1425859200,275600
45,13.7984,14.0884,13.6784,13.9084,ok,1425945600,270400
46,13.9382,14.0882,13.6382,13.8782,ok,1426032000,254300
47,14.0181,14.4381,13.8481,13.9581,ok,1426118400,275600
48,13.8916,14.3216,13.6516,14.1016,ok,1426204800,294700
49,14.0846,14.1746,13.7946,13.8746,ok,1426464000,359800
50,14.1113,14.3513,13.5913,14.0613,ok,1426550400,635400
51,14.1712,14.2512,13.7512,13.9512,ok,1426636800,322900
52,14.251,14.341,13.951,14.1311,ok,1426723200,215300
