,c,h,l,o,s,t,v
0,28.8093,28.8723,28.8093,28.8583,ok,1420156800,1200
1,28.7725,28.9325,28.7725,28.9125,ok,1420416000,6200
2,29.8356,29.8356,29.7926,29.8226,ok,1420502400,2700
3,29.9647,29.9647,29.8047,29.8047,ok,1420588800,400
4,29.9946,29.9946,29.9686,29.9686,ok,1420675200,900
5,29.9051,30.0551,29.8751,30.0551,ok,1420761600,700
6,30.392,30.572,30.362,30.572,ok,1421020800,10200
7,31.2067,31.2267,31.1867,31.2267,ok,1421107200,600
8,30.8092,30.8092,30.6392,30.7892,ok,1421193600,1800
9,30.7298,30.8288,30.6198,30.8288,ok,1421280000,3200
10,30.7993,31.0493,30.5893,31.0293,ok,1421366400,14300
11,32.0313,32.0513,31.8013,31.8413,ok,1421712000,6400
12,32.6671,32.6671,32.5371,32.5371,ok,1421798400,1800
13,33.1639,33.1639,32.8439,33.1139,ok,1421884800,8500
14,32.2896,32.3596,32.2896,32.3596,ok,1421971200,4500
15,33.0844,33.1044,32.9954,33.0334,ok,1422230400,8600
16,32.8062,32.8962,32.7262,32.7822,ok,1422316800,7400
17,32.0412,32.3012,32.0412,32.3012,ok,1422403200,3500
18,32.3293,32.3293,32.1693,32.2693,ok,1422489600,1200
19,30.9682,31.7382,30.9682,31.7382,ok,1422576000,3100
20,32.0015,32.1315,31.8415,31.9215,ok,1422835200,203500
21,33.0645,33.0645,32.7346,32.7346,ok,1422921600,18400
22,33.6607,33.7607,33.0807,33.0807,ok,1423008000,1100
23,32.7864,32.8164,32.6764,32.8164,ok,1423094400,2200
24,31.5445,32.3085,31.4945,31.4945,ok,1423180800,9800
25,31.5941,31.6341,31.5941,31.6151,ok,1423440000,8900
26,32.3591,32.5091,32.3591,32.4291,ok,1423526400,21000
27,33.1142,33.1142,33.1142,33.1142,ok,1423699200,100
28,33.6706,33.6976,33.3606,33.3606,ok,1423785600,6900
29,34.8231,34.8531,34.6031,34.6031,ok,1424131200,3000
30,34.8032,34.9732,34.7932,34.9732,ok,1424217600,6000
31,34.8132,34.8602,34.8132,34.8232,ok,1424304000,2000
32,34.9224,34.9224,34.7324,34.7324,ok,1424390400,4300
33,34.8946,34.9726,34.8286,34.9726,ok,1424649600,105800
34,35.4093,35.4093,35.0393,35.0393,ok,1424736000,201100
35,34.535,34.705,34.465,34.705,ok,1424822400,4600
36,34.8827,34.9327,34.6827,34.6827,ok,1424908800,6000
37,35.151,35.2509,35.151,35.2509,ok,1424995200,3000
38,35.7868,35.7968,35.5368,35.5368,ok,1425254400,10200
39,35.141,35.331,35.125,35.331,ok,1425340800,7700
40,35.7272,35.7372,35.5472,35.5472,ok,1425427200,13900
41,36.1047,36.1947,35.8947,35.8947,ok,1425513600,9900
42,34.833,35.123,34.793,35.123,ok,1425600000,30300
43,35.6179,35.6879,35.4079,35.4079,ok,1425859200,6900
44,36.0551,36.2251,35.9651,35.9651,ok,1425945600,14200
45,36.2438,36.2938,36.0538,36.0538,ok,1426032000,15600
46,36.2339,36.3889,36.2239,36.3659,ok,1426118400,42400
47,36.83,36.83,36.58,36.76,ok,1426204800,25100
48,38.6184,38.6384,38.4984,38.6384,ok,1426464000,27700
49,38.5587,38.6187,38.3487,38.3787,ok,1426550400,19900
50,39.5622,39.6322,39.0722,39.1022,ok,1426636800,42600
51,39.4231,39.8331,39.3091,39.6631,ok,1426723200,50300
52,40.6849,40.7249,40.3349,40.3349,ok,1426809600,42200
53,41.1121,41.3021,41.0971,41.3021,ok,1427068800,91600
54,41.8771,41.9071,41.6971,41.9071,ok,1427155200,53500
55,42.3441,42.6741,42.2841,42.6741,ok,1427241600,78300
56,41.0922,41.5422,40.3322,41.5422,ok,1427328000,61300
57,42.0758,42.0858,41.7458,41.7458,ok,1427414400,29200
58,43.0793,43.0993,42.6793,42.7893,ok,1427673600,85300
59,42.5229,42.6929,42.2529,42.6929,ok,1427760000,75400
60,44.1722,44.2582,43.9422,44.0822,ok,1427846400,124900
61,45.0167,45.0667,44.7067,44.7067,ok,1427932800,177400
62,46.3877,46.4707,45.6477,45.6977,ok,1428278400,219500
63,46.0241,46.3501,45.9531,46.3501,ok,1428364800,142700
64,44.7981,45.6081,44.3981,45.6081,ok,1428451200,153600
65,43.4072,44.3372,43.2672,44.1172,ok,1428537600,259800
66,45.275,45.305,44.765,44.765,ok,1428624000,103300
67,45.7022,46.1122,45.7022,46.1122,ok,1428883200,64600
68,45.7618,45.8118,45.4218,45.7318,ok,1428969600,51800
69,44.1622,44.4922,43.6322,44.0522,ok,1429056000,73500
70,45.2849,45.2949,44.8149,44.8149,ok,1429142400,43600
71,41.5294,44.3994,41.2804,44.3994,ok,1429228800,356500
72,43.5562,43.7262,42.4442,42.5562,ok,1429488000,70700
73,45.3942,45.5042,45.2042,45.2542,ok,1429574400,140000
74,46.7384,47.1554,46.2954,46.2954,ok,1429660800,67600
75,47.2521,47.2991,46.7821,47.2021,ok,1429747200,73800
76,48.0469,48.1169,47.9369,48.1169,ok,1429833600,57500
77,47.9078,48.2478,47.8078,48.2478,ok,1430092800,64900
78,46.5765,46.9565,46.4265,46.9565,ok,1430179200,60200
79,47.5402,47.6102,47.3702,47.3702,ok,1430265600,36800
80,47.6098,48.0398,47.6098,47.8098,ok,1430352000,61500
81,47.9277,47.9977,47.7177,47.7177,ok,1430438400,28100
82,48.0668,48.0768,47.8348,48.0168,ok,1430697600,44700
83,46.4523,46.7873,46.3873,46.3873,ok,1430784000,53300
