,c,h,l,o,s,t,v
0,10.0495,10.1995,9.8595,10.0895,ok,1420156800,139100
1,9.9938,10.1438,9.9438,9.9538,ok,1420416000,229900
2,10.0743,10.1743,9.8243,10.0243,ok,1420502400,476500
3,10.1857,10.3457,10.1157,10.1157,ok,1420588800,282700
4,10.3589,10.4389,10.1489,10.2089,ok,1420675200,182300
5,10.4703,10.5303,10.2003,10.3003,ok,1420761600,156300
6,10.5198,10.5198,10.1798,10.4298,ok,1421020800,199800
7,10.4765,10.6465,10.3965,10.6165,ok,1421107200,231700
8,10.4456,10.5156,10.2656,10.2956,ok,1421193600,185300
9,10.3342,10.6042,10.3342,10.5642,ok,1421280000,174600
10,10.3032,10.4932,10.1532,10.3032,ok,1421366400,194400
11,10.3222,10.4822,10.0222,10.4822,ok,1421712000,221600
12,10.3981,10.4381,10.0981,10.3281,ok,1421798400,186100
13,10.5815,10.7015,10.1815,10.2415,ok,1421884800,204000
14,10.3855,10.6955,10.2855,10.6155,ok,1421971200,112300
15,10.512,10.582,10.3119,10.5519,ok,1422230400,128600
16,10.4361,10.5461,10.3961,10.4761,ok,1422316800,111200
17,10.3285,10.5785,10.1985,10.5285,ok,1422403200,129000
18,10.3032,10.6832,10.2332,10.5132,ok,1422489600,187400
19,10.2463,10.3663,10.2063,10.2963,ok,1422576000,131100
20,10.455,10.585,10.085,10.135,ok,1422835200,165900
21,10.6954,10.6954,10.2854,10.2854,ok,1422921600,407200
22,10.5056,10.7456,10.3656,10.7456,ok,1423008000,97100
23,10.5562,10.6262,10.3962,10.6262,ok,1423094400,104200
24,10.4803,10.6103,10.4203,10.5403,ok,1423180800,125500
25,10.3412,10.5612,10.2912,10.5612,ok,1423440000,115800
26,10.3412,10.4612,10.1512,10.4612,ok,1423526400,123900
27,10.3285,10.4685,10.0485,10.3185,ok,1423612800,203700
28,10.4867,10.6067,10.0667,10.0667,ok,1423699200,132300
29,10.5056,10.5456,10.1656,10.3556,ok,1423785600,143100
30,10.4361,10.6161,10.2761,10.5561,ok,1424131200,145700
31,10.3538,10.5038,10.2538,10.3538,ok,1424217600,88700
32,10.4234,10.4734,10.2334,10.4734,ok,1424304000,119900
33,10.4108,10.4308,10.2008,10.4308,ok,1424390400,129500
34,10.5373,10.5373,10.1973,10.3173,ok,1424649600,124700
35,10.5373,10.5673,10.3873,10.5473,ok,1424736000,118800
36,10.4234,10.6334,10.2434,10.6034,ok,1424822400,90800
37,10.3475,10.5775,10.2575,10.4475,ok,1424908800,77200
38,10.4361,10.4761,10.2061,10.3461,ok,1424995200,127900
39,10.6827,10.7027,10.1527,10.3527,ok,1425254400,200600
40,10.5689,10.7989,10.3989,10.7689,ok,1425340800,194400
41,10.4867,10.8067,10.2866,10.3267,ok,1425427200,204500
42,10.4487,10.5987,10.2787,10.4887,ok,1425513600,142800
43,10.3855,10.5855,10.2155,10.4155,ok,1425600000,110500
44,10.3159,10.5259,10.2559,10.4759,ok,1425859200,142700
45,10.3349,10.4349,10.2449,10.2449,ok,1425945600,124200
46,10.2147,10.4647,10.0747,10.4647,ok,1426032000,354400
47,10.6701,10.6901,10.0001,10.0001,ok,1426118400,148100
48,10.5942,10.6342,10.1542,10.6342,ok,1426204800,145400
49,10.708,10.708,10.438,10.528,ok,1426464000,188400
50,10.6574,10.7274,10.4874,10.7174,ok,1426550400,152600
51,10.689,10.779,10.439,10.559,ok,1426636800,136800
52,10.5436,10.7636,10.4636,10.7136,ok,1426723200,65000
53,10.7143,10.7243,10.3943,10.4543,ok,1426809600,97900
54,10.7776,10.8276,10.5176,10.5176,ok,1427068800,152600
55,10.8408,10.8408,10.6408,10.6408,ok,1427155200,152500
56,10.8408,10.8508,10.6408,10.7508,ok,1427241600,162800
57,10.8472,10.8472,10.5772,10.6872,ok,1427328000,110500
58,10.8472,10.9372,10.6972,10.7872,ok,1427414400,110800
59,10.8472,10.9172,10.6972,10.8472,ok,1427673600,133000
60,10.8155,10.8655,10.6855,10.8355,ok,1427760000,148500
61,10.6827,10.8627,10.5727,10.8627,ok,1427846400,94300
62,10.6637,10.7337,10.6037,10.6237,ok,1427932800,104700
63,10.727,10.807,10.577,10.627,ok,1428278400,112500
64,10.746,10.986,10.676,10.676,ok,1428364800,86400
65,10.7523,10.7923,10.6923,10.7523,ok,1428451200,73500
66,10.8155,10.8555,10.6255,10.7355,ok,1428537600,143300
67,10.8345,10.9045,10.7445,10.8545,ok,1428624000,130000
68,10.7586,11.0786,10.7586,10.9986,ok,1428883200,194400
69,11.0685,11.0685,10.5685,10.6685,ok,1428969600,220000
70,11.0496,11.0796,10.9796,11.0796,ok,1429056000,175600
71,11.0685,11.0785,10.9785,11.0385,ok,1429142400,128900
72,11.0496,11.1096,10.9896,11.0296,ok,1429228800,280400
73,11.1594,11.1994,10.9894,11.0394,ok,1429488000,141500
74,11.0819,11.2219,11.0419,11.1319,ok,1429574400,87000
75,11.056,11.166,11.056,11.116,ok,1429660800,82800
76,11.1916,11.2116,10.8616,10.9916,ok,1429747200,177900
77,11.2175,11.3475,11.1275,11.3275,ok,1429833600,189300
78,11.1594,11.2794,11.0394,11.2694,ok,1430092800,196900
79,11.2368,11.2368,11.0668,11.1269,ok,1430179200,129500
80,11.1594,11.3194,11.1394,11.3194,ok,1430265600,153400
81,11.1206,11.2506,11.0606,11.2506,ok,1430352000,96500
82,10.8042,11.3742,10.7342,11.2442,ok,1430438400,347500
83,11.0237,11.1337,10.6037,10.7637,ok,1430697600,737800
84,10.8946,11.1546,10.8246,11.1046,ok,1430784000,99700
85,10.7912,10.9812,10.6912,10.9812,ok,1430870400,145100
86,10.7138,10.7238,10.0238,10.3238,ok,1430956800,413200
87,10.4877,10.8777,10.4577,10.8677,ok,1431043200,215000
88,10.5394,10.6794,10.4694,10.4894,ok,1431302400,146700
89,10.3392,10.5992,10.3292,10.5992,ok,1431388800,184200
90,10.7525,10.7525,10.0825,10.1125,ok,1431475200,245600
91,10.7267,10.7667,10.6167,10.7667,ok,1431561600,144100
92,10.6104,10.8004,10.5104,10.7404,ok,1431648000,120000
93,10.5975,10.7875,10.5575,10.6175,ok,1431907200,109900
94,10.6363,10.6863,10.4163,10.5463,ok,1431993600,140800
95,10.8623,10.8723,10.5523,10.5623,ok,1432080000,146400
96,10.7977,10.9677,10.7077,10.9177,ok,1432166400,112000
97,10.6363,10.8863,10.6363,10.8763,ok,1432252800,101800
98,10.5458,10.7158,10.5058,10.5958,ok,1432598400,66200
99,10.7267,10.7967,10.3667,10.5867,ok,1432684800,103900
100,10.5394,10.8694,10.5294,10.7594,ok,1432771200,108100
101,10.5523,10.6023,10.2923,10.4523,ok,1432857600,203800
102,10.6298,10.6698,10.4898,10.5298,ok,1433116800,62900
103,10.7331,10.7731,10.4831,10.5931,ok,1433203200,79600
104,10.7331,10.7731,10.6231,10.7431,ok,1433289600,74500
105,10.6879,10.7379,10.6379,10.7379,ok,1433376000,149500
106,10.7202,10.7802,10.5902,10.6702,ok,1433462400,85000
107,10.5458,10.8558,10.5258,10.8158,ok,1433721600,105700
108,10.52,10.66,10.48,10.52,ok,1433808000,100000
109,10.5394,10.7094,10.4894,10.5394,ok,1433894400,89400
110,10.6169,10.6169,10.4969,10.5769,ok,1433980800,72200
111,10.7654,10.8154,10.4154,10.4954,ok,1434067200,89100
112,10.7008,10.7308,10.5608,10.6808,ok,1434326400,74900
113,10.6104,10.7804,10.5904,10.7604,ok,1434412800,78000
114,10.5588,10.8388,10.5588,10.6788,ok,1434499200,77400
115,10.6427,10.7627,10.5127,10.5827,ok,1434585600,87300
116,10.7912,10.8212,10.4812,10.5512,ok,1434672000,88100
117,10.7912,10.8612,10.6812,10.8012,ok,1434931200,112600
118,11.0044,11.0044,10.5644,10.6944,ok,1435017600,121100
119,10.7654,11.1354,10.7654,11.0654,ok,1435104000,162500
120,10.7912,10.8412,10.5812,10.7512,ok,1435190400,119800
121,10.6427,10.9727,10.5827,10.9127,ok,1435276800,78000
122,10.4942,10.6442,10.3242,10.6442,ok,1435536000,165100
123,10.5911,10.6011,10.3611,10.5011,ok,1435622400,99700
124,10.8106,10.8706,10.5706,10.8506,ok,1435708800,94500
125,10.6944,10.8744,10.6744,10.7744,ok,1435795200,55900
126,10.6104,10.7104,10.5504,10.6604,ok,1436140800,61700
127,10.6363,10.6663,10.4063,10.6563,ok,1436227200,64000
128,10.6427,10.8727,10.4427,10.5427,ok,1436313600,112400
129,10.6363,10.8063,10.5663,10.7663,ok,1436400000,64900
130,10.7719,10.8319,10.6219,10.7119,ok,1436486400,80900
131,10.8623,10.9123,10.7423,10.7923,ok,1436745600,92600
132,10.8494,10.9794,10.8294,10.9094,ok,1436832000,125200
133,10.7783,10.9383,10.7783,10.8483,ok,1436918400,75300
134,10.9656,11.0556,10.6456,10.6456,ok,1437004800,104700
135,10.9721,11.1221,10.8821,11.0021,ok,1437091200,131100
136,11.0117,11.1917,10.8717,11.1017,ok,1437350400,117500
137,10.9787,11.0487,10.7687,11.0287,ok,1437436800,108100
138,11.1106,11.1306,10.7806,10.8906,ok,1437523200,119700
139,10.9061,11.2661,10.8661,11.2261,ok,1437609600,155000
140,10.8071,11.0571,10.7171,11.0571,ok,1437696000,114500
141,10.9853,11.0753,10.5153,11.0753,ok,1437955200,245600
142,11.0512,11.1012,10.7612,11.1012,ok,1438041600,112400
143,11.2558,11.2958,10.8258,11.0358,ok,1438128000,161600
144,11.2162,11.2862,11.1262,11.2662,ok,1438214400,68900
145,11.104,11.284,11.014,11.224,ok,1438300800,49300
146,11.0446,11.1546,10.9946,11.1246,ok,1438560000,68700
147,11.0974,11.2674,11.0374,11.1774,ok,1438646400,77000
148,10.9523,11.3523,10.9023,11.3523,ok,1438732800,99500
149,11.1568,11.2368,10.8968,11.2368,ok,1438819200,130300
150,11.2558,11.2958,11.0658,11.0758,ok,1438905600,110100
151,11.0974,11.3474,10.9774,11.3374,ok,1439164800,132100
152,11.0314,11.2515,10.9215,11.1615,ok,1439251200,113400
153,11.038,11.178,10.808,10.838,ok,1439337600,87500
154,10.9919,11.1119,10.8519,11.0719,ok,1439424000,61900
155,10.9193,11.0893,10.8693,11.0893,ok,1439510400,72300
156,10.9787,11.0187,10.7887,10.8387,ok,1439769600,87200
157,10.9457,11.0557,10.9257,10.9657,ok,1439856000,49400
158,10.8731,11.0831,10.8431,10.9631,ok,1439942400,114600
159,10.7675,11.1975,10.7075,10.9275,ok,1440028800,165700
160,10.7543,10.8543,10.7143,10.7143,ok,1440115200,118500
161,10.4706,11.1806,4.3006,10.6006,ok,1440374400,661600
162,10.7543,10.9643,10.4143,10.5643,ok,1440460800,305700
163,10.7477,10.8777,10.0777,10.0777,ok,1440547200,319000
164,10.8269,11.3069,10.7569,10.9269,ok,1440633600,142100
165,10.8269,11.2569,10.7169,10.8869,ok,1440720000,94000
166,11.0183,11.1183,10.5983,10.7583,ok,1440979200,108400
167,10.7807,11.0807,10.6507,10.6507,ok,1441065600,105200
168,10.9193,11.0193,10.5693,10.7293,ok,1441152000,91100
169,10.9919,11.2119,10.8519,10.8819,ok,1441238400,82100
170,10.8467,11.0367,10.6867,10.9767,ok,1441324800,89700
171,10.8533,11.2133,10.7033,10.9633,ok,1441670400,82300
172,10.8533,10.9033,10.7833,10.9033,ok,1441756800,80000
173,10.7411,10.9611,10.6611,10.9411,ok,1441843200,68400
174,10.7214,10.8114,10.6414,10.7614,ok,1441929600,102400
175,10.6422,10.7622,10.6322,10.7422,ok,1442188800,45900
176,10.7148,10.8148,10.5748,10.6148,ok,1442275200,77700
