,c,h,l,o,s,t,v
0,12.29,13.0,11.92,12.0,ok,1430956800,1405300
1,12.95,13.3,12.0,12.26,ok,1431043200,123100
2,12.7,13.07,12.65,12.8,ok,1431302400,36300
3,12.99,13.91,12.527,12.6,ok,1431388800,46400
4,13.25,13.64,12.92,13.22,ok,1431475200,47500
5,14.9,15.81,13.41,13.72,ok,1431561600,127100
6,15.62,17.33,14.84,15.34,ok,1431648000,132800
7,15.6,16.11,15.21,16.11,ok,1431907200,34800
8,15.98,17.89,15.32,15.34,ok,1431993600,44100
9,16.68,17.31,15.61,16.97,ok,1432080000,175700
10,16.65,17.7,16.16,17.64,ok,1432166400,105000
11,17.82,17.92,16.32,16.54,ok,1432252800,63200
12,17.39,17.98,16.61,17.52,ok,1432598400,52200
13,16.91,17.97,15.6,17.35,ok,1432684800,173300
14,16.7,16.866,16.35,16.82,ok,1432771200,40200
15,17.0,17.3,15.87,16.37,ok,1432857600,140200
16,16.8,17.15,16.502,17.05,ok,1433116800,101000
17,17.54,18.86,16.5,16.79,ok,1433203200,141300
18,18.33,18.67,17.324,17.7,ok,1433289600,85000
19,18.99,19.98,18.57,18.73,ok,1433376000,83500
20,19.08,19.26,18.71,18.71,ok,1433462400,21400
21,18.82,19.19,18.11,18.7,ok,1433721600,48800
22,19.21,19.5,18.634,18.82,ok,1433808000,57500
23,19.49,19.75,18.49,19.13,ok,1433894400,200000
24,19.5,19.51,18.605,19.29,ok,1433980800,164400
25,19.19,19.5,18.76,19.26,ok,1434067200,95200
26,19.39,19.505,18.59,18.69,ok,1434326400,79500
27,18.87,19.5,18.69,19.09,ok,1434412800,52600
28,19.41,19.665,18.425,19.0,ok,1434499200,68300
29,19.37,20.62,19.06,19.38,ok,1434585600,119400
30,18.79,20.085,18.49,19.35,ok,1434672000,157600
31,19.14,19.48,16.11,19.2,ok,1434931200,162500
32,17.81,19.19,17.71,19.0,ok,1435017600,79700
33,18.8,19.14,17.506,17.89,ok,1435104000,63900
34,19.18,19.38,18.0,18.97,ok,1435190400,60500
35,18.53,18.76,18.0,18.7,ok,1435276800,846300
36,17.61,18.55,17.54,18.5,ok,1435536000,103000
37,17.84,18.4,17.71,17.77,ok,1435622400,43300
38,16.91,18.5,14.52,17.75,ok,1435708800,120800
39,16.98,17.18,15.56,16.7,ok,1435795200,105500
40,16.64,16.82,15.77,16.82,ok,1436140800,76800
41,17.77,18.05,16.0,16.33,ok,1436227200,45100
42,18.12,18.485,16.396,17.66,ok,1436313600,33700
43,17.19,18.339,16.93,18.26,ok,1436400000,48800
44,18.67,18.69,16.57,17.31,ok,1436486400,26600
45,18.89,18.97,17.974,18.65,ok,1436745600,16900
46,19.47,19.71,18.395,18.77,ok,1436832000,66600
47,19.3,19.79,19.0,19.42,ok,1436918400,80700
48,19.5,19.6,19.03,19.38,ok,1437004800,48600
49,19.36,19.755,19.15,19.5,ok,1437091200,86700
50,19.35,19.75,18.89,19.75,ok,1437350400,36400
51,18.73,19.414,18.26,19.35,ok,1437436800,52400
52,19.2,19.75,18.69,18.69,ok,1437523200,25500
53,19.17,19.5,19.02,19.09,ok,1437609600,34400
54,18.82,19.26,18.47,19.26,ok,1437696000,22300
55,19.19,19.39,18.32,18.88,ok,1437955200,42100
56,19.12,19.46,18.85,19.18,ok,1438041600,30100
57,19.0,19.31,17.93,19.25,ok,1438128000,72800
58,19.34,19.94,18.14,19.07,ok,1438214400,125300
59,20.03,20.16,19.18,19.44,ok,1438300800,50700
60,19.35,20.12,18.61,20.11,ok,1438560000,71000
61,19.18,19.66,19.08,19.3,ok,1438646400,39900
62,19.58,20.0,18.38,19.4,ok,1438732800,79900
63,18.97,19.835,18.75,19.48,ok,1438819200,68800
64,17.01,18.81,16.545,18.81,ok,1438905600,118600
65,18.12,18.94,16.14,17.02,ok,1439164800,66700
66,17.22,18.09,16.86,18.09,ok,1439251200,52900
