,c,h,l,o,s,t,v
0,23.2965,23.4165,22.5665,22.7164,ok,1420156800,189600
1,22.374,23.604,22.114,23.534,ok,1420416000,234200
2,21.6161,22.8861,21.4861,22.4161,ok,1420502400,121500
3,21.8091,22.1891,21.5091,21.6591,ok,1420588800,124200
4,22.2954,22.8254,21.4754,21.4754,ok,1420675200,180900
5,22.2668,22.9368,21.8468,22.1868,ok,1420761600,200900
6,21.3158,22.5258,21.1958,22.4858,ok,1421020800,203400
7,20.9511,21.6511,20.5711,21.4011,ok,1421107200,179500
8,21.802,21.922,19.672,20.312,ok,1421193600,270800
9,21.4802,22.6702,21.3202,22.3802,ok,1421280000,131400
10,21.8091,21.8591,21.2291,21.2291,ok,1421366400,155000
11,22.7316,22.8416,21.1416,21.3516,ok,1421712000,225900
12,22.7745,23.3545,22.1745,22.9145,ok,1421798400,120800
13,23.1105,23.2705,22.3705,22.7905,ok,1421884800,100600
14,23.1391,23.3791,22.6391,23.1891,ok,1421971200,146800
15,22.8674,23.4874,22.4774,22.9474,ok,1422230400,295200
16,22.7745,23.0445,21.9145,22.7545,ok,1422316800,162300
17,22.4169,23.3469,22.2669,22.7169,ok,1422403200,104100
18,22.812,22.922,21.542,22.382,ok,1422489600,118100
19,22.9787,23.3587,22.6087,22.6687,ok,1422576000,98200
20,23.1672,23.4772,22.7172,22.7672,ok,1422835200,77600
21,22.957,23.727,22.737,23.387,ok,1422921600,126500
22,22.7757,23.4358,22.3557,23.0257,ok,1423008000,104800
23,22.9135,23.2735,22.4035,22.6035,ok,1423094400,94100
24,22.9062,23.3362,22.5762,22.8662,ok,1423180800,88100
25,22.87,23.82,22.87,22.92,ok,1423440000,141600
26,22.841,23.391,22.581,23.221,ok,1423526400,91600
27,22.5003,22.9603,22.4603,22.9603,ok,1423612800,55100
28,22.957,23.257,22.507,22.507,ok,1423699200,92600
29,22.5873,22.9773,22.0173,22.0173,ok,1423785600,1015600
30,22.5873,23.0173,21.7573,22.7173,ok,1424131200,652900
31,22.5438,22.7638,22.1338,22.7638,ok,1424217600,120500
