,c,h,l,o,s,t,v
0,6.0173,6.3773,5.8573,5.9273,ok,1420156800,19500
1,5.9771,6.2471,5.8871,6.1071,ok,1420416000,15300
2,6.138,6.298,5.438,5.658,ok,1420502400,67200
3,6.1875,6.1875,5.9475,5.9475,ok,1420588800,21400
4,6.2989,6.4089,5.9889,5.9889,ok,1420675200,40200
5,6.3112,6.3612,6.2812,6.3112,ok,1420761600,23600
6,6.302,6.412,6.282,6.412,ok,1421020800,36400
7,6.334,6.474,6.054,6.334,ok,1421107200,38300
8,6.312,6.422,6.102,6.282,ok,1421193600,26800
9,6.2491,6.4291,6.2391,6.3791,ok,1421280000,25900
10,6.2711,6.3811,6.1911,6.1911,ok,1421366400,24400
11,6.2617,6.4317,6.1517,6.4317,ok,1421712000,36300
12,6.2932,6.4432,6.1032,6.1932,ok,1421798400,46600
13,6.2586,6.5186,6.1886,6.2786,ok,1421884800,35600
14,6.2554,6.2654,6.2054,6.2154,ok,1421971200,18200
15,6.2711,6.3911,6.2011,6.3211,ok,1422230400,24700
16,6.2837,6.3337,6.2337,6.3337,ok,1422316800,30000
17,6.29,6.44,6.27,6.31,ok,1422403200,24000
18,6.3057,6.3557,6.2557,6.2757,ok,1422489600,17600
19,6.2617,6.4317,6.2517,6.3517,ok,1422576000,36100
20,6.2586,6.3486,6.2586,6.3286,ok,1422835200,69200
21,6.3403,6.4303,6.0903,6.1503,ok,1422921600,67300
22,6.3561,6.5761,6.1961,6.2461,ok,1423008000,90400
23,6.5102,6.5602,6.1202,6.1402,ok,1423094400,88000
24,6.658,6.768,6.138,6.138,ok,1423180800,138400
25,6.8467,6.8767,6.1767,6.1767,ok,1423440000,84600
26,6.8561,6.8561,6.5061,6.8561,ok,1423526400,66000
27,6.9398,6.9998,6.3198,6.4698,ok,1423612800,18900
28,6.9398,7.0098,6.8598,6.9698,ok,1423699200,16900
29,6.9079,7.0779,6.8479,7.0079,ok,1423785600,31800
30,6.8695,7.0495,6.6095,6.8795,ok,1424131200,48100
31,6.8504,6.9704,6.7304,6.9704,ok,1424217600,21400
32,6.8695,7.0495,6.8595,6.8795,ok,1424304000,19500
33,6.9334,6.9734,6.7234,6.8234,ok,1424390400,50000
34,7.0196,7.0196,6.7096,6.8296,ok,1424649600,26200
35,7.0228,7.1128,6.7928,7.1128,ok,1424736000,43100
36,7.125,7.255,6.725,6.825,ok,1424822400,34700
37,7.2655,7.3055,6.8255,6.8255,ok,1424908800,63800
38,7.3166,7.4266,7.0366,7.2966,ok,1424995200,99700
39,7.3454,7.4454,6.6254,7.1454,ok,1425254400,160300
40,7.3518,7.5818,7.2118,7.3818,ok,1425340800,81900
41,7.4699,7.6099,6.9399,7.1999,ok,1425427200,178300
42,7.3869,7.9169,7.3269,7.6369,ok,1425513600,131500
43,7.3198,7.8298,7.2998,7.7398,ok,1425600000,56800
44,7.2464,7.6264,6.3864,7.0064,ok,1425859200,84100
45,7.2432,7.5132,6.9132,7.0932,ok,1425945600,26000
46,7.3071,7.3271,7.0571,7.0971,ok,1426032000,18500
47,7.3952,7.4752,7.2652,7.2652,ok,1426118400,16200
48,7.3725,7.5225,7.2725,7.5225,ok,1426204800,25200
49,7.2818,7.7818,7.2118,7.4718,ok,1426464000,34200
50,7.0873,7.6473,7.0673,7.6373,ok,1426550400,42000
51,7.0258,7.1958,7.0058,7.1958,ok,1426636800,25100
52,6.9707,7.1607,6.9607,7.1607,ok,1426723200,38200
53,7.1035,7.1035,6.6835,6.9735,ok,1426809600,24500
54,7.1684,7.1684,6.8684,6.8684,ok,1427068800,16300
55,7.2267,7.2267,7.0267,7.1667,ok,1427155200,13200
56,7.2591,7.4391,7.2091,7.3591,ok,1427241600,19400
57,7.2397,7.2397,7.1097,7.1597,ok,1427328000,9500
58,7.2721,7.2821,7.1121,7.2621,ok,1427414400,10000
59,7.3434,7.5034,7.1134,7.2334,ok,1427673600,25800
60,7.2656,7.5056,7.2456,7.4856,ok,1427760000,26300
61,7.2785,7.4685,7.1985,7.1985,ok,1427846400,16400
62,7.2559,7.4259,7.1659,7.4059,ok,1427932800,34300
63,7.2688,7.4188,7.2188,7.2388,ok,1428278400,24300
64,7.3239,7.4739,7.2239,7.2439,ok,1428364800,30500
65,7.3563,7.5263,7.2763,7.5263,ok,1428451200,25300
66,7.4762,7.4962,7.1962,7.3062,ok,1428537600,39200
67,7.4924,7.6724,7.4024,7.4724,ok,1428624000,57400
68,7.526,7.676,7.476,7.596,ok,1428883200,45300
69,7.5292,7.6292,7.5292,7.5992,ok,1428969600,21300
