,c,h,l,o,s,t,v
0,11.7606,12.0606,10.5206,10.5206,ok,1420156800,71600
1,11.1142,12.4042,10.8242,12.4042,ok,1420416000,38300
2,11.0891,11.5091,10.9691,11.2891,ok,1420502400,35200
3,11.0765,12.0165,10.6765,11.2365,ok,1420588800,26400
4,11.7229,11.9129,10.8029,10.9929,ok,1420675200,31100
5,11.974,12.134,11.314,11.534,ok,1420761600,15400
6,11.7418,13.0218,11.5318,12.4218,ok,1421020800,57200
7,11.3213,12.3513,10.9313,11.8913,ok,1421107200,45900
8,11.8296,11.9796,10.7096,10.7096,ok,1421193600,58500
9,12.0304,12.2904,11.5604,12.0404,ok,1421280000,14800
10,12.8023,13.0023,11.3323,11.3723,ok,1421366400,38000
11,12.0304,13.2204,11.6704,13.2204,ok,1421712000,27700
12,12.5325,12.7825,11.5725,11.7425,ok,1421798400,21200
13,12.4258,13.0058,11.9458,12.5458,ok,1421884800,18300
14,12.5199,12.7699,11.9799,12.3199,ok,1421971200,17400
15,12.0367,12.8567,11.5667,12.8567,ok,1422230400,47500
16,12.0806,12.3806,11.7306,12.1806,ok,1422316800,28700
17,11.872,12.292,11.602,12.062,ok,1422403200,15700
18,11.7897,13.0897,11.6597,13.0897,ok,1422489600,12100
19,11.6505,12.1805,11.2405,11.7705,ok,1422576000,10800
20,12.1821,12.2521,11.0721,11.3421,ok,1422835200,23800
21,12.3719,12.4719,11.9219,12.1219,ok,1422921600,52300
22,12.2643,12.7943,11.9643,12.2143,ok,1423008000,33800
23,12.2896,12.5696,11.7796,12.0896,ok,1423094400,44100
24,12.1757,12.5857,11.7957,12.4257,ok,1423180800,30500
25,12.1757,12.5257,12.0757,12.3057,ok,1423440000,33300
26,12.1757,12.4557,11.9357,12.3657,ok,1423526400,32700
27,12.22,12.34,11.68,11.96,ok,1423612800,18400
28,12.72,13.0,11.87,12.02,ok,1423699200,29900
29,13.3844,13.6944,12.1644,12.5344,ok,1423785600,33300
30,13.2579,13.5979,13.1979,13.4479,ok,1424131200,23100
31,13.0997,13.1397,12.5997,12.6797,ok,1424217600,28400
32,13.0554,13.2454,12.6754,12.7654,ok,1424304000,20300
33,13.3085,13.3385,12.7785,13.0285,ok,1424390400,19900
34,13.3022,13.3722,12.6522,12.9722,ok,1424649600,23800
35,13.7578,14.0178,12.8478,13.1378,ok,1424736000,27200
36,14.1986,14.2186,13.3586,13.6886,ok,1424822400,16500
37,13.3893,14.4293,13.3893,14.2893,ok,1424908800,20900
38,13.4785,13.6985,12.9785,13.4285,ok,1424995200,16000
39,13.829,13.969,12.779,13.279,ok,1425254400,17100
40,14.8359,14.8359,13.0359,13.5159,ok,1425340800,25900
41,14.4472,15.1672,13.8572,15.1672,ok,1425427200,23000
42,14.3261,14.8361,14.1161,14.8361,ok,1425513600,18000
43,13.7971,14.8171,13.6971,14.3871,ok,1425600000,24900
44,13.7334,14.4534,13.7334,13.9234,ok,1425859200,10300
45,13.2491,14.1291,12.8991,13.7691,ok,1425945600,26800
46,13.2427,13.9627,13.1527,13.2627,ok,1426032000,7600
47,13.3064,13.7664,13.1164,13.2464,ok,1426118400,6900
48,12.7138,13.7538,12.4338,13.7538,ok,1426204800,30200
49,12.0446,13.6946,12.0346,13.1746,ok,1426464000,25900
50,12.1338,12.1738,11.8438,11.9438,ok,1426550400,20500
51,12.3186,12.5586,11.4886,11.7786,ok,1426636800,28500
52,12.0765,12.6065,12.0365,12.3065,ok,1426723200,28900
53,12.2995,12.4995,11.9295,12.0895,ok,1426809600,19600
54,12.2358,12.4758,12.0858,12.2358,ok,1427068800,22600
55,12.3378,12.4578,11.9478,12.0978,ok,1427155200,12400
56,12.701,12.751,12.131,12.131,ok,1427241600,14200
57,13.0388,13.2088,12.6488,12.6488,ok,1427328000,13600
58,12.9719,13.1919,12.8519,12.9719,ok,1427414400,4700
59,12.4656,13.6456,12.2056,13.5556,ok,1427673600,16000
60,12.2862,12.6062,12.1262,12.3362,ok,1427760000,12700
61,12.3054,12.5054,12.2054,12.3954,ok,1427846400,13300
62,12.2221,12.6121,12.2221,12.3221,ok,1427932800,16400
63,12.4592,12.7092,12.0592,12.3192,ok,1428278400,17400
64,13.0424,13.1824,12.2024,12.3724,ok,1428364800,13900
65,12.6963,13.2963,12.0763,13.2363,ok,1428451200,21500
66,12.6387,12.9987,12.6187,12.7287,ok,1428537600,7200
67,12.5746,12.9546,12.4546,12.7146,ok,1428624000,10500
68,12.5041,12.9141,12.3541,12.7941,ok,1428883200,18100
69,12.9591,12.9591,12.3491,12.5091,ok,1428969600,14200
70,13.7602,14.1902,12.0902,12.2702,ok,1429056000,33100
71,13.7346,14.0146,13.1346,14.0146,ok,1429142400,10600
72,13.85,14.01,13.08,13.35,ok,1429228800,23700
73,13.9781,14.7981,13.8382,13.9282,ok,1429488000,43300
74,14.2281,14.3881,13.9481,13.9481,ok,1429574400,13600
75,14.2345,14.9645,14.0545,14.6045,ok,1429660800,76500
76,14.1768,14.4768,14.0568,14.2068,ok,1429747200,28300
77,14.2281,14.5281,14.0281,14.2681,ok,1429833600,21900
78,14.1512,14.9012,14.1512,14.1612,ok,1430092800,24600
79,13.9169,14.5969,13.7669,14.1069,ok,1430179200,24900
80,14.1621,14.2721,13.6021,13.9821,ok,1430265600,13200
81,14.543,14.543,13.723,13.783,ok,1430352000,17100
82,14.5624,14.7924,14.4624,14.7024,ok,1430438400,15700
83,14.4526,14.9826,14.2226,14.7126,ok,1430697600,18700
84,14.5494,14.9394,14.2194,14.4694,ok,1430784000,21000
85,14.401,14.981,14.201,14.881,ok,1430870400,12900
86,13.9814,14.7914,13.9714,14.4814,ok,1430956800,17700
87,14.0976,14.2376,13.9076,14.1076,ok,1431043200,11400
88,14.1686,14.2986,14.0486,14.1986,ok,1431302400,11300
89,14.2396,14.2396,13.8796,14.1896,ok,1431388800,14900
90,13.9169,14.6869,13.7369,14.4569,ok,1431475200,18400
91,13.5877,13.9577,13.1077,13.9377,ok,1431561600,18800
92,13.8007,13.9207,12.4707,13.3707,ok,1431648000,25000
93,12.471,14.141,12.401,14.141,ok,1431907200,65000
94,11.5673,12.6473,10.8973,12.6473,ok,1431993600,105100
95,11.4123,11.5323,11.0923,11.5323,ok,1432080000,46200
96,11.7738,12.2438,11.1838,11.5338,ok,1432166400,33200
97,11.6834,12.0734,11.4734,11.7334,ok,1432252800,20700
98,11.5479,11.7779,11.4579,11.5879,ok,1432598400,12500
99,11.3941,11.7041,11.1741,11.6941,ok,1432684800,14600
100,11.3293,11.6393,11.2093,11.4293,ok,1432771200,15100
101,11.3617,11.4117,11.1917,11.3117,ok,1432857600,13100
102,11.2063,11.3963,11.1963,11.2863,ok,1433116800,19800
103,11.5494,11.6094,11.0394,11.1994,ok,1433203200,14200
104,11.3293,11.6893,11.3293,11.6893,ok,1433289600,9500
105,11.284,11.544,11.164,11.244,ok,1433376000,13900
106,11.2387,11.4087,11.1687,11.1887,ok,1433462400,10900
107,11.2969,11.3369,11.1269,11.1969,ok,1433721600,10300
108,11.3552,11.4152,11.1952,11.4152,ok,1433808000,12100
109,11.284,11.574,11.224,11.454,ok,1433894400,35900
110,11.2452,11.4552,11.2252,11.3352,ok,1433980800,13300
111,11.2128,11.4928,11.2128,11.3328,ok,1434067200,17700
112,11.0509,11.3809,10.9809,11.2309,ok,1434326400,26300
113,10.8179,11.1879,10.6579,11.1879,ok,1434412800,28600
114,10.8567,11.1267,10.6867,10.8367,ok,1434499200,17000
115,10.7726,11.0326,10.6926,10.7726,ok,1434585600,34900
116,10.1057,10.8457,9.5357,10.8457,ok,1434672000,47900
117,10.0345,10.1545,9.5645,10.1545,ok,1434931200,30600
118,10.1122,10.1922,9.8522,10.0222,ok,1435017600,18100
119,10.0863,10.2563,9.8863,10.0663,ok,1435104000,19900
120,10.3971,10.5371,9.5971,9.7871,ok,1435190400,41100
121,10.3971,10.6471,10.2371,10.3571,ok,1435276800,16200
122,10.4362,10.6662,10.0762,10.1762,ok,1435536000,19300
123,10.7355,10.8855,10.0955,10.2255,ok,1435622400,29800
124,10.3516,10.9416,10.3016,10.8016,ok,1435708800,21300
125,10.3581,10.6581,10.3081,10.6081,ok,1435795200,20100
126,10.2865,10.9165,10.2765,10.3965,ok,1436140800,18400
