,c,h,l,o,s,t,v
0,23.1766,23.6866,22.9466,23.4266,ok,1420156800,22926500
1,22.7149,23.1049,22.6549,22.9749,ok,1420416000,29460600
2,22.7065,23.3365,22.6965,22.7965,ok,1420502400,47297600
3,22.9164,23.0164,22.5964,22.7564,ok,1420588800,27570800
4,23.0927,23.6727,23.0527,23.1227,ok,1420675200,40907000
5,23.3277,23.6077,22.9877,23.2077,ok,1420761600,33619600
6,23.546,23.696,23.316,23.496,ok,1421020800,38648400
7,23.5879,24.1879,23.3879,23.6979,ok,1421107200,36074200
8,23.4368,23.5668,23.1568,23.3568,ok,1421193600,29494400
9,23.0087,23.7987,22.9487,23.6887,ok,1421280000,29521100
10,23.2354,23.3254,22.7654,22.9154,ok,1421366400,26655100
11,23.5628,23.7628,23.1528,23.2528,ok,1421712000,33684200
12,23.3697,23.7197,23.2297,23.5897,ok,1421798400,29298500
13,23.9237,23.9337,22.6437,22.9737,ok,1421884800,49494700
14,23.6803,23.9703,23.6103,23.8303,ok,1421971200,21802500
15,23.4788,23.7388,23.2088,23.7288,ok,1422230400,18370100
16,22.5806,23.2706,22.3406,23.2006,ok,1422316800,46110500
17,22.5051,23.2951,22.4951,23.0851,ok,1422403200,32381700
18,22.8492,22.9392,22.2692,22.3692,ok,1422489600,28095400
19,22.1357,22.8757,22.0857,22.6457,ok,1422576000,38419100
20,22.5219,22.5619,21.6119,22.0819,ok,1422835200,29417000
21,22.7653,22.7653,22.3353,22.5453,ok,1422921600,28044300
22,22.4044,22.9343,22.3244,22.7743,ok,1423008000,27696300
23,22.8828,22.9228,22.2028,22.3728,ok,1423094400,20548400
24,22.866,23.286,22.766,22.996,ok,1423180800,25482400
25,22.7653,23.0553,22.7053,22.8553,ok,1423440000,23681000
26,23.0759,23.1259,22.7359,22.7459,ok,1423526400,22250300
27,22.6058,23.3258,22.5758,23.3258,ok,1423612800,46213500
28,24.7296,24.8496,24.1096,24.2596,ok,1423699200,117439100
29,24.7044,24.7744,24.3844,24.6544,ok,1423785600,50656700
30,24.6036,24.6437,24.3237,24.5536,ok,1424131200,34217200
31,24.7548,24.8148,24.3848,24.4548,ok,1424217600,24503700
32,24.6036,24.6836,24.4236,24.6036,ok,1424304000,21477800
33,24.8555,24.9055,24.4055,24.5955,ok,1424390400,25985600
34,24.8723,24.8923,24.6623,24.8723,ok,1424649600,24026800
35,24.8723,24.9523,24.6723,24.8023,ok,1424736000,18479500
36,24.7548,24.8348,24.5848,24.7048,ok,1424822400,17368100
37,25.1073,25.1873,24.7173,24.7173,ok,1424908800,28305200
38,24.7715,25.1715,24.6415,25.1515,ok,1424995200,29135500
39,25.3424,25.4623,24.4923,24.5124,ok,1425254400,35981900
40,24.7967,25.3767,24.7267,25.3567,ok,1425340800,32990300
41,24.6204,24.8104,24.4004,24.6404,ok,1425427200,32866900
42,24.5953,24.7853,24.4153,24.7653,ok,1425513600,17985000
43,24.2847,24.6247,24.1547,24.4647,ok,1425600000,27035000
44,24.6456,24.7356,24.0456,24.1856,ok,1425859200,23007700
45,24.058,24.568,24.058,24.548,ok,1425945600,26542300
46,23.7223,24.2223,23.6723,24.1423,ok,1426032000,25160200
47,23.7055,24.0055,23.5155,23.5155,ok,1426118400,22978700
48,23.4536,23.7736,23.0836,23.5336,ok,1426204800,36511000
49,23.7558,23.8358,23.4958,23.5558,ok,1426464000,25358900
50,23.6299,23.7599,23.4299,23.6699,ok,1426550400,21895700
51,23.6299,23.8199,23.1999,23.3599,ok,1426636800,34910900
52,23.7223,24.0023,23.4923,23.5623,ok,1426723200,27980400
53,23.8734,24.0534,23.7534,23.8834,ok,1426809600,37628700
54,23.8482,24.1282,23.7982,23.8782,ok,1427068800,23478600
55,23.504,24.074,23.494,23.794,ok,1427155200,23263600
56,23.0507,23.6807,23.0507,23.5107,ok,1427241600,27158700
57,22.7401,22.9601,22.2701,22.8401,ok,1427328000,48928100
58,22.7737,22.8537,22.5837,22.7137,ok,1427414400,20464500
59,23.2102,23.3102,22.7802,22.7802,ok,1427673600,29056300
60,23.2863,23.4463,23.0363,23.0963,ok,1427760000,29258300
61,23.0495,23.4395,22.8995,23.1095,ok,1427846400,22420500
62,22.948,23.318,22.948,23.038,ok,1427932800,19527200
63,23.0241,23.1241,22.6441,22.7641,ok,1428278400,20004000
64,23.1679,23.3379,22.9079,22.9779,ok,1428364800,16861800
65,23.3032,23.4132,23.1232,23.1232,ok,1428451200,19076400
66,23.3709,23.4809,23.1609,23.3309,ok,1428537600,16684500
