,c,h,l,o,s,t,v
0,83.6438,85.0238,82.9438,84.7238,ok,1420156800,234700
1,82.5381,83.5681,81.7381,83.2781,ok,1420416000,481600
2,82.8076,83.3976,82.0176,82.4176,ok,1420502400,779100
3,83.9784,84.2584,82.9484,83.2984,ok,1420588800,514700
4,87.3419,87.5319,84.2219,84.2219,ok,1420675200,1376300
5,87.026,87.866,86.796,87.866,ok,1420761600,723300
6,87.1468,87.5468,85.9068,87.1468,ok,1421020800,513100
7,87.4442,88.7142,86.5842,87.9842,ok,1421107200,527700
8,86.9145,87.0245,85.9545,85.9545,ok,1421193600,319500
9,86.0411,87.4611,85.6011,87.4611,ok,1421280000,666900
10,85.911,86.451,85.151,85.901,ok,1421366400,980800
11,80.6426,86.5526,80.3626,85.8526,ok,1421712000,1543300
12,81.005,81.445,80.185,80.675,ok,1421798400,576000
13,82.6589,82.7989,80.5689,81.7489,ok,1421884800,776400
14,83.1979,83.5979,81.7279,82.3379,ok,1421971200,457200
15,84.1084,84.4384,82.0685,82.9284,ok,1422230400,659600
16,83.7182,84.0082,82.6582,83.1282,ok,1422316800,363100
17,83.5138,84.6938,83.1638,84.0338,ok,1422403200,411000
18,83.8576,84.2076,82.5576,83.7176,ok,1422489600,421200
19,83.3279,84.1879,82.9079,83.3579,ok,1422576000,742400
20,83.9319,84.2319,82.6919,83.7019,ok,1422835200,427800
21,85.1677,85.3177,84.1377,84.1677,ok,1422921600,518300
22,84.127,85.297,83.867,84.747,ok,1423008000,457500
23,88.3362,88.3862,83.9962,84.4562,ok,1423094400,1135300
24,87.3419,89.0819,86.9119,89.0319,ok,1423180800,458000
25,87.2769,87.7769,86.8569,86.8869,ok,1423440000,313200
26,86.9703,88.1703,86.3903,87.8003,ok,1423526400,455300
27,86.2455,87.5955,86.0755,86.9655,ok,1423612800,492500
28,87.5557,87.5957,86.6357,86.6357,ok,1423699200,299400
29,87.7047,88.0147,86.9647,87.4547,ok,1423785600,289200
30,87.0805,88.0105,86.8205,87.5805,ok,1424131200,368700
31,87.4439,87.6939,86.7339,86.7339,ok,1424217600,322100
32,87.1364,87.7264,86.8964,87.2864,ok,1424304000,243300
33,87.7234,88.0334,86.3034,86.7334,ok,1424390400,282800
34,87.4904,88.0304,86.9204,87.5104,ok,1424649600,318900
35,88.0122,88.1222,87.2522,87.3422,ok,1424736000,321400
36,88.5991,88.7191,88.0591,88.0791,ok,1424822400,333200
37,87.742,88.772,87.482,88.772,ok,1424908800,214200
38,86.7079,88.2479,86.7079,87.9479,ok,1424995200,227700
39,88.0774,88.1074,86.4074,86.6074,ok,1425254400,387100
40,87.4532,88.1932,87.2432,88.0232,ok,1425340800,272700
41,86.8476,87.3176,86.4876,87.3176,ok,1425427200,165000
42,87.3227,87.5327,86.7627,87.1227,ok,1425513600,239700
43,86.1861,87.1561,85.8961,86.9761,ok,1425600000,221200
44,86.5029,87.0629,86.2829,86.4529,ok,1425859200,229000
45,84.798,85.878,84.728,85.538,ok,1425945600,340300
46,85.0961,85.1961,84.5261,84.7761,ok,1426032000,379000
47,85.4967,86.4767,84.5267,85.7667,ok,1426118400,406600
48,84.1738,85.6738,84.0138,85.5538,ok,1426204800,395000
49,85.7017,85.8417,84.0117,84.6917,ok,1426464000,398400
50,85.3663,86.1563,84.7463,85.5263,ok,1426550400,524200
51,86.0371,86.2371,84.6471,85.5371,ok,1426636800,367900
52,85.4222,86.5122,85.3222,85.7522,ok,1426723200,262000
53,86.3632,86.4932,85.0832,85.8032,ok,1426809600,664800
54,85.6458,86.7458,85.6358,86.4158,ok,1427068800,413800
55,85.1893,85.5993,84.2793,85.4893,ok,1427155200,457700
56,84.1738,85.6038,84.1438,85.4938,ok,1427241600,509700
57,84.4533,84.6633,83.7733,83.8033,ok,1427328000,243000
58,85.2079,85.3479,84.2879,84.5179,ok,1427414400,294600
59,86.7638,87.1138,85.6338,85.6338,ok,1427673600,334000
60,86.2979,86.5679,85.5879,86.0779,ok,1427760000,276800
61,86.2607,86.7607,85.2607,86.3407,ok,1427846400,279800
62,87.4811,87.7511,86.1411,86.3011,ok,1427932800,439300
63,87.9935,88.3935,86.8235,87.2735,ok,1428278400,432800
64,87.2482,88.5782,87.0282,88.0982,ok,1428364800,207800
65,86.8197,87.6297,86.4197,87.4397,ok,1428451200,325800
66,87.0619,87.3719,86.2019,86.7719,ok,1428537600,281500
67,86.9314,87.6814,86.7815,87.1715,ok,1428624000,190900
68,86.9687,87.3787,86.5987,86.7787,ok,1428883200,197400
69,87.4532,87.4532,86.1632,86.9732,ok,1428969600,219800
70,87.5836,88.1536,87.5036,87.5436,ok,1429056000,247600
71,87.537,87.787,86.937,87.187,ok,1429142400,247600
72,85.5899,87.0299,85.1999,87.0299,ok,1429228800,308100
73,86.8197,86.8397,85.8297,85.8697,ok,1429488000,187000
74,87.6488,87.6488,86.5388,86.9388,ok,1429574400,429600
75,88.3755,88.6355,86.4255,87.5655,ok,1429660800,679700
76,92.307,93.697,89.077,89.227,ok,1429747200,1078700
77,92.7449,94.0249,92.4249,92.4649,ok,1429833600,537200
78,91.4406,93.7606,91.1206,93.1106,ok,1430092800,571600
79,91.8692,91.9192,90.6592,91.4392,ok,1430179200,439600
80,91.2636,91.9136,90.8936,91.6636,ok,1430265600,250500
81,89.9034,91.2734,89.8134,90.6034,ok,1430352000,840600
82,90.8257,91.0657,89.7857,89.8857,ok,1430438400,343500
83,90.9561,91.8461,90.8761,91.2861,ok,1430697600,292700
84,90.1736,91.4436,89.7836,90.6436,ok,1430784000,271100
85,90.4531,90.6131,89.8331,90.1731,ok,1430870400,277300
86,90.7791,91.0091,89.9891,90.2091,ok,1430956800,206600
87,91.4592,92.1192,91.1992,91.4392,ok,1431043200,202100
88,91.0773,91.6273,90.8173,91.1573,ok,1431302400,175400
89,90.8909,91.1109,89.7709,90.6509,ok,1431388800,141400
90,91.4779,92.0579,90.8879,91.3079,ok,1431475200,231800
91,92.3163,92.3763,91.4263,91.7263,ok,1431561600,258200
92,92.0089,92.2489,91.4689,92.0789,ok,1431648000,161000
93,92.9429,93.0229,91.7429,91.7729,ok,1431907200,246200
94,93.3726,93.4426,92.2726,93.1626,ok,1431993600,368200
95,92.3171,93.5171,92.0471,93.2671,ok,1432080000,341400
96,91.9155,92.9255,91.8055,92.1255,ok,1432166400,251300
97,91.5886,92.3586,91.3886,92.0186,ok,1432252800,149200
98,90.6172,91.3672,90.1072,91.2072,ok,1432598400,232400
99,92.7188,92.8688,90.4488,90.5688,ok,1432684800,311900
100,92.8121,92.9021,91.9521,92.1021,ok,1432771200,374700
101,92.6067,93.2267,91.9667,92.7267,ok,1432857600,347600
102,93.3072,94.2072,92.8272,93.5472,ok,1433116800,357500
103,93.7648,93.7948,92.8148,92.8848,ok,1433203200,209500
104,94.9884,95.0584,93.3084,94.0384,ok,1433289600,297400
105,94.3719,95.202,93.7819,94.3319,ok,1433376000,357300
106,94.3906,94.4406,93.0606,93.9806,ok,1433462400,191300
107,93.8395,95.0495,93.8395,94.5495,ok,1433721600,145000
108,93.3165,94.3465,93.2465,93.7065,ok,1433808000,199800
109,94.7269,95.0969,93.7069,93.7869,ok,1433894400,143400
110,95.418,95.468,94.828,95.258,ok,1433980800,164400
111,94.1945,95.3045,94.1245,95.3045,ok,1434067200,228800
112,93.6434,93.7634,92.6334,93.3434,ok,1434326400,183500
113,93.578,94.288,93.408,93.608,ok,1434412800,201800
114,93.7368,93.9868,92.9168,93.6368,ok,1434499200,276700
115,94.6241,95.3341,93.7641,94.1341,ok,1434585600,213900
116,94.4747,95.2547,94.1247,94.8747,ok,1434672000,220100
117,95.5114,95.5514,94.3414,95.1714,ok,1434931200,255300
118,95.3246,95.9146,94.9946,95.4946,ok,1435017600,142800
119,94.0357,95.6157,94.0257,95.4957,ok,1435104000,152900
120,93.6434,94.6234,93.3234,94.5034,ok,1435190400,194200
121,94.7549,94.9749,93.3649,93.7349,ok,1435276800,612500
122,92.8402,94.5302,92.7602,93.8202,ok,1435536000,211500
123,93.5127,94.3527,92.8327,93.4027,ok,1435622400,355800
124,94.6615,95.1115,93.7915,94.3315,ok,1435708800,243500
125,94.7829,95.1729,94.2329,95.0229,ok,1435795200,224600
126,94.5494,95.2994,93.4794,94.3194,ok,1436140800,256400
127,94.8296,95.2896,93.3196,94.5496,ok,1436227200,210900
128,93.2605,94.7805,92.7705,94.2805,ok,1436313600,368600
