,c,h,l,o,s,t,v
0,19.0792,19.8992,18.9392,19.8692,ok,1420156800,42300
1,18.9751,19.0751,18.5851,18.9151,ok,1420416000,46600
2,19.0792,19.2792,18.3292,18.9492,ok,1420502400,68600
3,19.0697,19.4197,18.7697,19.2397,ok,1420588800,28300
4,19.4672,19.6872,18.9772,18.9972,ok,1420675200,101600
5,19.3442,19.5742,19.2942,19.4642,ok,1420761600,41200
6,19.1076,19.4176,18.9476,19.2676,ok,1421020800,38300
7,19.2117,19.7717,19.0017,19.2517,ok,1421107200,115400
8,19.5713,19.7813,18.9913,18.9913,ok,1421193600,38600
9,20.3758,20.7858,19.4558,19.6658,ok,1421280000,240000
10,20.3,20.73,20.25,20.33,ok,1421366400,68700
11,20.1486,20.5986,19.5986,20.2086,ok,1421712000,64700
12,19.9215,20.2015,19.7415,20.0415,ok,1421798400,29600
13,20.5177,20.6077,19.8577,20.0377,ok,1421884800,225800
14,20.6407,20.8207,20.1607,20.5107,ok,1421971200,56800
15,21.1802,21.2702,20.4102,20.7302,ok,1422230400,136800
16,21.4452,21.6252,20.8852,21.0952,ok,1422316800,136300
17,21.5493,21.7693,21.0793,21.4593,ok,1422403200,128700
18,21.2654,21.7054,20.8554,21.6054,ok,1422489600,101400
19,20.6313,21.2913,20.5513,21.0713,ok,1422576000,64600
20,20.849,20.899,20.439,20.639,ok,1422835200,27100
21,21.2275,21.5075,20.8475,20.8475,ok,1422921600,55000
22,21.1329,21.6129,20.9729,21.2629,ok,1423008000,35700
23,21.1234,21.3034,20.9834,21.2934,ok,1423094400,42500
24,21.1329,21.4929,20.9529,21.1429,ok,1423180800,157500
25,20.6691,21.4591,20.4991,21.1591,ok,1423440000,66400
26,20.584,20.774,20.494,20.654,ok,1423526400,28800
27,20.7308,20.8208,20.2608,20.5008,ok,1423612800,63100
28,20.9108,21.2408,20.7908,20.7908,ok,1423699200,56300
29,21.1572,21.3072,20.8872,20.8872,ok,1423785600,48800
30,21.2898,21.3198,21.0798,21.0998,ok,1424131200,47300
31,21.4983,21.6583,21.2683,21.3083,ok,1424217600,54000
32,21.593,22.093,21.423,21.423,ok,1424304000,40000
33,21.4888,21.7588,21.3588,21.6588,ok,1424390400,47700
34,21.3656,21.5156,21.2656,21.4556,ok,1424649600,38800
35,21.3941,21.5541,21.3241,21.3241,ok,1424736000,44500
36,21.3088,21.6288,21.2788,21.6188,ok,1424822400,237100
37,21.5741,21.9941,21.3641,21.9941,ok,1424908800,132500
38,21.7825,21.8025,21.4625,21.6225,ok,1424995200,202000
39,22.2089,22.4089,21.7589,21.8489,ok,1425254400,97400
40,22.7111,22.7311,21.9311,22.1911,ok,1425340800,170800
41,22.4268,22.8468,22.4068,22.7268,ok,1425427200,124200
42,22.5784,22.9884,22.3484,22.4784,ok,1425513600,80900
43,22.1805,22.6905,22.0705,22.4305,ok,1425600000,96800
44,22.6447,22.8347,22.1547,22.1547,ok,1425859200,85800
45,22.6921,22.7421,22.2921,22.4921,ok,1425945600,91400
46,22.7963,22.8363,22.5563,22.7263,ok,1426032000,45300
47,22.8342,23.4842,22.7442,22.8442,ok,1426118400,99800
48,23.0142,23.2442,22.6542,22.8642,ok,1426204800,65300
49,23.0427,23.3927,22.9727,23.2227,ok,1426464000,124800
50,23.2227,23.2627,22.6327,22.9027,ok,1426550400,110900
51,22.9763,23.3363,22.8163,23.1163,ok,1426636800,709700
52,23.0711,23.1711,22.7211,23.0211,ok,1426723200,86800
53,23.3364,23.6164,23.0564,23.1764,ok,1426809600,243000
54,23.2606,23.7006,23.2406,23.4006,ok,1427068800,101700
55,23.687,23.797,23.197,23.247,ok,1427155200,103700
56,23.4406,23.9006,23.2106,23.8206,ok,1427241600,278700
57,23.4596,23.7296,23.3496,23.3496,ok,1427328000,99300
58,23.3932,23.6032,23.3932,23.4632,ok,1427414400,112000
59,22.8342,23.4542,22.7942,23.4342,ok,1427673600,84700
60,22.6163,22.7563,22.4263,22.7263,ok,1427760000,124600
