,c,h,l,o,s,t,v
0,22.3589,22.3689,22.1689,22.1689,ok,1513641600,36000
1,22.3238,22.5238,22.1938,22.3238,ok,1513728000,53800
2,22.4545,22.4555,22.2355,22.3055,ok,1513814400,16700
3,22.4554,22.4554,22.3354,22.4554,ok,1513900800,51800
4,22.587,23.587,22.327,22.427,ok,1514246400,26800
5,22.8501,22.9001,22.5841,22.7551,ok,1514332800,3300
6,22.6308,27.9708,22.6308,25.1408,ok,1514419200,4000
7,22.8501,22.8501,22.5201,22.5201,ok,1514505600,2500
8,22.7703,22.7703,22.7703,22.7703,ok,1514851200,200
9,22.6308,22.7808,22.4308,22.7808,ok,1514937600,5500
10,22.5431,22.8441,22.5431,22.7231,ok,1515024000,5800
11,22.5598,22.6218,22.4908,22.5468,ok,1515110400,11100
12,22.5186,22.5726,22.3466,22.4966,ok,1515369600,3600
13,22.5738,22.5788,22.3888,22.5788,ok,1515456000,4100
14,22.4554,22.5054,22.3554,22.4554,ok,1515542400,9100
15,22.4782,22.5722,22.3622,22.4022,ok,1515628800,12800
16,22.587,22.587,22.337,22.367,ok,1515715200,39200
17,22.3677,22.5677,22.3677,22.3677,ok,1516060800,14300
18,22.451,22.511,22.339,22.356,ok,1516147200,27500
19,22.5168,22.6628,22.2268,22.4718,ok,1516233600,26200
20,22.7186,22.7486,22.2716,22.2786,ok,1516320000,14500
21,22.7186,22.9786,22.4786,22.9786,ok,1516579200,5600
22,22.7326,22.7326,22.5166,22.5166,ok,1516665600,2000
23,22.5256,22.7356,22.4456,22.5556,ok,1516752000,12600
24,22.5168,22.6868,22.5168,22.6868,ok,1516838400,2500
25,22.387,22.627,22.365,22.375,ok,1516924800,5200
26,22.3414,22.4354,22.3414,22.3714,ok,1517184000,2900
27,22.4028,22.4028,22.2228,22.2228,ok,1517270400,7500
28,22.2449,23.0449,22.2449,22.4549,ok,1517356800,5600
29,22.3238,22.4138,22.3238,22.4138,ok,1517443200,3300
30,22.3238,22.6848,22.2888,22.3668,ok,1517529600,35900
31,22.3238,22.4918,22.3238,22.3238,ok,1517788800,2200
32,22.4808,22.5518,22.1518,22.2018,ok,1517875200,2600
33,22.7036,22.7036,22.4706,22.4706,ok,1517961600,1600
34,22.6791,22.8891,22.6791,22.7141,ok,1518048000,5200
35,22.3326,22.6336,22.3126,22.6226,ok,1518134400,4400
36,22.587,22.587,22.237,22.237,ok,1518393600,8000
37,22.8063,23.2863,22.3263,22.9263,ok,1518480000,1800
38,22.8063,23.0663,22.5563,22.7963,ok,1518566400,6200
39,22.3677,22.6177,22.3677,22.6177,ok,1518652800,4500
40,22.3966,22.5236,22.3136,22.3136,ok,1518739200,1500
41,22.4993,22.4993,22.4993,22.4993,ok,1519084800,400
42,22.4054,22.4874,22.3924,22.4634,ok,1519171200,2400
43,22.4554,22.5054,22.4554,22.4954,ok,1519257600,3600
44,22.78,22.8,22.31,22.54,ok,1519344000,6400
45,22.8063,22.8063,22.6293,22.6293,ok,1519603200,2400
46,22.6686,22.8256,22.5556,22.8256,ok,1519689600,5100
47,23.0133,23.0273,22.5073,22.5173,ok,1519776000,6500
48,22.994,22.994,22.64,22.811,ok,1519862400,2500
49,22.9115,23.0405,22.9115,23.0405,ok,1519948800,1300
50,23.0256,23.0256,22.3856,22.6876,ok,1520208000,3300
51,22.8808,23.0558,22.4958,23.0558,ok,1520294400,3000
52,22.8238,22.8238,22.5138,22.5138,ok,1520380800,4000
53,23.0685,23.0685,22.5195,22.7165,ok,1520467200,3900
54,22.6396,22.6396,22.6396,22.6396,ok,1520553600,400
55,22.5817,22.9577,22.5817,22.9577,ok,1520812800,2000
56,22.6966,22.6966,22.4856,22.5216,ok,1520899200,5400
57,22.6256,22.7936,22.4916,22.5816,ok,1520985600,6000
