,c,h,l,o,s,t,v
0,19.7181,19.7381,19.5681,19.7281,ok,1455235200,122200
1,19.6941,19.9341,19.6341,19.7941,ok,1455580800,192500
2,19.9333,19.9333,19.7033,19.7333,ok,1455667200,130200
3,19.8536,20.0036,19.7736,20.0036,ok,1455753600,225000
4,19.8456,19.9056,19.7856,19.8656,ok,1455840000,141900
5,19.8536,19.9736,19.8436,19.9436,ok,1456099200,109300
6,19.8616,19.9216,19.8016,19.8916,ok,1456185600,95000
7,19.9094,19.9394,19.5994,19.8094,ok,1456272000,117100
8,19.9652,19.9752,19.8752,19.9552,ok,1456358400,121800
9,19.9413,20.0113,19.8993,19.9813,ok,1456444800,168800
10,19.9493,20.0493,19.9193,20.0493,ok,1456704000,129400
11,20.0529,20.0529,19.9329,19.9729,ok,1456790400,157300
12,20.045,20.055,19.945,20.045,ok,1456876800,132400
13,20.0768,20.0868,19.9668,20.0368,ok,1456963200,85700
14,20.1566,20.1666,20.0136,20.0266,ok,1457049600,118600
15,20.0689,20.1889,20.0189,20.1689,ok,1457308800,167000
16,20.0768,20.1168,20.0268,20.0768,ok,1457395200,113000
17,20.1566,20.1666,20.0346,20.0366,ok,1457481600,71800
18,20.1566,20.3766,20.1266,20.1966,ok,1457568000,133100
19,20.2283,20.3283,20.1783,20.2083,ok,1457654400,90500
20,20.1805,20.3105,20.1705,20.2505,ok,1457913600,95200
21,20.1327,20.2027,20.0727,20.1927,ok,1458000000,109200
22,20.1327,20.1777,20.0327,20.1427,ok,1458086400,155200
23,20.1406,20.2606,20.0806,20.1306,ok,1458172800,119800
24,20.1725,20.2225,20.1325,20.1625,ok,1458259200,75800
25,20.2204,20.2204,20.1664,20.2204,ok,1458518400,84000
26,20.2523,20.3413,20.2063,20.2423,ok,1458604800,73300
27,20.2921,20.3121,20.2121,20.2121,ok,1458691200,40800
28,20.3081,20.3431,20.1781,20.1781,ok,1458777600,51300
29,20.332,20.402,20.288,20.372,ok,1459123200,57500
30,20.4038,20.5038,20.2638,20.3138,ok,1459209600,99500
31,20.3958,20.5058,20.3458,20.4558,ok,1459296000,112700
32,20.4915,20.5815,20.3315,20.3915,ok,1459382400,90000
33,20.3479,20.5779,20.3279,20.5779,ok,1459468800,85700
34,20.1566,20.4666,20.1166,20.3966,ok,1459728000,97700
35,20.1885,20.2385,20.0685,20.1485,ok,1459814400,34000
36,20.2204,20.3004,20.2204,20.2304,ok,1459900800,30900
37,20.2204,20.2704,20.1604,20.2404,ok,1459987200,65900
38,20.2921,20.3221,20.2121,20.2121,ok,1460073600,40200
39,20.3878,20.3878,20.2678,20.3178,ok,1460332800,84200
40,20.4117,20.4117,20.3017,20.3817,ok,1460419200,25500
41,20.4436,20.4836,20.3736,20.3736,ok,1460505600,58600
42,20.4436,20.5136,20.4236,20.4526,ok,1460592000,64000
43,20.4755,20.5555,20.4355,20.4755,ok,1460678400,49400
44,20.5234,20.5834,20.4534,20.5034,ok,1460937600,123300
45,20.5473,20.6473,20.4973,20.5273,ok,1461024000,79300
46,20.635,20.675,20.555,20.595,ok,1461110400,86100
47,20.6589,20.6789,20.5789,20.6789,ok,1461196800,43000
48,20.7067,20.7167,20.6087,20.6467,ok,1461283200,45800
49,20.6589,20.7389,20.5889,20.7389,ok,1461542400,71800
50,20.6828,20.7428,20.6348,20.6528,ok,1461628800,62100
51,20.3878,20.4078,20.3178,20.3978,ok,1461715200,68300
52,20.4109,20.4519,20.3419,20.4119,ok,1461801600,42300
53,20.4356,20.4356,20.3657,20.4057,ok,1461888000,36500
54,20.4994,20.5094,20.3894,20.4294,ok,1462147200,48300
55,20.5473,20.5473,20.4573,20.4973,ok,1462233600,82600
56,20.5473,20.5773,20.4473,20.5073,ok,1462320000,54200
57,20.5297,20.6017,20.5117,20.6017,ok,1462406400,60000
58,20.5553,20.5553,20.5152,20.5553,ok,1462492800,53800
59,20.5393,20.6093,20.5293,20.5893,ok,1462752000,62600
