,c,h,l,o,s,t,v
0,27.51,28.04,27.17,28.04,ok,1420156800,187300
1,28.08,28.5,27.22,27.43,ok,1420416000,455200
2,26.55,28.23,26.32,28.08,ok,1420502400,622100
3,27.81,27.9,26.635,26.73,ok,1420588800,457200
4,27.99,28.55,27.84,28.02,ok,1420675200,183800
5,27.57,28.02,27.55,28.02,ok,1420761600,426300
6,27.67,28.56,27.54,27.65,ok,1421020800,449100
7,28.13,28.39,27.54,27.9,ok,1421107200,504400
8,27.97,28.28,27.7,27.87,ok,1421193600,231500
9,27.4,28.16,27.34,27.94,ok,1421280000,391000
10,28.07,28.37,27.18,27.2,ok,1421366400,450700
11,27.99,28.6,27.8,27.99,ok,1421712000,453000
12,27.53,28.25,27.19,27.94,ok,1421798400,333400
13,27.91,28.24,27.17,27.69,ok,1421884800,425600
14,27.2,28.22,27.14,27.84,ok,1421971200,443600
15,28.33,28.62,27.03,27.09,ok,1422230400,344800
16,28.2,28.84,28.04,28.14,ok,1422316800,309800
17,27.74,28.45,27.61,28.23,ok,1422403200,527400
18,27.72,28.0,27.35,27.85,ok,1422489600,406100
19,27.62,28.0,27.46,27.56,ok,1422576000,394900
20,27.64,27.746,27.25,27.62,ok,1422835200,243900
21,27.78,27.89,27.39,27.72,ok,1422921600,278900
22,27.55,27.9,27.3,27.58,ok,1423008000,282000
23,27.49,27.72,27.41,27.68,ok,1423094400,244500
24,27.44,27.72,27.26,27.44,ok,1423180800,343900
25,27.55,27.82,27.28,27.44,ok,1423440000,258100
26,27.88,27.98,27.52,27.79,ok,1423526400,272000
27,29.32,30.32,27.66,27.8,ok,1423612800,751500
28,28.58,29.43,27.67,29.42,ok,1423699200,470300
29,27.52,28.78,27.4,28.5,ok,1423785600,421600
30,27.34,27.66,27.06,27.5,ok,1424131200,508600
31,27.74,27.91,27.188,27.42,ok,1424217600,281900
32,29.01,29.03,27.73,27.73,ok,1424304000,344100
33,28.15,29.22,28.0,28.74,ok,1424390400,384300
34,28.19,28.29,27.79,28.16,ok,1424649600,222600
35,28.35,28.38,27.61,28.26,ok,1424736000,213200
36,28.87,28.9,28.13,28.41,ok,1424822400,201700
37,29.6,29.67,28.8,28.84,ok,1424908800,205100
38,27.97,29.79,27.92,29.59,ok,1424995200,372100
39,28.46,28.59,26.74,27.5,ok,1425254400,431000
40,29.99,30.65,28.16,28.33,ok,1425340800,864000
41,29.77,29.79,29.35,29.51,ok,1425427200,9323200
42,29.75,29.98,29.64,29.69,ok,1425513600,1323700
43,29.76,30.009,29.69,29.75,ok,1425600000,819000
44,29.82,30.05,29.57,29.8,ok,1425859200,699200
45,29.8,29.98,29.34,29.63,ok,1425945600,768100
46,30.23,30.48,29.8,29.82,ok,1426032000,789800
47,30.02,30.49,29.91,30.4,ok,1426118400,561400
48,30.35,30.35,29.68,30.06,ok,1426204800,1576100
49,30.89,30.94,30.07,30.92,ok,1426464000,590100
50,31.08,31.09,30.58,30.71,ok,1426550400,528800
51,31.3,31.54,30.85,31.04,ok,1426636800,975200
52,31.5,31.66,31.08,31.31,ok,1426723200,904300
53,31.11,31.64,30.91,31.49,ok,1426809600,1189400
54,30.85,31.07,30.68,31.01,ok,1427068800,251600
55,30.65,31.03,30.5,30.77,ok,1427155200,301200
56,30.44,30.92,30.31,30.7,ok,1427241600,662800
57,30.1,30.5,29.9,30.25,ok,1427328000,248100
58,30.1,30.73,29.96,30.14,ok,1427414400,408000
59,31.17,31.2,29.9,30.31,ok,1427673600,360900
60,31.15,31.36,30.84,31.11,ok,1427760000,357800
61,30.86,31.02,30.19,31.02,ok,1427846400,525700
62,30.63,31.22,30.45,30.89,ok,1427932800,344000
63,30.54,30.76,30.33,30.48,ok,1428278400,270700
64,30.46,30.83,30.38,30.5,ok,1428364800,241900
65,30.8,30.93,30.4,30.53,ok,1428451200,197000
66,30.98,31.65,30.61,30.92,ok,1428537600,241200
67,30.73,31.14,30.68,31.08,ok,1428624000,328900
68,30.53,31.04,30.5,30.62,ok,1428883200,241500
69,30.72,30.77,30.49,30.51,ok,1428969600,266600
70,31.01,31.12,30.635,30.88,ok,1429056000,205300
71,31.09,31.62,30.85,30.85,ok,1429142400,146000
72,30.57,31.08,30.51,30.99,ok,1429228800,225600
73,30.99,31.0,30.5,30.59,ok,1429488000,210000
74,31.02,31.29,30.94,31.21,ok,1429574400,159300
75,31.06,31.35,30.74,31.04,ok,1429660800,251300
76,31.05,31.23,30.76,30.99,ok,1429747200,318700
77,31.0,31.13,30.94,31.09,ok,1429833600,226500
78,29.99,31.06,29.93,30.95,ok,1430092800,286000
79,29.77,30.3,29.35,30.04,ok,1430179200,262300
80,29.71,30.4,29.38,29.72,ok,1430265600,537400
81,28.77,29.96,28.55,29.71,ok,1430352000,370200
82,29.21,29.32,28.6,28.93,ok,1430438400,346600
83,29.39,29.95,29.05,29.16,ok,1430697600,327200
84,29.18,29.534,28.59,29.27,ok,1430784000,418100
85,28.8,29.77,26.17,28.7,ok,1430870400,993800
86,28.17,28.87,28.16,28.73,ok,1430956800,294400
87,28.32,28.63,27.92,28.48,ok,1431043200,350800
88,28.31,28.58,28.25,28.34,ok,1431302400,321000
89,28.2,28.405,28.01,28.25,ok,1431388800,472000
90,28.56,28.715,28.21,28.31,ok,1431475200,467400
91,29.32,29.44,28.67,28.71,ok,1431561600,404100
92,30.43,30.44,29.08,29.36,ok,1431648000,318300
93,31.0,31.2,30.16,30.29,ok,1431907200,280900
94,31.02,31.15,30.74,30.85,ok,1431993600,356800
95,31.18,31.41,30.82,31.0,ok,1432080000,246400
96,31.23,31.61,30.98,31.26,ok,1432166400,294000
97,31.44,31.56,31.03,31.16,ok,1432252800,168300
98,31.12,31.375,30.71,31.16,ok,1432598400,287300
99,31.3,31.46,31.07,31.07,ok,1432684800,380900
100,31.9,31.94,31.18,31.27,ok,1432771200,415700
101,31.96,32.11,31.18,31.88,ok,1432857600,606100
102,30.71,31.92,30.57,31.56,ok,1433116800,798300
103,29.35,30.68,29.23,30.44,ok,1433203200,1308000
104,29.09,29.13,28.62,28.8,ok,1433289600,9207600
105,29.08,29.29,29.0,29.0,ok,1433376000,1799300
106,29.61,29.69,29.03,29.05,ok,1433462400,1443700
107,29.08,29.89,28.85,29.65,ok,1433721600,865700
108,28.94,29.36,28.432,29.04,ok,1433808000,730700
109,29.54,29.675,28.858,28.91,ok,1433894400,795800
110,29.75,29.94,29.4,29.56,ok,1433980800,528500
111,30.06,30.2,29.51,29.62,ok,1434067200,1052400
112,30.02,30.24,29.28,29.91,ok,1434326400,756900
113,30.41,30.5,29.884,29.91,ok,1434412800,629100
114,30.57,30.73,30.33,30.43,ok,1434499200,752000
115,30.69,31.36,30.56,30.58,ok,1434585600,1004600
116,30.5,30.84,30.2,30.54,ok,1434672000,1400000
117,30.79,31.07,30.6,30.76,ok,1434931200,558900
118,30.76,30.94,30.49,30.86,ok,1435017600,684900
119,29.98,30.89,29.965,30.59,ok,1435104000,568800
120,29.91,30.11,29.61,30.01,ok,1435190400,708900
121,29.77,30.17,29.72,29.99,ok,1435276800,2975700
122,29.44,30.0,29.36,29.73,ok,1435536000,881000
123,29.33,29.74,29.165,29.74,ok,1435622400,443300
124,29.72,30.08,29.41,29.63,ok,1435708800,406200
125,29.62,29.835,29.46,29.83,ok,1435795200,402000
126,29.2,29.74,28.94,29.45,ok,1436140800,922700
127,29.55,29.6,28.84,29.28,ok,1436227200,602200
128,28.68,29.35,28.41,29.35,ok,1436313600,359200
129,28.96,29.03,28.62,29.02,ok,1436400000,427800
130,28.96,29.6,28.86,29.16,ok,1436486400,383600
131,29.15,29.345,28.83,29.21,ok,1436745600,795300
132,29.9,29.99,28.93,29.19,ok,1436832000,574500
133,29.86,30.2,29.55,29.98,ok,1436918400,606700
134,29.88,30.25,29.68,29.92,ok,1437004800,487800
135,29.81,30.13,29.62,29.91,ok,1437091200,352800
136,29.41,29.925,29.25,29.78,ok,1437350400,549300
137,29.45,29.59,29.111,29.4,ok,1437436800,308000
138,29.93,29.995,29.2,29.3,ok,1437523200,306900
139,30.4,30.44,29.68,29.89,ok,1437609600,600400
140,30.09,30.45,29.98,30.29,ok,1437696000,673400
141,31.61,31.65,30.92,30.92,ok,1437955200,2346900
142,33.01,33.03,31.52,31.71,ok,1438041600,1531300
143,33.69,33.78,33.0,33.04,ok,1438128000,1218700
144,33.25,33.736,33.12,33.69,ok,1438214400,1557900
145,34.08,34.14,33.385,33.42,ok,1438300800,15796400
146,33.91,34.22,33.48,34.08,ok,1438560000,1272100
147,33.86,34.095,33.68,33.93,ok,1438646400,756600
148,34.21,34.415,33.92,34.07,ok,1438732800,906900
149,33.78,34.31,33.15,34.23,ok,1438819200,815700
150,33.82,34.01,33.18,33.53,ok,1438905600,1035600
151,33.61,34.24,33.5,34.0,ok,1439164800,728700
152,33.19,33.629,32.94,33.41,ok,1439251200,698400
153,32.97,33.18,32.37,32.94,ok,1439337600,720700
154,32.66,33.15,32.59,33.07,ok,1439424000,511100
155,33.13,33.2,32.18,32.52,ok,1439510400,513300
156,34.17,34.2,32.7,32.99,ok,1439769600,760700
157,34.01,34.4,33.87,34.08,ok,1439856000,545200
158,34.04,34.3,33.5,33.84,ok,1439942400,713200
159,32.7,33.81,32.65,33.7,ok,1440028800,727700
160,31.82,32.52,31.24,32.15,ok,1440115200,893900
161,30.8,31.96,28.913,30.21,ok,1440374400,895200
162,30.79,31.64,30.68,31.62,ok,1440460800,701500
163,31.57,31.655,30.61,31.47,ok,1440547200,645800
164,31.96,32.37,31.54,31.7,ok,1440633600,771400
165,32.16,32.24,31.59,31.95,ok,1440720000,855400
166,31.79,32.66,31.73,32.16,ok,1440979200,634100
167,31.01,31.55,30.93,31.29,ok,1441065600,1053200
168,31.54,31.54,31.03,31.37,ok,1441152000,1559600
169,28.51,31.54,28.25,30.93,ok,1441238400,2408000
170,28.03,28.56,27.09,28.02,ok,1441324800,1332900
171,29.31,29.35,28.25,28.46,ok,1441670400,818300
172,28.7,29.66,28.66,29.6,ok,1441756800,568600
173,28.18,28.62,27.9,28.0,ok,1441843200,693500
174,28.33,28.39,27.48,27.7,ok,1441929600,427500
175,28.05,28.52,27.893,28.44,ok,1442188800,802500
176,28.28,28.32,27.92,28.14,ok,1442275200,646500
177,28.53,28.71,28.12,28.29,ok,1442361600,639900
178,28.63,29.0,28.305,28.33,ok,1442448000,362500
179,28.28,28.75,28.21,28.4,ok,1442534400,1382200
180,27.4,28.57,27.29,28.37,ok,1442793600,562100
181,27.39,27.485,26.74,27.15,ok,1442880000,703500
182,27.12,27.74,27.07,27.36,ok,1442966400,387500
183,26.91,27.17,26.47,27.05,ok,1443052800,400100
184,25.88,27.43,25.44,27.26,ok,1443139200,620200
185,24.92,25.89,24.72,25.89,ok,1443398400,900500
186,24.38,25.77,24.22,24.89,ok,1443484800,668600
187,24.3,25.2,24.05,24.87,ok,1443571200,1151800
188,24.61,24.69,24.13,24.32,ok,1443657600,655600
