,c,h,l,o,s,t,v
0,5.05,7.1,5.05,7.1,ok,1549843200,800
1,5.1,5.1,5.1,5.1,ok,1550016000,500
2,5.2,5.2,5.2,5.2,ok,1550102400,200
3,5.2,5.2,5.2,5.2,ok,1550188800,100
4,5.2,5.2,5.2,5.2,ok,1550534400,100
5,5.2,5.2,5.2,5.2,ok,1550620800,200
6,5.2,5.2,5.2,5.2,ok,1550707200,100
7,5.2,5.2,5.2,5.2,ok,1550793600,100
8,5.23,5.23,5.23,5.23,ok,1551052800,100
9,5.18,5.18,5.18,5.18,ok,1551139200,100
10,5.1,5.1,5.1,5.1,ok,1551225600,300
11,5.13,5.13,5.13,5.13,ok,1551312000,100
12,5.12,5.12,5.12,5.12,ok,1551398400,100
13,5.05,5.2,5.05,5.2,ok,1551657600,300
14,5.05,5.05,5.05,5.05,ok,1551744000,100
15,5.05,5.05,5.05,5.05,ok,1551830400,100
16,5.05,5.05,5.05,5.05,ok,1551916800,100
17,5.0,5.0,5.0,5.0,ok,1552003200,500
18,9.0,18.999,4.9,5.206,ok,1552262400,25000
19,6.25,8.975,5.75,8.5,ok,1552348800,32700
20,5.55,6.15,5.384,6.0,ok,1552435200,15300
21,5.02,5.5,5.001,5.5,ok,1552521600,3300
22,5.0,5.722,4.6,5.166,ok,1552608000,31100
23,4.5,5.0,4.12,5.0,ok,1552867200,17600
24,4.061,4.24,3.995,4.24,ok,1552953600,4300
25,4.1,4.209,4.1,4.1,ok,1553040000,2100
26,4.75,5.414,4.35,4.65,ok,1553126400,33200
27,4.59,4.977,4.3,4.8,ok,1553212800,16700
28,4.9,5.48,4.5,4.74,ok,1553472000,86500
29,10.15,10.57,4.54,4.797,ok,1553558400,2362100
30,9.11,18.5,9.05,14.05,ok,1553644800,5364800
31,6.34,8.613,6.03,7.55,ok,1553731200,561500
32,5.47,6.784,5.36,6.65,ok,1553817600,171900
33,5.26,5.8,4.61,5.42,ok,1554076800,86400
34,5.96,7.73,5.26,5.27,ok,1554163200,2833800
35,5.57,6.33,5.399,5.42,ok,1554249600,212200
36,5.3,5.417,5.03,5.09,ok,1554336000,102700
37,5.38,5.49,5.05,5.3,ok,1554422400,83100
38,5.12,5.2,4.94,5.14,ok,1554681600,58700
39,5.21,5.58,4.77,4.86,ok,1554768000,158800
40,5.13,5.24,4.93,5.065,ok,1554854400,40900
41,5.05,5.13,4.847,5.13,ok,1554940800,47700
42,5.75,8.48,5.008,5.01,ok,1555027200,5597700
43,5.38,5.562,5.01,5.32,ok,1555286400,290700
44,5.59,5.85,5.13,5.2,ok,1555372800,224600
45,5.42,5.682,5.174,5.5,ok,1555459200,126000
46,5.27,5.8,5.22,5.31,ok,1555545600,94200
47,5.2,5.446,5.0,5.2,ok,1555891200,54100
48,5.24,5.41,5.15,5.25,ok,1555977600,62600
49,5.46,5.73,5.11,5.11,ok,1556064000,110900
50,5.69,5.8,5.25,5.37,ok,1556150400,168700
51,6.4,7.21,5.8,5.83,ok,1556236800,711500
52,6.73,6.976,6.07,6.16,ok,1556496000,162800
53,6.47,6.91,6.2,6.8,ok,1556582400,137500
54,6.24,6.517,5.96,6.42,ok,1556668800,105800
55,5.8,6.28,5.8,6.16,ok,1556755200,78300
56,5.9,6.2,5.664,5.9,ok,1556841600,121800
57,5.62,5.78,5.52,5.63,ok,1557100800,47500
58,5.65,5.68,5.51,5.68,ok,1557187200,25900
59,5.7,6.05,5.51,5.53,ok,1557273600,58700
60,5.32,5.757,5.16,5.62,ok,1557360000,72900
61,5.21,5.356,5.13,5.18,ok,1557446400,48500
62,5.13,5.226,5.06,5.15,ok,1557705600,30300
63,5.2,5.48,5.14,5.14,ok,1557792000,50500
64,5.55,5.69,5.2,5.34,ok,1557878400,60100
65,5.49,5.88,5.37,5.5,ok,1557964800,55200
66,5.375,5.6,5.3,5.367,ok,1558051200,48700
67,5.35,5.488,5.28,5.33,ok,1558310400,13200
68,5.28,5.49,5.15,5.35,ok,1558396800,20100
69,5.18,5.41,5.18,5.28,ok,1558483200,34500
70,5.07,5.255,5.055,5.255,ok,1558569600,16800
71,5.03,5.107,4.8,5.086,ok,1558656000,21800
72,4.967,5.182,4.85,4.95,ok,1559001600,10800
73,4.65,5.0,4.65,4.97,ok,1559088000,28000
74,4.87,4.94,4.66,4.7,ok,1559174400,12500
75,4.75,4.96,4.73,4.788,ok,1559260800,9400
76,4.31,4.73,4.25,4.73,ok,1559520000,15100
77,5.86,9.6,5.47,8.98,ok,1559606400,7247900
78,4.8,5.6,4.8,5.57,ok,1559692800,420700
79,4.39,4.89,4.31,4.53,ok,1559779200,305300
80,4.46,4.95,4.35,4.35,ok,1559865600,136700
81,4.48,4.67,4.4,4.47,ok,1560124800,62800
82,4.38,4.71,4.19,4.4,ok,1560211200,154800
83,4.34,4.44,4.26,4.3,ok,1560297600,51400
84,4.61,4.95,4.34,4.43,ok,1560384000,190300
85,4.464,4.75,4.45,4.56,ok,1560470400,97400
86,4.48,4.61,4.42,4.48,ok,1560729600,30700
87,4.403,4.62,4.34,4.41,ok,1560816000,116000
88,4.338,4.464,4.25,4.41,ok,1560902400,25600
89,4.25,4.35,4.117,4.35,ok,1560988800,59800
90,4.08,4.21,4.077,4.16,ok,1561075200,21500
91,4.1,4.219,3.8,4.1,ok,1561334400,40200
92,4.17,4.2,3.97,4.008,ok,1561420800,23700
93,4.1,4.15,4.0,4.067,ok,1561507200,23100
94,4.19,4.3,4.06,4.11,ok,1561593600,84800
95,4.27,4.6,4.2,4.25,ok,1561680000,130500
96,4.22,4.4,4.0,4.21,ok,1561939200,47800
97,4.167,4.27,4.1,4.17,ok,1562025600,46600
98,4.151,4.27,4.12,4.27,ok,1562112000,13400
99,4.12,4.23,4.05,4.23,ok,1562284800,9800
100,4.08,4.18,4.04,4.1,ok,1562544000,29000
101,4.34,4.38,3.93,3.97,ok,1562630400,132600
102,4.15,4.21,3.88,4.124,ok,1562716800,56400
103,4.101,4.3,4.01,4.01,ok,1562803200,66400
104,4.01,4.21,4.0,4.161,ok,1562889600,21600
105,4.15,4.275,4.02,4.1,ok,1563148800,67600
106,4.04,4.14,4.02,4.02,ok,1563235200,32100
107,4.14,4.23,4.07,4.11,ok,1563321600,67800
108,4.11,4.19,4.07,4.088,ok,1563408000,36500
109,4.11,4.15,4.04,4.04,ok,1563494400,18000
110,4.19,4.25,4.01,4.044,ok,1563753600,93500
111,4.159,4.3,4.1,4.19,ok,1563840000,67000
112,4.15,4.29,4.056,4.13,ok,1563926400,19300
113,4.05,4.17,4.05,4.1,ok,1564012800,21100
114,4.05,4.15,4.04,4.1,ok,1564099200,14600
115,3.815,4.99,3.6,4.3,ok,1564358400,439900
116,3.27,3.69,3.1,3.66,ok,1564444800,76400
117,3.14,3.43,3.14,3.14,ok,1564531200,36700
118,3.1,3.24,2.86,3.24,ok,1564617600,56200
