,c,h,l,o,s,t,v
0,19.256,19.436,18.676,19.196,ok,1420156800,25000
1,19.2914,19.4814,19.1114,19.1814,ok,1420416000,40200
2,19.1675,19.4375,19.0075,19.4375,ok,1420502400,27300
3,19.2826,19.3825,18.9825,19.1826,ok,1420588800,25500
4,19.7781,20.1681,19.2881,19.4281,ok,1420675200,58900
5,19.4153,19.8953,18.7653,19.8953,ok,1420761600,20400
6,19.371,19.4811,19.201,19.3511,ok,1421020800,19300
7,19.1764,19.9664,19.0064,19.4364,ok,1421107200,24000
8,18.8312,19.1512,18.5412,19.0512,ok,1421193600,20700
9,18.6543,19.0043,18.5243,19.0043,ok,1421280000,34600
10,19.2737,19.2937,18.4637,18.4637,ok,1421366400,21600
11,19.1852,19.3152,18.5752,19.1652,ok,1421712000,26000
12,18.8047,19.1847,18.6247,19.0747,ok,1421798400,14000
13,19.1056,19.3956,18.7456,18.7956,ok,1421884800,17100
14,18.0791,19.2191,17.9691,19.2191,ok,1421971200,43900
15,18.5835,18.6835,17.7535,17.7535,ok,1422230400,36400
16,18.5923,18.7123,18.3423,18.6723,ok,1422316800,14500
17,18.026,18.836,17.996,18.836,ok,1422403200,17000
18,18.3445,18.4045,18.1145,18.1245,ok,1422489600,13800
19,17.7782,18.4582,17.7382,18.2082,ok,1422576000,13500
20,17.9463,18.0263,16.8863,17.6363,ok,1422835200,19300
21,18.6366,18.7266,18.0666,18.0666,ok,1422921600,26800
22,17.9817,18.7317,17.7317,18.4817,ok,1423008000,17500
23,18.1675,18.3575,17.7875,17.9475,ok,1423094400,9600
24,18.5392,18.8592,18.0492,18.1792,ok,1423180800,23800
25,18.026,18.676,17.946,18.476,ok,1423440000,16700
26,18.1675,18.4375,17.8775,18.0975,ok,1423526400,7700
27,18.1498,18.2798,18.0398,18.1898,ok,1423612800,55600
28,18.2118,18.3618,18.0818,18.3618,ok,1423699200,24100
29,18.0879,18.4379,17.9679,18.2879,ok,1423785600,15900
30,19.0613,19.1813,17.7713,18.0013,ok,1424131200,20800
31,18.4861,19.0061,18.3661,18.9761,ok,1424217600,12400
32,19.2914,19.4214,18.4314,18.4314,ok,1424304000,16400
33,19.3091,19.4891,18.9991,19.3291,ok,1424390400,33900
34,19.2383,19.3883,19.0983,19.2983,ok,1424649600,16700
35,19.2649,19.4449,19.1949,19.1949,ok,1424736000,18100
36,19.3976,19.6776,19.1476,19.4776,ok,1424822400,28400
37,19.3976,19.6776,19.1276,19.2276,ok,1424908800,7400
38,19.2383,19.6383,19.0783,19.2683,ok,1424995200,14900
39,19.256,19.506,19.056,19.496,ok,1425254400,14200
40,18.5835,19.4135,18.4035,19.4135,ok,1425340800,12700
41,18.4153,18.6053,18.2153,18.2153,ok,1425427200,10200
42,20.1321,20.6721,18.9021,19.5821,ok,1425513600,94100
43,21.0524,21.4224,20.0124,20.0124,ok,1425600000,116500
44,21.371,22.041,21.021,21.191,ok,1425859200,139900
45,21.6807,21.7807,21.0007,21.3307,ok,1425945600,57100
46,22.5656,22.7756,21.4856,21.5656,ok,1426032000,140400
47,22.5833,22.6033,22.4133,22.5633,ok,1426118400,82900
48,22.3444,23.3344,22.1644,22.5744,ok,1426204800,156500
49,22.5568,23.8468,22.2368,22.5968,ok,1426464000,149000
50,22.194,22.514,21.934,22.074,ok,1426550400,90000
51,22.8665,23.0765,21.4565,21.9165,ok,1426636800,104400
52,23.5567,23.9467,22.4367,22.6967,ok,1426723200,111300
53,23.1939,23.6839,23.1739,23.6639,ok,1426809600,75700
54,23.4329,23.8629,23.0929,23.0929,ok,1427068800,50900
55,23.3621,23.8421,23.3221,23.5421,ok,1427155200,130500
56,23.778,23.898,23.328,23.398,ok,1427241600,86000
57,23.6895,23.8795,23.4695,23.7695,ok,1427328000,57000
58,23.7337,23.9037,23.3637,23.7237,ok,1427414400,102800
59,24.2748,24.7348,23.7848,23.8848,ok,1427673600,190500
60,23.7249,24.5449,23.4349,24.3449,ok,1427760000,190900
61,24.5674,24.6174,23.1174,23.5874,ok,1427846400,64200
62,24.8956,25.0756,24.4356,24.5756,ok,1427932800,100400
63,25.2947,25.7647,24.6047,24.8447,ok,1428278400,135900
64,25.3923,25.9523,25.0823,25.3823,ok,1428364800,105200
65,25.2415,25.5315,24.9715,25.5315,ok,1428451200,70400
66,24.4167,25.3867,24.1667,25.3467,ok,1428537600,46600
67,25.2592,25.4592,23.9692,24.3092,ok,1428624000,105400
68,23.5031,25.4131,22.9531,25.4131,ok,1428883200,173600
69,24.2925,24.3525,22.8725,23.1625,ok,1428969600,88900
70,23.9643,24.6343,23.8043,24.2943,ok,1429056000,52100
71,23.9555,24.1955,23.6655,24.0555,ok,1429142400,26900
72,23.5652,23.9252,23.4952,23.7752,ok,1429228800,39300
73,23.2548,23.9248,23.1248,23.5548,ok,1429488000,78300
74,23.6007,23.6407,23.1907,23.2307,ok,1429574400,44900
75,23.6628,23.7628,23.1028,23.5128,ok,1429660800,14200
76,22.9621,23.7421,22.5721,23.7121,ok,1429747200,62300
77,23.7337,23.8037,22.7437,22.9537,ok,1429833600,64400
78,23.8136,24.1236,23.3436,23.6836,ok,1430092800,57800
79,23.92,24.23,23.76,23.93,ok,1430179200,73000
80,23.583,24.053,23.513,23.833,ok,1430265600,33400
81,22.9266,23.6566,22.6566,23.6566,ok,1430352000,60100
82,23.0774,23.3174,22.6974,23.1174,ok,1430438400,38900
83,23.1484,23.4284,22.7084,23.0084,ok,1430697600,29200
84,23.0508,23.7408,22.5808,23.1308,ok,1430784000,51400
85,23.1129,23.3029,22.2729,23.0429,ok,1430870400,51000
86,23.6362,23.8962,22.9162,22.9162,ok,1430956800,50300
87,23.8668,23.9568,23.7068,23.8968,ok,1431043200,29100
88,23.7337,24.2437,23.6737,23.7837,ok,1431302400,22500
89,23.9111,24.0811,23.5511,23.6611,ok,1431388800,26400
90,23.7958,24.0258,23.7158,23.9158,ok,1431475200,35400
91,23.9732,24.2032,23.7032,23.8332,ok,1431561600,53200
92,23.92,24.06,23.58,23.83,ok,1431648000,23700
93,24.2925,24.6725,23.7025,23.9025,ok,1431907200,33700
94,24.4787,24.7887,24.3787,24.4087,ok,1431993600,51300
95,24.3014,24.5514,24.3014,24.5514,ok,1432080000,28700
96,23.8756,24.4556,23.8456,24.2756,ok,1432166400,34300
97,23.8668,24.0668,23.4168,23.9468,ok,1432252800,26500
98,23.5386,23.9786,23.4686,23.9786,ok,1432598400,35700
99,23.4144,23.7744,23.0544,23.4844,ok,1432684800,83000
100,23.8756,24.1056,23.1256,23.2056,ok,1432771200,30800
101,23.3701,24.4001,23.2501,23.9701,ok,1432857600,64400
102,23.8224,24.2024,23.1324,23.7024,ok,1433116800,43400
103,24.2038,24.4338,23.7438,23.7538,ok,1433203200,36200
104,24.3102,24.4002,23.7402,24.3702,ok,1433289600,44400
105,24.2215,24.3115,24.0315,24.1815,ok,1433376000,39500
106,24.124,24.314,23.694,24.314,ok,1433462400,42700
107,24.0974,24.4374,23.9774,24.0974,ok,1433721600,68400
108,24.3102,24.3902,23.8802,24.1202,ok,1433808000,44100
109,24.6384,24.8584,24.0184,24.1284,ok,1433894400,59000
110,24.7271,24.9271,24.2371,24.6071,ok,1433980800,67800
