,c,h,l,o,s,t,v
0,25.2,26.0,24.13,25.0,ok,1532649600,4774000
1,23.25,25.25,23.0,24.8,ok,1532908800,885800
2,23.91,24.47,23.25,23.25,ok,1532995200,292500
3,23.8,24.1,23.3,23.81,ok,1533081600,201900
4,24.8,26.41,23.29,23.71,ok,1533168000,282800
5,25.08,25.5,24.43,25.25,ok,1533254400,70100
6,26.41,26.48,25.05,25.12,ok,1533513600,77400
7,26.19,26.95,26.0,26.5,ok,1533600000,29600
8,26.4,26.56,25.56,26.35,ok,1533686400,29700
9,26.78,27.09,25.35,26.5,ok,1533772800,195200
10,27.61,27.69,26.0,26.81,ok,1533859200,48400
11,29.63,29.63,27.1,27.21,ok,1534118400,65000
12,30.43,30.43,28.8,29.7,ok,1534204800,149800
13,29.49,30.5,27.4,30.18,ok,1534291200,107700
14,29.2,29.63,28.59,29.61,ok,1534377600,50400
15,28.57,29.05,28.0,29.05,ok,1534464000,11000
16,27.49,28.4,26.35,28.4,ok,1534723200,69400
17,25.5,28.25,25.5,27.9,ok,1534809600,93500
18,26.2,26.75,24.9,25.5,ok,1534896000,68400
19,27.31,27.7,25.63,26.9,ok,1534982400,72900
20,26.3,27.58,26.26,27.31,ok,1535068800,45200
21,26.85,26.94,25.93,26.39,ok,1535328000,45800
22,26.35,26.88,26.05,26.85,ok,1535414400,13900
23,26.49,27.49,25.9,26.42,ok,1535500800,86600
24,26.4,27.0,26.0,26.77,ok,1535587200,16300
25,26.22,26.61,26.01,26.15,ok,1535673600,17100
26,26.42,26.49,26.0,26.22,ok,1536019200,19800
27,26.25,26.5,26.0,26.27,ok,1536105600,21400
28,25.5,26.45,24.37,26.18,ok,1536192000,54200
29,25.45,25.75,24.85,25.49,ok,1536278400,99300
30,25.5,26.0,24.88,24.88,ok,1536537600,58300
31,25.46,26.0,24.99,25.72,ok,1536624000,18400
32,25.59,25.68,24.91,24.91,ok,1536710400,12100
33,25.71,26.02,25.27,25.54,ok,1536796800,28600
34,25.87,26.23,25.34,25.34,ok,1536883200,122400
35,25.82,25.95,24.94,24.94,ok,1537142400,28200
36,26.85,27.21,25.69,25.72,ok,1537228800,24000
37,27.66,27.79,27.03,27.04,ok,1537315200,25100
38,27.7,28.0,27.4,27.75,ok,1537401600,19200
39,28.15,28.25,27.5,27.9,ok,1537488000,15200
40,28.9,29.0,27.2,28.15,ok,1537747200,74000
41,29.8,29.8,28.45,28.65,ok,1537833600,17700
42,29.8,30.4,29.33,29.6,ok,1537920000,87700
43,29.67,30.09,29.01,29.84,ok,1538006400,9400
44,28.53,29.59,28.1,29.5,ok,1538092800,11500
45,30.74,30.99,29.0,29.01,ok,1538352000,53100
46,29.15,31.5,29.02,30.95,ok,1538438400,150100
47,28.19,29.62,28.19,29.27,ok,1538524800,40100
48,27.79,28.44,26.96,28.0,ok,1538611200,14700
49,27.86,28.37,27.27,27.75,ok,1538697600,10000
50,27.43,27.89,26.02,27.7,ok,1538956800,10200
51,26.16,27.1,26.0,27.1,ok,1539043200,20400
52,24.43,26.34,24.27,26.12,ok,1539129600,24700
53,21.2,26.38,21.13,25.0,ok,1539216000,89200
54,23.88,25.0,21.7,21.7,ok,1539302400,202400
55,23.6,24.49,23.5,23.87,ok,1539561600,9200
56,25.0,25.0,23.66,23.66,ok,1539648000,7300
57,25.2,25.36,24.39,25.0,ok,1539734400,5500
58,24.03,25.25,24.01,25.2,ok,1539820800,11000
59,23.27,24.35,23.18,24.03,ok,1539907200,37600
60,23.0,23.4,22.71,22.83,ok,1540166400,25100
61,23.19,23.25,22.51,22.51,ok,1540252800,8200
62,23.0,23.26,22.75,23.2,ok,1540339200,26200
63,23.96,23.96,22.87,23.25,ok,1540425600,38800
64,23.05,23.6,21.74,23.6,ok,1540512000,45200
65,23.38,23.38,22.8,23.32,ok,1540771200,36100
66,22.63,23.4,22.55,23.0,ok,1540857600,35500
67,23.26,23.63,22.88,22.99,ok,1540944000,36400
68,23.6,23.69,23.07,23.07,ok,1541030400,4600
69,24.35,24.5,23.49,23.49,ok,1541116800,8100
70,24.29,24.32,24.0,24.05,ok,1541376000,11800
71,24.03,24.38,24.0,24.0,ok,1541462400,30800
72,24.0,24.84,23.83,24.4,ok,1541548800,24300
73,24.46,24.97,23.71,23.99,ok,1541635200,56800
74,23.95,24.88,23.95,24.09,ok,1541721600,28700
75,24.06,24.06,24.0,24.0,ok,1541980800,6600
76,23.31,24.37,22.89,24.0,ok,1542067200,38300
77,24.2,24.42,23.0,23.49,ok,1542153600,6600
78,24.38,24.46,23.88,24.17,ok,1542240000,16000
79,25.0,25.34,24.56,24.6,ok,1542326400,26700
80,25.15,25.23,24.05,25.0,ok,1542585600,8100
81,24.82,25.25,24.8,24.91,ok,1542672000,18900
82,25.25,25.25,24.68,25.1,ok,1542758400,6000
83,25.5,25.5,25.5,25.5,ok,1542931200,200
84,23.99,25.75,23.95,25.73,ok,1543190400,16000
85,24.32,24.84,24.32,24.44,ok,1543276800,1100
86,24.57,24.7,24.35,24.46,ok,1543363200,2000
87,24.8,27.77,24.4,27.0,ok,1543449600,24400
88,24.7,25.65,24.4,24.8,ok,1543536000,55600
89,24.5,25.22,24.4,25.21,ok,1543795200,9300
90,24.3,24.75,23.75,24.5,ok,1543881600,146700
91,23.75,24.27,23.0,24.1,ok,1544054400,65500
92,23.5,24.57,23.25,23.65,ok,1544140800,54600
93,23.5,24.4,23.03,23.74,ok,1544400000,53100
94,23.3,24.32,23.25,23.4,ok,1544486400,29400
95,23.6,23.9,23.0,23.7,ok,1544572800,47400
96,23.25,23.52,23.09,23.46,ok,1544659200,8100
97,24.43,24.55,23.11,23.29,ok,1544745600,21000
98,24.78,24.78,24.2,24.5,ok,1545004800,25500
99,27.0,27.56,24.54,24.86,ok,1545091200,137500
100,26.5,27.2,25.75,27.0,ok,1545177600,29800
101,24.98,26.67,24.75,26.25,ok,1545264000,24900
102,23.14,25.3,22.83,24.89,ok,1545350400,40700
103,22.95,23.22,22.7,22.95,ok,1545609600,3300
104,23.0,23.87,22.85,23.32,ok,1545782400,24500
105,23.57,23.58,22.5,22.73,ok,1545868800,38200
106,24.15,24.79,23.3,23.83,ok,1545955200,13500
107,24.15,24.65,23.95,23.95,ok,1546214400,3400
108,23.75,24.6,23.36,23.89,ok,1546387200,10100
109,22.32,24.1,22.32,24.1,ok,1546473600,30200
110,23.81,23.96,21.42,22.74,ok,1546560000,23100
111,24.14,24.63,23.68,23.68,ok,1546819200,68000
112,24.55,25.0,24.05,24.4,ok,1546905600,11300
113,24.03,24.9,23.8,24.6,ok,1546992000,40900
114,24.38,24.38,23.01,24.1,ok,1547078400,22700
115,23.3,24.45,23.12,24.45,ok,1547164800,59300
116,23.15,23.7,22.95,23.58,ok,1547424000,17000
117,23.0,23.94,22.93,23.36,ok,1547510400,13400
118,23.38,23.75,23.0,23.22,ok,1547596800,27300
119,23.4,23.7,23.26,23.44,ok,1547683200,19200
120,23.67,23.8,23.25,23.4,ok,1547769600,24300
121,23.3,23.67,23.0,23.67,ok,1548115200,15800
122,23.8,24.37,23.48,23.52,ok,1548201600,13400
123,24.0,25.24,23.52,23.99,ok,1548288000,24300
124,23.7,24.71,23.64,24.0,ok,1548374400,38200
125,23.9,23.99,23.25,23.77,ok,1548633600,4400
126,22.9,23.99,22.9,23.99,ok,1548720000,13800
127,23.4,24.25,22.5,22.9,ok,1548806400,14900
128,23.5,24.0,23.27,23.5,ok,1548892800,19800
129,23.63,23.75,23.12,23.75,ok,1548979200,8500
130,24.1,24.1,23.3,23.49,ok,1549238400,29300
131,24.8,24.81,24.18,24.18,ok,1549324800,2800
132,24.0,24.55,23.8,24.2,ok,1549411200,26200
133,24.03,24.24,23.65,24.08,ok,1549497600,5500
134,24.11,24.27,24.09,24.09,ok,1549584000,800
135,24.04,24.19,23.75,24.0,ok,1549843200,49600
136,23.86,24.25,23.18,24.16,ok,1549929600,11800
137,23.51,24.51,23.51,23.79,ok,1550016000,46500
138,23.99,24.68,23.58,23.58,ok,1550102400,71500
139,23.75,24.59,23.75,24.48,ok,1550188800,55300
140,23.99,24.06,23.51,23.57,ok,1550534400,11500
141,24.75,24.75,23.88,23.88,ok,1550620800,5200
142,24.5,24.8,24.4,24.59,ok,1550707200,3600
143,24.2,25.34,24.2,24.7,ok,1550793600,17800
144,26.34,26.5,24.4,24.4,ok,1551052800,220700
145,27.0,27.0,25.95,26.36,ok,1551139200,10600
146,26.6,27.0,26.4,27.0,ok,1551225600,15100
147,29.56,29.75,27.5,27.5,ok,1551312000,63200
148,30.1,30.1,29.17,29.72,ok,1551398400,12400
149,29.71,29.94,29.64,29.88,ok,1551657600,3000
150,29.45,29.7,29.0,29.55,ok,1551744000,13400
151,28.27,29.63,27.32,29.29,ok,1551830400,41300
152,28.0,28.48,28.0,28.2,ok,1551916800,29100
153,27.74,28.12,27.39,28.0,ok,1552003200,9900
154,27.75,28.38,27.45,27.7,ok,1552262400,115800
155,27.15,28.53,27.12,27.63,ok,1552348800,20000
156,27.0,27.5,26.36,27.18,ok,1552435200,134800
157,27.0,27.8,25.85,27.0,ok,1552521600,424800
158,27.0,27.48,26.86,27.08,ok,1552608000,47900
159,26.68,27.29,26.68,27.03,ok,1552867200,5700
160,26.44,27.26,26.34,26.91,ok,1552953600,26100
161,26.65,26.69,25.9,26.33,ok,1553040000,8900
162,25.75,26.51,25.64,26.41,ok,1553126400,43700
163,25.3,26.14,25.3,25.64,ok,1553212800,25900
164,25.57,25.85,25.17,25.17,ok,1553472000,2900
165,25.75,26.35,25.18,25.95,ok,1553558400,21500
166,25.47,26.24,25.33,25.73,ok,1553644800,29800
167,26.7,26.83,25.02,25.49,ok,1553731200,142400
168,27.5,28.57,26.81,26.81,ok,1553817600,62600
169,27.58,28.25,27.35,27.5,ok,1554076800,7200
170,26.95,27.79,26.51,27.4,ok,1554163200,13500
