,c,h,l,o,s,t,v
0,15.4472,15.5672,15.2772,15.2872,ok,1420156800,62700
1,15.7732,15.8032,15.1232,15.1232,ok,1420416000,172600
2,15.7669,15.8069,15.5069,15.6969,ok,1420502400,95500
3,15.8609,15.9409,15.6309,15.7509,ok,1420588800,122200
4,15.98,15.98,15.63,15.75,ok,1420675200,95300
5,15.7105,16.4105,15.7105,16.0605,ok,1420761600,210100
6,16.1744,16.1744,15.3244,15.3244,ok,1421020800,124900
7,15.9926,16.2226,15.9726,16.1126,ok,1421107200,88200
8,16.1043,16.1343,15.7043,15.8343,ok,1421193600,80700
9,16.0033,16.3433,16.0033,16.1933,ok,1421280000,73400
10,15.8519,16.1319,15.7719,16.0519,ok,1421366400,159200
11,16.0349,16.0549,15.6949,15.6949,ok,1421712000,64400
12,16.098,16.098,15.998,15.998,ok,1421798400,43400
13,16.1106,16.2406,15.9806,16.2306,ok,1421884800,50200
14,16.1863,16.2463,15.9463,15.9663,ok,1421971200,65100
15,16.1421,16.2521,16.0721,16.1821,ok,1422230400,52000
16,16.1295,16.2395,16.0495,16.1395,ok,1422316800,65500
17,16.281,16.381,15.921,15.981,ok,1422403200,71000
18,16.3756,16.9356,16.2556,16.3556,ok,1422489600,203700
19,16.3378,16.5378,16.2678,16.3578,ok,1422576000,67200
20,16.4009,16.4109,16.1309,16.2109,ok,1422835200,101800
21,16.7227,16.7227,16.0227,16.0627,ok,1422921600,66300
22,16.281,16.751,16.161,16.751,ok,1423008000,110500
23,16.2557,16.3257,15.6157,16.0157,ok,1423094400,149000
24,16.1863,16.4063,15.7863,16.1463,ok,1423180800,146900
25,16.3946,16.4346,15.8546,15.8846,ok,1423440000,158700
26,16.2936,16.4936,16.2936,16.4936,ok,1423526400,39500
27,16.3806,16.4606,16.0606,16.1306,ok,1423612800,51300
28,16.2282,16.4982,16.2082,16.4382,ok,1423699200,97300
29,16.2853,16.4353,16.1353,16.1353,ok,1423785600,80700
30,15.8915,16.4715,15.8615,16.4715,ok,1424131200,105800
31,15.8534,15.8934,15.6934,15.7734,ok,1424217600,70300
32,15.936,15.946,15.656,15.836,ok,1424304000,39200
33,16.2536,16.3336,15.3936,15.6236,ok,1424390400,226700
34,16.1202,16.3402,16.0402,16.3402,ok,1424649600,104400
35,16.0948,16.2148,15.9048,16.0548,ok,1424736000,59900
36,16.1392,16.2292,16.0292,16.1292,ok,1424822400,65700
37,16.2409,16.4709,16.1109,16.1909,ok,1424908800,75900
38,16.3743,16.4443,15.9443,16.0642,ok,1424995200,39300
39,16.4378,16.4978,16.2478,16.2678,ok,1425254400,53400
40,16.3362,16.4562,16.2162,16.3462,ok,1425340800,33300
41,16.4695,16.4695,16.1695,16.1695,ok,1425427200,33000
42,16.5839,16.6039,16.3339,16.3339,ok,1425513600,59400
