,c,h,l,o,s,t,v
0,89.74,91.73,88.69,91.72,ok,1420156800,738300
1,89.06,90.22,88.1,89.3,ok,1420416000,705300
2,87.51,89.49,87.36,89.39,ok,1420502400,1488700
3,90.35,91.28,88.17,88.61,ok,1420588800,631200
4,94.01,94.24,91.3,91.42,ok,1420675200,864800
5,93.75,94.46,93.2,94.46,ok,1420761600,559500
6,94.1,94.6,93.0,94.33,ok,1421020800,343200
7,93.42,95.45,92.01,94.35,ok,1421107200,809800
8,89.65,91.7,88.16,91.7,ok,1421193600,808500
9,85.35,89.97,84.93,89.64,ok,1421280000,1268900
10,86.46,87.11,84.06,85.66,ok,1421366400,916800
11,79.16,87.11,77.69,86.7,ok,1421712000,3113000
12,79.29,80.45,77.8,78.7,ok,1421798400,1384800
13,78.44,80.47,78.25,79.6,ok,1421884800,1399500
14,78.33,78.86,77.38,78.38,ok,1421971200,1409100
15,81.34,81.8,77.82,78.3,ok,1422230400,926400
16,80.94,81.45,79.52,80.3,ok,1422316800,894900
17,81.48,83.25,80.61,81.69,ok,1422403200,1088500
18,82.27,83.34,81.48,82.04,ok,1422489600,1736000
19,66.05,70.5,65.65,68.5,ok,1422576000,8227900
20,68.96,70.25,67.15,67.34,ok,1422835200,3284900
21,71.96,72.06,68.38,69.37,ok,1422921600,1947700
22,71.56,72.18,70.65,71.53,ok,1423008000,1688400
23,74.0,74.75,71.7,71.71,ok,1423094400,1473900
24,72.89,74.47,72.25,74.47,ok,1423180800,1183300
25,72.64,73.15,71.25,71.25,ok,1423440000,1064200
26,74.56,75.15,73.17,73.63,ok,1423526400,1006300
27,74.93,75.49,73.93,74.47,ok,1423612800,751100
28,76.47,76.76,74.3,75.25,ok,1423699200,758600
29,77.08,77.32,76.0,76.64,ok,1423785600,554500
30,74.87,77.39,74.78,77.39,ok,1424131200,800600
31,74.01,74.84,73.6,74.2,ok,1424217600,1178100
32,73.49,74.2,73.03,73.94,ok,1424304000,866500
33,75.96,76.13,73.17,73.49,ok,1424390400,655900
34,75.51,75.89,74.17,75.45,ok,1424649600,786000
35,73.96,75.82,73.75,75.76,ok,1424736000,866500
36,74.62,75.14,74.01,74.01,ok,1424822400,541300
37,73.74,75.58,73.46,74.79,ok,1424908800,489500
38,74.24,74.96,73.25,73.67,ok,1424995200,469000
39,74.52,74.64,73.11,74.13,ok,1425254400,827000
40,74.9,74.99,73.47,74.1,ok,1425340800,448400
41,74.4,75.26,74.35,74.52,ok,1425427200,400600
42,74.49,75.19,73.89,74.73,ok,1425513600,396400
43,73.22,74.96,72.72,74.2,ok,1425600000,537300
44,72.08,73.82,71.87,73.23,ok,1425859200,765900
45,72.25,72.93,71.3,71.46,ok,1425945600,504300
46,72.0,73.29,71.92,72.7,ok,1426032000,408600
47,72.06,72.68,71.82,72.5,ok,1426118400,421800
48,70.69,72.56,69.93,71.73,ok,1426204800,600200
49,71.12,71.93,70.91,70.98,ok,1426464000,388300
50,70.35,71.77,69.96,70.97,ok,1426550400,604600
51,71.69,72.18,70.02,70.36,ok,1426636800,757000
52,71.89,72.49,71.5,71.86,ok,1426723200,399900
53,72.06,72.87,71.48,72.24,ok,1426809600,753200
54,72.14,73.96,71.87,71.87,ok,1427068800,645000
55,73.48,73.72,72.16,72.43,ok,1427155200,577200
56,72.6,73.88,72.53,73.58,ok,1427241600,507900
57,72.45,72.92,71.5,72.25,ok,1427328000,338000
