,c,h,l,o,s,t,v
0,23.6304,23.6304,23.6304,23.6304,ok,1493769600,200
1,23.5421,23.9601,23.5421,23.9601,ok,1493856000,1100
2,24.3272,24.3272,23.9412,23.9812,ok,1493942400,9800
3,24.2447,24.7347,24.1347,24.7347,ok,1494201600,4700
4,24.3263,24.7213,24.3213,24.7213,ok,1494288000,3600
5,23.9375,24.6675,23.6275,24.6675,ok,1494374400,4000
6,23.9855,24.0655,23.2755,23.2755,ok,1494460800,2300
7,23.6976,24.0976,23.6576,24.0976,ok,1494547200,5200
8,23.9951,23.9951,23.9951,23.9951,ok,1494806400,900
9,24.1199,24.3399,24.1199,24.3399,ok,1494892800,1200
10,22.8338,23.5238,22.8338,23.5238,ok,1494979200,5100
11,22.709,22.979,22.078,22.078,ok,1495065600,2400
12,23.7129,23.9569,23.0069,23.0069,ok,1495152000,13400
13,24.3551,25.7041,24.2481,25.6301,ok,1495411200,54100
14,24.667,24.817,24.127,24.517,ok,1495497600,101200
15,25.2141,25.4841,24.9351,25.2641,ok,1495584000,30500
16,25.9243,25.9243,25.4043,25.7143,ok,1495670400,36400
17,25.8859,26.0229,25.7159,25.9159,ok,1495756800,29600
18,25.4521,25.9041,25.3041,25.7441,ok,1496102400,17200
19,26.0107,26.0107,25.0607,25.7507,ok,1496188800,27900
20,26.2891,26.3791,25.7091,26.3691,ok,1496275200,14900
21,26.8745,27.2825,26.4335,26.8845,ok,1496361600,20400
22,26.0395,27.1295,25.9795,27.0395,ok,1496620800,25100
23,25.3868,25.7668,25.1318,25.5868,ok,1496707200,13900
24,25.3005,25.4105,25.0705,25.3005,ok,1496793600,14000
25,25.8859,26.0659,24.9259,24.9259,ok,1496880000,15500
26,25.9339,27.1439,25.6739,26.1939,ok,1496966400,10900
27,25.4828,26.7828,25.1328,26.7828,ok,1497225600,14800
28,26.0011,26.1301,25.1711,25.1711,ok,1497312000,5400
29,26.0683,26.4083,25.9283,26.3683,ok,1497398400,8100
30,26.1729,26.2139,25.7269,26.0139,ok,1497484800,4000
31,26.2123,26.4923,26.2123,26.2623,ok,1497571200,2600
32,26.7402,26.8442,26.4262,26.6302,ok,1497830400,22300
33,26.0971,27.0871,26.0971,27.0871,ok,1497916800,25000
34,25.7324,26.4424,25.6254,25.9224,ok,1498003200,14200
35,25.4828,25.7398,25.4828,25.6928,ok,1498089600,12000
36,25.3964,25.9364,24.9854,25.1464,ok,1498176000,38700
37,25.2525,26.0565,25.2425,25.7725,ok,1498435200,20900
38,24.7246,25.3346,24.7146,25.2246,ok,1498521600,15200
39,25.8946,25.9156,24.6756,24.6756,ok,1498608000,6700
40,25.217,25.941,24.694,25.941,ok,1498694400,11300
41,25.742,25.933,25.382,25.432,ok,1498780800,6900
42,26.3102,26.4382,26.1332,26.1482,ok,1499040000,10200
43,27.0377,27.0677,26.2877,26.4377,ok,1499212800,32800
44,26.2987,27.0387,26.2887,26.7287,ok,1499299200,20000
45,27.2057,27.4207,26.5237,26.7207,ok,1499385600,14100
46,27.4216,27.8236,27.0846,27.4716,ok,1499644800,10600
47,27.8516,27.8636,27.0836,27.4536,ok,1499731200,17700
48,28.1703,28.7003,28.1303,28.1703,ok,1499817600,26000
49,27.9303,28.3303,27.6703,28.1253,ok,1499904000,12500
50,28.6214,28.6814,28.2974,28.3814,ok,1499990400,20700
51,28.6502,28.9102,28.3002,28.8002,ok,1500249600,22300
52,28.2663,28.8863,28.2463,28.8863,ok,1500336000,9300
53,28.8326,28.9425,28.5135,28.5135,ok,1500422400,19500
54,28.8134,29.4433,28.8134,29.4433,ok,1500508800,34900
55,29.0629,29.0629,28.5249,28.7829,ok,1500595200,15300
56,29.2453,29.2703,28.9453,29.0453,ok,1500854400,15200
57,29.2357,30.1457,29.0347,29.7757,ok,1500940800,19200
58,29.2837,30.2737,29.0837,29.6237,ok,1501027200,12800
59,28.9525,29.6135,28.5885,29.6135,ok,1501113600,15300
60,29.9459,29.9459,28.9769,28.9769,ok,1501200000,16400
61,29.514,30.213,29.315,30.204,ok,1501459200,16000
62,29.6186,30.2596,29.4106,30.2596,ok,1501545600,19600
63,30.2579,30.3119,29.5129,29.5129,ok,1501632000,18900
64,31.0113,31.0113,29.9813,30.4513,ok,1501718400,28600
65,31.0305,32.5705,30.6405,32.5705,ok,1501804800,37500
66,31.4048,31.5848,31.1248,31.1848,ok,1502064000,34600
67,31.328,32.373,31.277,31.618,ok,1502150400,59300
68,31.376,32.136,31.172,32.136,ok,1502236800,73900
69,30.3682,31.6482,30.3682,31.6482,ok,1502323200,77000
70,30.8001,31.2101,30.4102,30.5401,ok,1502409600,43200
71,31.6352,31.6952,31.0052,31.2852,ok,1502668800,64600
72,31.1745,32.1945,31.0825,32.1945,ok,1502755200,51000
73,31.0977,31.5477,31.0657,31.3097,ok,1502841600,30600
74,29.8211,31.0611,29.8211,31.0611,ok,1502928000,46400
75,29.6772,30.0312,29.2612,29.7572,ok,1503014400,41600
76,29.7933,29.9953,29.3093,29.6723,ok,1503273600,20100
77,30.8865,30.9365,30.1565,30.1565,ok,1503360000,64300
78,30.3615,30.8685,30.3615,30.6085,ok,1503446400,13800
79,30.5698,30.9298,30.3298,30.4598,ok,1503532800,14000
80,30.493,31.003,30.443,31.003,ok,1503619200,9900
81,30.2819,30.6419,30.2819,30.6319,ok,1503878400,8700
82,31.5536,31.5686,30.4786,30.8886,ok,1503964800,44800
83,31.9231,32.1001,31.7001,31.8431,ok,1504051200,49100
84,32.5499,32.6369,31.9369,31.9369,ok,1504137600,32300
85,32.4798,33.5198,32.4678,33.2798,ok,1504224000,36700
86,31.4499,33.1329,31.3109,33.1329,ok,1504569600,81900
87,30.7234,31.6734,30.7134,31.6734,ok,1504656000,34900
