,c,h,l,o,s,t,v
0,12.854,12.924,12.724,12.874,ok,1420156800,14900
1,12.9585,13.0385,12.5285,12.5285,ok,1420416000,43500
2,12.9022,13.0822,12.8722,12.9222,ok,1420502400,16800
3,13.0309,13.2109,12.8509,12.9909,ok,1420588800,17200
4,13.2159,13.2459,13.0159,13.1059,ok,1420675200,19300
5,13.1114,13.2814,13.0614,13.2814,ok,1420761600,6300
6,13.0309,13.1309,12.8509,13.0609,ok,1421020800,14600
7,12.9746,13.2446,12.9346,13.1346,ok,1421107200,27100
8,13.0229,13.1329,12.9529,12.9529,ok,1421193600,4400
9,12.8701,13.1001,12.8701,13.0801,ok,1421280000,8000
10,12.8379,13.1579,12.7379,12.8679,ok,1421366400,11100
11,12.7011,12.9211,12.6411,12.9211,ok,1421712000,17300
12,12.8379,12.8779,12.5079,12.8079,ok,1421798400,13900
13,13.0309,13.0409,12.4809,12.8109,ok,1421884800,26100
14,12.9827,13.0527,12.7727,13.0527,ok,1421971200,14900
15,13.0631,13.0631,12.7531,13.0531,ok,1422230400,13700
16,12.9585,13.0485,12.7385,12.9085,ok,1422316800,8800
17,12.8781,13.0981,12.7381,12.9781,ok,1422403200,14400
18,13.123,13.133,12.903,12.943,ok,1422489600,15300
19,12.9689,13.1989,12.8489,12.9889,ok,1422576000,19600
20,12.9608,13.1508,12.7808,12.9708,ok,1422835200,22200
21,13.0338,13.1638,12.8738,12.9938,ok,1422921600,18200
22,13.1149,13.1249,13.0249,13.0249,ok,1423008000,9100
23,13.1555,13.1855,13.0755,13.1255,ok,1423094400,14700
24,13.0095,13.2095,12.9295,13.1695,ok,1423180800,13600
25,13.0663,13.1463,13.0563,13.0563,ok,1423440000,5900
26,13.0257,13.1457,12.8957,13.1357,ok,1423526400,15300
27,13.0095,13.1495,12.9995,13.1495,ok,1423612800,4900
28,13.0582,13.1582,12.9782,13.0882,ok,1423699200,4400
29,13.123,13.143,13.033,13.113,ok,1423785600,5900
30,13.05,13.21,12.95,13.21,ok,1424131200,24600
31,13.1068,13.1268,12.9968,13.0968,ok,1424217600,2700
32,13.1393,13.1893,12.9393,13.1593,ok,1424304000,12200
33,12.8229,13.2329,12.8029,13.2329,ok,1424390400,22800
34,12.4417,12.9917,12.2717,12.7917,ok,1424649600,36900
35,12.4823,12.6023,12.3323,12.4423,ok,1424736000,16800
