,c,h,l,o,s,t,v
0,23.68,23.96,23.0,23.0,ok,1420156800,141100
1,24.41,24.45,23.96,23.96,ok,1420416000,73600
2,24.95,25.08,24.41,24.56,ok,1420502400,106400
3,24.68,24.84,24.58,24.71,ok,1420588800,32800
4,24.48,24.81,24.46,24.68,ok,1420675200,44800
5,25.0,25.0,24.68,24.68,ok,1420761600,46800
6,25.55,25.6,25.06,25.12,ok,1421020800,141200
7,25.4,25.81,25.32,25.76,ok,1421107200,105800
8,25.31,25.86,25.31,25.75,ok,1421193600,169500
9,26.54,26.84,26.3,26.31,ok,1421280000,266200
10,27.21,27.44,26.87,26.88,ok,1421366400,410300
11,27.89,28.04,27.61,27.68,ok,1421712000,384800
12,27.88,28.37,27.55,28.33,ok,1421798400,235300
13,28.3,28.45,27.91,28.23,ok,1421884800,128400
14,27.9,28.0,27.56,27.99,ok,1421971200,73500
15,27.35,27.55,27.2,27.55,ok,1422230400,84700
16,27.95,28.05,27.6,27.61,ok,1422316800,147400
17,27.55,27.7,27.36,27.59,ok,1422403200,110500
18,26.43,27.15,26.23,26.92,ok,1422489600,545400
19,27.53,27.54,26.52,26.68,ok,1422576000,137900
20,27.1,27.42,26.83,26.87,ok,1422835200,190900
21,26.53,26.87,26.3,26.85,ok,1422921600,136100
22,26.71,27.02,26.44,26.76,ok,1423008000,194800
23,26.81,26.81,26.3,26.49,ok,1423094400,132600
24,25.44,26.37,25.13,25.65,ok,1423180800,1149900
25,25.65,25.75,25.49,25.55,ok,1423440000,310700
26,25.35,25.58,25.24,25.44,ok,1423526400,163000
27,24.71,25.37,24.68,25.37,ok,1423612800,337600
28,24.84,25.02,24.75,24.97,ok,1423699200,70100
29,25.12,25.37,25.06,25.16,ok,1423785600,56700
30,24.26,24.46,24.05,24.46,ok,1424131200,401100
31,24.38,24.42,23.8,24.24,ok,1424217600,195300
32,24.22,24.46,24.13,24.37,ok,1424304000,61300
33,23.94,24.4,23.83,24.3,ok,1424390400,85400
34,23.99,24.32,23.82,23.82,ok,1424649600,99000
35,23.9,24.0,23.48,23.81,ok,1424736000,102400
36,24.09,24.19,23.93,24.16,ok,1424822400,56400
37,24.27,24.46,24.18,24.45,ok,1424908800,102700
38,24.37,24.7,24.37,24.52,ok,1424995200,104500
39,24.13,24.52,24.1,24.48,ok,1425254400,70100
40,24.03,24.43,23.97,24.25,ok,1425340800,58500
41,23.87,24.15,23.86,24.1,ok,1425427200,64700
42,23.84,24.27,23.76,24.0,ok,1425513600,87800
43,22.52,23.09,22.43,22.97,ok,1425600000,583000
44,22.53,22.8,22.52,22.71,ok,1425859200,185200
45,22.29,22.68,22.22,22.55,ok,1425945600,129700
46,21.99,22.2,21.78,22.18,ok,1426032000,146000
47,21.96,22.17,21.8,22.13,ok,1426118400,101600
48,22.06,22.18,21.91,22.13,ok,1426204800,37700
49,22.03,22.17,21.87,22.12,ok,1426464000,48700
50,21.77,22.15,21.58,21.64,ok,1426550400,55100
51,22.69,22.81,21.71,21.83,ok,1426636800,113300
52,22.65,22.75,22.38,22.44,ok,1426723200,49400
53,23.18,23.37,22.81,22.81,ok,1426809600,79600
54,23.46,23.53,23.15,23.2,ok,1427068800,43900
55,23.61,23.65,23.34,23.5,ok,1427155200,52000
56,23.69,23.85,23.69,23.78,ok,1427241600,68000
57,24.0,24.13,23.94,24.1,ok,1427328000,63000
58,23.8,24.0,23.56,23.84,ok,1427414400,100300
59,23.27,23.5,23.19,23.28,ok,1427673600,65900
60,23.21,23.47,23.07,23.28,ok,1427760000,33200
61,24.03,24.16,23.58,23.58,ok,1427846400,59200
62,23.88,24.0,23.66,23.93,ok,1427932800,61000
63,24.48,24.79,24.4,24.69,ok,1428278400,116700
64,24.26,24.4,24.17,24.29,ok,1428364800,83100
65,23.96,24.2,23.77,24.16,ok,1428451200,36500
66,23.63,23.71,23.59,23.71,ok,1428537600,22900
67,24.16,24.26,24.02,24.17,ok,1428624000,25100
68,23.82,23.94,23.74,23.94,ok,1428883200,21900
69,23.54,23.79,23.53,23.66,ok,1428969600,27800
70,23.93,23.98,23.57,23.67,ok,1429056000,38300
71,23.8,24.04,23.67,23.98,ok,1429142400,47900
72,24.0,24.04,23.89,23.9,ok,1429228800,24600
73,23.65,23.74,23.5,23.68,ok,1429488000,22300
74,23.91,23.98,23.63,23.64,ok,1429574400,34700
75,23.28,23.74,23.28,23.72,ok,1429660800,41800
76,23.62,23.66,23.2,23.3,ok,1429747200,20800
77,22.96,23.36,22.86,23.32,ok,1429833600,25300
78,23.92,24.1,23.22,23.27,ok,1430092800,64800
79,24.32,24.42,23.9,23.92,ok,1430179200,46800
80,23.98,24.29,23.9,24.17,ok,1430265600,39300
81,23.13,23.32,22.92,23.32,ok,1430352000,39400
82,22.96,22.96,22.65,22.72,ok,1430438400,40300
83,23.37,23.51,23.33,23.42,ok,1430697600,19800
84,23.54,23.77,23.51,23.71,ok,1430784000,41700
85,23.48,23.66,23.37,23.64,ok,1430870400,21400
86,23.13,23.3,23.12,23.27,ok,1430956800,17000
87,23.35,23.47,23.23,23.47,ok,1431043200,21700
88,23.15,23.42,23.0,23.36,ok,1431302400,15500
89,23.55,23.64,23.38,23.38,ok,1431388800,38500
90,24.41,24.54,24.04,24.04,ok,1431475200,81500
91,24.67,24.88,24.65,24.68,ok,1431561600,50500
92,24.79,24.81,24.46,24.53,ok,1431648000,29500
93,24.82,24.96,24.74,24.9,ok,1431907200,65100
94,24.13,24.47,24.09,24.43,ok,1431993600,25700
95,24.24,24.28,24.15,24.2,ok,1432080000,18300
96,24.06,24.13,23.97,24.0,ok,1432166400,9300
97,24.03,24.1,23.93,24.02,ok,1432252800,16000
98,23.31,23.42,23.24,23.28,ok,1432598400,30000
99,23.33,23.34,23.24,23.24,ok,1432684800,7300
100,23.37,23.39,23.04,23.3,ok,1432771200,17400
101,23.43,23.5,23.36,23.41,ok,1432857600,21200
102,23.38,23.96,23.35,23.76,ok,1433116800,29100
103,23.56,23.57,23.46,23.54,ok,1433203200,22300
104,23.22,23.53,23.0,23.45,ok,1433289600,37800
105,22.87,22.95,22.72,22.92,ok,1433376000,22600
106,22.62,22.65,22.34,22.36,ok,1433462400,33900
107,22.75,22.79,22.6,22.67,ok,1433721600,21900
108,22.87,23.02,22.83,23.0,ok,1433808000,31900
109,23.26,23.4,23.24,23.36,ok,1433894400,11600
110,23.07,23.09,22.91,23.03,ok,1433980800,9000
111,23.03,23.11,22.92,22.93,ok,1434067200,11400
112,23.26,23.31,23.02,23.02,ok,1434326400,14200
113,23.08,23.09,22.91,22.98,ok,1434412800,9100
114,23.27,23.32,22.79,22.94,ok,1434499200,19500
115,23.88,24.0,23.71,23.83,ok,1434585600,22300
116,23.8,23.95,23.78,23.89,ok,1434672000,12000
117,23.2,23.29,23.12,23.25,ok,1434931200,12400
118,22.89,22.99,22.85,22.92,ok,1435017600,13000
119,22.77,22.81,22.67,22.69,ok,1435104000,10400
120,22.71,22.78,22.67,22.67,ok,1435190400,10400
121,22.75,22.78,22.58,22.58,ok,1435276800,11500
122,22.96,23.01,22.79,22.84,ok,1435536000,24900
123,22.69,22.89,22.46,22.64,ok,1435622400,56400
124,22.51,22.69,22.5,22.54,ok,1435708800,61000
125,22.43,22.45,22.32,22.36,ok,1435795200,17200
126,22.54,22.74,22.37,22.37,ok,1436140800,33800
127,22.03,22.16,21.75,22.16,ok,1436227200,48600
128,22.15,22.32,22.15,22.23,ok,1436313600,23700
129,22.24,22.45,22.19,22.43,ok,1436400000,38400
130,22.3,22.36,22.17,22.2,ok,1436486400,23800
131,22.1,22.13,21.85,21.86,ok,1436745600,18300
132,21.99,22.05,21.96,22.02,ok,1436832000,7600
133,21.75,21.75,21.57,21.7,ok,1436918400,38200
134,21.57,21.67,21.53,21.53,ok,1437004800,26700
135,21.12,21.33,21.02,21.33,ok,1437091200,55400
136,19.94,20.31,19.92,20.29,ok,1437350400,114800
137,19.82,20.15,19.8,19.96,ok,1437436800,50100
138,19.57,19.65,19.36,19.4,ok,1437523200,54300
139,19.33,19.75,19.32,19.6,ok,1437609600,133700
140,19.78,19.88,19.05,19.08,ok,1437696000,124700
141,19.57,19.89,19.5,19.59,ok,1437955200,72100
142,19.64,19.71,19.6,19.66,ok,1438041600,13600
143,19.69,19.82,19.45,19.58,ok,1438128000,29800
144,19.31,19.57,19.16,19.21,ok,1438214400,21200
145,19.61,19.91,19.51,19.78,ok,1438300800,32100
146,19.29,19.54,19.28,19.49,ok,1438560000,28200
147,19.34,19.51,19.3,19.46,ok,1438646400,19400
148,19.2,19.42,19.15,19.38,ok,1438732800,20500
149,19.41,19.54,19.29,19.29,ok,1438819200,21400
150,19.5,19.7,19.46,19.46,ok,1438905600,40700
151,19.9,20.09,19.6,19.62,ok,1439164800,77700
152,20.1,20.19,19.91,20.16,ok,1439251200,66200
153,20.64,20.7,20.35,20.35,ok,1439337600,60800
154,20.32,20.41,20.25,20.36,ok,1439424000,39800
155,20.32,20.51,20.21,20.42,ok,1439510400,64700
156,20.41,20.54,20.37,20.5,ok,1439769600,32000
157,20.4,20.43,20.14,20.23,ok,1439856000,20200
158,20.96,20.97,20.59,20.59,ok,1439942400,35500
159,21.66,21.72,21.38,21.41,ok,1440028800,76500
160,21.91,21.97,21.55,21.85,ok,1440115200,121800
161,21.7,22.22,21.41,22.06,ok,1440374400,243700
162,21.17,21.5,21.02,21.46,ok,1440460800,67500
163,20.62,20.75,20.4,20.67,ok,1440547200,56700
164,20.62,20.74,20.41,20.51,ok,1440633600,32400
165,21.02,21.21,20.8,20.8,ok,1440720000,54500
166,21.03,21.08,20.76,20.83,ok,1440979200,24200
167,21.22,21.4,21.12,21.33,ok,1441065600,38300
168,20.96,21.21,20.95,21.14,ok,1441152000,27400
169,20.64,20.79,20.55,20.66,ok,1441238400,30400
170,20.54,20.54,20.38,20.39,ok,1441324800,11400
171,20.56,20.68,20.48,20.52,ok,1441670400,24800
172,20.01,20.21,19.76,20.21,ok,1441756800,54600
173,20.11,20.2,20.07,20.16,ok,1441843200,21000
174,20.02,20.03,19.69,19.82,ok,1441929600,17600
175,20.03,20.05,19.86,19.87,ok,1442188800,29800
176,19.9,19.93,19.84,19.9,ok,1442275200,8000
177,20.45,20.6,20.18,20.18,ok,1442361600,42600
178,20.89,20.95,20.35,20.37,ok,1442448000,150700
179,21.17,21.25,21.08,21.17,ok,1442534400,27200
180,20.95,20.98,20.9,20.94,ok,1442793600,15700
181,20.66,20.71,20.52,20.57,ok,1442880000,11100
182,20.85,20.94,20.84,20.94,ok,1442966400,10500
183,21.68,21.79,21.37,21.37,ok,1443052800,65400
184,21.45,21.5,21.36,21.48,ok,1443139200,30600
185,20.9,21.07,20.83,20.83,ok,1443398400,38100
186,20.74,20.97,20.7,20.86,ok,1443484800,8100
187,20.3,20.34,20.17,20.25,ok,1443571200,41000
188,20.24,20.43,20.21,20.33,ok,1443657600,7400
189,21.11,21.22,20.93,20.93,ok,1443744000,54700
190,21.04,21.26,20.95,21.21,ok,1444003200,25400
191,21.45,21.58,21.42,21.42,ok,1444089600,40400
192,21.42,21.55,21.29,21.41,ok,1444176000,43400
193,21.19,21.5,21.18,21.18,ok,1444262400,30100
194,21.82,21.9,21.2,21.66,ok,1444348800,72400
195,22.01,22.15,21.93,22.13,ok,1444608000,112900
196,22.2,22.2,21.99,22.02,ok,1444694400,32100
197,22.96,23.0,22.39,22.47,ok,1444780800,154900
198,22.77,23.02,22.64,22.73,ok,1444867200,91900
199,22.48,22.79,22.48,22.73,ok,1444953600,23600
200,22.27,22.52,22.25,22.49,ok,1445212800,38100
201,22.54,22.66,22.46,22.53,ok,1445299200,30900
202,22.18,22.41,22.05,22.41,ok,1445385600,35700
203,22.13,22.33,22.09,22.09,ok,1445472000,50400
204,22.09,22.21,21.89,22.18,ok,1445558400,38100
205,22.04,22.19,22.04,22.16,ok,1445817600,16600
206,22.12,22.18,22.0,22.0,ok,1445904000,20100
207,21.8,22.73,21.67,22.53,ok,1445990400,44300
208,21.4,21.72,21.4,21.61,ok,1446076800,53700
209,21.22,21.35,21.16,21.35,ok,1446163200,41500
210,20.94,21.03,20.91,20.98,ok,1446422400,28300
211,20.32,20.66,20.22,20.66,ok,1446508800,176900
212,19.88,20.39,19.88,20.3,ok,1446595200,72600
213,19.81,19.98,19.8,19.96,ok,1446681600,26500
214,19.23,19.32,19.16,19.28,ok,1446768000,43900
215,19.36,19.39,19.25,19.3,ok,1447027200,35900
216,19.21,19.38,19.13,19.22,ok,1447113600,19200
217,19.08,19.22,19.07,19.21,ok,1447200000,8000
218,19.09,19.2,18.77,18.81,ok,1447286400,22600
219,18.99,19.02,18.95,18.99,ok,1447372800,11000
220,19.01,19.14,18.98,19.14,ok,1447632000,24900
221,18.51,18.88,18.37,18.87,ok,1447718400,27500
222,18.53,18.65,18.42,18.51,ok,1447804800,30600
223,19.0,19.1,18.75,18.75,ok,1447891200,31600
224,18.77,19.0,18.72,18.98,ok,1447977600,16000
225,18.44,18.61,18.4,18.58,ok,1448236800,18100
226,18.71,18.81,18.64,18.79,ok,1448323200,25600
227,18.55,18.62,18.47,18.56,ok,1448409600,32500
228,18.08,18.16,17.82,18.12,ok,1448582400,52000
229,18.34,18.47,18.2,18.2,ok,1448841600,14300
230,18.48,18.51,18.31,18.45,ok,1448928000,18100
231,17.91,18.13,17.86,18.13,ok,1449014400,50600
232,18.28,18.35,17.98,18.1,ok,1449100800,26400
233,19.1,19.14,18.61,18.61,ok,1449187200,43300
234,18.6,18.86,18.56,18.86,ok,1449446400,69400
235,18.68,18.8,18.58,18.77,ok,1449532800,19300
236,18.61,18.94,18.5,18.94,ok,1449619200,49200
237,18.55,18.66,18.54,18.57,ok,1449705600,13800
238,18.74,18.8,18.4,18.4,ok,1449792000,21000
239,18.28,18.61,18.27,18.61,ok,1450051200,20300
240,18.2,18.34,18.15,18.28,ok,1450137600,53900
241,18.59,18.77,18.4,18.55,ok,1450224000,29800
242,17.84,18.0,17.81,18.0,ok,1450310400,45000
243,18.36,18.5,18.12,18.12,ok,1450396800,26300
244,18.82,18.89,18.69,18.73,ok,1450656000,33600
245,18.61,18.79,18.6,18.78,ok,1450742400,45900
246,18.47,18.58,18.45,18.51,ok,1450828800,10200
247,18.73,18.74,18.65,18.65,ok,1450915200,9000
248,18.44,18.58,18.41,18.5,ok,1451260800,8000
249,18.44,18.55,18.42,18.55,ok,1451347200,7100
250,18.17,18.21,18.15,18.17,ok,1451433600,30400
251,18.14,18.24,18.13,18.19,ok,1451520000,39900
252,18.65,18.93,18.6,18.76,ok,1451865600,22000
253,18.79,18.84,18.71,18.74,ok,1451952000,21300
254,19.32,19.35,19.06,19.19,ok,1452038400,72200
255,19.82,19.88,19.55,19.72,ok,1452124800,106800
256,19.67,19.71,19.46,19.62,ok,1452211200,57900
257,19.32,19.61,19.32,19.57,ok,1452470400,44100
258,19.16,19.2,18.93,19.12,ok,1452556800,50200
259,19.33,19.33,18.99,19.0,ok,1452643200,37900
260,18.72,19.1,18.56,18.98,ok,1452729600,89200
261,19.08,19.37,19.05,19.37,ok,1452816000,58600
262,19.04,19.19,18.95,19.09,ok,1453161600,76400
263,19.53,19.8,19.46,19.5,ok,1453248000,64100
264,19.58,19.58,19.24,19.42,ok,1453334400,32700
265,19.44,19.56,19.35,19.4,ok,1453420800,18000
266,19.81,19.83,19.68,19.72,ok,1453680000,19500
267,20.27,20.31,19.9,19.95,ok,1453766400,84000
268,20.43,20.48,19.9,20.07,ok,1453852800,37400
269,19.99,20.08,19.84,20.0,ok,1453939200,74400
270,20.09,20.13,19.9,19.98,ok,1454025600,54700
271,20.54,20.54,20.36,20.37,ok,1454284800,70700
272,20.53,20.55,20.32,20.48,ok,1454371200,63200
273,21.0,21.1,20.46,20.46,ok,1454457600,73700
274,21.52,21.55,21.25,21.46,ok,1454544000,116200
275,22.15,22.18,21.16,21.3,ok,1454630400,83400
276,22.74,23.08,22.52,22.77,ok,1454889600,170200
277,22.65,23.04,22.65,22.98,ok,1454976000,67800
278,22.95,22.98,22.42,22.7,ok,1455062400,69600
279,24.68,25.29,24.23,24.54,ok,1455148800,225400
280,24.42,24.53,24.0,24.29,ok,1455235200,118900
281,23.08,23.62,23.08,23.48,ok,1455580800,129700
282,23.33,23.55,23.17,23.3,ok,1455667200,529200
283,24.59,24.72,23.28,23.29,ok,1455753600,526300
284,24.89,25.42,24.12,24.23,ok,1455840000,94400
285,23.71,24.25,23.42,24.02,ok,1456099200,55300
286,24.15,24.87,23.9,24.15,ok,1456185600,53200
287,24.46,25.19,24.2,24.93,ok,1456272000,66500
288,24.54,24.84,24.26,24.26,ok,1456358400,18100
289,24.25,24.48,23.61,24.37,ok,1456444800,50400
290,24.56,24.76,24.15,24.15,ok,1456704000,66100
291,24.51,24.84,24.26,24.84,ok,1456790400,25800
292,24.83,24.83,24.51,24.51,ok,1456876800,36400
293,25.65,25.69,24.82,24.84,ok,1456963200,83600
294,25.5,26.44,25.5,25.99,ok,1457049600,681800
295,25.99,26.2,25.8,26.12,ok,1457308800,256000
296,25.42,26.5,25.41,26.46,ok,1457395200,353600
297,25.65,25.65,24.81,25.3,ok,1457481600,109600
298,25.85,26.03,25.52,25.68,ok,1457568000,43800
299,25.94,26.0,25.41,25.85,ok,1457654400,93600
300,25.19,26.29,25.06,26.29,ok,1457913600,75200
301,24.51,25.05,24.39,25.05,ok,1458000000,106000
302,25.55,25.86,24.29,24.38,ok,1458086400,65800
303,25.97,26.15,25.75,26.0,ok,1458172800,68100
304,25.97,25.98,25.63,25.93,ok,1458259200,14200
305,25.17,25.84,25.15,25.51,ok,1458518400,55000
306,25.47,26.0,25.0,25.55,ok,1458604800,48200
307,23.99,24.77,23.83,24.76,ok,1458691200,149000
308,24.27,24.54,23.87,23.99,ok,1458777600,32300
309,24.33,24.7,24.07,24.53,ok,1459123200,33000
310,24.77,24.82,24.2,24.32,ok,1459209600,27700
311,24.58,25.0,24.2,24.65,ok,1459296000,30800
312,25.03,25.3,24.82,24.87,ok,1459382400,18600
313,24.17,24.56,23.9,24.51,ok,1459468800,40100
314,24.26,24.71,24.05,24.06,ok,1459728000,17100
315,24.79,24.99,24.7,24.89,ok,1459814400,48900
316,25.02,25.21,24.55,24.79,ok,1459900800,42200
317,25.07,25.59,25.0,25.37,ok,1459987200,109400
318,25.02,25.3,24.9,25.0,ok,1460073600,71100
319,25.45,25.74,25.13,25.14,ok,1460332800,188900
320,25.4,25.86,25.22,25.46,ok,1460419200,36300
321,25.18,25.5,25.01,25.22,ok,1460505600,62000
322,25.26,25.39,24.9,25.0,ok,1460592000,83500
323,26.06,26.32,25.26,25.36,ok,1460678400,84400
324,25.65,26.32,25.64,26.1,ok,1460937600,81200
325,26.3,26.31,25.81,25.91,ok,1461024000,44000
326,26.01,26.33,26.01,26.18,ok,1461110400,47100
