,c,h,l,o,s,t,v
0,27.6227,27.8827,27.4427,27.7227,ok,1420156800,41900
1,27.1766,27.7066,27.0666,27.4266,ok,1420416000,3874200
2,26.8733,27.3433,26.7533,27.2133,ok,1420502400,118400
3,27.248,27.318,27.048,27.228,ok,1420588800,85500
4,27.8012,27.8612,27.5212,27.5212,ok,1420675200,86900
5,27.6316,27.9716,27.5016,27.9716,ok,1420761600,91500
6,27.4175,27.7575,27.2975,27.7575,ok,1421020800,194700
7,27.3015,27.8515,27.1315,27.5215,ok,1421107200,54800
8,27.0874,27.1874,26.7674,26.9974,ok,1421193600,68200
9,26.9536,27.6036,26.8536,27.3036,ok,1421280000,42800
10,27.2659,27.2659,26.8159,26.8659,ok,1421366400,37300
11,27.2837,27.4337,27.0137,27.4037,ok,1421712000,192000
12,27.3551,27.4651,27.1851,27.2551,ok,1421798400,84400
13,27.819,27.829,27.349,27.529,ok,1421884800,73400
14,27.6049,27.9649,27.6049,27.9649,ok,1421971200,201000
15,27.6995,27.7095,27.4595,27.5995,ok,1422230400,58800
16,27.2978,27.4678,27.0678,27.3178,ok,1422316800,83500
17,26.9854,27.5454,26.9454,27.4954,ok,1422403200,41900
18,27.2442,27.2942,26.7442,27.0542,ok,1422489600,141700
19,26.789,27.209,26.719,27.109,ok,1422576000,38100
20,27.1282,27.1282,26.5182,26.7482,ok,1422835200,38000
21,27.5388,27.5588,27.0088,27.2588,ok,1422921600,86900
22,27.4317,27.6917,27.4317,27.5417,ok,1423008000,98400
23,27.7531,27.7731,27.5131,27.5131,ok,1423094400,87300
24,27.6013,27.9713,27.5913,27.8213,ok,1423180800,133500
25,27.521,27.711,27.491,27.611,ok,1423440000,46100
26,27.8602,27.8802,27.5802,27.6102,ok,1423526400,74500
27,27.8602,27.9702,27.7102,27.7502,ok,1423612800,65100
28,28.1905,28.2105,27.9905,28.0505,ok,1423699200,101400
29,28.3779,28.3779,28.2079,28.2879,ok,1423785600,135900
30,28.369,28.439,28.209,28.349,ok,1424131200,190000
31,28.4047,28.4247,28.2547,28.3947,ok,1424217600,65100
32,28.3779,28.5179,28.3179,28.3579,ok,1424304000,41600
33,28.5743,28.5943,28.1443,28.3643,ok,1424390400,61800
34,28.5448,28.5848,28.4548,28.5848,ok,1424649600,95300
35,28.6611,28.7011,28.4911,28.6411,ok,1424736000,130800
36,28.6343,28.7043,28.5743,28.7043,ok,1424822400,58900
37,28.5895,28.6995,28.5095,28.6995,ok,1424908800,51500
38,28.509,28.659,28.489,28.639,ok,1424995200,57000
39,28.6879,28.6979,28.4979,28.5579,ok,1425254400,41200
40,28.5627,28.7227,28.4327,28.7227,ok,1425340800,52900
41,28.4822,28.5622,28.2922,28.5622,ok,1425427200,38200
42,28.4196,28.5296,28.2996,28.5296,ok,1425513600,165100
43,27.9634,28.3834,27.9134,28.3834,ok,1425600000,63100
44,28.1691,28.2291,28.0491,28.0491,ok,1425859200,70400
45,27.7666,28.0466,27.7266,28.0466,ok,1425945600,96300
46,27.6503,27.8403,27.6303,27.8403,ok,1426032000,126700
47,27.9365,27.9465,27.7365,27.7365,ok,1426118400,471100
48,27.7755,27.9655,27.5955,27.9655,ok,1426204800,71800
49,28.1244,28.1244,27.8644,27.8844,ok,1426464000,32800
50,27.9813,28.0813,27.9013,28.0813,ok,1426550400,81400
51,28.3748,28.4248,27.7048,27.9348,ok,1426636800,249800
52,28.187,28.307,28.147,28.307,ok,1426723200,246000
53,28.4285,28.5285,28.3485,28.4285,ok,1426809600,46200
54,28.3659,28.4659,28.3159,28.3759,ok,1427068800,65900
55,28.1601,28.4301,28.1601,28.4101,ok,1427155200,45600
56,27.8381,28.4381,27.8281,28.4381,ok,1427241600,76600
57,27.7755,27.8955,27.6155,27.7655,ok,1427328000,96400
58,27.8381,27.8381,27.6381,27.6381,ok,1427414400,34100
59,28.2049,28.2349,28.0349,28.0349,ok,1427673600,49900
60,27.9902,28.2902,27.9302,28.0902,ok,1427760000,49600
61,27.7666,27.9766,27.6366,27.9766,ok,1427846400,297200
62,27.9097,27.9797,27.7797,27.8697,ok,1427932800,47400
63,28.0707,28.2207,27.7407,27.8007,ok,1428278400,79300
64,28.026,28.236,28.026,28.096,ok,1428364800,45100
65,28.0796,28.1996,27.9996,28.1396,ok,1428451200,44100
66,28.2496,28.2696,28.0396,28.1196,ok,1428537600,33600
67,28.348,28.428,28.198,28.348,ok,1428624000,150600
68,28.2317,28.4717,28.1817,28.4317,ok,1428883200,30800
69,28.2317,28.2817,28.0417,28.1817,ok,1428969600,42700
70,28.4106,28.5006,28.3106,28.4306,ok,1429056000,49500
71,28.4017,28.4517,28.3117,28.4417,ok,1429142400,40200
72,28.0796,28.3496,27.9496,28.3496,ok,1429228800,188800
73,28.4019,28.4619,28.2619,28.2619,ok,1429488000,54200
74,28.375,28.475,28.285,28.455,ok,1429574400,63300
75,28.5182,28.5482,28.2782,28.4882,ok,1429660800,50100
76,28.4914,28.6214,28.3814,28.4214,ok,1429747200,35100
77,28.6078,28.6278,28.5178,28.6278,ok,1429833600,30500
78,28.4914,28.7514,28.4914,28.6414,ok,1430092800,31000
79,28.6167,28.6367,28.3467,28.5467,ok,1430179200,37300
80,28.4108,28.5808,28.3408,28.4008,ok,1430265600,31300
81,28.1781,28.4281,28.0481,28.4181,ok,1430352000,92400
82,28.4914,28.5414,28.1714,28.1714,ok,1430438400,104200
83,28.572,28.712,28.552,28.562,ok,1430697600,29800
84,28.2497,28.5997,28.1997,28.5997,ok,1430784000,89200
85,28.1512,28.4212,27.9412,28.4212,ok,1430870400,130600
86,28.2587,28.3387,28.0587,28.0587,ok,1430956800,44800
87,28.6436,28.6636,28.4836,28.6136,ok,1431043200,114700
