,c,h,l,o,s,t,v
0,14.4654,14.5154,14.2154,14.2654,ok,1420156800,1740000
1,14.5748,14.6648,14.2248,14.3648,ok,1420416000,1490600
2,14.5491,15.0191,14.4691,14.7091,ok,1420502400,2234400
3,14.6456,14.8256,14.3256,14.5156,ok,1420588800,1888600
4,14.4783,14.8783,14.3183,14.7883,ok,1420675200,2498300
5,14.4783,14.6683,14.2383,14.4483,ok,1420761600,1065900
6,14.6777,14.7177,14.3777,14.4677,ok,1421020800,984500
7,14.6777,14.7877,14.4977,14.6877,ok,1421107200,1301100
8,14.8965,14.9465,14.4965,14.5165,ok,1421193600,1483000
9,15.0059,15.0359,14.7259,14.9059,ok,1421280000,1579900
10,15.1861,15.2261,14.8761,14.9261,ok,1421366400,1569000
11,15.1732,15.4232,15.0732,15.2832,ok,1421712000,1991800
12,15.2845,15.2845,15.0645,15.2145,ok,1421798400,1749000
13,15.3695,15.5195,15.1995,15.2795,ok,1421884800,2124400
14,15.3172,15.5072,15.1072,15.4672,ok,1421971200,2014700
15,15.4677,15.4677,15.1177,15.1877,ok,1422230400,1979200
16,15.3761,15.6461,15.3161,15.4961,ok,1422316800,1553700
17,15.3041,15.5141,15.2141,15.4541,ok,1422403200,2444400
18,15.4415,15.4415,15.1715,15.2415,ok,1422489600,1213500
19,15.2387,15.6187,15.2187,15.6087,ok,1422576000,1661200
20,15.1078,15.2978,14.7478,15.2978,ok,1422835200,1595500
21,15.2452,15.2452,14.8252,15.0252,ok,1422921600,1059500
22,14.7676,14.9676,14.3576,14.5076,ok,1423008000,27002700
23,14.7937,14.9837,14.6737,14.7537,ok,1423094400,4344900
24,14.4928,14.9228,14.3928,14.8428,ok,1423180800,5722100
25,14.2834,14.7534,14.2034,14.5634,ok,1423440000,3267400
26,14.3815,14.3915,13.9115,14.2315,ok,1423526400,4149000
27,14.4208,14.5308,14.2208,14.4108,ok,1423612800,3227000
28,14.4666,14.5966,14.2766,14.4866,ok,1423699200,1849300
29,14.7021,14.7421,14.2021,14.3521,ok,1423785600,4099800
30,14.6694,14.9194,14.6194,14.7194,ok,1424131200,2498300
31,14.833,14.873,14.353,14.593,ok,1424217600,2033300
32,14.5713,14.9613,14.5013,14.9613,ok,1424304000,1907000
33,14.7806,14.7906,14.4206,14.4506,ok,1424390400,1838800
34,14.9377,14.9477,14.6777,14.7477,ok,1424649600,1893800
35,14.6302,14.9702,14.3102,14.9502,ok,1424736000,2487000
36,14.689,14.869,14.549,14.619,ok,1424822400,3165600
37,14.5582,14.8982,14.5182,14.7482,ok,1424908800,2791200
38,14.6236,14.7036,14.3936,14.5536,ok,1424995200,4424300
39,14.7021,14.9721,14.5621,14.6321,ok,1425254400,1915700
40,14.6498,14.7298,14.4898,14.7298,ok,1425340800,2074500
41,14.5124,14.7724,14.4224,14.6824,ok,1425427200,1744000
42,14.4797,14.7397,14.4497,14.5597,ok,1425513600,1621600
