,c,h,l,o,s,t,v
0,43.8352,44.4852,43.1952,43.8552,ok,1420156800,1007300
1,43.6244,44.0844,43.1044,43.5744,ok,1420416000,1395100
2,43.2467,44.0067,42.6367,43.8167,ok,1420502400,1597500
3,48.3144,49.2044,42.9944,43.0444,ok,1420588800,10995700
4,48.0421,49.2421,47.2221,47.8921,ok,1420675200,4605200
5,47.0233,47.9333,46.9633,47.8533,ok,1420761600,2294700
6,47.3659,47.4859,46.6859,46.9359,ok,1421020800,1482500
7,47.1375,48.0975,46.5175,47.5475,ok,1421107200,1477200
8,47.0585,47.1585,46.2285,46.5985,ok,1421193600,1126800
9,46.1451,47.3351,46.0751,47.1951,ok,1421280000,1129400
10,46.6457,46.7357,45.4357,46.1457,ok,1421366400,1289000
11,46.3119,47.0619,46.0719,46.7819,ok,1421712000,862900
12,47.3922,47.4922,46.0022,46.1822,ok,1421798400,835700
13,48.13,48.38,47.07,47.44,ok,1421884800,1111800
14,48.0246,48.3946,47.7246,48.0246,ok,1421971200,703800
15,48.8765,48.9965,47.7265,47.8165,ok,1422230400,815800
16,48.4549,48.8649,47.9349,48.2149,ok,1422316800,566300
17,48.1739,48.8139,48.1139,48.7239,ok,1422403200,804700
18,48.4286,48.5386,47.8986,48.3886,ok,1422489600,585500
19,45.3634,46.5234,44.5434,46.1934,ok,1422576000,3562600
20,46.3207,46.4707,45.2307,45.3907,ok,1422835200,1348600
21,46.47,46.9,45.9,46.55,ok,1422921600,1513600
22,46.8389,47.3389,46.1589,46.2589,ok,1423008000,1386800
23,47.1902,47.8002,46.9702,47.2402,ok,1423094400,725100
24,46.9443,47.6643,46.5543,47.4543,ok,1423180800,1055300
25,45.8904,47.2104,45.8304,46.9804,ok,1423440000,1343500
26,46.4876,46.8076,45.8076,45.8076,ok,1423526400,990100
27,46.4086,46.8885,46.2085,46.5085,ok,1423612800,740000
28,46.9706,47.1106,45.6006,46.1606,ok,1423699200,812100
29,47.3834,47.4534,46.6034,46.8434,ok,1423785600,426700
30,47.1551,47.6351,46.8851,47.2651,ok,1424131200,849600
31,47.7172,47.8472,46.6772,46.8072,ok,1424217600,767300
32,47.6996,48.1396,47.4696,47.6696,ok,1424304000,466500
33,48.2002,48.3502,47.5002,47.5002,ok,1424390400,686300
34,48.0861,48.4561,47.6861,48.3061,ok,1424649600,558700
35,48.1124,48.4224,47.4424,48.1424,ok,1424736000,1124700
36,48.1476,48.6676,47.7276,47.9776,ok,1424822400,863400
37,48.1827,48.7627,48.0127,48.2527,ok,1424908800,1418400
38,47.5064,47.9964,46.8264,47.7864,ok,1424995200,1755200
39,48.6745,48.7745,47.4645,47.5545,ok,1425254400,2078500
40,49.1839,50.6339,47.6739,50.0439,ok,1425340800,3540900
41,49.1664,49.5564,48.4664,48.6264,ok,1425427200,2569800
42,49.4474,49.6174,48.8974,49.1474,ok,1425513600,1700300
43,49.5704,49.9804,49.1804,49.3604,ok,1425600000,1657900
44,49.8339,50.0839,49.5338,49.6038,ok,1425859200,1251800
45,49.5528,49.8028,49.2328,49.3728,ok,1425945600,906500
46,49.5775,49.9175,49.3375,49.6975,ok,1426032000,1044400
47,50.3786,50.5486,49.3786,49.3886,ok,1426118400,804100
48,50.0793,50.9193,49.7193,50.3493,ok,1426204800,745100
49,50.0177,50.6577,49.8677,50.2777,ok,1426464000,747900
50,50.8541,50.9541,49.9741,49.9741,ok,1426550400,1001100
51,50.5283,50.6883,49.8083,50.5983,ok,1426636800,633800
52,50.4931,50.7831,50.1831,50.3631,ok,1426723200,478600
53,51.4704,51.9604,50.0304,50.6104,ok,1426809600,2141100
54,51.6817,51.9617,51.2917,51.2917,ok,1427068800,909200
55,51.5144,51.7144,51.1144,51.5844,ok,1427155200,686700
56,50.9069,52.0069,50.8869,51.5769,ok,1427241600,945900
57,50.2554,50.9754,49.9254,50.9754,ok,1427328000,495700
58,50.2114,50.7314,49.9514,50.3014,ok,1427414400,631600
59,51.0126,51.2526,50.2126,50.3526,ok,1427673600,652700
60,50.1762,51.2362,50.0962,51.0762,ok,1427760000,1017100
61,49.9913,50.5513,49.6513,50.0013,ok,1427846400,1063800
62,51.488,52.118,50.378,50.908,ok,1427932800,1543800
63,51.9282,52.0482,51.0782,51.1682,ok,1428278400,1130300
64,51.5584,53.3284,51.4884,51.9784,ok,1428364800,1412500
65,51.6993,52.2593,51.2893,51.4393,ok,1428451200,859400
66,51.8226,52.1426,51.4226,51.7126,ok,1428537600,794500
67,51.6377,52.0877,51.4577,51.9877,ok,1428624000,548400
68,51.7873,52.6073,51.5273,51.6873,ok,1428883200,920100
69,50.7308,52.7108,50.3708,52.5508,ok,1428969600,1253200
70,49.9825,51.2125,49.8025,51.1525,ok,1429056000,1839500
71,49.4014,50.2814,49.3414,50.0714,ok,1429142400,1237100
72,48.6706,49.3806,48.1906,49.3106,ok,1429228800,2170800
73,49.7359,50.0659,48.7059,48.9159,ok,1429488000,1239500
74,49.7711,50.4311,49.5211,50.0411,ok,1429574400,1114400
75,50.0001,50.1401,49.4101,49.7501,ok,1429660800,915100
76,50.0441,50.6341,49.6041,50.1641,ok,1429747200,958300
77,49.824,50.614,49.784,50.334,ok,1429833600,545100
78,49.551,50.311,49.531,50.111,ok,1430092800,950400
79,49.1196,49.6296,48.6996,49.4396,ok,1430179200,686000
80,48.3184,49.1684,47.8484,49.0184,ok,1430265600,670300
81,47.7725,48.8125,47.4325,48.2126,ok,1430352000,1020800
82,48.6706,48.9506,47.6406,47.8506,ok,1430438400,719300
83,48.7851,49.1251,48.6151,48.7451,ok,1430697600,670400
84,48.2568,49.2168,48.0368,49.0268,ok,1430784000,892300
85,47.843,48.603,47.693,48.433,ok,1430870400,952900
86,48.7322,49.2722,48.3022,48.3022,ok,1430956800,1040100
87,48.9699,49.8899,48.9599,49.2599,ok,1431043200,608800
88,49.2957,49.6257,48.7557,48.8457,ok,1431302400,599700
