,c,h,l,o,s,t,v
0,23.6851,23.6851,23.6851,23.6851,ok,1543363200,100
1,23.1625,23.1625,23.1625,23.1625,ok,1543449600,400
2,23.1625,23.1625,23.1625,23.1625,ok,1543536000,100
3,23.2257,23.2267,23.2257,23.2267,ok,1543795200,1100
4,22.5665,22.5665,22.5665,22.5665,ok,1544054400,5100
5,22.6123,22.6503,22.6123,22.6483,ok,1544140800,2400
6,22.1722,22.2622,22.1722,22.2622,ok,1544400000,800
7,22.1997,22.3697,22.1997,22.3697,ok,1544486400,1100
8,22.5298,22.5798,22.5298,22.5798,ok,1544572800,700
9,22.5004,22.5924,22.5004,22.5924,ok,1544659200,1000
10,21.9466,22.2026,21.9466,22.2026,ok,1545004800,100
11,21.8329,22.1039,21.8329,22.0529,ok,1545264000,3900
12,21.4019,21.4019,21.4019,21.4019,ok,1545609600,300
13,21.7008,21.7008,21.7008,21.7008,ok,1545782400,100
14,21.5881,21.5881,21.2651,21.3351,ok,1545868800,5800
15,21.7655,22.0045,21.7655,22.0045,ok,1546214400,200
16,21.7462,21.8462,21.7262,21.7262,ok,1546387200,15300
17,21.8207,21.9397,21.7797,21.7997,ok,1546473600,1100
18,22.3623,22.5023,22.3623,22.5023,ok,1546560000,200
19,22.582,22.582,22.582,22.582,ok,1546819200,100
20,22.7301,22.8201,22.7301,22.7701,ok,1546905600,17600
21,22.9967,22.9967,22.9967,22.9967,ok,1546992000,500
22,22.9783,23.1183,22.9783,23.0683,ok,1547164800,10200
23,22.9048,23.0548,22.9048,23.0548,ok,1547424000,300
24,22.9232,22.9232,22.9232,22.9232,ok,1547510400,300
25,23.0519,23.2119,23.0519,23.2119,ok,1547596800,600
26,23.1383,23.2043,23.1383,23.1843,ok,1547683200,1700
27,23.37,23.37,23.357,23.357,ok,1547769600,100
28,23.0059,23.1459,23.0059,23.1459,ok,1548115200,500
29,23.199,23.199,23.199,23.199,ok,1548201600,100
30,23.2956,23.2956,23.2706,23.2906,ok,1548288000,200
31,23.5484,23.5744,23.5484,23.5744,ok,1548374400,600
32,23.4473,23.4473,23.4473,23.4473,ok,1548633600,200
33,23.5484,23.5484,23.5484,23.5484,ok,1548720000,100
34,23.8611,23.9711,23.8611,23.9711,ok,1548806400,200
35,23.7406,23.7916,23.7406,23.7916,ok,1548892800,600
36,23.6284,23.6284,23.6284,23.6284,ok,1548979200,300
37,23.6652,23.6982,23.6652,23.6982,ok,1549238400,300
38,23.8123,23.8123,23.8123,23.8123,ok,1549324800,200
39,23.6799,23.7039,23.6799,23.7039,ok,1549411200,800
40,23.2789,23.2789,23.2389,23.2389,ok,1549584000,300
41,23.5272,23.5272,23.5272,23.5272,ok,1549929600,100
42,23.4444,23.5524,23.4444,23.5524,ok,1550102400,800
43,23.988,23.988,23.777,23.777,ok,1550534400,200
44,23.9577,23.9947,23.9577,23.9947,ok,1550620800,1000
45,23.7654,23.7764,23.7654,23.7764,ok,1550707200,400
46,23.8924,23.9454,23.8924,23.9414,ok,1551052800,500
47,24.0092,24.0092,23.9952,23.9952,ok,1551139200,300
48,23.9135,23.9135,23.9135,23.9135,ok,1551225600,15200
49,23.8307,23.9707,23.8307,23.9707,ok,1551312000,400
50,23.9146,23.9146,23.9146,23.9146,ok,1551744000,100
51,23.5182,23.5182,23.5182,23.5182,ok,1552003200,300
52,23.7736,23.7736,23.7736,23.7736,ok,1552262400,100
53,23.7303,23.7303,23.7303,23.7303,ok,1552348800,100
54,23.9607,23.9607,23.9607,23.9607,ok,1552435200,100
55,23.9054,23.9054,23.9054,23.9054,ok,1552521600,100
56,24.1175,24.1175,24.1175,24.1175,ok,1552608000,200
57,24.265,24.265,24.265,24.265,ok,1552867200,100
58,24.3479,24.4879,24.3479,24.4879,ok,1552953600,400
59,24.2926,24.3826,24.2926,24.3826,ok,1553040000,600
60,23.8685,23.8685,23.8685,23.8685,ok,1553212800,200
61,23.887,23.887,23.887,23.887,ok,1553472000,100
62,24.0621,24.0621,24.0621,24.0621,ok,1553558400,300
63,24.016,24.016,24.016,24.016,ok,1553644800,200
64,23.9792,23.9792,23.9792,23.9792,ok,1553731200,100
65,24.0621,24.0621,24.0621,24.0621,ok,1553817600,100
66,24.3772,24.3772,24.3772,24.3772,ok,1554076800,300
67,24.4976,24.4976,24.4976,24.4976,ok,1554249600,200
68,24.4309,24.4309,24.4309,24.4309,ok,1554336000,100
69,24.3846,24.4046,24.3846,24.4046,ok,1554422400,400
70,24.3772,24.3772,24.3772,24.3772,ok,1554681600,200
71,24.2567,24.2567,24.2567,24.2567,ok,1554768000,300
72,24.3216,24.3216,24.3216,24.3216,ok,1554854400,300
73,24.3503,24.3503,24.3503,24.3503,ok,1554940800,100
74,24.4328,24.4328,24.4328,24.4328,ok,1555027200,200
75,24.3957,24.5107,24.3957,24.5107,ok,1555372800,500
76,24.3123,24.3973,24.3123,24.3623,ok,1555891200,1200
77,24.2947,24.2947,24.2947,24.2947,ok,1555977600,100
78,23.9778,23.9778,23.9778,23.9778,ok,1556064000,100
79,23.9547,23.9547,23.9547,23.9547,ok,1556150400,100
80,24.039,24.039,24.039,24.039,ok,1556496000,100
81,23.951,23.951,23.951,23.951,ok,1556582400,200
82,23.6051,23.6051,23.6051,23.6051,ok,1556755200,200
83,23.8647,23.8647,23.8647,23.8647,ok,1556841600,200
84,23.6422,23.6422,23.5922,23.5922,ok,1557100800,600
85,23.2955,23.2955,23.2895,23.2895,ok,1557187200,300
86,23.1601,23.1601,23.1601,23.1601,ok,1557273600,100
87,23.1601,23.1601,23.1601,23.1601,ok,1557360000,100
88,23.3733,23.3733,23.2633,23.2633,ok,1557446400,300
89,22.8922,22.8922,22.8922,22.8922,ok,1557705600,100
90,23.0396,23.0896,23.0396,23.0896,ok,1557792000,400
91,23.0674,23.0674,23.0174,23.0174,ok,1557964800,300
92,22.9283,22.9283,22.9283,22.9283,ok,1558051200,200
