,c,h,l,o,s,t,v
0,0.99,1.0,0.95,0.95,ok,1420156800,467300
1,0.93,1.0,0.93,0.98,ok,1420416000,654700
2,0.93,0.95,0.92,0.93,ok,1420502400,511000
3,0.95,0.95,0.92,0.93,ok,1420588800,721900
4,0.97,0.98,0.94,0.95,ok,1420675200,322400
5,0.95,0.98,0.93,0.98,ok,1420761600,201100
6,0.95,0.95,0.9,0.95,ok,1421020800,773700
7,0.95,0.95,0.9,0.94,ok,1421107200,617300
8,0.89,0.91,0.85,0.9,ok,1421193600,1235300
9,0.88,0.9,0.87,0.88,ok,1421280000,366200
10,0.9,0.92,0.86,0.88,ok,1421366400,450200
11,0.89,0.92,0.88,0.9,ok,1421712000,542200
12,0.88,0.92,0.87,0.92,ok,1421798400,269500
13,0.88,0.91,0.87,0.91,ok,1421884800,234400
14,0.86,0.88,0.86,0.87,ok,1421971200,523800
15,0.88,0.9,0.87,0.87,ok,1422230400,558900
16,0.88,0.91,0.88,0.89,ok,1422316800,636700
17,0.86,0.89,0.86,0.88,ok,1422403200,224400
18,0.85,0.89,0.83,0.89,ok,1422489600,535400
19,0.86,0.87,0.84,0.86,ok,1422576000,248900
20,0.87,0.88,0.85,0.85,ok,1422835200,451900
21,0.89,0.89,0.87,0.87,ok,1422921600,380700
22,0.89,0.92,0.84,0.9,ok,1423008000,250500
23,0.91,0.92,0.87,0.87,ok,1423094400,642300
24,0.91,0.93,0.89,0.93,ok,1423180800,668900
25,0.9,0.93,0.9,0.93,ok,1423440000,401500
26,0.9,0.92,0.89,0.92,ok,1423526400,412800
27,0.91,0.92,0.89,0.9,ok,1423612800,382500
28,0.91,0.94,0.91,0.92,ok,1423699200,342100
29,0.93,0.94,0.91,0.93,ok,1423785600,200000
30,0.95,0.98,0.93,0.93,ok,1424131200,1448200
31,0.96,0.97,0.93,0.96,ok,1424217600,563200
32,0.93,0.95,0.92,0.95,ok,1424304000,254500
33,0.9,0.94,0.9,0.94,ok,1424390400,674000
34,0.9,0.92,0.87,0.92,ok,1424649600,495600
35,0.9,0.91,0.89,0.91,ok,1424736000,303800
36,0.92,0.92,0.88,0.89,ok,1424822400,461400
37,0.89,0.91,0.88,0.91,ok,1424908800,333400
