,c,h,l,o,s,t,v
0,9.81,9.81,9.81,9.81,ok,1557100800,100
1,9.81,9.81,9.81,9.81,ok,1557187200,100
2,9.81,9.81,9.81,9.81,ok,1557360000,100
3,9.81,9.81,9.81,9.81,ok,1557705600,100
4,9.71,9.71,9.71,9.71,ok,1560816000,550000
5,9.72,9.72,9.71,9.72,ok,1560902400,675000
6,9.72,9.75,9.72,9.75,ok,1560988800,631300
7,9.72,9.73,9.72,9.73,ok,1561075200,300000
8,9.72,9.72,9.72,9.72,ok,1561334400,14900
9,9.77,10.45,9.75,9.75,ok,1563235200,11200
10,9.82,9.82,9.71,9.71,ok,1564704000,400
11,9.78,9.79,9.78,9.785,ok,1565136000,1975000
12,9.78,9.79,9.78,9.78,ok,1565222400,125200
13,9.78,9.79,9.78,9.78,ok,1565308800,125200
14,9.78,9.79,9.78,9.78,ok,1565568000,125200
15,9.78,9.78,9.78,9.78,ok,1565654400,125200
16,9.79,9.79,9.79,9.79,ok,1566172800,350000
17,9.9,9.9,9.9,9.9,ok,1566259200,1000
18,9.9,9.9,9.8,9.8,ok,1566518400,200
19,9.9,9.9,9.9,9.9,ok,1569196800,100
20,9.92,9.92,9.82,9.82,ok,1570406400,700100
21,9.92,9.92,9.92,9.92,ok,1571011200,200
22,9.92,9.92,9.92,9.92,ok,1571097600,100
23,9.9,9.9,9.9,9.9,ok,1571788800,200
24,9.9,9.9,9.9,9.9,ok,1571875200,1900
25,9.92,9.92,9.86,9.86,ok,1572307200,1027300
26,9.9,9.93,9.9,9.9,ok,1573430400,402700
27,9.92,9.92,9.88,9.88,ok,1573603200,1200100
28,9.92,9.92,9.92,9.92,ok,1573689600,10000
29,9.91,9.91,9.91,9.91,ok,1574380800,100
30,9.93,9.93,9.86,9.86,ok,1575417600,201000
31,9.9,9.93,9.9,9.9,ok,1575504000,231200
32,9.9,9.9,9.9,9.9,ok,1575590400,300
33,9.9,9.92,9.87,9.87,ok,1575849600,172300
34,9.9,9.9,9.9,9.9,ok,1575936000,300
35,9.94,9.94,9.9,9.9,ok,1576108800,225200
36,9.94,9.94,9.94,9.94,ok,1576195200,600
37,9.94,9.94,9.933,9.933,ok,1576454400,600
38,9.92,9.94,9.92,9.94,ok,1576540800,3500
39,9.929,9.929,9.92,9.92,ok,1576627200,1500
40,9.95,9.95,9.95,9.95,ok,1576713600,300
41,9.91,9.91,9.91,9.91,ok,1576800000,100
42,9.92,9.92,9.92,9.92,ok,1577145600,7900
43,9.95,9.95,9.94,9.94,ok,1577750400,28900
44,9.97,9.97,9.97,9.97,ok,1577923200,100
45,10.0,10.0,9.965,9.97,ok,1578268800,176000
46,9.97,10.037,9.97,9.99,ok,1578355200,23700
47,10.04,10.04,10.0,10.0,ok,1578441600,25200
48,10.04,10.12,10.04,10.04,ok,1578528000,5200
49,10.02,10.26,10.02,10.04,ok,1578614400,55800
50,10.06,10.06,10.02,10.02,ok,1578873600,76000
51,10.02,10.02,10.02,10.02,ok,1578960000,14200
52,10.04,10.04,10.04,10.04,ok,1579132800,100700
53,10.04,10.04,10.04,10.04,ok,1579219200,90300
54,10.05,10.06,10.05,10.06,ok,1579564800,2100
55,10.08,10.08,10.04,10.04,ok,1579737600,110400
56,10.04,10.05,10.04,10.05,ok,1579824000,11300
