,c,h,l,o,s,t,v
0,11.8282,11.9382,11.7682,11.8482,ok,1420156800,1292600
1,11.7649,11.8849,11.7149,11.7849,ok,1420416000,1997700
2,11.6147,11.9647,11.6047,11.8947,ok,1420502400,1883900
3,11.6226,11.7526,11.5426,11.6826,ok,1420588800,3662100
4,11.9152,12.0452,11.5852,11.5852,ok,1420675200,4598300
5,11.8282,12.0282,11.7682,11.9782,ok,1420761600,1948600
6,11.9626,11.9726,11.7826,11.8426,ok,1421020800,1668300
7,12.0654,12.2554,11.9554,12.0154,ok,1421107200,1490800
8,12.1761,12.1761,11.8061,11.8061,ok,1421193600,982100
9,12.1286,12.2786,11.9486,12.2686,ok,1421280000,1165100
10,12.3342,12.3442,12.0142,12.0742,ok,1421366400,1306200
11,12.1761,12.4761,12.1061,12.4261,ok,1421712000,1473500
12,12.1998,12.2498,12.0598,12.1798,ok,1421798400,783800
13,12.6347,12.6547,12.0547,12.2147,ok,1421884800,1887100
14,12.2789,12.7589,12.2689,12.7589,ok,1421971200,1592600
15,12.2235,12.2635,12.1435,12.2535,ok,1422230400,2436000
16,12.1049,12.3149,12.0749,12.1249,ok,1422316800,1330900
17,11.8914,12.2814,11.8714,12.2514,ok,1422403200,2099800
18,11.9389,11.9689,11.7889,11.8889,ok,1422489600,2007600
19,11.4882,12.0382,11.4582,11.9482,ok,1422576000,2239900
20,11.3222,11.5822,11.1022,11.5522,ok,1422835200,2824600
21,11.6463,11.6563,11.1663,11.2363,ok,1422921600,2833100
22,11.5198,11.7798,11.4898,11.6098,ok,1423008000,1572600
23,11.757,11.767,11.437,11.457,ok,1423094400,1334200
24,11.4487,11.8587,11.3287,11.8487,ok,1423180800,3191400
25,11.3933,11.5933,11.3533,11.4633,ok,1423440000,1366000
26,11.4803,11.5103,11.2603,11.4203,ok,1423526400,1627300
27,11.5119,11.6019,11.3219,11.4619,ok,1423612800,1567800
28,11.6622,11.6822,11.4322,11.5822,ok,1423699200,1880400
29,11.5989,11.7089,11.4789,11.6689,ok,1423785600,893500
30,11.5277,11.7477,11.4877,11.6377,ok,1424131200,1722500
31,11.4803,11.5603,11.2203,11.5403,ok,1424217600,2869800
32,11.3617,11.4717,11.0617,11.4717,ok,1424304000,3984700
33,11.3222,11.4522,11.2022,11.3322,ok,1424390400,2071100
34,11.4171,11.4371,11.2471,11.3071,ok,1424649600,1950800
35,11.3064,11.3864,11.1564,11.2864,ok,1424736000,1783800
36,11.2905,11.5005,11.2805,11.3405,ok,1424822400,2138100
37,11.3301,11.3701,11.1001,11.3001,ok,1424908800,1418300
38,11.4487,11.4887,11.1687,11.2987,ok,1424995200,2055500
39,11.5673,11.7373,11.3873,11.4473,ok,1425254400,1603100
40,11.4961,11.6161,11.3861,11.6161,ok,1425340800,1741100
41,11.1719,11.5719,11.1719,11.5519,ok,1425427200,1638600
42,10.9664,11.2964,10.9664,11.2364,ok,1425513600,2102900
43,10.6897,10.8397,10.4997,10.8397,ok,1425600000,2841800
44,10.998,11.018,10.608,10.678,ok,1425859200,2761900
45,10.9506,11.0606,10.8506,10.9306,ok,1425945600,1971100
46,11.1878,11.1978,10.8478,10.9478,ok,1426032000,4507100
47,11.425,11.515,11.205,11.215,ok,1426118400,2030600
48,11.3459,11.5259,11.2059,11.4859,ok,1426204800,1588000
49,11.4171,11.5971,11.4071,11.4571,ok,1426464000,1174000
50,11.5119,11.5219,11.2619,11.3019,ok,1426550400,1491100
51,11.5515,11.6715,11.1915,11.4915,ok,1426636800,2645100
52,11.5831,11.6831,11.4431,11.5031,ok,1426723200,1014300
53,11.9073,11.9773,11.5073,11.5573,ok,1426809600,3121600
54,11.8203,12.0303,11.7903,11.9303,ok,1427068800,1130500
55,11.5594,11.8894,11.5494,11.8494,ok,1427155200,2164400
56,11.2826,11.5426,11.1726,11.3826,ok,1427241600,4232000
57,11.1561,11.3161,11.0361,11.2161,ok,1427328000,1615800
58,11.1601,11.2601,11.0801,11.1501,ok,1427414400,1822600
59,11.3835,11.3935,11.0735,11.1735,ok,1427673600,1574500
60,11.2718,11.4418,11.1818,11.3518,ok,1427760000,1453800
61,11.2638,11.3338,11.1138,11.2838,ok,1427846400,1486200
62,11.4234,11.5334,11.2134,11.2234,ok,1427932800,1499300
63,11.4393,11.5493,11.3793,11.4093,ok,1428278400,997600
64,11.1442,11.5142,11.1342,11.4942,ok,1428364800,737700
65,11.2,11.31,11.12,11.15,ok,1428451200,1022400
66,11.0165,11.2965,10.9265,11.2365,ok,1428537600,1375800
67,11.1282,11.2282,11.0582,11.0882,ok,1428624000,1084800
68,11.2,11.29,11.09,11.09,ok,1428883200,1373900
69,11.1123,11.3123,11.0723,11.2523,ok,1428969600,1172500
70,11.0086,11.1686,10.9886,11.1686,ok,1429056000,726100
71,11.0883,11.1283,10.8883,10.9683,ok,1429142400,683200
72,11.0405,11.0805,10.8605,11.0005,ok,1429228800,1522400
73,11.0724,11.1024,10.9924,11.0624,ok,1429488000,1270900
74,11.0644,11.2344,11.0444,11.1044,ok,1429574400,703500
75,11.0883,11.1383,11.0083,11.1083,ok,1429660800,1219700
76,11.3117,11.3317,11.0117,11.0217,ok,1429747200,2419600
77,11.3037,11.4037,11.2837,11.3337,ok,1429833600,1121600
78,11.3276,11.5376,11.2276,11.3576,ok,1430092800,1322900
79,11.3037,11.4337,11.2437,11.3037,ok,1430179200,1632900
80,11.1442,11.3342,11.1042,11.2442,ok,1430265600,1133100
81,10.8171,11.2071,10.6971,11.1571,ok,1430352000,1806500
82,10.849,11.039,10.719,10.819,ok,1430438400,1416200
83,10.8969,11.1069,10.8469,10.8769,ok,1430697600,1553800
84,10.6416,10.9616,10.5616,10.9116,ok,1430784000,1851500
85,10.5858,10.7058,10.4658,10.6458,ok,1430870400,1365600
86,10.841,10.921,10.501,10.571,ok,1430956800,1744500
87,10.9607,11.2407,10.8907,10.9507,ok,1431043200,1447500
88,10.6974,11.0474,10.6674,11.0174,ok,1431302400,1476600
89,10.7214,10.7514,10.3914,10.6414,ok,1431388800,1601800
90,10.5778,10.8678,10.5578,10.8678,ok,1431475200,1409400
91,10.7692,10.7792,10.5392,10.5992,ok,1431561600,2291800
92,10.8969,10.9269,10.6769,10.7669,ok,1431648000,1594400
93,10.7772,10.9172,10.7372,10.9172,ok,1431907200,2368800
94,10.7772,10.8672,10.6872,10.7272,ok,1431993600,2498800
95,10.7214,10.8514,10.6714,10.8214,ok,1432080000,3400400
96,10.6895,10.8895,10.6395,10.8895,ok,1432166400,970300
97,10.6496,10.7796,10.6096,10.6596,ok,1432252800,990300
98,10.506,10.636,10.446,10.616,ok,1432598400,1162800
99,10.6576,10.6876,10.4076,10.5076,ok,1432684800,930900
100,10.6017,10.7217,10.5017,10.6817,ok,1432771200,1165600
101,10.506,10.676,10.456,10.596,ok,1432857600,2304700
102,10.6416,10.6916,10.4316,10.5316,ok,1433116800,1051700
103,10.5937,10.6937,10.5437,10.5637,ok,1433203200,1541500
104,10.4581,10.6781,10.3881,10.6481,ok,1433289600,1986300
105,10.3704,10.5104,10.3404,10.4304,ok,1433376000,1603400
106,10.2587,10.3387,10.1487,10.2987,ok,1433462400,1446800
107,10.1949,10.3249,10.1849,10.2749,ok,1433721600,972100
108,10.2029,10.2629,10.0729,10.2029,ok,1433808000,1818000
109,10.2906,10.4706,10.2006,10.2306,ok,1433894400,1404700
110,10.2986,10.3886,10.2486,10.3486,ok,1433980800,823000
111,10.2667,10.3367,10.2067,10.2767,ok,1434067200,753800
112,10.4661,10.5561,10.0661,10.1861,ok,1434326400,17520000
113,10.5539,10.5839,10.3939,10.4439,ok,1434412800,1717800
114,10.5618,10.6218,10.4118,10.5318,ok,1434499200,8334400
115,10.7214,10.7614,10.5514,10.5514,ok,1434585600,2394000
116,10.7294,10.7494,10.5694,10.7294,ok,1434672000,2507100
117,10.5459,10.8259,10.5359,10.7959,ok,1434931200,2114500
118,10.5379,10.6379,10.4479,10.5279,ok,1435017600,1210000
119,10.49,10.66,10.49,10.55,ok,1435104000,1937000
120,10.4422,10.6022,10.3922,10.5522,ok,1435190400,2621100
121,10.5267,10.5367,10.3467,10.4567,ok,1435276800,2172200
122,10.3093,10.7293,10.3093,10.5393,ok,1435536000,2995300
123,10.3173,10.5173,10.1673,10.4173,ok,1435622400,3132800
124,10.5026,10.5026,10.2626,10.2626,ok,1435708800,2295100
125,10.6153,10.7253,10.5453,10.5453,ok,1435795200,2466900
126,10.6878,10.7478,10.5178,10.5178,ok,1436140800,1727600
127,10.857,10.927,10.697,10.697,ok,1436227200,2265300
128,10.7442,10.8742,10.6742,10.8042,ok,1436313600,1330900
129,10.6073,10.8673,10.5873,10.8673,ok,1436400000,1582000
130,10.7684,10.8384,10.5984,10.6584,ok,1436486400,936000
131,10.7764,10.9364,10.6964,10.8364,ok,1436745600,1279000
