,c,h,l,o,s,t,v
0,18.6786,18.7286,18.0686,18.3411,ok,1420156800,406000
1,18.953,19.148,18.313,18.5155,ok,1420416000,574400
2,19.5972,19.7322,19.0722,19.0722,ok,1420502400,578000
3,20.484,20.5465,19.3865,19.709,ok,1420588800,761600
4,20.6882,20.9007,20.1632,20.8857,ok,1420675200,1008000
5,20.7449,21.0274,20.2999,20.6999,ok,1420761600,459600
6,21.2257,21.2533,20.7083,20.7132,ok,1421020800,717200
7,21.1305,21.6555,20.7405,21.3905,ok,1421107200,730800
8,21.6295,21.6595,20.622,20.7545,ok,1421193600,927600
9,21.7996,21.9371,21.3446,21.7446,ok,1421280000,801600
10,22.3485,22.446,21.501,21.8035,ok,1421366400,418800
11,21.8382,22.8157,21.6582,22.7182,ok,1421712000,762800
12,21.786,21.921,21.466,21.921,ok,1421798400,456000
13,22.936,22.996,21.7435,21.8685,ok,1421884800,766400
14,22.7772,23.1397,22.5822,22.9597,ok,1421971200,612800
15,23.351,23.3635,22.4885,22.716,ok,1422230400,448000
16,23.3125,23.6525,23.0125,23.15,ok,1422316800,544000
17,22.8793,23.9293,22.8793,23.4618,ok,1422403200,789200
18,23.1106,23.1381,22.3456,23.0831,ok,1422489600,587600
19,21.6771,23.1096,21.6721,23.0796,ok,1422576000,885200
20,21.4911,21.8011,20.1461,21.6961,ok,1422835200,2375600
21,22.0173,22.0448,20.8973,21.3798,ok,1422921600,592400
22,21.7747,22.0921,21.3847,21.8722,ok,1423008000,475200
23,22.5413,22.5838,21.6963,21.8313,ok,1423094400,402400
24,20.577,22.6595,20.2945,22.592,ok,1423180800,1720000
25,20.1642,20.9592,20.1417,20.5667,ok,1423440000,946000
26,20.3389,20.4664,19.5339,20.2189,ok,1423526400,1028400
27,20.2005,20.698,19.718,20.423,ok,1423612800,870800
28,20.9059,20.9434,19.9984,20.2859,ok,1423699200,960400
29,20.4568,21.1268,20.0693,21.1268,ok,1423785600,741600
30,20.3185,21.086,20.171,20.436,ok,1424131200,866000
31,20.8969,20.9519,19.7569,20.2544,ok,1424217600,844400
32,19.5178,21.0053,19.3903,20.8678,ok,1424304000,1295200
33,20.0803,20.1853,19.4153,19.4728,ok,1424390400,972000
34,20.5884,20.6059,20.0034,20.0109,ok,1424649600,892000
35,19.3681,20.5956,19.0931,20.5956,ok,1424736000,1181600
36,19.3817,20.0467,19.2492,19.2492,ok,1424822400,1104000
37,18.7375,19.475,18.585,19.41,ok,1424908800,848800
38,19.1708,19.3083,18.4633,18.7708,ok,1424995200,660400
39,19.4974,20.1849,19.1699,19.1699,ok,1425254400,945200
40,19.3953,19.5503,18.8478,19.4228,ok,1425340800,527200
41,18.8237,19.5237,18.7012,19.4237,ok,1425427200,520400
42,19.0052,19.5952,18.9252,18.9652,ok,1425513600,513200
43,17.0954,18.4179,16.9954,18.4179,ok,1425600000,1120000
44,17.5082,17.6432,17.2907,17.3057,ok,1425859200,480800
45,17.4674,17.7499,17.2574,17.2974,ok,1425945600,947600
46,17.4923,17.6798,17.3098,17.5373,ok,1426032000,400800
47,18.4177,18.4877,17.6202,17.7227,ok,1426118400,837600
48,18.3633,18.5533,17.9858,18.4233,ok,1426204800,395600
49,18.987,19.317,18.5495,18.627,ok,1426464000,565600
50,18.9326,19.2051,18.5501,18.9701,ok,1426550400,544000
51,20.1098,20.2898,18.4623,18.8198,ok,1426636800,782000
52,20.0894,20.4744,19.8169,20.0794,ok,1426723200,749200
53,21.5819,21.6394,20.0769,20.2994,ok,1426809600,922800
54,21.5297,22.0772,21.3522,21.6597,ok,1427068800,716000
55,20.9808,21.5258,20.9483,21.5158,ok,1427155200,630800
56,19.883,21.2755,19.7155,21.258,ok,1427241600,894800
57,19.5019,19.8669,19.3044,19.6519,ok,1427328000,420000
58,19.6312,19.8887,19.3787,19.5962,ok,1427414400,246400
59,20.4795,20.5445,19.6695,19.9495,ok,1427673600,738400
60,19.9601,20.6876,19.8226,20.3951,ok,1427760000,374000
61,19.824,20.189,19.3215,19.929,ok,1427846400,1046000
62,20.3185,20.5235,19.806,19.9035,ok,1427932800,924800
63,20.915,21.165,20.38,20.38,ok,1428278400,537200
64,19.824,21.1565,19.824,21.1565,ok,1428364800,812400
65,19.9079,20.0954,19.7404,20.0054,ok,1428451200,263600
66,18.674,19.899,18.5365,19.8915,ok,1428537600,781600
67,18.6423,19.3573,18.4523,19.0098,ok,1428624000,462000
68,18.479,18.8615,18.479,18.5865,ok,1428883200,386800
69,18.6672,18.9697,18.5522,18.5522,ok,1428969600,382800
70,18.2612,18.9437,18.2112,18.9437,ok,1429056000,582400
71,18.4087,18.6437,17.8462,18.1187,ok,1429142400,752400
72,18.107,18.482,17.7295,18.237,ok,1429228800,585200
73,18.1977,18.5152,18.0152,18.2852,ok,1429488000,488800
74,18.3134,18.6709,18.1409,18.3809,ok,1429574400,369200
75,18.4245,18.7045,18.2645,18.3295,ok,1429660800,435600
76,18.5515,18.6915,18.2591,18.3491,ok,1429747200,334400
77,18.6559,19.0309,18.4234,18.5634,ok,1429833600,385200
78,18.6014,19.174,18.4539,18.7614,ok,1430092800,493200
79,18.4971,18.6796,18.0846,18.5046,ok,1430179200,382400
80,17.3766,18.3191,17.2241,18.0591,ok,1430265600,703600
81,16.5147,17.3072,16.1797,17.2672,ok,1430352000,779600
82,16.9003,17.2703,16.4578,16.5903,ok,1430438400,819600
83,16.9729,17.4404,16.8579,17.1354,ok,1430697600,564400
84,15.8569,16.8944,15.7519,16.8519,ok,1430784000,642800
85,15.7413,15.9688,15.4588,15.9563,ok,1430870400,554400
86,16.4739,16.6664,15.7189,15.8064,ok,1430956800,859200
87,17.1566,17.8891,16.8066,16.8066,ok,1431043200,873200
88,16.3764,17.3864,16.2289,17.0764,ok,1431302400,450400
89,16.5329,16.6729,15.5879,15.9654,ok,1431388800,767200
90,16.0656,17.1456,15.9531,16.7631,ok,1431475200,470400
91,16.9865,16.9965,16.149,16.149,ok,1431561600,466800
92,17.4719,17.6519,17.0194,17.1019,ok,1431648000,442000
93,17.3539,17.4764,17.0989,17.3589,ok,1431907200,321200
94,17.1974,17.4999,17.0399,17.1799,ok,1431993600,513200
95,17.1294,17.5044,17.0494,17.2569,ok,1432080000,327600
96,16.8686,17.2436,16.6411,17.2185,ok,1432166400,420000
97,16.8323,17.1748,16.5023,16.7473,ok,1432252800,328800
98,16.424,16.8415,16.294,16.819,ok,1432598400,313200
99,16.9116,16.9966,16.3416,16.4991,ok,1432684800,456400
100,16.7869,17.0519,16.5219,16.8594,ok,1432771200,216800
101,16.2471,16.9171,16.1421,16.8396,ok,1432857600,384800
102,16.8096,16.9196,16.0821,16.3246,ok,1433116800,362000
103,16.3673,16.5548,16.1398,16.5298,ok,1433203200,330400
104,15.6891,16.4066,15.5966,16.4066,ok,1433289600,552000
105,15.5575,15.7975,15.4075,15.65,ok,1433376000,462000
106,15.0222,15.4197,14.7097,15.0822,ok,1433462400,562800
107,14.9497,15.1797,14.8547,15.0447,ok,1433721600,198800
108,14.6389,15.0439,14.5689,14.9239,ok,1433808000,368000
109,14.9542,15.3542,14.5342,14.6117,ok,1433894400,389200
110,15.2332,15.3957,15.1307,15.2332,ok,1433980800,484800
111,15.1583,15.3733,15.0533,15.1358,ok,1434067200,183600
112,14.9111,15.1286,14.8061,15.1286,ok,1434326400,259600
113,15.2763,15.3688,14.8338,15.0013,ok,1434412800,238400
114,15.6483,15.7108,14.9158,15.2783,ok,1434499200,448400
115,16.3128,16.5228,15.6528,15.6528,ok,1434585600,860000
116,15.9136,16.3986,15.7661,16.3536,ok,1434672000,478400
117,15.4419,16.2119,15.4094,16.1119,ok,1434931200,340800
118,15.0563,15.3638,14.9688,15.3238,ok,1435017600,720400
119,14.8226,15.2951,14.8001,15.1551,ok,1435104000,323200
120,14.3554,14.8954,14.3429,14.8579,ok,1435190400,503200
121,14.6752,14.7652,14.1702,14.2702,ok,1435276800,672800
122,13.9789,15.0314,13.9514,14.6889,ok,1435536000,605600
123,13.9857,14.3807,13.8632,14.1257,ok,1435622400,943200
124,14.6298,14.6598,13.6898,13.6923,ok,1435708800,522000
125,14.7795,15.4045,14.6945,14.932,ok,1435795200,475200
126,15.0222,15.0972,14.4497,14.4497,ok,1436140800,422400
127,15.7322,15.8297,15.0972,15.2422,ok,1436227200,586800
128,15.5598,15.7173,15.4023,15.6298,ok,1436313600,334800
129,15.3284,15.8834,15.2234,15.7159,ok,1436400000,275200
130,15.7004,16.0554,15.4304,15.4304,ok,1436486400,336000
131,15.7662,16.3637,15.5187,15.8262,ok,1436745600,397200
132,15.8932,16.0507,15.5632,15.8507,ok,1436832000,205200
133,15.9658,16.1383,15.6683,15.7708,ok,1436918400,190000
134,16.3265,16.394,16.024,16.024,ok,1437004800,326800
135,16.1745,16.347,15.9945,16.3245,ok,1437091200,144800
136,16.2403,16.2878,15.8653,16.1528,ok,1437350400,218400
137,16.0747,16.4947,16.0747,16.2397,ok,1437436800,297600
138,16.2766,16.4641,16.0266,16.0366,ok,1437523200,214400
139,15.6959,16.3309,15.3559,16.2934,ok,1437609600,414400
140,15.8524,16.0449,15.6174,15.7649,ok,1437696000,253600
141,15.9386,16.2336,15.7961,15.7961,ok,1437955200,282000
142,15.9794,16.1394,15.8094,16.0194,ok,1438041600,244000
143,16.2788,16.3663,15.6838,15.9263,ok,1438128000,261600
144,16.0543,16.3018,15.8768,16.2843,ok,1438214400,294000
145,16.4353,16.8328,16.3203,16.3203,ok,1438300800,603600
146,16.7007,16.7907,16.4207,16.5857,ok,1438560000,229600
147,16.3514,17.0239,16.2514,16.8239,ok,1438646400,303600
148,16.018,16.5605,15.843,16.4455,ok,1438732800,296400
149,16.0906,16.1481,15.2231,16.0206,ok,1438819200,326000
150,16.2629,16.3379,15.6179,16.1154,ok,1438905600,350000
151,16.1087,16.5412,15.9012,16.5237,ok,1439164800,241200
152,16.4489,16.6589,15.9014,15.9689,ok,1439251200,523600
153,16.5873,16.6073,15.9548,16.3048,ok,1439337600,347600
154,16.6576,16.8776,16.0276,16.5251,ok,1439424000,325600
155,16.9139,16.9314,16.3064,16.5239,ok,1439510400,215200
156,17.3698,17.3848,16.6623,16.8673,ok,1439769600,428000
157,17.4878,17.5553,17.1578,17.3403,ok,1439856000,340000
158,17.1657,17.4532,16.8557,17.4057,ok,1439942400,419600
159,16.8255,17.2255,16.6505,17.013,ok,1440028800,390800
160,15.8751,16.8201,15.8726,16.7426,ok,1440115200,460800
161,13.6704,15.3329,12.9804,14.5379,ok,1440374400,870000
162,12.5386,15.4061,12.5161,14.6036,ok,1440460800,1397200
163,13.5162,13.5912,12.5762,12.5762,ok,1440547200,275600
164,14.2851,14.6551,13.4776,13.8701,ok,1440633600,1088400
165,14.2443,14.3518,13.9068,14.2893,ok,1440720000,522800
166,13.2712,14.2412,13.2712,14.2387,ok,1440979200,432800
167,12.525,13.115,12.21,12.77,ok,1441065600,559600
168,12.9015,13.0165,12.534,12.739,ok,1441152000,535600
169,12.999,13.294,12.8515,12.884,ok,1441238400,274000
170,12.2641,12.7866,11.9716,12.7866,ok,1441324800,370000
171,12.8108,12.9058,12.4408,12.5008,ok,1441670400,232800
172,12.3571,13.3096,12.3221,13.2221,ok,1441756800,376400
173,12.4524,12.8774,12.2999,12.4249,ok,1441843200,462000
174,13.1623,13.1723,12.3348,12.5473,ok,1441929600,508000
175,13.1895,13.307,13.0745,13.242,ok,1442188800,372400
176,13.5525,13.6725,12.8775,13.185,ok,1442275200,349200
177,14.0288,14.1263,13.5013,13.6338,ok,1442361600,764800
178,14.4869,15.2644,13.7769,13.8544,ok,1442448000,1156400
179,14.4189,14.9864,13.9064,14.0914,ok,1442534400,1257200
180,14.8068,15.0093,14.4118,14.4168,ok,1442793600,1238000
181,14.2397,14.7122,14.1097,14.4697,ok,1442880000,806400
182,14.496,14.6685,14.136,14.301,ok,1442966400,289200
183,14.0809,14.5934,13.8109,14.5084,ok,1443052800,223600
184,14.2533,14.6183,14.0008,14.2733,ok,1443139200,198800
185,13.5683,14.2558,13.2508,14.1258,ok,1443398400,532000
186,14.0356,14.1881,13.5031,13.7206,ok,1443484800,1062800
187,14.344,14.4415,13.9665,14.219,ok,1443571200,682000
188,14.5482,14.6382,14.0732,14.4082,ok,1443657600,608000
189,14.8975,14.8975,13.9875,14.5825,ok,1443744000,911200
190,15.6619,15.7069,14.9994,14.9994,ok,1444003200,947200
191,15.5258,15.9508,15.4258,15.6558,ok,1444089600,220000
192,16.0565,16.0565,15.544,15.644,ok,1444176000,723200
193,16.4467,16.5067,15.8067,15.9742,ok,1444262400,840000
194,16.3854,16.4979,16.1104,16.4279,ok,1444348800,413600
195,16.6939,16.9289,16.3489,16.4239,ok,1444608000,784000
196,16.3559,16.7784,16.1734,16.5684,ok,1444694400,383200
197,15.9567,16.5267,15.8517,16.4867,ok,1444780800,627200
198,16.6122,16.6197,15.9622,16.0047,ok,1444867200,782800
199,16.9865,17.089,16.5815,16.5815,ok,1444953600,674400
200,17.6851,17.6976,16.8651,16.8651,ok,1445212800,912800
201,17.6919,17.8444,17.4419,17.6169,ok,1445299200,915600
202,17.4946,17.9846,17.4396,17.7971,ok,1445385600,674400
203,17.9459,18.1159,17.3784,17.6159,ok,1445472000,693200
204,17.3948,18.1098,17.0498,18.1098,ok,1445558400,928800
205,17.4061,17.5761,16.9511,17.4486,ok,1445817600,508800
206,17.3902,17.4427,17.0952,17.3252,ok,1445904000,781600
207,17.4333,17.7908,16.3783,17.3933,ok,1445990400,1229200
208,17.3494,17.4319,16.9844,17.2694,ok,1446076800,633200
209,16.8776,17.4551,16.8176,17.3751,ok,1446163200,679200
210,17.9391,17.9441,16.7416,16.8891,ok,1446422400,1017600
211,17.4107,17.8956,17.1831,17.8556,ok,1446508800,795600
212,17.1634,17.5509,17.0109,17.4484,ok,1446595200,394400
213,17.3834,17.4259,16.8434,17.0959,ok,1446681600,654400
214,15.7662,16.8687,15.4137,16.7237,ok,1446768000,1144000
215,14.9497,15.6122,14.6347,15.4297,ok,1447027200,493200
216,15.4577,15.5677,14.8677,14.8902,ok,1447113600,707600
217,15.528,15.718,15.323,15.528,ok,1447200000,201200
218,15.1992,15.6367,15.1292,15.5542,ok,1447286400,200000
219,14.6684,15.5134,14.6259,15.2159,ok,1447372800,566400
220,15.1425,15.1425,14.44,14.5775,ok,1447632000,327200
221,15.1674,15.6024,14.9999,15.0024,ok,1447718400,247600
222,15.5575,15.6,14.8775,15.12,ok,1447804800,439600
223,15.7276,15.9526,15.5226,15.5976,ok,1447891200,466000
224,16.2856,16.3456,15.8631,15.9306,ok,1447977600,540400
225,16.365,16.595,16.2275,16.36,ok,1448236800,503600
226,16.1405,16.2355,15.713,16.073,ok,1448323200,660800
227,16.3559,16.4609,16.1534,16.1584,ok,1448409600,578000
228,16.7846,16.9221,16.1646,16.2296,ok,1448582400,330800
229,16.3968,17.1293,16.2443,16.9968,ok,1448841600,555600
230,17.0568,17.0818,16.3318,16.3318,ok,1448928000,641600
231,16.0384,17.0984,15.9534,17.0409,ok,1449014400,454000
232,15.274,16.044,15.159,16.024,ok,1449100800,476800
233,16.1473,16.2773,15.2148,15.2148,ok,1449187200,574800
234,16.0044,16.1844,15.7769,16.0794,ok,1449446400,171200
235,15.9545,16.1345,15.697,15.747,ok,1449532800,266800
236,15.7027,16.2152,15.4252,15.8377,ok,1449619200,373200
237,15.3466,15.9666,15.3116,15.6841,ok,1449705600,330800
238,15.2785,15.491,14.951,15.236,ok,1449792000,464000
239,15.4759,15.4859,14.8759,15.2884,ok,1450051200,347600
240,15.9522,16.2272,15.7447,15.8022,ok,1450137600,165600
241,16.9094,17.0219,15.9719,16.0519,ok,1450224000,717600
242,16.6871,17.0646,16.4996,16.9796,ok,1450310400,666400
243,16.1064,16.6464,16.0964,16.6464,ok,1450396800,318000
244,16.2607,16.5832,15.9857,16.2757,ok,1450656000,228000
245,16.4671,16.7671,16.3721,16.3721,ok,1450742400,324000
246,16.9593,16.9718,16.4718,16.4718,ok,1450828800,141200
247,16.9457,17.1432,16.6682,16.9607,ok,1450915200,111200
248,17.2156,17.2406,16.6406,16.7006,ok,1451260800,149200
249,17.7826,17.8301,17.3051,17.3051,ok,1451347200,238000
250,17.5853,17.9453,17.5528,17.8253,ok,1451433600,147600
251,17.1362,17.7162,17.1237,17.5462,ok,1451520000,416800
252,16.4966,16.7066,16.0141,16.6766,ok,1451865600,337600
253,17.4606,17.613,16.393,16.4655,ok,1451952000,598800
254,17.295,17.3625,16.9175,17.0425,ok,1452038400,242400
255,16.3015,16.9515,16.269,16.8365,ok,1452124800,315200
256,15.646,16.6985,15.5685,16.5685,ok,1452211200,192800
257,15.9068,16.2193,15.7193,15.7193,ok,1452470400,186000
258,15.5893,16.2343,15.3668,16.2343,ok,1452556800,312800
259,14.9156,16.1781,14.8656,15.7831,ok,1452643200,271200
260,14.8476,15.2326,14.5476,14.8101,ok,1452729600,240000
261,14.5278,14.6028,13.8753,14.2153,ok,1452816000,270800
262,14.7342,15.0617,14.5442,14.7842,ok,1453161600,197600
263,13.5388,14.3738,12.5213,14.2838,ok,1453248000,520800
264,13.7838,14.3838,13.3838,13.6938,ok,1453334400,486400
265,14.8998,15.0798,14.1673,14.1673,ok,1453420800,325600
266,14.6253,15.3703,14.5353,14.8328,ok,1453680000,207200
267,15.5553,15.5553,14.7803,15.0478,ok,1453766400,370400
268,14.6797,15.5547,14.3497,15.5547,ok,1453852800,281200
269,14.3146,15.0471,14.1221,14.9621,ok,1453939200,296400
270,15.1992,15.2142,14.1717,14.4542,ok,1454025600,395600
271,15.274,15.6865,14.939,14.969,ok,1454284800,266400
272,14.8431,15.1681,14.5781,14.9931,ok,1454371200,329200
273,15.1629,15.3079,14.5604,15.0004,ok,1454457600,403200
274,15.1742,15.4092,14.7767,15.0592,ok,1454544000,172000
275,14.2919,15.1569,14.2719,15.1569,ok,1454630400,321600
276,13.058,14.123,12.3655,14.048,ok,1454889600,396800
277,12.3435,12.816,12.031,12.6835,ok,1454976000,613600
278,12.5998,13.1473,12.4373,12.4798,ok,1455062400,334000
279,12.1121,12.2946,11.7421,12.0396,ok,1455148800,388800
280,12.466,12.561,12.0785,12.4735,ok,1455235200,274000
281,13.1623,13.1973,12.5498,12.6698,ok,1455580800,294000
282,13.5184,13.9934,13.2534,13.2534,ok,1455667200,290800
283,13.8813,14.0188,13.3338,13.6263,ok,1455753600,356800
284,14.1354,14.3129,13.5779,13.7329,ok,1455840000,215200
285,14.5527,14.8677,14.4977,14.5927,ok,1456099200,301600
286,14.4348,14.9598,14.3748,14.4498,ok,1456185600,154000
287,14.3554,14.4479,13.8629,14.2654,ok,1456272000,339600
288,15.2559,15.2709,14.4834,14.4834,ok,1456358400,178400
289,15.0132,15.4357,15.0082,15.2807,ok,1456444800,144400
290,14.8589,15.5264,14.7789,14.9714,ok,1456704000,268400
291,16.086,16.101,14.6835,14.7085,ok,1456790400,773200
292,16.4648,16.4648,15.7148,15.9198,ok,1456876800,223600
293,16.6871,16.6896,16.1596,16.3646,ok,1456963200,172800
294,16.6826,16.7326,16.3176,16.5876,ok,1457049600,226000
295,16.8141,16.9291,16.3866,16.5266,ok,1457308800,108800
296,16.3196,16.8221,16.2596,16.7646,ok,1457395200,82000
297,16.576,16.856,16.4785,16.506,ok,1457481600,254400
298,16.3673,17.0773,15.8273,16.7573,ok,1457568000,196800
299,17.5104,17.5379,16.7354,16.7354,ok,1457654400,202000
300,17.5036,17.6261,17.2236,17.6261,ok,1457913600,146400
301,17.5309,17.6334,17.1959,17.2334,ok,1458000000,90000
302,18.1433,18.2458,17.1058,17.2658,ok,1458086400,182800
303,18.987,19.0595,17.9795,18.2195,ok,1458172800,354400
304,18.699,19.234,18.699,19.2315,ok,1458259200,215600
305,18.175,18.7975,18.0825,18.65,ok,1458518400,276800
306,18.1682,18.3582,17.8282,18.0207,ok,1458604800,196400
307,17.8529,18.2379,17.8529,18.1904,ok,1458691200,199600
308,17.8915,17.9215,17.359,17.6915,ok,1458777600,224800
309,18.3565,18.4715,17.7715,17.7715,ok,1459123200,136400
310,19.5881,19.5956,18.2431,18.2431,ok,1459209600,337200
311,19.4452,19.8502,19.4102,19.8027,ok,1459296000,190800
312,19.8195,19.8745,19.2945,19.347,ok,1459382400,151200
313,19.7061,19.8286,19.3211,19.6286,ok,1459468800,148800
314,19.6539,19.8764,19.4339,19.8639,ok,1459728000,112000
315,19.257,19.5445,19.102,19.3495,ok,1459814400,232800
316,19.3726,19.4176,18.9076,19.2801,ok,1459900800,146400
317,19.0075,19.405,18.7375,19.1775,ok,1459987200,204400
318,19.325,19.57,19.1,19.1,ok,1460073600,175600
319,19.2048,19.6373,19.1973,19.5098,ok,1460332800,83200
320,19.5972,19.7472,19.1872,19.2397,ok,1460419200,91200
321,19.3658,19.8308,19.1558,19.8308,ok,1460505600,269600
322,19.0165,19.4065,18.894,19.384,ok,1460592000,126400
323,19.4384,19.5984,18.7934,19.0709,ok,1460678400,153200
324,19.7083,19.7358,19.2433,19.2483,ok,1460937600,100000
325,19.7696,19.9196,19.5146,19.8546,ok,1461024000,150800
326,18.7761,19.9186,18.7136,19.8936,ok,1461110400,314000
327,17.7804,18.9554,17.5829,18.6704,ok,1461196800,339600
328,18.3157,18.4157,17.6832,17.6832,ok,1461283200,328000
329,18.792,18.792,18.0795,18.0795,ok,1461542400,190000
330,19.0075,19.345,18.8025,18.825,ok,1461628800,270800
331,18.9394,19.0769,18.3319,18.9769,ok,1461715200,218000
332,18.8396,19.1996,18.5746,18.6396,ok,1461801600,125600
333,18.2794,18.6644,17.7594,18.6194,ok,1461888000,268400
334,19.1617,19.3242,18.3642,18.3642,ok,1462147200,297200
335,19.2252,19.3002,18.7902,19.1127,ok,1462233600,130000
336,20.0667,20.1842,18.7267,18.7267,ok,1462320000,300000
337,20.2527,20.3552,19.9177,20.1552,ok,1462406400,225600
338,20.9445,20.952,19.9045,20.1845,ok,1462492800,310800
339,21.5909,21.7109,20.8934,20.9734,ok,1462752000,332800
340,21.5909,21.8159,21.3859,21.6684,ok,1462838400,240800
341,20.1824,21.6874,19.9474,21.6874,ok,1462924800,452400
342,20.5566,20.7566,19.7616,20.1441,ok,1463011200,376000
343,19.9918,20.3568,19.5644,20.2493,ok,1463097600,310400
344,20.5612,20.7312,19.9812,20.0662,ok,1463356800,392400
345,19.4067,20.4967,19.0767,20.4967,ok,1463443200,388800
346,18.513,19.3255,17.788,19.1905,ok,1463529600,721200
347,17.9028,18.2253,17.5853,18.1828,ok,1463616000,407600
348,18.3202,18.4102,17.9877,18.0552,ok,1463702400,254800
349,18.3089,18.5264,18.1664,18.4889,ok,1463961600,537200
350,18.9757,19.1082,18.5082,18.5082,ok,1464048000,348400
351,18.9802,19.1352,18.4102,19.1302,ok,1464134400,335600
352,19.1027,19.2752,18.7702,18.8727,ok,1464220800,212800
353,19.384,19.644,19.1315,19.2665,ok,1464307200,212000
354,19.418,19.578,18.9605,19.3705,ok,1464652800,98000
355,19.4588,19.5788,19.0313,19.2038,ok,1464739200,136000
356,19.7401,19.7576,19.0801,19.2076,ok,1464825600,144800
357,19.9714,20.4814,19.6939,20.1814,ok,1464912000,120800
358,19.5087,20.1787,19.1662,20.1437,ok,1465171200,131600
359,19.8195,20.012,19.6945,19.6945,ok,1465257600,77600
360,20.255,20.295,19.705,19.855,ok,1465344000,169600
361,20.3842,20.4492,19.9892,20.0517,ok,1465430400,77600
362,20.0826,20.3151,19.9151,20.1251,ok,1465516800,94800
363,20.0871,20.5496,20.0021,20.1721,ok,1465776000,123600
364,19.917,20.212,19.7145,20.012,ok,1465862400,82800
365,20.4591,20.7341,19.8691,19.8691,ok,1465948800,181600
366,20.8334,20.8609,20.0759,20.2659,ok,1466035200,138400
367,20.7404,20.8879,20.2854,20.8329,ok,1466121600,92800
368,20.8243,21.6443,20.7293,20.8818,ok,1466380800,169200
369,21.0692,21.2292,20.9267,20.9467,ok,1466467200,75200
370,20.9694,21.2319,20.7594,21.1094,ok,1466553600,80000
371,21.3006,21.5256,21.1706,21.1881,ok,1466640000,98000
372,20.7131,21.4106,19.6631,20.0856,ok,1466726400,200000
373,20.7199,20.8049,19.8374,20.3674,ok,1466985600,142800
374,22.0264,22.0464,20.8739,20.8739,ok,1467072000,296000
375,22.8702,22.9377,22.2802,22.2802,ok,1467158400,244800
376,23.5597,23.5672,22.3547,22.8322,ok,1467244800,375200
377,23.6278,24.1403,23.3428,23.7653,ok,1467331200,249200
378,24.3468,24.3618,23.5393,23.5743,ok,1467676800,141600
379,24.0587,24.2537,23.6987,24.2537,ok,1467763200,133600
380,23.2875,24.195,22.9025,24.045,ok,1467849600,131200
381,24.4148,24.4798,23.5723,23.6223,ok,1467936000,126000
382,24.9252,25.0952,24.0677,24.3302,ok,1468195200,199200
383,24.9161,25.0461,24.2611,24.9161,ok,1468281600,115200
384,25.3153,25.3253,24.6953,25.1053,ok,1468368000,133200
385,24.6394,25.2544,24.4319,25.1519,ok,1468454400,121200
386,24.6666,24.6666,24.1091,24.5291,ok,1468540800,90000
387,24.8367,24.8892,24.6117,24.7692,ok,1468800000,53200
388,25.2132,25.2257,24.4432,24.8157,ok,1468886400,235600
389,25.2019,25.3744,24.9744,25.3744,ok,1468972800,202800
390,25.3493,25.3593,24.6893,24.9118,ok,1469059200,154400
391,26.023,26.278,25.193,25.238,ok,1469145600,194400
392,25.9186,26.3761,25.6011,25.8861,ok,1469404800,140400
393,25.5398,26.0123,25.2823,26.0123,ok,1469491200,102400
394,24.8775,25.55,24.2775,25.55,ok,1469577600,172800
395,25.592,25.8745,24.552,24.742,ok,1469664000,116800
396,26.5651,26.9651,25.3876,25.4776,ok,1469750400,186800
397,26.7375,26.83,26.385,26.4575,ok,1470009600,108000
398,25.4469,26.7494,25.3244,26.5894,ok,1470096000,149600
399,25.0136,25.5086,24.6286,25.4436,ok,1470182400,170000
400,24.7392,25.1667,24.5867,25.1517,ok,1470268800,61600
401,24.7619,24.9594,24.4944,24.7269,ok,1470355200,143600
402,24.8367,25.2117,24.5542,24.7442,ok,1470614400,202000
403,25.245,25.255,24.3575,24.755,ok,1470700800,136800
404,25.1452,25.4902,24.9202,25.4902,ok,1470787200,109200
405,24.3196,25.1071,23.8896,25.1071,ok,1470873600,210000
406,24.6099,25.3849,24.3824,24.3824,ok,1470960000,222000
407,24.5441,25.0591,24.5241,24.7966,ok,1471219200,78400
408,23.6799,24.5124,23.5774,24.5124,ok,1471305600,205600
409,23.9748,24.0198,23.0398,23.7223,ok,1471392000,126000
410,23.6799,24.1874,23.3924,23.9424,ok,1471478400,68800
411,23.249,23.669,23.0465,23.519,ok,1471564800,109600
412,23.6073,23.6598,23.2448,23.2448,ok,1471824000,1094800
413,23.6663,24.0138,23.3963,23.6213,ok,1471910400,192400
414,23.2853,23.7903,22.9203,23.7903,ok,1471996800,118400
415,23.6436,24.1336,23.3136,23.4236,ok,1472083200,112600
416,22.945,24.315,22.445,23.745,ok,1472169600,151600
417,23.6346,23.8246,23.0246,23.0246,ok,1472428800,101900
418,23.4713,23.9713,22.8413,23.7913,ok,1472515200,91800
419,23.5711,23.8111,23.1311,23.5011,ok,1472601600,75200
420,23.3715,23.6115,23.0115,23.5315,ok,1472688000,53100
421,23.9975,24.9075,23.6775,23.7575,ok,1472774400,136900
422,24.5146,24.5146,23.5946,24.2246,ok,1473120000,105700
423,24.9955,25.0055,24.1555,24.3655,ok,1473206400,123400
424,24.0338,24.7538,23.9738,24.7538,ok,1473292800,146100
425,21.2303,23.5703,21.2303,23.5703,ok,1473379200,433800
