,c,h,l,o,s,t,v
0,76.55,77.54,75.62,76.59,ok,1420156800,263300
1,73.45,75.38,71.9,75.35,ok,1420416000,615800
2,72.48,74.0,71.84,73.0,ok,1420502400,406600
3,72.32,74.56,71.57,72.98,ok,1420588800,227600
4,73.52,73.95,72.52,72.94,ok,1420675200,667900
5,71.17,73.35,70.5,73.23,ok,1420761600,368100
6,68.45,70.22,68.09,70.1,ok,1421020800,490000
7,69.62,69.97,68.51,69.07,ok,1421107200,461000
8,72.52,72.63,69.02,69.24,ok,1421193600,724300
9,72.52,73.32,71.88,73.31,ok,1421280000,1084400
10,74.04,74.29,72.94,72.94,ok,1421366400,752200
11,73.66,73.76,71.58,73.69,ok,1421712000,589000
12,76.17,76.36,73.67,74.05,ok,1421798400,534100
13,76.63,76.98,75.56,76.51,ok,1421884800,399600
14,75.5,76.97,75.17,76.14,ok,1421971200,345200
15,77.27,77.29,75.24,75.58,ok,1422230400,399800
16,77.94,78.85,76.37,76.78,ok,1422316800,455100
17,73.02,77.83,72.53,77.66,ok,1422403200,548500
18,72.61,73.91,71.04,73.6,ok,1422489600,537000
19,74.23,75.18,72.13,72.13,ok,1422576000,435700
20,76.71,76.73,74.38,74.97,ok,1422835200,500800
21,78.02,81.13,77.77,77.93,ok,1422921600,629100
22,73.7,76.22,73.08,75.95,ok,1423008000,659000
23,74.28,75.96,74.05,75.05,ok,1423094400,712200
24,73.21,74.93,72.89,74.5,ok,1423180800,546600
25,73.77,75.04,73.57,73.57,ok,1423440000,516900
26,73.59,74.09,72.37,74.09,ok,1423526400,657000
27,74.08,74.68,72.03,72.59,ok,1423612800,346000
28,72.41,76.64,72.14,75.31,ok,1423699200,722500
29,73.37,73.63,72.19,73.21,ok,1423785600,526900
30,75.21,75.34,72.11,73.17,ok,1424131200,508200
31,74.1,75.81,73.92,74.29,ok,1424217600,722900
32,73.14,74.55,71.2,72.03,ok,1424304000,610300
33,72.24,73.47,71.97,73.12,ok,1424390400,630200
34,72.19,73.14,71.25,71.5,ok,1424649600,480100
35,72.42,73.36,71.61,73.14,ok,1424736000,577800
36,71.86,73.21,71.51,72.54,ok,1424822400,492000
37,69.88,72.61,69.75,71.52,ok,1424908800,1004000
38,72.66,76.62,71.15,71.94,ok,1424995200,1524000
39,73.29,73.52,70.45,72.76,ok,1425254400,1071200
40,73.49,73.95,72.11,72.89,ok,1425340800,639000
41,75.25,75.79,72.76,73.43,ok,1425427200,709500
42,72.57,75.29,72.44,75.21,ok,1425513600,748700
43,70.12,72.46,69.93,71.85,ok,1425600000,460900
44,69.7,70.72,68.97,69.83,ok,1425859200,450800
45,68.91,70.1,68.89,69.69,ok,1425945600,328500
46,68.75,69.53,67.64,69.16,ok,1426032000,519600
47,67.95,69.19,67.9,68.99,ok,1426118400,296400
48,66.13,67.26,65.28,67.16,ok,1426204800,656000
49,66.54,66.68,65.28,65.66,ok,1426464000,367800
50,66.46,67.14,65.62,66.02,ok,1426550400,352400
51,68.82,69.22,65.64,66.25,ok,1426636800,709700
52,67.97,68.44,67.19,68.05,ok,1426723200,366700
53,69.47,69.81,68.14,68.49,ok,1426809600,477000
54,69.37,70.41,69.35,69.44,ok,1427068800,378900
55,69.23,69.99,68.56,69.93,ok,1427155200,433500
56,68.83,70.06,68.02,69.04,ok,1427241600,706800
57,68.42,70.1,67.88,69.6,ok,1427328000,456400
58,68.26,68.64,67.02,68.27,ok,1427414400,262500
59,67.87,68.91,66.96,67.99,ok,1427673600,625900
60,68.39,68.52,67.04,67.49,ok,1427760000,735200
61,68.55,69.69,68.43,68.81,ok,1427846400,429500
62,68.34,69.71,67.56,68.29,ok,1427932800,374700
63,69.44,69.85,68.78,68.96,ok,1428278400,773000
64,69.39,70.57,68.8,69.37,ok,1428364800,281200
65,69.57,70.04,68.78,69.72,ok,1428451200,427100
