,c,h,l,o,s,t,v
0,14.73,14.97,14.73,14.85,ok,1420156800,29600
1,14.81,14.82,14.45,14.66,ok,1420416000,24000
2,14.52,14.83,14.44,14.82,ok,1420502400,30200
3,14.41,14.59,14.17,14.59,ok,1420588800,7900
4,14.52,14.71,14.48,14.51,ok,1420675200,8100
5,14.92,14.98,14.58,14.67,ok,1420761600,9500
6,14.71,15.07,14.66,14.93,ok,1421020800,33800
7,15.42,15.54,15.0,15.0,ok,1421107200,16600
8,15.03,15.5,14.81,15.25,ok,1421193600,41400
9,14.91,15.1,14.85,15.1,ok,1421280000,68100
10,15.04,15.09,14.79,14.79,ok,1421366400,26200
11,14.88,15.11,14.81,15.0,ok,1421712000,11900
12,14.57,14.85,14.47,14.85,ok,1421798400,10100
13,14.52,14.82,14.48,14.49,ok,1421884800,10800
14,14.61,14.71,14.46,14.47,ok,1421971200,6600
15,14.77,14.93,14.59,14.59,ok,1422230400,11300
16,14.74,14.77,14.54,14.68,ok,1422316800,12300
17,15.05,15.05,14.73,14.76,ok,1422403200,10800
18,15.55,15.55,14.93,14.97,ok,1422489600,13300
19,15.32,15.32,15.0,15.0,ok,1422576000,11900
20,15.47,15.56,15.2,15.44,ok,1422835200,25200
21,15.51,15.69,15.44,15.56,ok,1422921600,22300
22,15.3,15.45,15.22,15.43,ok,1423008000,23900
23,15.44,15.52,15.22,15.28,ok,1423094400,11600
24,15.34,15.52,15.31,15.46,ok,1423180800,8300
25,15.24,15.36,15.12,15.35,ok,1423440000,14100
26,15.07,15.3,15.01,15.29,ok,1423526400,12400
27,15.09,15.17,14.96,15.0,ok,1423612800,5400
28,15.37,15.45,15.07,15.07,ok,1423699200,31100
29,15.64,15.64,15.5,15.55,ok,1423785600,6900
30,15.65,15.74,15.59,15.68,ok,1424131200,28600
31,15.58,15.67,15.53,15.59,ok,1424217600,17400
32,15.6,15.63,15.22,15.54,ok,1424304000,39300
33,15.27,15.52,15.27,15.49,ok,1424390400,5300
34,15.4,15.42,15.14,15.28,ok,1424649600,37600
35,15.4,15.5,15.3,15.42,ok,1424736000,20800
36,15.44,15.55,15.37,15.42,ok,1424822400,28800
37,15.4,15.48,15.18,15.48,ok,1424908800,24600
38,15.1,15.52,15.1,15.33,ok,1424995200,9100
39,15.34,15.4,14.86,15.21,ok,1425254400,31800
40,15.01,15.52,15.01,15.47,ok,1425340800,16700
41,15.08,15.16,14.76,15.01,ok,1425427200,16100
42,14.72,14.98,14.6,14.98,ok,1425513600,101500
43,15.13,15.15,14.64,14.65,ok,1425600000,41000
44,15.69,15.69,15.24,15.25,ok,1425859200,21100
45,15.18,15.46,15.18,15.4,ok,1425945600,5200
46,15.25,15.3,15.08,15.3,ok,1426032000,23300
47,15.25,15.43,15.25,15.28,ok,1426118400,9200
48,15.05,15.46,15.05,15.38,ok,1426204800,12700
49,14.98,15.08,14.93,14.99,ok,1426464000,28900
50,15.1,15.17,14.86,14.96,ok,1426550400,14200
51,15.36,15.38,15.05,15.05,ok,1426636800,17500
52,15.17,15.27,15.1,15.27,ok,1426723200,75600
53,15.09,15.33,15.03,15.18,ok,1426809600,18300
54,15.03,15.22,15.03,15.21,ok,1427068800,5200
55,15.1,15.25,15.07,15.1,ok,1427155200,16000
56,14.51,15.15,14.43,15.15,ok,1427241600,16100
57,14.74,14.74,14.35,14.41,ok,1427328000,10200
58,14.87,14.94,14.78,14.78,ok,1427414400,6200
59,14.9,15.13,14.88,14.89,ok,1427673600,22300
60,15.06,15.16,14.85,14.93,ok,1427760000,20300
61,15.08,15.23,14.91,15.1,ok,1427846400,36900
62,15.14,15.3,15.14,15.19,ok,1427932800,8300
63,15.5,15.64,15.17,15.17,ok,1428278400,17900
64,15.62,15.88,15.56,15.56,ok,1428364800,10500
65,15.58,15.96,15.58,15.81,ok,1428451200,15500
66,15.68,15.88,15.62,15.62,ok,1428537600,20500
67,15.66,15.81,15.65,15.81,ok,1428624000,11400
68,15.69,15.78,15.5,15.7,ok,1428883200,13000
69,15.73,16.02,15.73,15.85,ok,1428969600,48700
70,16.18,16.22,15.82,15.82,ok,1429056000,26300
71,16.35,16.41,16.13,16.25,ok,1429142400,32000
72,16.36,16.46,16.19,16.38,ok,1429228800,27600
73,16.16,16.41,16.1,16.34,ok,1429488000,28400
74,16.09,16.21,15.95,16.21,ok,1429574400,28500
75,16.0,16.31,15.97,16.14,ok,1429660800,87400
76,15.97,16.09,15.93,15.96,ok,1429747200,66600
77,15.83,16.0,15.82,16.0,ok,1429833600,15600
78,15.47,15.97,15.47,15.94,ok,1430092800,28600
79,15.24,15.57,15.12,15.57,ok,1430179200,15200
80,15.16,15.31,15.05,15.26,ok,1430265600,25000
81,15.0,15.16,14.91,15.16,ok,1430352000,25600
82,15.06,15.19,14.94,15.19,ok,1430438400,5200
83,15.58,15.63,15.15,15.19,ok,1430697600,109100
84,15.3,15.58,15.29,15.54,ok,1430784000,9200
85,14.9,15.35,14.85,15.35,ok,1430870400,23900
86,14.86,14.86,14.76,14.8,ok,1430956800,8600
87,14.99,15.08,14.59,14.93,ok,1431043200,17400
88,14.74,14.99,14.73,14.92,ok,1431302400,22900
89,14.75,15.21,14.6,14.6,ok,1431388800,12900
90,14.96,15.33,14.85,14.85,ok,1431475200,11200
91,15.8,15.8,15.18,15.18,ok,1431561600,9800
92,15.4,15.51,15.32,15.51,ok,1431648000,9700
93,15.3,15.36,15.23,15.36,ok,1431907200,6800
94,15.5,15.68,15.28,15.28,ok,1431993600,39500
95,15.36,15.65,15.36,15.62,ok,1432080000,9200
96,15.18,15.31,15.03,15.31,ok,1432166400,13100
97,15.04,15.17,15.01,15.1,ok,1432252800,9100
98,15.0,15.03,14.89,14.89,ok,1432598400,31400
99,15.25,15.37,14.94,15.04,ok,1432684800,13400
100,15.19,15.29,14.61,15.22,ok,1432771200,70300
101,15.24,15.25,15.09,15.1,ok,1432857600,27200
102,14.77,15.31,14.77,15.31,ok,1433116800,13400
103,14.92,15.01,14.71,14.93,ok,1433203200,35200
104,15.07,15.17,14.83,14.9,ok,1433289600,15400
105,14.81,15.07,14.8,14.98,ok,1433376000,75400
106,14.81,14.86,14.68,14.74,ok,1433462400,9600
107,14.94,14.96,14.82,14.84,ok,1433721600,23000
