,c,h,l,o,s,t,v
0,10.25,10.96,9.77,10.96,ok,1420156800,209500
1,10.37,10.38,10.0,10.23,ok,1420416000,87900
2,10.21,10.34,10.16,10.27,ok,1420502400,72100
3,10.34,10.38,10.07,10.25,ok,1420588800,51600
4,10.54,10.74,10.33,10.44,ok,1420675200,156300
5,10.56,10.67,10.49,10.51,ok,1420761600,39600
6,10.46,10.58,10.31,10.53,ok,1421020800,39300
7,10.46,10.75,10.32,10.51,ok,1421107200,44300
8,10.49,10.59,10.26,10.31,ok,1421193600,76500
9,10.63,10.68,10.45,10.53,ok,1421280000,74500
10,10.73,10.81,10.51,10.6,ok,1421366400,126500
11,10.73,10.85,10.45,10.77,ok,1421712000,49900
12,10.63,10.75,10.5,10.67,ok,1421798400,52100
13,10.87,11.2,10.54,10.83,ok,1421884800,100800
14,10.97,11.0,10.68,10.88,ok,1421971200,32200
15,10.82,10.89,10.6,10.85,ok,1422230400,64100
16,10.77,10.9,10.53,10.69,ok,1422316800,56500
17,10.5,10.78,10.5,10.77,ok,1422403200,60600
18,11.02,11.25,10.55,10.55,ok,1422489600,426100
19,10.99,11.35,10.85,10.85,ok,1422576000,148700
20,10.99,11.01,10.57,10.57,ok,1422835200,210000
21,11.2,11.5,11.02,11.22,ok,1422921600,213500
22,11.4,11.66,11.02,11.19,ok,1423008000,208000
23,11.38,11.49,11.28,11.4,ok,1423094400,115300
24,11.31,11.48,11.25,11.35,ok,1423180800,116000
25,11.11,11.38,11.08,11.2,ok,1423440000,101300
26,11.34,11.5,11.18,11.26,ok,1423526400,155200
27,11.56,11.65,11.34,11.35,ok,1423612800,137900
28,11.4,11.6,11.26,11.6,ok,1423699200,102300
29,11.38,11.48,11.32,11.35,ok,1423785600,47300
30,11.44,11.5,11.35,11.43,ok,1424131200,51200
31,11.5,11.5,11.35,11.45,ok,1424217600,40000
32,11.37,11.5,11.35,11.49,ok,1424304000,20900
33,11.43,11.46,11.26,11.4,ok,1424390400,36300
34,11.39,11.43,11.14,11.43,ok,1424649600,52200
35,11.48,11.49,11.35,11.36,ok,1424736000,31300
36,11.38,11.48,11.32,11.45,ok,1424822400,23500
37,11.36,11.4,11.27,11.36,ok,1424908800,25000
38,11.29,11.42,11.28,11.31,ok,1424995200,46600
39,11.54,11.65,11.29,11.29,ok,1425254400,51700
40,11.57,11.58,11.35,11.46,ok,1425340800,60700
41,11.55,11.6,11.48,11.49,ok,1425427200,31900
42,11.42,11.57,11.36,11.57,ok,1425513600,38200
43,11.37,11.43,11.35,11.42,ok,1425600000,51300
44,11.41,11.51,11.4,11.4,ok,1425859200,50000
45,11.26,11.33,11.14,11.33,ok,1425945600,89900
46,11.21,11.41,11.19,11.32,ok,1426032000,53800
47,11.6,11.63,11.2,11.32,ok,1426118400,65200
48,11.73,11.81,11.56,11.56,ok,1426204800,86800
49,11.43,11.93,11.36,11.74,ok,1426464000,105800
50,11.41,11.47,11.24,11.39,ok,1426550400,68700
51,11.41,11.49,11.21,11.49,ok,1426636800,77100
52,11.4,11.4,11.26,11.35,ok,1426723200,71400
53,11.5,11.61,11.43,11.46,ok,1426809600,108500
54,11.5,11.63,11.46,11.5,ok,1427068800,77400
55,11.75,11.78,11.53,11.53,ok,1427155200,58000
56,11.6,11.78,11.58,11.73,ok,1427241600,112200
57,11.56,11.61,11.5,11.5,ok,1427328000,81300
58,11.8,11.85,11.54,11.59,ok,1427414400,73300
59,12.02,12.08,11.81,11.85,ok,1427673600,151800
60,11.98,12.06,11.93,11.94,ok,1427760000,71900
61,12.11,12.17,11.85,11.95,ok,1427846400,70100
62,11.94,12.14,11.93,12.14,ok,1427932800,29300
63,11.93,12.05,11.84,11.84,ok,1428278400,31400
64,11.94,12.09,11.9,11.96,ok,1428364800,39300
65,11.89,12.08,11.81,11.93,ok,1428451200,70500
66,11.91,11.98,11.82,11.91,ok,1428537600,33700
67,11.89,12.02,11.87,11.97,ok,1428624000,24900
68,11.79,11.94,11.77,11.84,ok,1428883200,25100
69,11.82,11.88,11.77,11.83,ok,1428969600,38900
70,11.78,11.93,11.76,11.9,ok,1429056000,36100
71,11.79,11.84,11.76,11.8,ok,1429142400,25600
72,11.58,11.7,11.5,11.7,ok,1429228800,43500
73,11.85,11.96,11.59,11.59,ok,1429488000,40900
74,11.94,11.94,11.85,11.91,ok,1429574400,13200
75,11.98,11.99,11.74,11.91,ok,1429660800,19100
76,11.88,12.06,11.75,11.96,ok,1429747200,35400
77,11.83,11.92,11.75,11.84,ok,1429833600,30700
78,11.72,12.05,11.7,11.8,ok,1430092800,37800
79,11.7,11.94,11.58,11.69,ok,1430179200,61300
80,11.91,12.04,11.28,11.72,ok,1430265600,177300
81,11.38,11.9,10.96,11.9,ok,1430352000,138800
82,11.51,11.56,11.35,11.37,ok,1430438400,77000
83,11.45,11.6,11.42,11.5,ok,1430697600,59900
84,11.06,11.41,11.02,11.39,ok,1430784000,64400
85,11.12,11.16,10.87,11.04,ok,1430870400,57700
86,11.27,11.36,11.07,11.09,ok,1430956800,64100
87,11.26,11.39,11.24,11.39,ok,1431043200,30600
88,11.2,11.28,11.14,11.25,ok,1431302400,43400
89,11.25,11.26,11.03,11.19,ok,1431388800,50600
90,11.18,11.24,11.16,11.23,ok,1431475200,79400
91,11.2,11.22,11.17,11.22,ok,1431561600,87000
92,11.1,11.2,11.08,11.2,ok,1431648000,31600
93,11.19,11.4,11.03,11.03,ok,1431907200,72000
94,11.33,11.4,11.16,11.24,ok,1431993600,41700
95,11.37,11.41,11.33,11.4,ok,1432080000,73800
96,11.43,11.5,11.36,11.4,ok,1432166400,60500
97,11.29,11.48,11.28,11.38,ok,1432252800,80600
98,11.17,11.28,11.12,11.26,ok,1432598400,75600
99,11.3,11.38,11.06,11.1,ok,1432684800,88100
100,11.3,11.4,11.23,11.3,ok,1432771200,54800
101,11.18,11.32,11.17,11.28,ok,1432857600,59500
102,11.33,11.47,11.16,11.25,ok,1433116800,49500
103,11.23,11.4,11.21,11.29,ok,1433203200,48400
104,11.29,11.3,11.2,11.25,ok,1433289600,43400
105,11.1,11.28,11.08,11.23,ok,1433376000,33300
106,11.07,11.09,10.65,11.03,ok,1433462400,64800
107,10.98,11.37,10.87,11.02,ok,1433721600,52900
108,11.05,11.12,10.86,11.03,ok,1433808000,40600
109,11.23,11.46,11.15,11.15,ok,1433894400,82800
110,11.2,11.46,11.18,11.31,ok,1433980800,39900
111,11.02,11.2,10.97,11.2,ok,1434067200,21200
112,11.0,11.05,10.83,11.03,ok,1434326400,46600
113,11.01,11.05,10.92,11.0,ok,1434412800,31900
114,10.95,11.05,10.87,11.0,ok,1434499200,35100
115,10.99,11.11,10.95,11.0,ok,1434585600,50800
116,10.8,11.04,10.72,11.0,ok,1434672000,142000
117,10.83,11.07,10.79,10.88,ok,1434931200,33600
118,10.85,10.91,10.71,10.89,ok,1435017600,27400
119,10.8,10.87,10.7,10.87,ok,1435104000,35000
120,10.87,10.95,10.81,10.9,ok,1435190400,30100
121,10.65,10.9,10.6,10.9,ok,1435276800,125700
122,10.29,10.73,10.28,10.73,ok,1435536000,42400
123,10.33,10.41,10.14,10.41,ok,1435622400,53800
124,10.04,10.45,9.91,10.45,ok,1435708800,261200
125,9.98,10.07,9.95,10.07,ok,1435795200,56400
126,9.48,9.93,9.45,9.84,ok,1436140800,179300
127,9.21,9.51,9.21,9.44,ok,1436227200,90700
128,8.88,9.1,8.88,9.06,ok,1436313600,469600
129,9.14,9.22,9.09,9.1,ok,1436400000,153500
130,9.42,9.43,9.2,9.2,ok,1436486400,47400
131,9.4,9.45,9.29,9.42,ok,1436745600,45400
132,9.4,9.52,9.35,9.45,ok,1436832000,44700
133,9.32,9.44,9.3,9.44,ok,1436918400,66600
134,9.21,9.48,9.2,9.42,ok,1437004800,71900
135,9.21,9.25,9.2,9.25,ok,1437091200,125200
136,9.12,9.25,8.99,9.23,ok,1437350400,136800
137,9.1,9.27,9.08,9.15,ok,1437436800,42800
138,9.0,9.09,8.94,9.08,ok,1437523200,44400
139,9.0,9.07,8.95,9.06,ok,1437609600,70300
140,8.74,8.97,8.7,8.97,ok,1437696000,76500
141,8.76,8.82,8.64,8.74,ok,1437955200,28500
142,8.67,8.84,8.62,8.75,ok,1438041600,95000
143,8.95,9.03,8.61,8.66,ok,1438128000,82200
144,9.52,9.56,8.85,8.95,ok,1438214400,136800
145,8.73,9.4,8.62,9.36,ok,1438300800,255900
146,8.55,8.82,8.53,8.75,ok,1438560000,151300
147,8.55,8.65,8.41,8.56,ok,1438646400,131200
148,8.28,8.75,8.26,8.63,ok,1438732800,94700
149,8.43,8.44,8.2,8.38,ok,1438819200,56000
150,8.33,8.39,8.26,8.36,ok,1438905600,33000
151,8.76,8.83,8.36,8.43,ok,1439164800,197500
152,8.66,8.73,8.58,8.7,ok,1439251200,111900
153,8.93,9.03,8.61,8.66,ok,1439337600,47400
154,9.07,9.13,8.82,8.94,ok,1439424000,86100
155,9.12,9.13,9.0,9.05,ok,1439510400,184000
156,8.89,9.12,8.84,9.06,ok,1439769600,51100
157,8.79,8.97,8.52,8.89,ok,1439856000,87100
158,8.79,8.86,8.63,8.77,ok,1439942400,37100
159,8.66,8.84,8.65,8.76,ok,1440028800,94600
160,8.6,8.71,8.47,8.48,ok,1440115200,64600
161,8.14,8.53,8.02,8.23,ok,1440374400,111800
162,8.27,8.39,8.1,8.38,ok,1440460800,217800
163,8.57,8.62,8.35,8.48,ok,1440547200,84300
164,8.61,8.91,8.56,8.67,ok,1440633600,116100
165,8.55,8.65,8.42,8.59,ok,1440720000,107000
166,8.75,8.81,8.57,8.57,ok,1440979200,173000
167,8.58,8.76,8.52,8.63,ok,1441065600,45800
168,8.72,8.84,8.59,8.73,ok,1441152000,40600
169,8.9,8.99,8.61,8.76,ok,1441238400,37600
170,8.85,8.91,8.69,8.9,ok,1441324800,35200
171,8.96,9.07,8.92,8.96,ok,1441670400,33600
172,8.79,9.11,8.75,9.08,ok,1441756800,44100
173,8.9,8.99,8.8,8.86,ok,1441843200,53500
174,8.94,8.97,8.77,8.89,ok,1441929600,35900
175,8.71,8.99,8.64,8.99,ok,1442188800,33300
176,8.75,8.82,8.72,8.77,ok,1442275200,52800
177,8.85,9.11,8.75,8.86,ok,1442361600,83300
178,8.76,8.99,8.73,8.86,ok,1442448000,56500
179,8.63,8.86,8.61,8.8,ok,1442534400,115400
180,8.83,8.91,8.68,8.71,ok,1442793600,31800
181,8.78,8.82,8.69,8.75,ok,1442880000,45900
182,8.75,8.84,8.74,8.77,ok,1442966400,37600
183,8.97,8.98,8.7,8.74,ok,1443052800,72600
184,9.22,9.34,8.93,8.99,ok,1443139200,93500
185,9.25,9.38,9.17,9.23,ok,1443398400,45500
186,9.22,9.41,9.21,9.32,ok,1443484800,39200
187,9.11,9.39,9.07,9.31,ok,1443571200,99400
188,8.82,9.13,8.65,9.08,ok,1443657600,56500
189,9.12,9.17,8.76,8.76,ok,1443744000,49800
190,9.51,9.64,9.17,9.17,ok,1444003200,35000
191,9.07,9.51,9.04,9.5,ok,1444089600,52800
