,c,h,l,o,s,t,v
0,55.2,58.8,52.8,52.8,ok,1420156800,200
1,54.6,60.0,54.6,60.0,ok,1420416000,1000
2,39.6,50.64,33.6,50.64,ok,1420502400,20200
3,45.6,46.8,38.64,40.8,ok,1420588800,3300
4,42.0,46.8,39.6,45.6,ok,1420675200,2700
5,38.4,45.6,37.2,45.6,ok,1420761600,2400
6,38.4,40.56,36.0,36.0,ok,1421020800,1900
7,39.36,40.56,36.72,38.4,ok,1421107200,900
8,38.4,38.76,36.0,37.2,ok,1421193600,1600
9,39.6,39.6,36.12,39.6,ok,1421280000,2400
10,39.48,39.6,36.0,36.24,ok,1421366400,5000
11,40.56,42.0,38.4,39.48,ok,1421712000,3100
12,39.6,42.0,37.44,39.6,ok,1421798400,2400
13,44.4,46.8,39.6,39.6,ok,1421884800,4500
14,48.0,48.0,43.2,43.2,ok,1421971200,2200
15,51.6,51.6,47.4,48.0,ok,1422230400,1700
16,49.2,52.08,46.2,51.6,ok,1422316800,1100
17,46.8,51.6,46.32,50.4,ok,1422403200,800
18,46.2,51.0,46.2,50.52,ok,1422489600,400
19,48.0,49.92,46.2,49.92,ok,1422576000,1200
20,48.0,48.0,43.44,48.0,ok,1422835200,700
21,46.56,46.8,44.4,44.4,ok,1422921600,300
22,47.88,48.0,42.0,42.0,ok,1423008000,600
23,48.0,48.6,46.8,48.6,ok,1423094400,300
24,48.0,48.0,44.4,45.6,ok,1423180800,500
25,44.4,46.8,44.4,44.4,ok,1423440000,500
26,44.4,46.8,43.8,44.4,ok,1423526400,1000
27,42.0,47.28,40.8,47.28,ok,1423612800,800
28,48.0,48.0,43.2,43.2,ok,1423699200,100
29,51.6,51.6,45.96,49.2,ok,1423785600,1200
30,53.28,56.4,48.72,53.04,ok,1424131200,2500
31,49.2,54.0,48.0,53.04,ok,1424217600,300
32,48.0,50.4,46.8,48.0,ok,1424304000,500
33,52.44,52.44,42.12,48.0,ok,1424390400,1100
34,48.84,52.8,45.6,52.8,ok,1424649600,1200
35,49.08,49.2,46.8,49.2,ok,1424736000,200
36,51.6,51.6,46.8,48.0,ok,1424822400,200
37,52.2,52.68,49.2,51.36,ok,1424908800,500
38,51.6,52.8,50.4,50.4,ok,1424995200,800
39,51.72,52.8,50.4,51.6,ok,1425254400,500
40,51.72,55.2,50.4,51.72,ok,1425340800,1100
41,48.96,50.4,46.2,46.2,ok,1425427200,800
42,48.84,52.32,47.76,52.32,ok,1425513600,300
43,45.6,49.2,45.6,47.04,ok,1425600000,500
44,46.08,48.6,45.6,46.8,ok,1425859200,300
45,44.76,48.36,42.0,48.36,ok,1425945600,1600
46,43.2,45.36,42.6,42.6,ok,1426032000,200
47,45.84,48.0,44.4,46.44,ok,1426118400,100
48,47.04,48.6,44.16,44.4,ok,1426204800,600
49,47.52,48.6,45.6,46.8,ok,1426464000,200
50,47.16,48.48,42.6,48.48,ok,1426550400,600
51,45.0,48.48,43.92,48.36,ok,1426636800,500
52,44.4,48.6,42.6,48.6,ok,1426723200,200
53,43.8,48.6,43.44,43.44,ok,1426809600,500
54,42.6,46.8,42.6,43.8,ok,1427068800,700
55,46.68,48.0,42.12,42.12,ok,1427155200,800
56,48.48,48.6,43.32,44.52,ok,1427241600,400
57,48.0,50.4,45.6,48.6,ok,1427328000,600
58,45.36,49.2,44.4,49.2,ok,1427414400,500
59,48.0,50.4,44.4,46.8,ok,1427673600,700
60,42.0,49.2,42.0,45.6,ok,1427760000,1100
61,49.8,52.2,40.8,43.2,ok,1427846400,3800
62,49.2,51.6,46.8,49.08,ok,1427932800,1100
63,50.4,53.4,46.8,46.92,ok,1428278400,2000
64,49.2,50.16,43.2,48.24,ok,1428364800,1100
65,49.2,51.0,46.8,48.72,ok,1428451200,400
66,45.6,50.28,43.2,46.8,ok,1428537600,1100
67,45.6,46.8,43.56,44.52,ok,1428624000,1200
68,44.4,46.8,42.36,45.12,ok,1428883200,800
69,44.4,46.8,42.0,44.4,ok,1428969600,800
70,42.0,46.56,42.0,45.48,ok,1429056000,600
71,43.2,46.32,40.92,46.32,ok,1429142400,900
72,36.48,44.28,34.8,44.28,ok,1429228800,4300
73,32.52,38.4,30.36,38.4,ok,1429488000,3200
74,35.04,36.0,32.4,32.4,ok,1429574400,700
75,32.4,35.4,31.56,33.72,ok,1429660800,800
76,32.4,33.96,31.2,32.4,ok,1429747200,600
77,33.12,35.64,31.44,32.4,ok,1429833600,600
78,33.6,35.52,33.6,34.8,ok,1430092800,1000
79,32.52,34.8,31.2,34.8,ok,1430179200,1000
80,31.68,32.4,30.6,32.4,ok,1430265600,500
81,30.0,32.16,30.0,30.6,ok,1430352000,1400
82,30.84,33.48,30.12,32.4,ok,1430438400,600
83,31.2,32.4,30.0,31.2,ok,1430697600,1000
84,28.8,34.8,27.84,32.4,ok,1430784000,1700
85,29.52,30.0,27.6,30.0,ok,1430870400,400
86,30.0,30.0,27.96,28.8,ok,1430956800,500
87,28.8,32.4,25.2,30.0,ok,1431043200,900
88,26.64,28.8,26.4,28.68,ok,1431302400,300
89,27.6,28.8,25.44,26.64,ok,1431388800,900
90,30.0,31.92,27.48,30.0,ok,1431475200,900
91,30.0,31.8,28.8,30.0,ok,1431561600,400
92,30.0,33.6,30.0,30.0,ok,1431648000,200
93,33.6,33.6,28.8,30.0,ok,1431907200,900
94,33.6,34.8,31.2,34.8,ok,1431993600,400
95,31.56,33.36,31.56,32.4,ok,1432166400,100
96,30.0,32.4,28.8,30.6,ok,1432252800,700
97,30.0,31.2,27.6,30.0,ok,1432598400,300
98,30.0,34.8,30.0,30.0,ok,1432684800,600
99,33.24,34.2,30.24,30.24,ok,1432771200,100
100,33.6,33.6,31.2,33.6,ok,1432857600,200
101,31.2,33.48,31.2,31.2,ok,1433116800,100
102,34.8,34.8,32.16,33.6,ok,1433203200,400
