,c,h,l,o,s,t,v
0,24.1673,25.6973,24.1673,24.6373,ok,1540339200,184200
1,24.3053,24.4153,24.1553,24.1553,ok,1540425600,33800
2,23.9208,24.2308,23.8308,24.0308,ok,1540512000,16400
3,23.6151,24.2951,23.6151,24.2151,ok,1540771200,119000
4,24.1081,24.1281,24.0781,24.0781,ok,1540857600,500
5,24.4828,24.6928,24.4828,24.5028,ok,1540944000,5500
6,24.9167,24.9167,24.5667,24.6267,ok,1541030400,10200
7,24.6307,24.8907,24.5607,24.8707,ok,1541116800,24800
8,24.6209,24.6709,24.6209,24.6709,ok,1541376000,600
9,25.0153,25.0253,24.8453,24.8453,ok,1541462400,11100
10,25.459,25.459,25.159,25.189,ok,1541548800,8600
11,25.459,25.499,25.299,25.299,ok,1541635200,9500
12,25.2914,25.2914,25.2014,25.2814,ok,1541721600,3900
13,24.8082,25.0482,24.8082,24.9682,ok,1541980800,9000
14,24.9956,24.9956,24.8456,24.8556,ok,1542067200,23800
15,24.6307,24.9207,24.6307,24.9207,ok,1542153600,2000
16,24.7885,24.8885,24.4385,24.4385,ok,1542240000,138900
17,24.8871,24.9971,24.8071,24.8471,ok,1542326400,226200
18,24.68,24.8,24.68,24.72,ok,1542585600,15900
19,24.1574,24.1574,24.0974,24.1174,ok,1542672000,1600
20,24.2462,26.4962,24.2462,26.4962,ok,1542758400,2600
21,24.187,24.187,24.107,24.147,ok,1542931200,10400
22,24.3842,24.3842,24.3842,24.3842,ok,1543190400,100
23,24.4138,24.4138,24.4038,24.4138,ok,1543276800,26700
24,24.8674,24.8674,24.5274,24.5274,ok,1543363200,4400
25,24.897,24.957,24.847,24.957,ok,1543449600,15800
26,24.9758,24.9758,24.8258,24.8258,ok,1543536000,3400
27,25.2618,25.2818,25.2118,25.2118,ok,1543795200,5000
28,24.5026,25.1626,24.5026,25.1626,ok,1543881600,11300
29,24.1081,24.1781,24.0481,24.0481,ok,1544054400,2500
