,c,h,l,o,s,t,v
0,17.44,19.0,17.16,18.0,ok,1553731200,3864100
1,17.95,18.18,16.53,17.75,ok,1553817600,709300
2,16.94,17.95,16.66,17.95,ok,1554076800,201000
3,16.76,17.43,16.6,16.95,ok,1554163200,255500
4,15.05,16.782,14.805,16.77,ok,1554249600,423000
5,15.15,15.66,14.66,15.03,ok,1554336000,140300
6,14.74,15.38,14.33,15.1,ok,1554422400,178100
7,14.82,14.89,14.41,14.74,ok,1554681600,102200
8,15.18,15.45,14.56,14.7,ok,1554768000,100700
9,14.6,15.49,14.51,15.08,ok,1554854400,124100
10,14.04,14.98,13.16,14.7,ok,1554940800,112500
11,13.32,14.3,13.025,14.16,ok,1555027200,76000
12,13.19,13.542,13.1,13.16,ok,1555286400,31100
13,13.26,13.48,12.97,13.05,ok,1555372800,221900
14,12.98,13.5,12.83,13.2,ok,1555459200,84900
15,12.18,13.18,12.13,13.17,ok,1555545600,100200
16,13.44,13.57,12.22,12.87,ok,1555891200,687700
17,13.58,13.9,13.21,13.7,ok,1555977600,226800
18,12.78,13.955,12.66,13.75,ok,1556064000,162000
19,12.5,13.03,12.325,12.87,ok,1556150400,123300
20,12.64,12.99,12.4,12.58,ok,1556236800,99400
21,13.03,13.83,12.64,12.64,ok,1556496000,204800
22,13.0,13.35,12.81,13.04,ok,1556582400,69700
23,12.94,13.465,12.55,12.92,ok,1556668800,132600
24,12.6,12.885,11.774,12.8,ok,1556755200,163900
25,11.88,13.087,11.8,12.66,ok,1556841600,121100
26,13.0,13.06,11.89,11.93,ok,1557100800,131000
27,12.94,13.4,12.6,13.01,ok,1557187200,219000
28,12.74,13.2,12.69,12.9,ok,1557273600,137800
29,12.91,13.18,12.5,12.69,ok,1557360000,88400
30,13.05,13.15,12.715,12.86,ok,1557446400,185700
31,13.15,13.28,12.847,12.96,ok,1557705600,125600
32,13.69,13.75,13.24,13.24,ok,1557792000,181800
33,12.73,13.77,12.72,13.6,ok,1557878400,167600
34,13.12,13.31,12.7,12.8,ok,1557964800,99700
35,12.46,13.015,12.1,12.96,ok,1558051200,116900
36,13.18,13.5,12.211,12.45,ok,1558310400,135600
37,13.27,13.72,12.794,13.19,ok,1558396800,262700
38,13.21,13.49,12.65,13.2,ok,1558483200,147400
39,13.31,13.47,12.91,13.04,ok,1558569600,87300
40,13.73,13.9,13.38,13.38,ok,1558656000,135400
41,13.96,14.01,13.635,13.75,ok,1559001600,117700
42,13.46,13.99,13.093,13.85,ok,1559088000,63800
43,12.78,13.55,12.69,13.55,ok,1559174400,112300
44,13.43,13.49,12.52,12.66,ok,1559260800,108600
45,13.01,13.59,12.747,13.44,ok,1559520000,122700
46,13.49,13.55,12.89,13.04,ok,1559606400,126100
47,13.48,13.7,13.05,13.5,ok,1559692800,296700
48,13.51,13.889,13.2,13.52,ok,1559779200,122700
49,13.2,13.96,13.0,13.68,ok,1559865600,197900
50,12.93,13.59,12.5,13.28,ok,1560124800,212500
51,12.13,13.1,11.99,12.9,ok,1560211200,142600
52,12.04,12.39,11.93,12.22,ok,1560297600,178800
53,12.46,12.52,12.011,12.12,ok,1560384000,355700
54,12.97,13.25,12.55,12.62,ok,1560470400,268900
55,12.54,13.55,12.429,13.33,ok,1560729600,181000
56,13.7,13.75,12.55,12.64,ok,1560816000,237900
57,13.85,14.01,13.032,13.74,ok,1560902400,221300
58,15.05,15.24,13.912,13.97,ok,1560988800,473400
59,14.72,15.3,14.55,15.19,ok,1561075200,422700
60,13.21,15.03,12.39,14.8,ok,1561334400,361500
61,13.2,13.59,13.11,13.3,ok,1561420800,192300
62,12.83,13.5,12.77,13.22,ok,1561507200,146300
63,13.23,13.33,12.813,12.87,ok,1561593600,98500
64,13.25,13.85,13.01,13.35,ok,1561680000,1322000
65,12.98,13.4,12.83,13.2,ok,1561939200,356300
66,13.29,13.4,12.78,13.0,ok,1562025600,67200
67,13.39,13.55,12.97,13.5,ok,1562112000,77000
68,14.15,14.36,13.32,13.5,ok,1562284800,226700
69,13.65,14.56,13.51,14.22,ok,1562544000,112300
70,13.54,13.895,13.34,13.58,ok,1562630400,65200
